STR_ID,ISSUE_COUNT
100d,2
200d,2
200l,0
300d,2
400d,2
101d,2
101m,0
201d,0
201l,2
301d,2
401d,0
102d,2
102l,0
102m,0
202d,4
302d,2
402d,2
103d,0
103l,0
103m,0
203d,40
303d,2
403d,2
104d,0
104l,2
104m,0
204d,0
304d,0
404d,2
105d,0
105m,0
205d,2
205l,0
305d,0
405d,2
106d,0
106m,0
206d,2
206l,0
306d,0
406d,4
107d,0
107l,0
107m,0
207d,80
207l,0
307d,6
407d,4
108d,40
108l,0
108m,0
208d,2
208l,0
308d,8
408d,2
109d,2
109l,0
109m,0
209d,3
209l,0
309d,2
409d,6
10gs,4
20gs,4
10mh,2
110d,0
110l,0
110m,0
210d,0
210l,0
310d,2
410d,2
111d,2
111l,0
111m,0
211d,0
211l,0
311d,2
411d,2
112d,2
112l,0
112m,0
212d,0
212l,0
312d,2
412d,4
113d,2
113l,0
213d,2
213l,0
313d,2
413d,0
114d,2
114l,0
214d,0
214l,0
314d,2
414d,4
115d,2
115l,0
215d,0
215l,0
315d,2
116d,0
216d,0
216l,2
316d,0
117d,0
117e,6
217d,0
217l,0
317d,0
417d,2
118d,0
118l,0
218d,2
218l,0
318d,2
418d,2
119d,2
119l,0
219d,0
219l,0
319d,2
419d,4
11as,4
11ba,6
11bg,10
21bi,0
31bi,0
41bi,0
11gs,4
120l,0
220d,0
220l,0
320d,2
420d,2
121d,2
121p,0
221d,2
221l,0
221p,0
321d,2
421d,2
421p,0
521p,0
621p,0
721p,0
821p,0
122d,2
122l,0
222d,2
222l,0
322d,2
422d,2
123d,2
123l,0
223d,2
223l,0
323d,2
423d,4
124d,0
224d,2
224l,0
324d,2
424d,5
125l,0
225d,0
225l,0
325d,2
425d,2
126d,2
126l,0
226d,0
226l,0
326d,2
426d,2
127d,2
127l,0
227d,2
227l,0
327d,0
427d,0
128d,2
128l,0
228l,0
328d,2
428d,2
129d,2
129l,0
229d,0
229l,0
329d,2
429d,1
12as,6
12ca,0
32c2,0
12e8,4
12gs,4
22gs,4
130d,2
130l,0
230d,0
230l,0
330d,2
430d,0
830c,6
131d,4
131l,0
231d,0
231l,0
331d,2
431d,2
132d,0
132l,0
232d,0
232l,0
332d,2
432d,2
133d,2
133l,0
233d,2
233l,0
333d,0
433d,2
134d,0
134l,0
234d,0
234l,0
334d,4
434d,5
135d,0
135l,0
235d,0
235l,0
335d,0
435d,4
136d,0
236d,0
236l,0
336d,4
436d,4
137d,2
137l,2
237d,0
237l,0
337d,0
437d,0
138d,0
138l,0
238d,0
238l,0
338d,0
438d,2
139d,0
139l,0
239d,2
239l,0
339d,0
439d,2
43c9,8
43ca,12
13gs,6
13pk,16
140d,0
140l,0
240d,2
240l,0
340d,0
440d,2
141d,0
141l,0
241d,2
241l,0
341d,0
441d,0
142d,0
142l,0
242d,2
242l,0
342d,0
442d,2
143d,0
143l,0
243d,0
243l,0
343d,8
443d,4
144d,2
144l,0
244d,36
244l,0
344d,0
444d,2
145d,4
145l,0
245d,2
245l,0
345d,0
445d,1
146d,6
146l,0
246d,2
246l,0
346d,0
446d,11
147l,0
247d,0
247l,0
447d,2
148d,0
148l,2
248d,0
248l,0
348d,0
448d,2
149d,0
149l,0
249d,4
249l,0
349d,0
449d,2
14gs,4
150d,2
150l,4
250d,6
250l,0
151d,0
151l,0
251d,0
251l,0
351c,0
351d,2
451c,0
152d,0
152l,0
252d,2
252l,0
352d,36
452d,0
153d,2
153l,0
253d,0
253l,0
353d,2
453d,2
154d,2
154l,0
254d,2
254l,0
354d,4
454d,15
155c,0
155l,0
255d,0
255l,0
355d,4
455d,4
156d,0
156l,0
256b,4
256d,2
256l,0
456c,6
456d,2
157d,2
157l,0
257d,2
257l,0
357d,6
457d,2
158d,4
158l,0
258d,10
258l,0
358d,2
458d,2
159d,0
159l,0
259d,2
259l,0
359d,2
459d,2
15c8,1
25c8,3
35c8,3
160d,2
160l,0
260d,0
260l,0
360d,4
460d,4
161d,2
161l,0
261d,2
261l,0
361d,2
461d,4
162l,0
262l,2
362d,2
462d,6
163l,0
263d,2
363d,12
463d,6
164l,0
264d,2
364d,10
464d,5
165d,4
165l,0
265d,2
365d,2
465d,0
166d,2
166l,0
266d,2
366d,0
466d,4
966c,0
167d,2
167l,2
267d,2
367d,6
467d,2
168d,2
168l,0
268d,2
368d,2
468d,2
169d,0
169l,0
269d,2
369d,2
469d,2
16gs,4
16pk,0
16vp,0
170d,0
170l,0
270d,2
370d,2
470d,2
171d,0
171l,0
271d,2
371d,2
471d,2
172d,4
172l,0
272d,2
372d,0
472d,2
173d,4
173l,0
473d,6
174l,2
274d,0
474d,6
175d,0
175l,2
275d,2
375d,6
176d,0
176l,2
276d,0
376d,0
476d,4
177d,0
177l,0
277d,0
377d,4
477d,4
178d,2
178l,0
278d,0
378d,8
478d,2
179d,0
279d,0
379d,5
479d,2
17gs,4
17ra,0
180d,2
180l,2
280d,4
380d,4
480d,0
181d,2
181l,0
281d,2
381d,2
481d,0
182d,2
182l,0
282d,2
382d,0
482d,0
183d,0
183l,0
283d,0
383d,2
483d,0
184d,0
184l,0
284d,4
384d,2
484d,0
185d,5
185l,0
285d,2
385d,0
485d,2
186d,0
186l,0
286d,2
386d,0
486d,1
187d,0
187l,0
287d,2
387d,0
487d,0
188d,0
188l,0
288d,0
388d,2
488d,5
189d,0
189l,0
289d,2
389d,2
28dn,0
18gs,4
28sp,0
28sr,0
190d,8
190l,0
290d,2
390d,3
1914,0
191d,6
191l,0
291d,2
391d,6
192d,2
192l,0
292d,4
392d,1
193d,0
193l,0
293d,6
393d,2
194d,2
194l,0
294d,8
394d,2
195d,2
195l,0
295d,0
395d,0
196d,6
196l,0
296d,2
396d,0
197d,2
197l,0
297d,2
397d,2
198d,7
198l,0
298d,2
398d,4
199d,3
199l,0
299d,0
399d,2
19gs,4
19hc,6
1a00,8
1a01,8
1a02,5
1a03,0
1a04,2
1a05,4
1a06,0
1a07,4
1a08,4
1a09,4
1a0a,4
1a0b,0
1a0c,8
1a0d,8
1a0e,4
1a0f,4
1a0g,4
1a0h,6
1a0i,0
1a0j,12
1a0k,0
1a0l,8
1a0m,2
1a0n,0
1a0o,4
1a0p,0
1a0q,3
1a0r,4
1a0s,6
1a0t,9
1a0u,8
1a0z,8
2a00,0
2a01,6
2a02,0
2a03,4
2a04,9
2a05,0
2a06,130
2a07,16
2a08,2
2a0a,0
2a0b,0
2a0c,0
2a0f,6
2a0i,1
2a0j,0
2a0k,4
2a0l,3
2a0m,0
2a0n,0
2a0p,2
2a0q,8
2a0s,6
2a0t,0
2a0u,4
2a0w,0
2a0x,0
2a0y,0
2a0z,0
3a01,0
3a02,0
3a03,0
3a04,0
3a05,0
3a06,4
3a07,2
3a08,6
3a09,0
3a0a,6
3a0b,54
3a0c,4
3a0d,0
3a0e,0
3a0f,0
3a0g,4
3a0h,55
3a0i,0
3a0j,2
3a0k,8
3a0m,10
3a0n,0
3a0o,4
3a0r,1
3a0s,0
3a0t,0
3a0u,0
3a0v,0
3a0w,4
3a0x,0
3a0y,2
3a0z,2
4a00,0
4a01,4
4a02,0
4a03,4
4a04,4
4a05,0
4a06,0
4a07,0
4a08,5
4a09,4
4a0a,1
4a0b,0
4a0c,2
4a0d,0
4a0e,2
4a0f,4
4a0g,8
4a0h,2
4a0i,2
4a0j,4
4a0k,0
4a0l,0
4a0m,8
4a0n,1
4a0o,0
4a0p,0
4a0q,4
4a0r,4
4a0s,8
4a0t,6
4a0u,5
4a0v,0
4a0w,0
4a0x,0
4a0y,4
4a0z,4
5a00,0
5a01,6
5a02,12
5a03,12
5a04,12
5a05,12
5a06,12
5a07,4
5a08,4
5a09,0
5a0a,0
5a0b,0
5a0c,4
5a0d,7
5a0e,4
5a0f,0
5a0g,6
5a0i,4
5a0j,0
5a0k,0
5a0l,4
5a0m,11
5a0n,0
5a0o,2
5a0p,4
5a0q,6
5a0r,6
5a0s,4
5a0t,6
5a0u,16
5a0v,4
5a0w,17
5a0x,6
5a0y,12
5a0z,0
1a11,0
1a12,3
1a13,0
1a14,1
1a15,2
1a16,0
1a17,0
1a18,0
1a19,0
1a1a,4
1a1b,4
1a1c,4
1a1d,0
1a1e,4
1a1f,2
1a1g,2
1a1h,2
1a1i,2
1a1j,2
1a1k,2
1a1l,2
1a1m,3
1a1n,3
1a1o,3
1a1p,0
1a1q,3
1a1r,6
1a1s,0
1a1t,0
1a1u,0
1a1v,1
1a1w,0
1a1x,0
1a1z,0
2a10,6
2a11,0
2a13,0
2a14,0
2a15,0
2a18,6
2a19,7
2a1a,2
2a1b,0
2a1c,0
2a1d,4
2a1e,6
2a1f,6
2a1h,6
2a1i,0
2a1j,0
2a1k,4
2a1l,0
2a1m,6
2a1n,6
2a1o,6
2a1r,4
2a1s,4
2a1t,11
2a1u,4
2a1v,0
2a1w,9
2a1x,0
2a1y,0
3a10,0
3a11,13
3a12,20
3a13,20
3a14,6
3a15,8
3a16,8
3a17,16
3a18,8
3a19,6
3a1a,0
3a1b,0
3a1c,4
3a1d,4
3a1e,4
3a1f,0
3a1g,4
3a1h,6
3a1i,0
3a1j,3
3a1k,0
3a1l,0
3a1m,8
3a1n,4
3a1p,5
3a1q,6
3a1r,0
3a1s,4
3a1t,0
3a1u,4
3a1v,4
3a1w,0
3a1y,7
3a1z,8
4a10,0
4a11,0
4a12,0
4a13,0
4a14,0
4a15,1
4a16,8
4a1f,4
4a1g,6
4a1h,6
4a1i,16
4a1j,4
4a1k,0
4a1m,0
4a1n,0
4a1o,4
4a1r,6
4a1s,4
4a1t,6
4a1u,2
4a1v,6
4a1w,8
4a1x,6
4a1y,8
4a1z,4
5a10,0
5a11,4
5a12,10
5a13,20
5a14,0
5a15,0
5a16,8
5a17,0
5a18,0
5a19,0
5a1a,8
5a1f,0
5a1g,0
5a1h,4
5a1i,0
5a1j,0
5a1k,2
5a1l,4
5a1m,0
5a1n,2
5a1p,0
5a1q,2
5a1r,0
5a1s,8
5a1t,4
5a1u,0
5a1v,0
5a1w,0
5a1x,0
5a1y,0
5a1z,0
1a21,2
1a22,2
1a23,0
1a24,0
1a25,4
1a26,0
1a27,0
1a28,4
1a29,0
1a2a,4
1a2b,0
1a2c,4
1a2d,4
1a2e,2
1a2f,0
1a2g,0
1a2i,0
1a2j,0
1a2k,11
1a2l,2
1a2m,2
1a2n,0
1a2o,2
1a2p,6
1a2q,0
1a2s,0
1a2t,0
1a2u,0
1a2v,12
1a2w,4
1a2x,2
1a2y,3
1a2z,8
2a20,0
