STR_ID,STR_LEN,STR_TIME
100d,88,0.013028144836425781
200d,38,0.005848884582519531
200l,272,0.029812097549438477
300d,47,0.015761137008666992
400d,47,0.006580829620361328
101d,62,0.011358976364135742
101m,295,0.029109954833984375
201d,28,0.14149808883666992
201l,452,0.0730900764465332
301d,46,0.019312143325805664
401d,44,0.006707906723022461
102d,98,0.012588977813720703
102l,299,0.03257489204406738
102m,311,0.02835392951965332
202d,18,0.04963874816894531
302d,110,0.012056112289428711
402d,46,0.00667119026184082
103d,24,0.016691923141479492
103l,290,0.02871990203857422
103m,272,0.06511521339416504
203d,17,0.48332691192626953
303d,110,0.012435197830200195
403d,154,0.015533924102783203
104d,24,0.016772031784057617
104l,360,0.05552387237548828
104m,335,0.044183969497680664
204d,17,0.6844980716705322
304d,52,0.004412174224853516
404d,29,0.010976076126098633
105d,12,0.07466506958007812
105m,271,0.08150482177734375
205d,63,0.010015010833740234
205l,277,0.028144121170043945
305d,50,0.005029916763305664
405d,48,0.01244497299194336
106d,12,0.05759572982788086
106m,300,0.02827596664428711
206d,31,0.007364034652709961
206l,302,0.029371023178100586
306d,72,0.00509190559387207
406d,68,0.0869588851928711
107d,15,0.039589881896972656
107l,317,0.06414484977722168
107m,292,0.031112194061279297
207d,46,0.19746708869934082
207l,254,0.025408029556274414
307d,198,0.026459932327270508
407d,88,0.013258218765258789
108d,17,0.573868989944458
108l,336,0.028278112411499023
108m,243,0.02746105194091797
208d,106,0.009659290313720703
208l,171,0.02012801170349121
308d,124,0.008628129959106445
408d,109,0.012614965438842773
109d,116,0.011394977569580078
109l,318,0.027624130249023438
109m,354,0.028955936431884766
209d,110,0.01606011390686035
209l,186,0.0254209041595459
309d,88,0.06428885459899902
409d,74,0.019654035568237305
10gs,589,0.07197117805480957
20gs,521,0.06972098350524902
10mh,481,0.06379818916320801
110d,56,0.006186246871948242
110l,303,0.02774214744567871
110m,336,0.029139995574951172
210d,31,0.0034780502319335938
210l,273,0.06114983558654785
310d,58,0.010015010833740234
410d,161,0.010695934295654297
111d,86,0.011359930038452148
111l,325,0.029438018798828125
111m,311,0.02733588218688965
211d,31,0.003204822540283203
211l,298,0.028561830520629883
311d,102,0.011261940002441406
411d,78,0.011024951934814453
112d,107,0.010854721069335938
112l,314,0.027341127395629883
112m,294,0.026623964309692383
212d,79,0.0052089691162109375
212l,324,0.032852888107299805
312d,85,0.014723777770996094
412d,127,0.012357950210571289
113d,96,0.012091875076293945
113l,315,0.03919529914855957
213d,123,0.041419029235839844
213l,238,0.026546955108642578
313d,71,0.007566213607788086
413d,50,0.006205320358276367
114d,88,0.010025978088378906
114l,314,0.03161215782165527
214d,22,0.6135680675506592
214l,224,0.026883840560913086
314d,65,0.006903171539306641
414d,156,0.01659107208251953
115d,101,0.00812220573425293
115l,310,0.07702231407165527
215d,54,0.0045588016510009766
215l,271,0.026667118072509766
315d,85,0.008415937423706055
116d,52,0.0065538883209228516
216d,53,0.005160808563232422
216l,348,0.04991483688354492
316d,27,0.0076868534088134766
117d,45,0.005141019821166992
117e,1029,0.09614300727844238
217d,55,0.004536151885986328
217l,343,0.031050920486450195
317d,54,0.004205942153930664
417d,70,0.005933046340942383
118d,50,0.003874063491821289
118l,334,0.028065919876098633
218d,98,0.036026954650878906
218l,239,0.026463985443115234
318d,126,0.011766910552978516
418d,44,0.006521940231323242
119d,162,0.01384115219116211
119l,327,0.03179526329040527
219d,20,0.00932621955871582
219l,292,0.029310941696166992
319d,113,0.008630037307739258
419d,95,0.013229131698608398
11as,740,0.09990525245666504
11ba,361,0.04398608207702637
11bg,384,0.07277512550354004
21bi,151,0.022956132888793945
31bi,149,0.02165389060974121
41bi,151,0.021918058395385742
11gs,596,0.0671532154083252
120l,343,0.030025005340576172
220d,59,0.005658149719238281
220l,279,0.029309988021850586
320d,97,0.008752107620239258
420d,89,0.015263795852661133
121d,72,0.009920835494995117
121p,363,0.02953505516052246
221d,105,0.01111602783203125
221l,300,0.06572198867797852
221p,378,0.033464908599853516
321d,108,0.01019906997680664
421d,74,0.011507034301757812
421p,370,0.030872106552124023
521p,168,0.026062726974487305
621p,394,0.03155994415283203
721p,359,0.029727935791015625
821p,286,0.050598859786987305
122d,57,0.009353160858154297
122l,327,0.02773308753967285
222d,94,0.009272098541259766
222l,289,0.026047945022583008
322d,96,0.008859872817993164
422d,51,0.009482145309448242
123d,100,0.040387868881225586
123l,324,0.030874967575073242
223d,63,0.005766153335571289
223l,312,0.027451753616333008
323d,125,0.009164094924926758
423d,186,0.01442098617553711
124d,16,0.00801396369934082
224d,91,0.0076558589935302734
224l,303,0.028561830520629883
324d,85,0.011809110641479492
424d,90,0.02515888214111328
125l,326,0.028048038482666016
225d,24,0.01259613037109375
225l,302,0.02838587760925293
325d,111,0.008996963500976562
425d,32,0.009534835815429688
126d,69,0.008165121078491211
126l,326,0.026985883712768555
226d,21,0.010192155838012695
226l,303,0.05774807929992676
326d,118,0.00970911979675293
426d,38,0.00850820541381836
127d,146,0.011002063751220703
127l,333,0.029650211334228516
227d,79,0.011414051055908203
227l,290,0.029024839401245117
327d,51,0.006332874298095703
427d,72,0.0063669681549072266
128d,93,0.012103080749511719
128l,327,0.027251243591308594
228l,281,0.028537988662719727
328d,101,0.014590024948120117
428d,144,0.012420177459716797
129d,89,0.01102304458618164
129l,325,0.027169227600097656
229d,17,0.012079000473022461
229l,290,0.030350923538208008
329d,65,0.011259078979492188
429d,50,0.018960952758789062
12as,861,0.13180804252624512
12ca,344,0.041506052017211914
32c2,435,0.06403303146362305
12e8,1637,0.1819472312927246
12gs,601,0.06728887557983398
22gs,731,0.07190179824829102
130d,93,0.012329816818237305
130l,331,0.029188871383666992
230d,28,0.16630983352661133
230l,288,0.027769088745117188
330d,76,0.009135961532592773
430d,47,0.011345148086547852
830c,705,0.0867300033569336
131d,78,0.0068700313568115234
131l,338,0.029633045196533203
231d,37,0.0037560462951660156
231l,191,0.02336716651916504
331d,73,0.0061719417572021484
431d,138,0.012520790100097656
132d,24,0.015184164047241211
132l,207,0.019472837448120117
232d,88,0.00679779052734375
232l,275,0.06323599815368652
332d,87,0.006996870040893555
432d,102,0.009388923645019531
133d,61,0.0053980350494384766
133l,202,0.019773006439208984
233d,91,0.011154890060424805
233l,295,0.02681112289428711
333d,15,0.003133058547973633
433d,100,0.01421809196472168
134d,25,0.012874841690063477
134l,201,0.025053977966308594
234d,56,0.0041408538818359375
234l,280,0.026885986328125
334d,85,0.01137995719909668
434d,185,0.018254995346069336
135d,25,0.01569986343383789
135l,243,0.021612167358398438
235d,45,0.00397491455078125
235l,309,0.02986598014831543
335d,77,0.006479024887084961
435d,163,0.017327070236206055
136d,25,0.2425079345703125
236d,68,0.00436091423034668
236l,305,0.026023149490356445
336d,88,0.006243228912353516
436d,260,0.017891883850097656
137d,121,0.00859379768371582
137l,571,0.05550098419189453
237d,58,0.0054416656494140625
237l,311,0.053923845291137695
337d,28,0.004711151123046875
437d,154,0.014024972915649414
138d,48,0.004416942596435547
138l,286,0.025089025497436523
238d,66,0.007388114929199219
238l,300,0.02741408348083496
338d,26,0.0036177635192871094
438d,52,0.006841897964477539
139d,28,0.06443381309509277
139l,312,0.029831886291503906
239d,43,0.005322933197021484
239l,304,0.02883315086364746
339d,23,0.0034780502319335938
439d,77,0.009924173355102539
43c9,1086,0.16631197929382324
43ca,1089,0.14768004417419434
13gs,607,0.07277917861938477
13pk,2275,0.3133969306945801
140d,26,0.01014566421508789
140l,267,0.026459217071533203
240d,92,0.009414911270141602
240l,313,0.028202056884765625
340d,27,0.0037212371826171875
440d,155,0.05486798286437988
141d,26,0.008986949920654297
141l,275,0.0272519588470459
241d,69,0.005869150161743164
241l,315,0.0269927978515625
341d,31,0.003905057907104492
441d,88,0.006202220916748047
142d,26,0.009783744812011719
142l,271,0.027653932571411133
242d,73,0.005547046661376953
242l,338,0.027901172637939453
342d,26,0.004016876220703125
442d,76,0.010859012603759766
143d,22,0.08102583885192871
143l,272,0.026678085327148438
243d,28,0.0032968521118164062
243l,307,0.027964353561401367
343d,220,0.05028581619262695
443d,71,0.01147603988647461
144d,90,0.01194000244140625
144l,269,0.024971961975097656
244d,633,0.04964876174926758
244l,296,0.027312755584716797
344d,96,0.005569934844970703
444d,34,0.011892080307006836
145d,72,0.02227020263671875
145l,240,0.02719879150390625
245d,80,0.019891977310180664
245l,313,0.036742210388183594
345d,24,0.005248069763183594
445d,25,0.009805917739868164
146d,25,0.030570030212402344
146l,265,0.03103017807006836
246d,103,0.007807254791259766
246l,318,0.058596134185791016
346d,26,0.003484964370727539
446d,109,0.02051091194152832
147l,264,0.024591922760009766
247d,34,0.004314899444580078
247l,307,0.026049137115478516
447d,37,0.010111808776855469
148d,15,0.11231684684753418
148l,310,0.030864238739013672
248d,51,0.005036115646362305
248l,306,0.0314939022064209
348d,62,0.0069370269775390625
448d,48,0.01090693473815918
149d,21,0.21257615089416504
149l,202,0.026041746139526367
249d,95,0.022568941116333008
249l,319,0.026594161987304688
349d,57,0.006082057952880859
449d,38,0.010046958923339844
14gs,395,0.06190896034240723
150d,153,0.01281285285949707
150l,814,0.1399369239807129
250d,82,0.023952960968017578
250l,308,0.026607751846313477
151d,69,0.0046198368072509766
151l,200,0.02323603630065918
251d,38,0.004728078842163086
251l,275,0.025629043579101562
351c,150,0.013091802597045898
351d,49,0.0062520503997802734
451c,156,0.01378178596496582
152d,61,0.003968954086303711
152l,217,0.026338815689086914
252d,95,0.008887052536010742
252l,302,0.030009031295776367
352d,676,0.07835006713867188
452d,38,0.005936861038208008
153d,73,0.011536359786987305
153l,367,0.031150102615356445
253d,39,0.004029989242553711
253l,292,0.025236129760742188
353d,182,0.011852025985717773
453d,199,0.015121936798095703
154d,36,0.004342079162597656
154l,352,0.02998805046081543
254d,46,0.004939079284667969
254l,325,0.028354883193969727
354d,153,0.012367725372314453
454d,459,0.049453020095825195
155c,136,0.0491788387298584
155l,288,0.028734922409057617
255d,59,0.0072479248046875
255l,315,0.025639057159423828
355d,192,0.011962890625
455d,178,0.012330055236816406
156d,24,0.10938811302185059
156l,318,0.028199195861816406
256b,383,0.03361988067626953
256d,47,0.006190061569213867
256l,296,0.03164505958557129
456c,430,0.0936429500579834
456d,198,0.013102054595947266
157d,121,0.010471343994140625
157l,313,0.02673196792602539
257d,34,0.00546717643737793
257l,278,0.02506113052368164
357d,70,0.025213003158569336
457d,96,0.011801958084106445
158d,97,0.008929014205932617
158l,294,0.028847932815551758
258d,129,0.01574397087097168
258l,273,0.02759718894958496
358d,60,0.011754989624023438
458d,129,0.011788129806518555
159d,75,0.004855155944824219
159l,316,0.030491113662719727
259d,129,0.04087495803833008
259l,246,0.026918888092041016
359d,46,0.01691603660583496
459d,137,0.012632131576538086
15c8,521,0.06812810897827148
25c8,662,0.06943321228027344
35c8,742,0.06588888168334961
160d,123,0.009496212005615234
160l,308,0.025767803192138672
260d,51,0.004343986511230469
260l,273,0.05904817581176758
360d,245,0.015390872955322266
460d,217,0.01867508888244629
161d,81,0.00988316535949707
161l,307,0.030429840087890625
261d,105,0.010712146759033203
261l,216,0.02872920036315918
361d,261,0.020001888275146484
461d,187,0.0145111083984375
162l,299,0.028126955032348633
262l,444,0.05547595024108887
362d,92,0.008734941482543945
462d,294,0.026233196258544922
163l,321,0.0612180233001709
263d,86,0.009996175765991211
363d,308,0.03580904006958008
463d,170,0.013351917266845703
164l,309,0.029751062393188477
264d,43,0.011208295822143555
364d,77,0.026046276092529297
464d,185,0.017848968505859375
165d,76,0.00817108154296875
165l,295,0.024850845336914062
265d,142,0.010891914367675781
365d,93,0.013985157012939453
465d,37,0.004128932952880859
166d,98,0.01167607307434082
166l,297,0.026720046997070312
266d,86,0.012491941452026367
366d,38,0.007760047912597656
466d,115,0.015239953994750977
966c,296,0.07025718688964844
167d,64,0.007634878158569336
167l,372,0.05048012733459473
267d,100,0.01307821273803711
367d,130,0.011033058166503906
467d,50,0.009021997451782227
168d,73,0.008836746215820312
168l,820,0.12442922592163086
268d,137,0.014637947082519531
368d,81,0.008085966110229492
468d,136,0.014444112777709961
169d,20,0.010231733322143555
169l,810,0.15902090072631836
269d,121,0.012263059616088867
369d,64,0.007329225540161133
469d,130,0.012715578079223633
16gs,717,0.07445311546325684
16pk,997,0.0803530216217041
16vp,483,0.053894996643066406
170d,24,0.048185110092163086
170l,177,0.025380849838256836
270d,148,0.01152801513671875
370d,81,0.00696110725402832
470d,149,0.014584779739379883
171d,24,0.013122081756591797
171l,162,0.025630950927734375
271d,150,0.011818885803222656
371d,53,0.007059812545776367
471d,38,0.010798931121826172
172d,172,0.01547098159790039
172l,215,0.025290966033935547
272d,64,0.007631063461303711
372d,14,0.004561185836791992
472d,46,0.0071239471435546875
173d,124,0.012190103530883789
173l,266,0.026365041732788086
473d,107,0.010818004608154297
174l,366,0.04963207244873047
274d,33,0.006114006042480469
474d,82,0.01578068733215332
175d,20,0.01116490364074707
175l,405,0.0840609073638916
275d,43,0.0052797794342041016
375d,93,0.020061969757080078
176d,12,0.0706789493560791
176l,354,0.048378944396972656
276d,52,0.004645824432373047
376d,28,0.00527191162109375
476d,149,0.014798164367675781
177d,21,0.07612895965576172
177l,171,0.024840116500854492
277d,51,0.0037949085235595703
377d,109,0.041790008544921875
477d,172,0.013062000274658203
178d,96,0.011317014694213867
178l,172,0.027334928512573242
278d,50,0.0042879581451416016
378d,92,0.01657891273498535
478d,121,0.011774063110351562
179d,8,0.028228044509887695
279d,16,0.0013456344604492188
379d,49,0.017895936965942383
479d,55,0.007978200912475586
17gs,632,0.06641697883605957
17ra,21,0.18867921829223633
180d,33,0.0059850215911865234
180l,403,0.052835702896118164
280d,206,0.02157425880432129
380d,48,0.006573200225830078
480d,111,0.012542009353637695
181d,54,0.00528717041015625
181l,302,0.02549290657043457
281d,82,0.007280111312866211
381d,40,0.0067729949951171875
481d,48,0.00401616096496582
182d,129,0.012660980224609375
182l,294,0.029002904891967773
282d,60,0.0063953399658203125
382d,49,0.004929065704345703
482d,32,0.0034160614013671875
183d,52,0.004723787307739258
183l,282,0.02732706069946289
283d,31,0.004821062088012695
383d,108,0.01013493537902832
483d,182,0.019896984100341797
184d,57,0.0045320987701416016
184l,291,0.07049798965454102
284d,133,0.011081933975219727
384d,109,0.009452104568481445
484d,44,0.572821855545044
185d,22,0.04726290702819824
185l,300,0.02536177635192871
285d,122,0.012109041213989258
385d,34,0.003994941711425781
485d,103,0.009560108184814453
186d,24,0.14950013160705566
186l,299,0.02941608428955078
286d,87,0.008077144622802734
386d,29,0.0036270618438720703
486d,346,0.09755682945251465
187d,47,0.0036847591400146484
187l,292,0.029685020446777344
287d,161,0.014429807662963867
387d,32,0.011390924453735352
487d,1023,0.21091699600219727
188d,50,0.0041391849517822266
188l,297,0.0261991024017334
288d,53,0.003761768341064453
388d,202,0.012740135192871094
488d,74,0.024629831314086914
189d,48,0.0039010047912597656
189l,200,0.02791595458984375
289d,76,0.010518789291381836
389d,211,0.012562990188598633
28dn,64,0.004992961883544922
18gs,977,0.0729379653930664
28sp,28,0.1454610824584961
28sr,28,0.01636981964111328
190d,78,0.020910024642944336
190l,289,0.0277707576751709
290d,89,0.0123291015625
390d,60,0.007530927658081055
1914,190,0.024248123168945312
191d,82,0.009083747863769531
191l,300,0.027322769165039062
291d,91,0.012022018432617188
391d,53,0.01499485969543457
192d,51,0.008986711502075195
192l,282,0.028778076171875
292d,97,0.0065381526947021484
392d,25,0.00986790657043457
193d,26,0.08904194831848145
193l,273,0.02470231056213379
