STR_ID,STR_LEN,STR_TIME
100d,88,0.17732715606689453
200d,38,0.11517214775085449
200l,272,0.3769190311431885
300d,47,0.2503070831298828
400d,47,0.11311697959899902
101d,62,0.20395302772521973
101m,295,0.3858778476715088
201d,28,1.2454800605773926
201l,452,0.7117612361907959
301d,46,0.25481700897216797
401d,44,0.12737107276916504
102d,98,0.19914007186889648
102l,299,0.39436912536621094
102m,311,0.38114023208618164
202d,18,0.6082050800323486
302d,110,0.205794095993042
402d,46,0.12325930595397949
103d,24,0.2015531063079834
103l,290,0.40396809577941895
103m,272,0.4211881160736084
203d,17,4.919417142868042
303d,110,0.22069621086120605
403d,154,0.22111082077026367
104d,24,0.2112891674041748
104l,360,0.6640350818634033
104m,335,0.3937957286834717
204d,17,4.807220935821533
304d,52,0.12025022506713867
404d,29,0.15575003623962402
105d,12,0.6496520042419434
105m,271,0.378154993057251
205d,63,0.1879899501800537
205l,277,0.3972768783569336
305d,50,0.1273970603942871
405d,48,0.20530200004577637
106d,12,0.676703929901123
106m,300,0.3871786594390869
206d,31,0.13269519805908203
206l,302,0.3991067409515381
306d,72,0.11475110054016113
406d,68,0.7999429702758789
107d,15,0.47286081314086914
107l,317,0.40976476669311523
107m,292,0.38413500785827637
207d,46,2.2187130451202393
207l,254,0.35086536407470703
307d,198,0.3850517272949219
407d,88,0.17830896377563477
108d,17,5.426780939102173
108l,336,0.40471696853637695
108m,243,0.360943078994751
208d,106,0.15745878219604492
208l,171,0.3005387783050537
308d,124,0.17281389236450195
408d,109,0.19702696800231934
109d,116,0.20906496047973633
109l,318,0.41730713844299316
109m,354,0.4664418697357178
209d,110,0.26579880714416504
209l,186,0.3628671169281006
309d,88,0.16094183921813965
409d,74,0.29976391792297363
10gs,589,0.8907630443572998
20gs,521,0.8422579765319824
10mh,481,0.8835670948028564
110d,56,0.10878586769104004
110l,303,0.4036269187927246
110m,336,0.4122931957244873
210d,31,0.0912179946899414
210l,273,0.38748979568481445
310d,58,0.22054195404052734
410d,161,0.19192171096801758
111d,86,0.18632912635803223
111l,325,0.39255499839782715
111m,311,0.4301631450653076
211d,31,0.09126400947570801
211l,298,0.40439820289611816
311d,102,0.19063019752502441
411d,78,0.1579289436340332
112d,107,0.19721126556396484
112l,314,0.4029810428619385
112m,294,0.39488816261291504
212d,79,0.13565611839294434
212l,324,0.4079720973968506
312d,85,0.13112378120422363
412d,127,0.1662278175354004
113d,96,0.17856097221374512
113l,315,0.4001948833465576
213d,123,0.1793968677520752
213l,238,0.3669581413269043
313d,71,0.14301609992980957
413d,50,0.13197088241577148
114d,88,0.18454313278198242
114l,314,0.40666794776916504
214d,22,6.054227113723755
214l,224,0.37749767303466797
314d,65,0.13507699966430664
414d,156,0.27193379402160645
115d,101,0.16356515884399414
115l,310,0.393643856048584
215d,54,0.1087028980255127
215l,271,0.38567399978637695
315d,85,0.1497800350189209
116d,52,0.19294214248657227
216d,53,0.11450791358947754
216l,348,0.6586158275604248
316d,27,0.19413995742797852
117d,45,0.12336897850036621
117e,1029,1.2861120700836182
217d,55,0.10701179504394531
217l,343,0.4038071632385254
317d,54,0.108154296875
417d,70,0.12586688995361328
118d,50,0.10367298126220703
118l,334,0.39612412452697754
218d,98,0.18044304847717285
218l,239,0.37638092041015625
318d,126,0.18313288688659668
418d,44,0.12421202659606934
119d,162,0.21791386604309082
119l,327,0.40062403678894043
219d,20,0.15134787559509277
219l,292,0.3986470699310303
319d,113,0.1769428253173828
419d,95,0.20038223266601562
11as,740,1.2193872928619385
11ba,361,0.5124998092651367
11bg,384,0.5196568965911865
21bi,151,0.31165385246276855
31bi,149,0.2922959327697754
41bi,151,0.29409074783325195
11gs,596,0.8707094192504883
120l,343,0.4032876491546631
220d,59,0.1264340877532959
220l,279,0.38177490234375
320d,97,0.17231392860412598
420d,89,0.20820093154907227
121d,72,0.1932370662689209
121p,363,0.40152812004089355
221d,105,0.1822216510772705
221l,300,0.4295790195465088
221p,378,0.41308021545410156
321d,108,0.16962099075317383
421d,74,0.1794719696044922
421p,370,0.40537500381469727
521p,168,0.353193998336792
621p,394,0.4342501163482666
721p,359,0.4328601360321045
821p,286,0.5114398002624512
122d,57,0.18048596382141113
122l,327,0.395427942276001
222d,94,0.17351794242858887
222l,289,0.3870370388031006
322d,96,0.1579282283782959
422d,51,0.15386199951171875
123d,100,0.1651756763458252
123l,324,0.3758721351623535
223d,63,0.12966680526733398
223l,312,0.3978230953216553
323d,125,0.1822509765625
423d,186,0.22338509559631348
124d,16,0.13831782341003418
224d,91,0.14980697631835938
224l,303,0.4329681396484375
324d,85,0.16337800025939941
424d,90,0.38779497146606445
125l,326,0.3796238899230957
225d,24,0.20055389404296875
225l,302,0.405170202255249
325d,111,0.17276382446289062
425d,32,0.14898085594177246
126d,69,0.180495023727417
126l,326,0.3666346073150635
226d,21,0.16191697120666504
226l,303,0.37483978271484375
326d,118,0.18848681449890137
426d,38,0.14113712310791016
127d,146,0.20499515533447266
127l,333,0.3881990909576416
227d,79,0.17966103553771973
227l,290,0.3804049491882324
327d,51,0.11599993705749512
427d,72,0.11621809005737305
128d,93,0.18946480751037598
128l,327,0.3783140182495117
228l,281,0.3839550018310547
328d,101,0.20099687576293945
428d,144,0.1872391700744629
129d,89,0.18906283378601074
129l,325,0.4057750701904297
229d,17,0.16522502899169922
229l,290,0.38283586502075195
329d,65,0.1770639419555664
429d,50,0.27532315254211426
12as,861,1.3010010719299316
12ca,344,0.5180611610412598
32c2,435,0.8140039443969727
12e8,1637,1.7796337604522705
12gs,601,0.855194091796875
