>> START_DIR: ./data/a/a0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1a00 |STR_LEN: 794 |STR_TIME: 0.10735487937927246
> STR_ID: 1a01 |STR_LEN: 776 |STR_TIME: 0.10008120536804199
> STR_ID: 1a02 |STR_LEN: 513 |STR_TIME: 0.11949300765991211
> STR_ID: 1a03 |STR_LEN: 180 |STR_TIME: 1.4005818367004395
> STR_ID: 1a04 |STR_LEN: 771 |STR_TIME: 0.07024192810058594
> STR_ID: 1a05 |STR_LEN: 1222 |STR_TIME: 0.2137761116027832
> STR_ID: 1a06 |STR_LEN: 401 |STR_TIME: 0.04444599151611328
> STR_ID: 1a07 |STR_LEN: 267 |STR_TIME: 0.04200291633605957
> STR_ID: 1a08 |STR_LEN: 244 |STR_TIME: 0.04253792762756348
> STR_ID: 1a09 |STR_LEN: 410 |STR_TIME: 0.05008506774902344
> STR_ID: 1a0a |STR_LEN: 240 |STR_TIME: 0.03532290458679199
> STR_ID: 1a0b |STR_LEN: 239 |STR_TIME: 0.01980423927307129
> STR_ID: 1a0c |STR_LEN: 2872 |STR_TIME: 0.3363938331604004
> STR_ID: 1a0d |STR_LEN: 1996 |STR_TIME: 0.31862664222717285
> STR_ID: 1a0e |STR_LEN: 1148 |STR_TIME: 0.19374895095825195
> STR_ID: 1a0f |STR_LEN: 578 |STR_TIME: 0.06890082359313965
> STR_ID: 1a0g |STR_LEN: 730 |STR_TIME: 0.09416699409484863
> STR_ID: 1a0h |STR_LEN: 929 |STR_TIME: 0.19046306610107422
> STR_ID: 1a0i |STR_LEN: 526 |STR_TIME: 0.0568850040435791
> STR_ID: 1a0j |STR_LEN: 1286 |STR_TIME: 0.1506500244140625
> STR_ID: 1a0k |STR_LEN: 156 |STR_TIME: 0.022693872451782227
> STR_ID: 1a0l |STR_LEN: 1076 |STR_TIME: 0.1991431713104248
> STR_ID: 1a0m |STR_LEN: 76 |STR_TIME: 0.005287885665893555
> STR_ID: 1a0n |STR_LEN: 72 |STR_TIME: 0.5934579372406006
> STR_ID: 1a0o |STR_LEN: 789 |STR_TIME: 0.14673089981079102
> STR_ID: 1a0p |STR_LEN: 376 |STR_TIME: 0.042604684829711914
> STR_ID: 1a0q |STR_LEN: 512 |STR_TIME: 0.06458711624145508
> STR_ID: 1a0r |STR_LEN: 615 |STR_TIME: 0.09598398208618164
> STR_ID: 1a0s |STR_LEN: 1572 |STR_TIME: 0.2840101718902588
> STR_ID: 1a0t |STR_LEN: 1578 |STR_TIME: 0.24164724349975586
> STR_ID: 1a0u |STR_LEN: 771 |STR_TIME: 0.0956721305847168
> STR_ID: 1a0z |STR_LEN: 796 |STR_TIME: 0.09989404678344727
> STR_ID: 2a00 |STR_LEN: 137 |STR_TIME: 1.029167890548706
> STR_ID: 2a01 |STR_LEN: 1273 |STR_TIME: 0.13732600212097168
> STR_ID: 2a02 |STR_LEN: 82 |STR_TIME: 0.6299540996551514
> STR_ID: 2a03 |STR_LEN: 653 |STR_TIME: 0.1002659797668457
> STR_ID: 2a04 |STR_LEN: 84 |STR_TIME: 0.027081012725830078
> STR_ID: 2a05 |STR_LEN: 57 |STR_TIME: 0.46173095703125
> STR_ID: 2a06 |STR_LEN: 5735 |STR_TIME: 0.8299810886383057
> STR_ID: 2a07 |STR_LEN: 1158 |STR_TIME: 0.13145804405212402
> STR_ID: 2a08 |STR_LEN: 345 |STR_TIME: 0.11444211006164551
> STR_ID: 2a0a |STR_LEN: 131 |STR_TIME: 0.42221593856811523
> STR_ID: 2a0b |STR_LEN: 275 |STR_TIME: 0.02377915382385254
> STR_ID: 2a0c |STR_LEN: 429 |STR_TIME: 0.04970216751098633
> STR_ID: 2a0f |STR_LEN: 1294 |STR_TIME: 0.14751887321472168
> STR_ID: 2a0i |STR_LEN: 372 |STR_TIME: 0.10354113578796387
> STR_ID: 2a0j |STR_LEN: 192 |STR_TIME: 0.022326231002807617
> STR_ID: 2a0k |STR_LEN: 736 |STR_TIME: 0.05817985534667969
> STR_ID: 2a0l |STR_LEN: 874 |STR_TIME: 0.13506007194519043
> STR_ID: 2a0m |STR_LEN: 501 |STR_TIME: 0.04724693298339844
> STR_ID: 2a0n |STR_LEN: 539 |STR_TIME: 0.0902869701385498
> STR_ID: 2a0p |STR_LEN: 85 |STR_TIME: 0.010133028030395508
> STR_ID: 2a0q |STR_LEN: 860 |STR_TIME: 0.09113907814025879
> STR_ID: 2a0s |STR_LEN: 516 |STR_TIME: 0.060330867767333984
> STR_ID: 2a0t |STR_LEN: 161 |STR_TIME: 1.2420248985290527
> STR_ID: 2a0u |STR_LEN: 1059 |STR_TIME: 0.11432766914367676
> STR_ID: 2a0w |STR_LEN: 363 |STR_TIME: 0.13060975074768066
> STR_ID: 2a0x |STR_LEN: 345 |STR_TIME: 0.042755126953125
> STR_ID: 2a0y |STR_LEN: 331 |STR_TIME: 0.04102897644042969
> STR_ID: 2a0z |STR_LEN: 1067 |STR_TIME: 0.11910080909729004
> STR_ID: 3a01 |STR_LEN: 332 |STR_TIME: 0.06691098213195801
> STR_ID: 3a02 |STR_LEN: 152 |STR_TIME: 0.04699277877807617
> STR_ID: 3a03 |STR_LEN: 162 |STR_TIME: 0.012160062789916992
> STR_ID: 3a04 |STR_LEN: 699 |STR_TIME: 0.05948686599731445
> STR_ID: 3a05 |STR_LEN: 606 |STR_TIME: 0.05922985076904297
> STR_ID: 3a06 |STR_LEN: 863 |STR_TIME: 0.11542677879333496
> STR_ID: 3a07 |STR_LEN: 557 |STR_TIME: 0.0704050064086914
> STR_ID: 3a08 |STR_LEN: 380 |STR_TIME: 0.025786876678466797
> STR_ID: 3a09 |STR_LEN: 1260 |STR_TIME: 0.11856293678283691
> STR_ID: 3a0a |STR_LEN: 363 |STR_TIME: 0.024347782135009766
> STR_ID: 3a0b |STR_LEN: 5372 |STR_TIME: 1.1301660537719727
> STR_ID: 3a0c |STR_LEN: 537 |STR_TIME: 0.06427311897277832
> STR_ID: 3a0d |STR_LEN: 229 |STR_TIME: 0.01851511001586914
> STR_ID: 3a0e |STR_LEN: 252 |STR_TIME: 0.021175861358642578
> STR_ID: 3a0f |STR_LEN: 860 |STR_TIME: 0.19921398162841797
> STR_ID: 3a0g |STR_LEN: 334 |STR_TIME: 0.05418229103088379
> STR_ID: 3a0h |STR_LEN: 5382 |STR_TIME: 1.1665050983428955
> STR_ID: 3a0i |STR_LEN: 588 |STR_TIME: 0.07208991050720215
> STR_ID: 3a0j |STR_LEN: 331 |STR_TIME: 0.025740861892700195
> STR_ID: 3a0k |STR_LEN: 1654 |STR_TIME: 0.2440662384033203
> STR_ID: 3a0m |STR_LEN: 428 |STR_TIME: 0.0322270393371582
> STR_ID: 3a0n |STR_LEN: 723 |STR_TIME: 0.05442619323730469
> STR_ID: 3a0o |STR_LEN: 2596 |STR_TIME: 0.3326680660247803
> STR_ID: 3a0r |STR_LEN: 451 |STR_TIME: 0.07374191284179688
> STR_ID: 3a0s |STR_LEN: 152 |STR_TIME: 0.017744064331054688
> STR_ID: 3a0t |STR_LEN: 262 |STR_TIME: 0.029056072235107422
> STR_ID: 3a0u |STR_LEN: 213 |STR_TIME: 0.02238607406616211
> STR_ID: 3a0v |STR_LEN: 210 |STR_TIME: 0.019481658935546875
> STR_ID: 3a0w |STR_LEN: 535 |STR_TIME: 0.10531401634216309
> STR_ID: 3a0x |STR_LEN: 245 |STR_TIME: 0.0235748291015625
> STR_ID: 3a0y |STR_LEN: 465 |STR_TIME: 0.05539989471435547
> STR_ID: 3a0z |STR_LEN: 585 |STR_TIME: 0.05675196647644043
> STR_ID: 4a00 |STR_LEN: 550 |STR_TIME: 0.06595015525817871
> STR_ID: 4a01 |STR_LEN: 2095 |STR_TIME: 0.27243518829345703
> STR_ID: 4a02 |STR_LEN: 452 |STR_TIME: 0.04242682456970215
> STR_ID: 4a03 |STR_LEN: 1292 |STR_TIME: 0.16742992401123047
> STR_ID: 4a04 |STR_LEN: 484 |STR_TIME: 0.09863400459289551
> STR_ID: 4a05 |STR_LEN: 690 |STR_TIME: 0.08246517181396484
> STR_ID: 4a06 |STR_LEN: 402 |STR_TIME: 0.057891845703125
> STR_ID: 4a07 |STR_LEN: 503 |STR_TIME: 0.13908004760742188
> STR_ID: 4a08 |STR_LEN: 1484 |STR_TIME: 0.22513103485107422
> STR_ID: 4a09 |STR_LEN: 1511 |STR_TIME: 0.27242493629455566
> STR_ID: 4a0a |STR_LEN: 1167 |STR_TIME: 0.23381400108337402
> STR_ID: 4a0b |STR_LEN: 2948 |STR_TIME: 0.7360420227050781
> STR_ID: 4a0c |STR_LEN: 3872 |STR_TIME: 0.7737200260162354
> STR_ID: 4a0d |STR_LEN: 925 |STR_TIME: 0.11690497398376465
> STR_ID: 4a0e |STR_LEN: 304 |STR_TIME: 0.043077707290649414
> STR_ID: 4a0f |STR_LEN: 1582 |STR_TIME: 0.4133150577545166
> STR_ID: 4a0g |STR_LEN: 3360 |STR_TIME: 0.6977307796478271
> STR_ID: 4a0h |STR_LEN: 1494 |STR_TIME: 0.3671607971191406
> STR_ID: 4a0i |STR_LEN: 283 |STR_TIME: 0.04914283752441406
> STR_ID: 4a0j |STR_LEN: 294 |STR_TIME: 0.05477762222290039
> STR_ID: 4a0k |STR_LEN: 2224 |STR_TIME: 0.5706799030303955
> STR_ID: 4a0l |STR_LEN: 4428 |STR_TIME: 1.1224451065063477
> STR_ID: 4a0m |STR_LEN: 2519 |STR_TIME: 0.4016110897064209
> STR_ID: 4a0n |STR_LEN: 136 |STR_TIME: 0.02322077751159668
> STR_ID: 4a0o |STR_LEN: 7587 |STR_TIME: 1.4048829078674316
> STR_ID: 4a0p |STR_LEN: 1060 |STR_TIME: 0.17153716087341309
> STR_ID: 4a0q |STR_LEN: 565 |STR_TIME: 0.06319689750671387
> STR_ID: 4a0r |STR_LEN: 1630 |STR_TIME: 0.40751099586486816
> STR_ID: 4a0s |STR_LEN: 3678 |STR_TIME: 0.42635536193847656
> STR_ID: 4a0t |STR_LEN: 1307 |STR_TIME: 0.13973784446716309
> STR_ID: 4a0u |STR_LEN: 1464 |STR_TIME: 0.10846090316772461
> STR_ID: 4a0v |STR_LEN: 7959 |STR_TIME: 1.4858300685882568
> STR_ID: 4a0w |STR_LEN: 8076 |STR_TIME: 1.5125439167022705
> STR_ID: 4a0x |STR_LEN: 212 |STR_TIME: 0.03350496292114258
> STR_ID: 4a0y |STR_LEN: 363 |STR_TIME: 0.055824995040893555
> STR_ID: 4a0z |STR_LEN: 473 |STR_TIME: 0.23379111289978027
> STR_ID: 5a00 |STR_LEN: 365 |STR_TIME: 0.05394101142883301
> STR_ID: 5a01 |STR_LEN: 2104 |STR_TIME: 0.3576087951660156
