>> START_DIR: ./data/z/z0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1z00 |STR_LEN: 168 |STR_TIME: 1.5492990016937256
> STR_ID: 1z01 |STR_LEN: 6337 |STR_TIME: 0.5885517597198486
> STR_ID: 1z02 |STR_LEN: 7663 |STR_TIME: 0.7339737415313721
> STR_ID: 1z03 |STR_LEN: 6213 |STR_TIME: 0.6149909496307373
> STR_ID: 1z05 |STR_LEN: 801 |STR_TIME: 0.0687861442565918
> STR_ID: 1z06 |STR_LEN: 278 |STR_TIME: 0.025136232376098633
> STR_ID: 1z07 |STR_LEN: 410 |STR_TIME: 0.027406930923461914
> STR_ID: 1z08 |STR_LEN: 1668 |STR_TIME: 0.22139406204223633
> STR_ID: 1z09 |STR_LEN: 192 |STR_TIME: 0.6032238006591797
> STR_ID: 1z0a |STR_LEN: 1197 |STR_TIME: 0.14217114448547363
> STR_ID: 1z0b |STR_LEN: 416 |STR_TIME: 0.0304410457611084
> STR_ID: 1z0c |STR_LEN: 341 |STR_TIME: 0.028570890426635742
> STR_ID: 1z0d |STR_LEN: 744 |STR_TIME: 0.057589054107666016
> STR_ID: 1z0e |STR_LEN: 1721 |STR_TIME: 0.24582886695861816
> STR_ID: 1z0f |STR_LEN: 257 |STR_TIME: 0.028254032135009766
> STR_ID: 1z0g |STR_LEN: 2269 |STR_TIME: 0.22376108169555664
> STR_ID: 1z0h |STR_LEN: 1292 |STR_TIME: 0.15381217002868652
> STR_ID: 1z0i |STR_LEN: 307 |STR_TIME: 0.024181127548217773
> STR_ID: 1z0j |STR_LEN: 525 |STR_TIME: 0.038307905197143555
> STR_ID: 1z0k |STR_LEN: 921 |STR_TIME: 0.11627078056335449
> STR_ID: 1z0m |STR_LEN: 451 |STR_TIME: 0.04535484313964844
> STR_ID: 1z0n |STR_LEN: 557 |STR_TIME: 0.047853946685791016
> STR_ID: 1z0p |STR_LEN: 139 |STR_TIME: 0.012469053268432617
> STR_ID: 1z0q |STR_LEN: 42 |STR_TIME: 0.34902095794677734
> STR_ID: 1z0r |STR_LEN: 106 |STR_TIME: 0.252687931060791
> STR_ID: 1z0s |STR_LEN: 1415 |STR_TIME: 0.16184711456298828
> STR_ID: 1z0t |STR_LEN: 2266 |STR_TIME: 0.25426816940307617
> STR_ID: 1z0u |STR_LEN: 765 |STR_TIME: 0.07580327987670898
> STR_ID: 1z0v |STR_LEN: 1672 |STR_TIME: 0.22719168663024902
> STR_ID: 1z0w |STR_LEN: 433 |STR_TIME: 0.04007387161254883
> STR_ID: 1z0x |STR_LEN: 593 |STR_TIME: 0.06409502029418945
> STR_ID: 1z0z |STR_LEN: 1118 |STR_TIME: 0.19579696655273438
> STR_ID: 2z00 |STR_LEN: 821 |STR_TIME: 0.06751108169555664
> STR_ID: 2z01 |STR_LEN: 376 |STR_TIME: 0.04496121406555176
> STR_ID: 2z02 |STR_LEN: 789 |STR_TIME: 0.07920098304748535
> STR_ID: 2z04 |STR_LEN: 676 |STR_TIME: 0.13414406776428223
> STR_ID: 2z06 |STR_LEN: 1382 |STR_TIME: 0.15413928031921387
> STR_ID: 2z07 |STR_LEN: 1129 |STR_TIME: 0.1608898639678955
> STR_ID: 2z08 |STR_LEN: 231 |STR_TIME: 0.02074575424194336
> STR_ID: 2z09 |STR_LEN: 213 |STR_TIME: 0.0176999568939209
> STR_ID: 2z0a |STR_LEN: 579 |STR_TIME: 0.04810285568237305
> STR_ID: 2z0b |STR_LEN: 1113 |STR_TIME: 0.10161995887756348
> STR_ID: 2z0d |STR_LEN: 739 |STR_TIME: 0.11171913146972656
> STR_ID: 2z0e |STR_LEN: 617 |STR_TIME: 0.06412482261657715
> STR_ID: 2z0f |STR_LEN: 1298 |STR_TIME: 0.14145398139953613
> STR_ID: 2z0g |STR_LEN: 531 |STR_TIME: 0.055693864822387695
> STR_ID: 2z0i |STR_LEN: 607 |STR_TIME: 0.11680006980895996
> STR_ID: 2z0j |STR_LEN: 3025 |STR_TIME: 0.3027918338775635
> STR_ID: 2z0k |STR_LEN: 288 |STR_TIME: 0.02350592613220215
> STR_ID: 2z0l |STR_LEN: 2522 |STR_TIME: 0.4068431854248047
> STR_ID: 2z0m |STR_LEN: 601 |STR_TIME: 0.05799722671508789
> STR_ID: 2z0n |STR_LEN: 331 |STR_TIME: 0.03864908218383789
> STR_ID: 2z0o |STR_LEN: 423 |STR_TIME: 0.0579829216003418
> STR_ID: 2z0p |STR_LEN: 711 |STR_TIME: 0.1557629108428955
> STR_ID: 2z0q |STR_LEN: 685 |STR_TIME: 0.05777096748352051
> STR_ID: 2z0r |STR_LEN: 1486 |STR_TIME: 0.21178007125854492
> STR_ID: 2z0s |STR_LEN: 175 |STR_TIME: 0.025462865829467773
> STR_ID: 2z0t |STR_LEN: 1040 |STR_TIME: 0.0809319019317627
> STR_ID: 2z0u |STR_LEN: 374 |STR_TIME: 0.0403289794921875
> STR_ID: 2z0v |STR_LEN: 537 |STR_TIME: 0.06460022926330566
> STR_ID: 2z0w |STR_LEN: 87 |STR_TIME: 0.009795904159545898
> STR_ID: 2z0x |STR_LEN: 413 |STR_TIME: 0.028706789016723633
> STR_ID: 2z0y |STR_LEN: 418 |STR_TIME: 0.10167670249938965
> STR_ID: 2z0z |STR_LEN: 533 |STR_TIME: 0.03442192077636719
> STR_ID: 4z02 |STR_LEN: 330 |STR_TIME: 0.04415321350097656
> STR_ID: 4z03 |STR_LEN: 988 |STR_TIME: 0.09155392646789551
> STR_ID: 4z04 |STR_LEN: 250 |STR_TIME: 0.024255037307739258
> STR_ID: 4z05 |STR_LEN: 897 |STR_TIME: 0.10553908348083496
> STR_ID: 4z06 |STR_LEN: 893 |STR_TIME: 0.07337713241577148
> STR_ID: 4z07 |STR_LEN: 982 |STR_TIME: 0.1223609447479248
> STR_ID: 4z08 |STR_LEN: 408 |STR_TIME: 0.07308697700500488
> STR_ID: 4z09 |STR_LEN: 460 |STR_TIME: 0.05398702621459961
> STR_ID: 4z0b |STR_LEN: 425 |STR_TIME: 0.05984616279602051
> STR_ID: 4z0c |STR_LEN: 1837 |STR_TIME: 0.34845495223999023
> STR_ID: 4z0d |STR_LEN: 488 |STR_TIME: 0.05504179000854492
> STR_ID: 4z0e |STR_LEN: 515 |STR_TIME: 0.05546379089355469
> STR_ID: 4z0f |STR_LEN: 455 |STR_TIME: 0.09093499183654785
> STR_ID: 4z0g |STR_LEN: 1427 |STR_TIME: 0.27634406089782715
> STR_ID: 4z0h |STR_LEN: 859 |STR_TIME: 0.09625697135925293
> STR_ID: 4z0i |STR_LEN: 1385 |STR_TIME: 0.09617304801940918
> STR_ID: 4z0j |STR_LEN: 807 |STR_TIME: 0.11773896217346191
> STR_ID: 4z0k |STR_LEN: 638 |STR_TIME: 0.10511922836303711
> STR_ID: 4z0l |STR_LEN: 2889 |STR_TIME: 0.5395948886871338
> STR_ID: 4z0m |STR_LEN: 1258 |STR_TIME: 0.10115694999694824
> STR_ID: 4z0n |STR_LEN: 762 |STR_TIME: 0.06281709671020508
> STR_ID: 4z0o |STR_LEN: 123 |STR_TIME: 0.012091875076293945
> STR_ID: 4z0p |STR_LEN: 752 |STR_TIME: 0.06590795516967773
> STR_ID: 4z0q |STR_LEN: 457 |STR_TIME: 0.10224318504333496
> STR_ID: 4z0r |STR_LEN: 340 |STR_TIME: 0.03906607627868652
> STR_ID: 4z0s |STR_LEN: 577 |STR_TIME: 0.06602334976196289
> STR_ID: 4z0t |STR_LEN: 473 |STR_TIME: 0.046569108963012695
> STR_ID: 4z0u |STR_LEN: 401 |STR_TIME: 0.04872918128967285
> STR_ID: 4z0v |STR_LEN: 801 |STR_TIME: 0.0994868278503418
> STR_ID: 4z0w |STR_LEN: 54 |STR_TIME: 0.014070987701416016
> STR_ID: 4z0x |STR_LEN: 358 |STR_TIME: 0.06268811225891113
> STR_ID: 4z0y |STR_LEN: 3512 |STR_TIME: 0.5698380470275879
> STR_ID: 4z0z |STR_LEN: 3472 |STR_TIME: 0.5486469268798828
>> FINISH_DIR: ./data/z/z0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 97 |DIR_TIME: 15.214156150817871 

>> START_DIR: ./data/z/z1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1z10 |STR_LEN: 2683 |STR_TIME: 0.35178184509277344
> STR_ID: 1z11 |STR_LEN: 2371 |STR_TIME: 0.3402857780456543
