>> START_DIR: ./data/m/m0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1m00 |STR_LEN: 1324 |STR_TIME: 2.5288760662078857
> STR_ID: 1m01 |STR_LEN: 787 |STR_TIME: 0.9820852279663086
> STR_ID: 1m02 |STR_LEN: 12 |STR_TIME: 0.8875908851623535
> STR_ID: 1m03 |STR_LEN: 801 |STR_TIME: 0.9909400939941406
> STR_ID: 1m04 |STR_LEN: 792 |STR_TIME: 0.9931058883666992
> STR_ID: 1m05 |STR_LEN: 1550 |STR_TIME: 1.663036823272705
> STR_ID: 1m06 |STR_LEN: 643 |STR_TIME: 1.232436180114746
> STR_ID: 1m07 |STR_LEN: 553 |STR_TIME: 0.5884699821472168
> STR_ID: 1m08 |STR_LEN: 490 |STR_TIME: 0.5742802619934082
> STR_ID: 1m0b |STR_LEN: 353 |STR_TIME: 0.48659515380859375
> STR_ID: 1m0d |STR_LEN: 1001 |STR_TIME: 1.122838020324707
> STR_ID: 1m0e |STR_LEN: 597 |STR_TIME: 0.877448320388794
> STR_ID: 1m0f |STR_LEN: 1179 |STR_TIME: 0.44318199157714844
> STR_ID: 1m0g |STR_LEN: 34 |STR_TIME: 1.5486342906951904
> STR_ID: 1m0i |STR_LEN: 572 |STR_TIME: 0.9496629238128662
> STR_ID: 1m0j |STR_LEN: 31 |STR_TIME: 1.4301891326904297
> STR_ID: 1m0k |STR_LEN: 260 |STR_TIME: 1.0192954540252686
> STR_ID: 1m0l |STR_LEN: 260 |STR_TIME: 0.5433640480041504
> STR_ID: 1m0m |STR_LEN: 260 |STR_TIME: 0.9752676486968994
> STR_ID: 1m0n |STR_LEN: 644 |STR_TIME: 0.8359098434448242
> STR_ID: 1m0o |STR_LEN: 602 |STR_TIME: 0.8085851669311523
> STR_ID: 1m0p |STR_LEN: 572 |STR_TIME: 0.8152928352355957
> STR_ID: 1m0q |STR_LEN: 669 |STR_TIME: 0.8611757755279541
> STR_ID: 1m0s |STR_LEN: 772 |STR_TIME: 0.9232299327850342
> STR_ID: 1m0t |STR_LEN: 1413 |STR_TIME: 1.8968608379364014
> STR_ID: 1m0u |STR_LEN: 713 |STR_TIME: 0.862170934677124
> STR_ID: 1m0v |STR_LEN: 139 |STR_TIME: 8.738394975662231
> STR_ID: 1m0w |STR_LEN: 1722 |STR_TIME: 2.0868968963623047
> STR_ID: 1m0z |STR_LEN: 1212 |STR_TIME: 1.1288139820098877
> STR_ID: 2m00 |STR_LEN: 149 |STR_TIME: 9.900460004806519
> STR_ID: 2m01 |STR_LEN: 59 |STR_TIME: 3.658504009246826
> STR_ID: 2m02 |STR_LEN: 71 |STR_TIME: 2.236469030380249
> STR_ID: 2m03 |STR_LEN: 177 |STR_TIME: 11.58274793624878
> STR_ID: 2m04 |STR_LEN: 199 |STR_TIME: 13.140429973602295
> STR_ID: 2m05 |STR_LEN: 65 |STR_TIME: 4.2566587924957275
> STR_ID: 2m06 |STR_LEN: 148 |STR_TIME: 9.340543031692505
> STR_ID: 2m07 |STR_LEN: 148 |STR_TIME: 9.178609132766724
> STR_ID: 2m08 |STR_LEN: 93 |STR_TIME: 6.12711501121521
> STR_ID: 2m09 |STR_LEN: 121 |STR_TIME: 4.170212745666504
> STR_ID: 2m0a |STR_LEN: 114 |STR_TIME: 7.7472310066223145
> STR_ID: 2m0b |STR_LEN: 88 |STR_TIME: 5.83678412437439
> STR_ID: 2m0c |STR_LEN: 75 |STR_TIME: 5.487797975540161
> STR_ID: 2m0d |STR_LEN: 31 |STR_TIME: 2.184885263442993
> STR_ID: 2m0e |STR_LEN: 30 |STR_TIME: 2.014522075653076
> STR_ID: 2m0f |STR_LEN: 30 |STR_TIME: 2.0204410552978516
> STR_ID: 2m0g |STR_LEN: 249 |STR_TIME: 8.447150945663452
> STR_ID: 2m0h |STR_LEN: 22 |STR_TIME: 0.7895240783691406
> STR_ID: 2m0j |STR_LEN: 180 |STR_TIME: 11.549330949783325
> STR_ID: 2m0k |STR_LEN: 180 |STR_TIME: 11.301914930343628
> STR_ID: 2m0m |STR_LEN: 214 |STR_TIME: 6.197763204574585
> STR_ID: 2m0n |STR_LEN: 112 |STR_TIME: 7.069744825363159
> STR_ID: 2m0o |STR_LEN: 90 |STR_TIME: 5.747309923171997
> STR_ID: 2m0p |STR_LEN: 47 |STR_TIME: 2.792785167694092
> STR_ID: 2m0q |STR_LEN: 123 |STR_TIME: 4.292258977890015
> STR_ID: 2m0r |STR_LEN: 208 |STR_TIME: 20.49914002418518
> STR_ID: 2m0s |STR_LEN: 28 |STR_TIME: 0.9341919422149658
> STR_ID: 2m0t |STR_LEN: 117 |STR_TIME: 7.638020038604736
> STR_ID: 2m0u |STR_LEN: 122 |STR_TIME: 7.861074209213257
> STR_ID: 2m0v |STR_LEN: 133 |STR_TIME: 8.3766930103302
> STR_ID: 2m0w |STR_LEN: 23 |STR_TIME: 1.4944751262664795
> STR_ID: 2m0x |STR_LEN: 76 |STR_TIME: 2.449908971786499
> STR_ID: 2m0y |STR_LEN: 74 |STR_TIME: 5.079178094863892
> STR_ID: 2m0z |STR_LEN: 98 |STR_TIME: 6.158567905426025
> STR_ID: 3m00 |STR_LEN: 906 |STR_TIME: 1.1123242378234863
> STR_ID: 3m01 |STR_LEN: 694 |STR_TIME: 1.0630762577056885
> STR_ID: 3m02 |STR_LEN: 701 |STR_TIME: 1.186161994934082
> STR_ID: 3m03 |STR_LEN: 334 |STR_TIME: 0.9104900360107422
> STR_ID: 3m04 |STR_LEN: 491 |STR_TIME: 0.9905517101287842
> STR_ID: 3m05 |STR_LEN: 309 |STR_TIME: 0.9844751358032227
> STR_ID: 3m06 |STR_LEN: 433 |STR_TIME: 0.6563010215759277
> STR_ID: 3m07 |STR_LEN: 1214 |STR_TIME: 1.3647239208221436
> STR_ID: 3m08 |STR_LEN: 335 |STR_TIME: 0.930333137512207
> STR_ID: 3m09 |STR_LEN: 330 |STR_TIME: 0.97967529296875
> STR_ID: 3m0a |STR_LEN: 297 |STR_TIME: 0.8264522552490234
> STR_ID: 3m0b |STR_LEN: 284 |STR_TIME: 0.40169692039489746
> STR_ID: 3m0c |STR_LEN: 1011 |STR_TIME: 3.292034864425659
> STR_ID: 3m0d |STR_LEN: 307 |STR_TIME: 0.8780794143676758
> STR_ID: 3m0e |STR_LEN: 2134 |STR_TIME: 3.361553907394409
> STR_ID: 3m0f |STR_LEN: 651 |STR_TIME: 0.8114559650421143
> STR_ID: 3m0g |STR_LEN: 847 |STR_TIME: 0.9853110313415527
> STR_ID: 3m0h |STR_LEN: 3371 |STR_TIME: 3.4729342460632324
> STR_ID: 3m0i |STR_LEN: 743 |STR_TIME: 1.3269939422607422
> STR_ID: 3m0j |STR_LEN: 633 |STR_TIME: 1.1524527072906494
> STR_ID: 3m0k |STR_LEN: 598 |STR_TIME: 1.1066720485687256
> STR_ID: 3m0l |STR_LEN: 2834 |STR_TIME: 3.2832460403442383
> STR_ID: 3m0m |STR_LEN: 3446 |STR_TIME: 3.364839792251587
> STR_ID: 3m0n |STR_LEN: 224 |STR_TIME: 0.6924500465393066
> STR_ID: 3m0o |STR_LEN: 1487 |STR_TIME: 1.6364789009094238
> STR_ID: 3m0p |STR_LEN: 85 |STR_TIME: 0.16718316078186035
> STR_ID: 3m0q |STR_LEN: 89 |STR_TIME: 0.16107487678527832
> STR_ID: 3m0r |STR_LEN: 168 |STR_TIME: 0.292510986328125
> STR_ID: 3m0s |STR_LEN: 96 |STR_TIME: 0.15830492973327637
> STR_ID: 3m0t |STR_LEN: 85 |STR_TIME: 0.1574230194091797
> STR_ID: 3m0u |STR_LEN: 101 |STR_TIME: 0.2790970802307129
> STR_ID: 3m0v |STR_LEN: 3461 |STR_TIME: 3.5078611373901367
> STR_ID: 3m0w |STR_LEN: 934 |STR_TIME: 1.7093069553375244
> STR_ID: 3m0x |STR_LEN: 3128 |STR_TIME: 3.293487071990967
> STR_ID: 3m0y |STR_LEN: 3089 |STR_TIME: 3.4026830196380615
> STR_ID: 3m0z |STR_LEN: 2598 |STR_TIME: 4.101399660110474
> STR_ID: 4m00 |STR_LEN: 1124 |STR_TIME: 1.113497018814087
> STR_ID: 4m01 |STR_LEN: 2724 |STR_TIME: 2.6970009803771973
> STR_ID: 4m02 |STR_LEN: 438 |STR_TIME: 0.42726922035217285
> STR_ID: 4m03 |STR_LEN: 174 |STR_TIME: 0.32372212409973145
> STR_ID: 4m04 |STR_LEN: 734 |STR_TIME: 0.9024121761322021
> STR_ID: 4m05 |STR_LEN: 1331 |STR_TIME: 4.041752099990845
> STR_ID: 4m06 |STR_LEN: 1203 |STR_TIME: 4.104212999343872
> STR_ID: 4m07 |STR_LEN: 1251 |STR_TIME: 4.095437049865723
> STR_ID: 4m08 |STR_LEN: 1346 |STR_TIME: 4.036131858825684
> STR_ID: 4m09 |STR_LEN: 1375 |STR_TIME: 4.209394216537476
> STR_ID: 4m0a |STR_LEN: 750 |STR_TIME: 0.9140300750732422
> STR_ID: 4m0c |STR_LEN: 538 |STR_TIME: 1.4795069694519043
> STR_ID: 4m0d |STR_LEN: 1469 |STR_TIME: 2.1220779418945312
> STR_ID: 4m0e |STR_LEN: 2337 |STR_TIME: 2.3712592124938965
> STR_ID: 4m0f |STR_LEN: 1457 |STR_TIME: 2.04830002784729
> STR_ID: 4m0g |STR_LEN: 1111 |STR_TIME: 2.786665201187134
> STR_ID: 4m0h |STR_LEN: 522 |STR_TIME: 1.483278751373291
> STR_ID: 4m0i |STR_LEN: 73 |STR_TIME: 0.1708211898803711
> STR_ID: 4m0j |STR_LEN: 870 |STR_TIME: 1.8345606327056885
> STR_ID: 4m0k |STR_LEN: 1309 |STR_TIME: 2.5339207649230957
> STR_ID: 4m0l |STR_LEN: 2815 |STR_TIME: 4.484265089035034
> STR_ID: 4m0m |STR_LEN: 808 |STR_TIME: 2.4251630306243896
> STR_ID: 4m0n |STR_LEN: 314 |STR_TIME: 0.8239548206329346
> STR_ID: 4m0p |STR_LEN: 670 |STR_TIME: 1.0796432495117188
> STR_ID: 4m0q |STR_LEN: 614 |STR_TIME: 1.5388989448547363
> STR_ID: 4m0r |STR_LEN: 1033 |STR_TIME: 1.2555999755859375
> STR_ID: 4m0s |STR_LEN: 401 |STR_TIME: 1.028473138809204
> STR_ID: 4m0u |STR_LEN: 630 |STR_TIME: 1.1107118129730225
> STR_ID: 4m0v |STR_LEN: 2212 |STR_TIME: 4.764816999435425
> STR_ID: 4m0w |STR_LEN: 713 |STR_TIME: 1.49891996383667
> STR_ID: 4m0x |STR_LEN: 925 |STR_TIME: 1.2374956607818604
> STR_ID: 4m0y |STR_LEN: 427 |STR_TIME: 0.9548909664154053
> STR_ID: 4m0z |STR_LEN: 473 |STR_TIME: 1.05930495262146
> STR_ID: 5m03 |STR_LEN: 822 |STR_TIME: 1.6388299465179443
> STR_ID: 5m04 |STR_LEN: 508 |STR_TIME: 0.7232589721679688
> STR_ID: 5m05 |STR_LEN: 765 |STR_TIME: 1.4175400733947754
> STR_ID: 5m06 |STR_LEN: 622 |STR_TIME: 1.657656192779541
> STR_ID: 5m07 |STR_LEN: 651 |STR_TIME: 1.6490859985351562
> STR_ID: 5m08 |STR_LEN: 522 |STR_TIME: 1.6328868865966797
> STR_ID: 5m09 |STR_LEN: 551 |STR_TIME: 1.573026180267334
> STR_ID: 5m0h |STR_LEN: 53 |STR_TIME: 0.27474522590637207
> STR_ID: 5m0i |STR_LEN: 1372 |STR_TIME: 3.8719873428344727
> STR_ID: 5m0j |STR_LEN: 1275 |STR_TIME: 2.51004695892334
> STR_ID: 5m0n |STR_LEN: 747 |STR_TIME: 1.659972906112671
> STR_ID: 5m0o |STR_LEN: 1395 |STR_TIME: 1.7720768451690674
> STR_ID: 5m0p |STR_LEN: 1551 |STR_TIME: 3.272083044052124
> STR_ID: 5m0q |STR_LEN: 3983 |STR_TIME: 7.694617033004761
> STR_ID: 5m0r |STR_LEN: 4064 |STR_TIME: 8.26115608215332
> STR_ID: 5m0t |STR_LEN: 682 |STR_TIME: 1.9672729969024658
> STR_ID: 5m0w |STR_LEN: 181 |STR_TIME: 0.3641042709350586
> STR_ID: 5m0x |STR_LEN: 865 |STR_TIME: 1.3362071514129639
> STR_ID: 5m0z |STR_LEN: 1340 |STR_TIME: 1.2773737907409668
>> FINISH_DIR: ./data/m/m0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 151 |DIR_TIME: 423.6155672073364 

>> START_DIR: ./data/m/m1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1m10 |STR_LEN: 466 |STR_TIME: 0.8425998687744141
> STR_ID: 1m11 |STR_LEN: 1013 |STR_TIME: 0.381850004196167
> STR_ID: 1m12 |STR_LEN: 84 |STR_TIME: 5.305499792098999
> STR_ID: 1m13 |STR_LEN: 539 |STR_TIME: 0.6315720081329346
> STR_ID: 1m14 |STR_LEN: 324 |STR_TIME: 0.590834379196167
> STR_ID: 1m15 |STR_LEN: 918 |STR_TIME: 1.50441312789917
> STR_ID: 1m16 |STR_LEN: 499 |STR_TIME: 0.641549825668335
> STR_ID: 1m17 |STR_LEN: 333 |STR_TIME: 0.6140701770782471
> STR_ID: 1m18 |STR_LEN: 1578 |STR_TIME: 3.0076589584350586
> STR_ID: 1m19 |STR_LEN: 1778 |STR_TIME: 3.209641933441162
> STR_ID: 1m1a |STR_LEN: 1300 |STR_TIME: 2.917515993118286
> STR_ID: 1m1b |STR_LEN: 841 |STR_TIME: 1.1387758255004883
> STR_ID: 1m1c |STR_LEN: 1302 |STR_TIME: 2.4503331184387207
> STR_ID: 1m1d |STR_LEN: 439 |STR_TIME: 0.6962738037109375
> STR_ID: 1m1e |STR_LEN: 887 |STR_TIME: 1.0719640254974365
> STR_ID: 1m1f |STR_LEN: 646 |STR_TIME: 0.8635468482971191
> STR_ID: 1m1g |STR_LEN: 2043 |STR_TIME: 2.1204428672790527
> STR_ID: 1m1h |STR_LEN: 478 |STR_TIME: 0.4625239372253418
> STR_ID: 1m1j |STR_LEN: 1996 |STR_TIME: 3.7478950023651123
> STR_ID: 1m1k |STR_LEN: 14695 |STR_TIME: 24.859931707382202
> STR_ID: 1m1l |STR_LEN: 1286 |STR_TIME: 1.94392991065979
> STR_ID: 1m1m |STR_LEN: 739 |STR_TIME: 1.135240077972412
> STR_ID: 1m1n |STR_LEN: 9033 |STR_TIME: 15.940261840820312
> STR_ID: 1m1o |STR_LEN: 2568 |STR_TIME: 2.87835693359375
> STR_ID: 1m1p |STR_LEN: 1714 |STR_TIME: 1.47259521484375
> STR_ID: 1m1q |STR_LEN: 391 |STR_TIME: 0.6506731510162354
> STR_ID: 1m1r |STR_LEN: 400 |STR_TIME: 0.5542478561401367
> STR_ID: 1m1s |STR_LEN: 199 |STR_TIME: 0.26068615913391113
> STR_ID: 1m1t |STR_LEN: 2753 |STR_TIME: 2.890223979949951
> STR_ID: 1m1u |STR_LEN: 224 |STR_TIME: 0.39586305618286133
> STR_ID: 1m1x |STR_LEN: 1490 |STR_TIME: 2.764237880706787
> STR_ID: 1m1y |STR_LEN: 6316 |STR_TIME: 11.117535829544067
> STR_ID: 1m1z |STR_LEN: 1573 |STR_TIME: 1.9823501110076904
> STR_ID: 2m10 |STR_LEN: 98 |STR_TIME: 6.289278030395508
> STR_ID: 2m11 |STR_LEN: 24 |STR_TIME: 1.6750149726867676
> STR_ID: 2m12 |STR_LEN: 23 |STR_TIME: 1.578719139099121
> STR_ID: 2m13 |STR_LEN: 67 |STR_TIME: 4.283720970153809
> STR_ID: 2m14 |STR_LEN: 130 |STR_TIME: 8.3319993019104
> STR_ID: 2m16 |STR_LEN: 93 |STR_TIME: 6.199510097503662
> STR_ID: 2m17 |STR_LEN: 82 |STR_TIME: 5.357866048812866
> STR_ID: 2m18 |STR_LEN: 40 |STR_TIME: 2.5046873092651367
> STR_ID: 2m19 |STR_LEN: 106 |STR_TIME: 6.515362024307251
> STR_ID: 2m1a |STR_LEN: 26 |STR_TIME: 1.8907990455627441
> STR_ID: 2m1b |STR_LEN: 116 |STR_TIME: 9.718703269958496
> STR_ID: 2m1c |STR_LEN: 226 |STR_TIME: 3.1347708702087402
> STR_ID: 2m1d |STR_LEN: 51 |STR_TIME: 3.3021938800811768
> STR_ID: 2m1e |STR_LEN: 51 |STR_TIME: 3.1720211505889893
> STR_ID: 2m1f |STR_LEN: 17 |STR_TIME: 1.0246422290802002
> STR_ID: 2m1g |STR_LEN: 24 |STR_TIME: 1.6974990367889404
> STR_ID: 2m1h |STR_LEN: 110 |STR_TIME: 6.89559006690979
> STR_ID: 2m1i |STR_LEN: 97 |STR_TIME: 6.173595190048218
> STR_ID: 2m1j |STR_LEN: 30 |STR_TIME: 2.001457929611206
> STR_ID: 2m1k |STR_LEN: 380 |STR_TIME: 25.576504945755005
> STR_ID: 2m1l |STR_LEN: 138 |STR_TIME: 8.98757004737854
> STR_ID: 2m1m |STR_LEN: 107 |STR_TIME: 3.3485920429229736
> STR_ID: 2m1n |STR_LEN: 214 |STR_TIME: 14.867480993270874
> STR_ID: 2m1o |STR_LEN: 14 |STR_TIME: 0.9766840934753418
> STR_ID: 2m1p |STR_LEN: 18 |STR_TIME: 1.152310848236084
> STR_ID: 2m1r |STR_LEN: 65 |STR_TIME: 5.261157035827637
> STR_ID: 2m1s |STR_LEN: 101 |STR_TIME: 3.1382672786712646
> STR_ID: 2m1t |STR_LEN: 22 |STR_TIME: 0.4837229251861572
> STR_ID: 2m1u |STR_LEN: 93 |STR_TIME: 6.1543128490448
> STR_ID: 2m1v |STR_LEN: 36 |STR_TIME: 4.1673431396484375
> STR_ID: 2m1w |STR_LEN: 166 |STR_TIME: 10.743376731872559
> STR_ID: 2m1x |STR_LEN: 160 |STR_TIME: 10.123526096343994
> STR_ID: 2m1z |STR_LEN: 106 |STR_TIME: 6.930269956588745
> STR_ID: 3m10 |STR_LEN: 1655 |STR_TIME: 2.697263240814209
> STR_ID: 3m11 |STR_LEN: 357 |STR_TIME: 0.5500249862670898
> STR_ID: 3m12 |STR_LEN: 1562 |STR_TIME: 2.6945579051971436
> STR_ID: 3m13 |STR_LEN: 2031 |STR_TIME: 3.0064339637756348
> STR_ID: 3m14 |STR_LEN: 515 |STR_TIME: 1.0449130535125732
> STR_ID: 3m15 |STR_LEN: 343 |STR_TIME: 0.6109540462493896
> STR_ID: 3m16 |STR_LEN: 339 |STR_TIME: 0.6019370555877686
> STR_ID: 3m17 |STR_LEN: 1691 |STR_TIME: 2.630944013595581
> STR_ID: 3m18 |STR_LEN: 634 |STR_TIME: 0.7560927867889404
> STR_ID: 3m19 |STR_LEN: 802 |STR_TIME: 1.0103552341461182
> STR_ID: 3m1a |STR_LEN: 3689 |STR_TIME: 8.781016826629639
> STR_ID: 3m1b |STR_LEN: 1471 |STR_TIME: 2.57470703125
> STR_ID: 3m1c |STR_LEN: 922 |STR_TIME: 2.7740821838378906
> STR_ID: 3m1d |STR_LEN: 244 |STR_TIME: 0.354032039642334
> STR_ID: 3m1e |STR_LEN: 185 |STR_TIME: 0.3615288734436035
> STR_ID: 3m1f |STR_LEN: 388 |STR_TIME: 0.8128659725189209
> STR_ID: 3m1g |STR_LEN: 1763 |STR_TIME: 1.905303955078125
> STR_ID: 3m1h |STR_LEN: 1537 |STR_TIME: 1.5108938217163086
> STR_ID: 3m1i |STR_LEN: 2125 |STR_TIME: 4.980288743972778
> STR_ID: 3m1j |STR_LEN: 450 |STR_TIME: 0.5677061080932617
> STR_ID: 3m1k |STR_LEN: 498 |STR_TIME: 1.0335919857025146
> STR_ID: 3m1l |STR_LEN: 934 |STR_TIME: 1.2551891803741455
> STR_ID: 3m1m |STR_LEN: 446 |STR_TIME: 1.137646198272705
> STR_ID: 3m1n |STR_LEN: 610 |STR_TIME: 0.7484772205352783
> STR_ID: 3m1o |STR_LEN: 477 |STR_TIME: 1.0147309303283691
> STR_ID: 3m1p |STR_LEN: 443 |STR_TIME: 0.618535041809082
> STR_ID: 3m1q |STR_LEN: 456 |STR_TIME: 0.5745499134063721
> STR_ID: 3m1r |STR_LEN: 2203 |STR_TIME: 6.1340272426605225
> STR_ID: 3m1s |STR_LEN: 790 |STR_TIME: 1.3526830673217773
> STR_ID: 3m1t |STR_LEN: 517 |STR_TIME: 0.6180019378662109
> STR_ID: 3m1u |STR_LEN: 1810 |STR_TIME: 1.7980399131774902
> STR_ID: 3m1v |STR_LEN: 4959 |STR_TIME: 5.393088102340698
> STR_ID: 3m1w |STR_LEN: 469 |STR_TIME: 0.9840531349182129
> STR_ID: 3m1x |STR_LEN: 299 |STR_TIME: 0.5386450290679932
> STR_ID: 3m1y |STR_LEN: 935 |STR_TIME: 1.5353400707244873
> STR_ID: 3m1z |STR_LEN: 920 |STR_TIME: 0.9803760051727295
> STR_ID: 4m10 |STR_LEN: 3973 |STR_TIME: 8.143038034439087
> STR_ID: 4m11 |STR_LEN: 3238 |STR_TIME: 7.909466743469238
> STR_ID: 4m12 |STR_LEN: 387 |STR_TIME: 0.9713170528411865
> STR_ID: 4m13 |STR_LEN: 454 |STR_TIME: 0.9853229522705078
> STR_ID: 4m14 |STR_LEN: 499 |STR_TIME: 0.9872550964355469
> STR_ID: 4m15 |STR_LEN: 467 |STR_TIME: 0.9814498424530029
> STR_ID: 4m16 |STR_LEN: 497 |STR_TIME: 0.849719762802124
> STR_ID: 4m17 |STR_LEN: 2954 |STR_TIME: 3.4615590572357178
> STR_ID: 4m18 |STR_LEN: 1807 |STR_TIME: 5.486249923706055
> STR_ID: 4m19 |STR_LEN: 1712 |STR_TIME: 2.2765231132507324
> STR_ID: 4m1a |STR_LEN: 313 |STR_TIME: 0.4799339771270752
> STR_ID: 4m1b |STR_LEN: 696 |STR_TIME: 0.833378791809082
> STR_ID: 4m1c |STR_LEN: 2694 |STR_TIME: 9.009979009628296
> STR_ID: 4m1d |STR_LEN: 1996 |STR_TIME: 1.933877944946289
> STR_ID: 4m1e |STR_LEN: 2316 |STR_TIME: 5.505202770233154
> STR_ID: 4m1f |STR_LEN: 522 |STR_TIME: 0.6453227996826172
> STR_ID: 4m1g |STR_LEN: 1078 |STR_TIME: 1.2062788009643555
> STR_ID: 4m1h |STR_LEN: 2220 |STR_TIME: 4.790333032608032
> STR_ID: 4m1i |STR_LEN: 2363 |STR_TIME: 4.629320859909058
> STR_ID: 4m1j |STR_LEN: 1332 |STR_TIME: 2.562235116958618
> STR_ID: 4m1k |STR_LEN: 658 |STR_TIME: 2.176517963409424
> STR_ID: 4m1l |STR_LEN: 285 |STR_TIME: 0.6719949245452881
> STR_ID: 4m1m |STR_LEN: 2381 |STR_TIME: 7.591717958450317
> STR_ID: 4m1n |STR_LEN: 1434 |STR_TIME: 1.8884401321411133
> STR_ID: 4m1o |STR_LEN: 658 |STR_TIME: 2.3322958946228027
> STR_ID: 4m1p |STR_LEN: 103 |STR_TIME: 0.36179089546203613
> STR_ID: 4m1q |STR_LEN: 1242 |STR_TIME: 2.1937811374664307
> STR_ID: 4m1r |STR_LEN: 983 |STR_TIME: 2.0048980712890625
> STR_ID: 4m1s |STR_LEN: 673 |STR_TIME: 2.4124679565429688
> STR_ID: 4m1t |STR_LEN: 643 |STR_TIME: 2.4289119243621826
> STR_ID: 4m1u |STR_LEN: 1370 |STR_TIME: 2.2203259468078613
> STR_ID: 4m1v |STR_LEN: 1037 |STR_TIME: 1.5383050441741943
> STR_ID: 4m1w |STR_LEN: 794 |STR_TIME: 2.4924988746643066
> STR_ID: 4m1x |STR_LEN: 726 |STR_TIME: 1.9859461784362793
> STR_ID: 4m1y |STR_LEN: 792 |STR_TIME: 2.5537688732147217
> STR_ID: 4m1z |STR_LEN: 946 |STR_TIME: 1.1779661178588867
> STR_ID: 5m10 |STR_LEN: 1102 |STR_TIME: 2.247347116470337
> STR_ID: 5m11 |STR_LEN: 811 |STR_TIME: 2.471385955810547
> STR_ID: 5m12 |STR_LEN: 963 |STR_TIME: 1.2090380191802979
> STR_ID: 5m16 |STR_LEN: 892 |STR_TIME: 1.2509489059448242
> STR_ID: 5m17 |STR_LEN: 766 |STR_TIME: 1.5818538665771484
> STR_ID: 5m18 |STR_LEN: 1693 |STR_TIME: 4.563102960586548
> STR_ID: 5m19 |STR_LEN: 1933 |STR_TIME: 4.736187934875488
> STR_ID: 5m1a |STR_LEN: 1682 |STR_TIME: 4.619840145111084
> STR_ID: 5m1b |STR_LEN: 1349 |STR_TIME: 4.51394510269165
> STR_ID: 5m1c |STR_LEN: 1406 |STR_TIME: 4.409832954406738
> STR_ID: 5m1d |STR_LEN: 1538 |STR_TIME: 4.757977724075317
> STR_ID: 5m1e |STR_LEN: 1532 |STR_TIME: 4.569604158401489
> STR_ID: 5m1f |STR_LEN: 203 |STR_TIME: 0.3396432399749756
> STR_ID: 5m1g |STR_LEN: 198 |STR_TIME: 12.605353116989136
> STR_ID: 5m1h |STR_LEN: 180 |STR_TIME: 11.52874231338501
> STR_ID: 5m1i |STR_LEN: 918 |STR_TIME: 1.397481918334961
> STR_ID: 5m1j |STR_LEN: 18571 |STR_TIME: 53.12885618209839
> STR_ID: 5m1k |STR_LEN: 843 |STR_TIME: 0.9403109550476074
> STR_ID: 5m1l |STR_LEN: 30 |STR_TIME: 2.152255058288574
> STR_ID: 5m1m |STR_LEN: 325 |STR_TIME: 0.401871919631958
> STR_ID: 5m1n |STR_LEN: 891 |STR_TIME: 0.8254590034484863
> STR_ID: 5m1o |STR_LEN: 697 |STR_TIME: 0.7251718044281006
> STR_ID: 5m1p |STR_LEN: 798 |STR_TIME: 0.7661519050598145
> STR_ID: 5m1q |STR_LEN: 278 |STR_TIME: 0.3882730007171631
> STR_ID: 5m1s |STR_LEN: 1983 |STR_TIME: 3.7010629177093506
> STR_ID: 5m1t |STR_LEN: 690 |STR_TIME: 1.6782917976379395
> STR_ID: 5m1w |STR_LEN: 11 |STR_TIME: 0.7503819465637207
> STR_ID: 5m1x |STR_LEN: 925 |STR_TIME: 1.958061933517456
> STR_ID: 5m1y |STR_LEN: 333 |STR_TIME: 0.9314379692077637
> STR_ID: 5m1z |STR_LEN: 650 |STR_TIME: 0.744293212890625
>> FINISH_DIR: ./data/m/m1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 319 |DIR_TIME: 588.6472518444061 

>> START_DIR: ./data/m/m2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1m20 |STR_LEN: 177 |STR_TIME: 0.23556089401245117
> STR_ID: 1m21 |STR_LEN: 1413 |STR_TIME: 1.8215370178222656
> STR_ID: 1m22 |STR_LEN: 2125 |STR_TIME: 2.0499041080474854
> STR_ID: 1m23 |STR_LEN: 13 |STR_TIME: 0.5260810852050781
> STR_ID: 1m24 |STR_LEN: 45 |STR_TIME: 0.16168880462646484
> STR_ID: 1m25 |STR_LEN: 26 |STR_TIME: 1.8571557998657227
> STR_ID: 1m26 |STR_LEN: 1099 |STR_TIME: 1.2341680526733398
> STR_ID: 1m27 |STR_LEN: 263 |STR_TIME: 0.36467576026916504
> STR_ID: 1m2a |STR_LEN: 398 |STR_TIME: 0.46018004417419434
