>> START_DIR: ./data/r/r0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1r00 |STR_LEN: 433 |STR_TIME: 0.04906606674194336
> STR_ID: 1r02 |STR_LEN: 33 |STR_TIME: 0.007859945297241211
> STR_ID: 1r03 |STR_LEN: 386 |STR_TIME: 0.03536796569824219
> STR_ID: 1r05 |STR_LEN: 174 |STR_TIME: 0.4546041488647461
> STR_ID: 1r08 |STR_LEN: 805 |STR_TIME: 0.1359097957611084
> STR_ID: 1r09 |STR_LEN: 1004 |STR_TIME: 0.12076735496520996
> STR_ID: 1r0a |STR_LEN: 1499 |STR_TIME: 0.28476500511169434
> STR_ID: 1r0b |STR_LEN: 3684 |STR_TIME: 0.4765307903289795
> STR_ID: 1r0c |STR_LEN: 1485 |STR_TIME: 0.22106599807739258
> STR_ID: 1r0d |STR_LEN: 2677 |STR_TIME: 0.3077208995819092
> STR_ID: 1r0e |STR_LEN: 877 |STR_TIME: 0.10605788230895996
> STR_ID: 1r0f |STR_LEN: 90 |STR_TIME: 0.007857322692871094
> STR_ID: 1r0g |STR_LEN: 106 |STR_TIME: 0.009640932083129883
> STR_ID: 1r0h |STR_LEN: 100 |STR_TIME: 0.008777856826782227
> STR_ID: 1r0i |STR_LEN: 95 |STR_TIME: 0.008466243743896484
> STR_ID: 1r0j |STR_LEN: 77 |STR_TIME: 0.007954120635986328
> STR_ID: 1r0k |STR_LEN: 2749 |STR_TIME: 0.3056807518005371
> STR_ID: 1r0l |STR_LEN: 1625 |STR_TIME: 0.23838472366333008
> STR_ID: 1r0m |STR_LEN: 3107 |STR_TIME: 0.2880861759185791
> STR_ID: 1r0n |STR_LEN: 308 |STR_TIME: 0.03956294059753418
> STR_ID: 1r0o |STR_LEN: 473 |STR_TIME: 0.04427313804626465
> STR_ID: 1r0p |STR_LEN: 503 |STR_TIME: 0.04653286933898926
> STR_ID: 1r0q |STR_LEN: 267 |STR_TIME: 0.023790836334228516
> STR_ID: 1r0r |STR_LEN: 734 |STR_TIME: 0.06591224670410156
> STR_ID: 1r0s |STR_LEN: 568 |STR_TIME: 0.14002490043640137
> STR_ID: 1r0u |STR_LEN: 339 |STR_TIME: 0.030066967010498047
> STR_ID: 1r0v |STR_LEN: 1856 |STR_TIME: 0.16454410552978516
> STR_ID: 1r0w |STR_LEN: 1378 |STR_TIME: 0.2055339813232422
> STR_ID: 1r0x |STR_LEN: 1435 |STR_TIME: 0.1944570541381836
> STR_ID: 1r0y |STR_LEN: 1404 |STR_TIME: 0.1613929271697998
> STR_ID: 1r0z |STR_LEN: 1398 |STR_TIME: 0.2099170684814453
> STR_ID: 2r00 |STR_LEN: 1545 |STR_TIME: 0.1476590633392334
> STR_ID: 2r01 |STR_LEN: 426 |STR_TIME: 0.04620003700256348
> STR_ID: 2r02 |STR_LEN: 725 |STR_TIME: 0.1730642318725586
> STR_ID: 2r03 |STR_LEN: 728 |STR_TIME: 0.12027406692504883
> STR_ID: 2r04 |STR_LEN: 809 |STR_TIME: 0.1342451572418213
> STR_ID: 2r05 |STR_LEN: 725 |STR_TIME: 0.12122893333435059
> STR_ID: 2r06 |STR_LEN: 810 |STR_TIME: 0.15048789978027344
> STR_ID: 2r07 |STR_LEN: 805 |STR_TIME: 0.1191551685333252
> STR_ID: 2r09 |STR_LEN: 1502 |STR_TIME: 0.11934709548950195
> STR_ID: 2r0b |STR_LEN: 268 |STR_TIME: 0.024599075317382812
> STR_ID: 2r0c |STR_LEN: 938 |STR_TIME: 0.12201428413391113
> STR_ID: 2r0d |STR_LEN: 1228 |STR_TIME: 0.1123509407043457
> STR_ID: 2r0f |STR_LEN: 564 |STR_TIME: 0.054453134536743164
> STR_ID: 2r0g |STR_LEN: 1397 |STR_TIME: 0.18210315704345703
> STR_ID: 2r0h |STR_LEN: 956 |STR_TIME: 0.10407090187072754
> STR_ID: 2r0i |STR_LEN: 711 |STR_TIME: 0.12012004852294922
> STR_ID: 2r0j |STR_LEN: 316 |STR_TIME: 0.02661609649658203
> STR_ID: 2r0k |STR_LEN: 666 |STR_TIME: 0.08767199516296387
> STR_ID: 2r0l |STR_LEN: 885 |STR_TIME: 0.0986180305480957
> STR_ID: 2r0m |STR_LEN: 440 |STR_TIME: 0.05413198471069336
> STR_ID: 2r0n |STR_LEN: 522 |STR_TIME: 0.09724116325378418
> STR_ID: 2r0o |STR_LEN: 917 |STR_TIME: 0.07926392555236816
> STR_ID: 2r0p |STR_LEN: 696 |STR_TIME: 0.0778188705444336
> STR_ID: 2r0q |STR_LEN: 894 |STR_TIME: 0.18950700759887695
> STR_ID: 2r0r |STR_LEN: 261 |STR_TIME: 0.027084827423095703
> STR_ID: 2r0s |STR_LEN: 640 |STR_TIME: 0.050637245178222656
> STR_ID: 2r0t |STR_LEN: 1032 |STR_TIME: 0.12444114685058594
> STR_ID: 2r0u |STR_LEN: 524 |STR_TIME: 0.08203387260437012
> STR_ID: 2r0v |STR_LEN: 1282 |STR_TIME: 0.13672304153442383
> STR_ID: 2r0w |STR_LEN: 507 |STR_TIME: 0.06448483467102051
