>> START_DIR: ./data/w/w0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1w00 |STR_LEN: 385 |STR_TIME: 0.47524023056030273
> STR_ID: 1w01 |STR_LEN: 290 |STR_TIME: 0.45857906341552734
> STR_ID: 1w02 |STR_LEN: 212 |STR_TIME: 0.2763710021972656
> STR_ID: 1w03 |STR_LEN: 604 |STR_TIME: 0.7067461013793945
> STR_ID: 1w04 |STR_LEN: 661 |STR_TIME: 0.70619797706604
> STR_ID: 1w05 |STR_LEN: 649 |STR_TIME: 0.7514700889587402
> STR_ID: 1w06 |STR_LEN: 674 |STR_TIME: 0.7078320980072021
> STR_ID: 1w07 |STR_LEN: 2072 |STR_TIME: 2.441545009613037
> STR_ID: 1w08 |STR_LEN: 219 |STR_TIME: 0.32517194747924805
> STR_ID: 1w09 |STR_LEN: 92 |STR_TIME: 5.799906015396118
> STR_ID: 1w0a |STR_LEN: 92 |STR_TIME: 5.859638929367065
> STR_ID: 1w0b |STR_LEN: 102 |STR_TIME: 6.4970080852508545
> STR_ID: 1w0c |STR_LEN: 3264 |STR_TIME: 3.8634860515594482
> STR_ID: 1w0d |STR_LEN: 1928 |STR_TIME: 2.1401219367980957
> STR_ID: 1w0e |STR_LEN: 482 |STR_TIME: 0.827873945236206
> STR_ID: 1w0f |STR_LEN: 508 |STR_TIME: 0.8493409156799316
> STR_ID: 1w0g |STR_LEN: 486 |STR_TIME: 0.8647983074188232
> STR_ID: 1w0h |STR_LEN: 574 |STR_TIME: 0.5111300945281982
> STR_ID: 1w0i |STR_LEN: 1432 |STR_TIME: 1.569223165512085
> STR_ID: 1w0j |STR_LEN: 4110 |STR_TIME: 5.351412773132324
> STR_ID: 1w0k |STR_LEN: 3259 |STR_TIME: 5.057116270065308
> STR_ID: 1w0m |STR_LEN: 2518 |STR_TIME: 2.9418320655822754
> STR_ID: 1w0n |STR_LEN: 329 |STR_TIME: 0.5245351791381836
> STR_ID: 1w0o |STR_LEN: 1679 |STR_TIME: 1.6415398120880127
> STR_ID: 1w0p |STR_LEN: 1346 |STR_TIME: 1.4406590461730957
> STR_ID: 1w0r |STR_LEN: 884 |STR_TIME: 0.2863309383392334
> STR_ID: 1w0s |STR_LEN: 1326 |STR_TIME: 0.40858912467956543
> STR_ID: 1w0t |STR_LEN: 214 |STR_TIME: 0.4173450469970703
> STR_ID: 1w0u |STR_LEN: 273 |STR_TIME: 0.41094303131103516
> STR_ID: 1w0v |STR_LEN: 807 |STR_TIME: 0.8797690868377686
> STR_ID: 1w0w |STR_LEN: 826 |STR_TIME: 0.8357071876525879
> STR_ID: 1w0x |STR_LEN: 357 |STR_TIME: 0.540787935256958
> STR_ID: 1w0y |STR_LEN: 967 |STR_TIME: 1.1503973007202148
> STR_ID: 1w0z |STR_LEN: 304 |STR_TIME: 0.4710841178894043
> STR_ID: 2w00 |STR_LEN: 2280 |STR_TIME: 3.2203750610351562
> STR_ID: 2w01 |STR_LEN: 1661 |STR_TIME: 2.050651788711548
> STR_ID: 2w02 |STR_LEN: 1436 |STR_TIME: 2.1553659439086914
> STR_ID: 2w03 |STR_LEN: 1229 |STR_TIME: 2.0157089233398438
> STR_ID: 2w04 |STR_LEN: 1281 |STR_TIME: 1.976219892501831
> STR_ID: 2w05 |STR_LEN: 400 |STR_TIME: 0.6237728595733643
> STR_ID: 2w06 |STR_LEN: 424 |STR_TIME: 0.568389892578125
> STR_ID: 2w07 |STR_LEN: 424 |STR_TIME: 0.6110870838165283
> STR_ID: 2w08 |STR_LEN: 2394 |STR_TIME: 2.167598247528076
> STR_ID: 2w09 |STR_LEN: 700 |STR_TIME: 1.5072150230407715
> STR_ID: 2w0a |STR_LEN: 712 |STR_TIME: 1.5606789588928223
> STR_ID: 2w0b |STR_LEN: 822 |STR_TIME: 1.614898920059204
> STR_ID: 2w0c |STR_LEN: 3435 |STR_TIME: 5.720436096191406
> STR_ID: 2w0d |STR_LEN: 1357 |STR_TIME: 1.394205093383789
> STR_ID: 2w0f |STR_LEN: 711 |STR_TIME: 1.0078771114349365
> STR_ID: 2w0g |STR_LEN: 203 |STR_TIME: 0.3012878894805908
> STR_ID: 2w0h |STR_LEN: 1006 |STR_TIME: 1.7184829711914062
> STR_ID: 2w0i |STR_LEN: 206 |STR_TIME: 0.2940840721130371
> STR_ID: 2w0j |STR_LEN: 415 |STR_TIME: 0.5692832469940186
> STR_ID: 2w0k |STR_LEN: 273 |STR_TIME: 0.43044304847717285
> STR_ID: 2w0l |STR_LEN: 760 |STR_TIME: 0.8315351009368896
> STR_ID: 2w0m |STR_LEN: 323 |STR_TIME: 0.45602893829345703
> STR_ID: 2w0n |STR_LEN: 118 |STR_TIME: 3.732973098754883
> STR_ID: 2w0o |STR_LEN: 401 |STR_TIME: 0.41440510749816895
> STR_ID: 2w0p |STR_LEN: 268 |STR_TIME: 0.3794896602630615
> STR_ID: 2w0q |STR_LEN: 2039 |STR_TIME: 2.5868868827819824
> STR_ID: 2w0r |STR_LEN: 257 |STR_TIME: 0.36867690086364746
> STR_ID: 2w0s |STR_LEN: 421 |STR_TIME: 0.7522239685058594
> STR_ID: 2w0t |STR_LEN: 44 |STR_TIME: 2.447467088699341
> STR_ID: 2w0u |STR_LEN: 1374 |STR_TIME: 2.358687400817871
> STR_ID: 2w0v |STR_LEN: 744 |STR_TIME: 0.8526899814605713
> STR_ID: 2w0w |STR_LEN: 494 |STR_TIME: 0.7873780727386475
> STR_ID: 2w0x |STR_LEN: 548 |STR_TIME: 0.6820790767669678
> STR_ID: 2w0z |STR_LEN: 119 |STR_TIME: 0.17492294311523438
> STR_ID: 3w00 |STR_LEN: 608 |STR_TIME: 0.7985358238220215
> STR_ID: 3w01 |STR_LEN: 1066 |STR_TIME: 0.9393620491027832
> STR_ID: 3w02 |STR_LEN: 552 |STR_TIME: 0.8857338428497314
> STR_ID: 3w03 |STR_LEN: 784 |STR_TIME: 2.404311180114746
> STR_ID: 3w04 |STR_LEN: 989 |STR_TIME: 1.0563478469848633
> STR_ID: 3w05 |STR_LEN: 968 |STR_TIME: 1.8448536396026611
> STR_ID: 3w06 |STR_LEN: 577 |STR_TIME: 1.073383092880249
> STR_ID: 3w07 |STR_LEN: 385 |STR_TIME: 1.0662379264831543
> STR_ID: 3w08 |STR_LEN: 1402 |STR_TIME: 2.5637359619140625
> STR_ID: 3w09 |STR_LEN: 792 |STR_TIME: 0.8573629856109619
> STR_ID: 3w0a |STR_LEN: 513 |STR_TIME: 0.5277800559997559
> STR_ID: 3w0c |STR_LEN: 442 |STR_TIME: 0.5136299133300781
> STR_ID: 3w0d |STR_LEN: 240 |STR_TIME: 0.29957008361816406
> STR_ID: 3w0e |STR_LEN: 310 |STR_TIME: 0.29816603660583496
> STR_ID: 3w0f |STR_LEN: 429 |STR_TIME: 0.5094268321990967
> STR_ID: 3w0g |STR_LEN: 376 |STR_TIME: 0.5456631183624268
> STR_ID: 3w0h |STR_LEN: 411 |STR_TIME: 0.5376100540161133
> STR_ID: 3w0i |STR_LEN: 357 |STR_TIME: 0.4963550567626953
> STR_ID: 3w0j |STR_LEN: 367 |STR_TIME: 0.5077800750732422
> STR_ID: 3w0k |STR_LEN: 1283 |STR_TIME: 1.3255748748779297
> STR_ID: 3w0l |STR_LEN: 2101 |STR_TIME: 3.4206337928771973
> STR_ID: 3w0m |STR_LEN: 539 |STR_TIME: 0.6143989562988281
> STR_ID: 3w0n |STR_LEN: 516 |STR_TIME: 0.6207997798919678
> STR_ID: 3w0o |STR_LEN: 727 |STR_TIME: 0.6931400299072266
> STR_ID: 3w0p |STR_LEN: 531 |STR_TIME: 0.6099481582641602
