>> START_DIR: ./data/s/s0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1s00 |STR_LEN: 1831 |STR_TIME: 0.32448410987854004
> STR_ID: 1s01 |STR_LEN: 494 |STR_TIME: 0.04134988784790039
> STR_ID: 1s02 |STR_LEN: 396 |STR_TIME: 0.035798072814941406
> STR_ID: 1s03 |STR_LEN: 369 |STR_TIME: 0.12542486190795898
> STR_ID: 1s04 |STR_LEN: 110 |STR_TIME: 0.7740769386291504
> STR_ID: 1s05 |STR_LEN: 130 |STR_TIME: 0.0439150333404541
> STR_ID: 1s06 |STR_LEN: 1194 |STR_TIME: 0.13773608207702637
> STR_ID: 1s07 |STR_LEN: 1105 |STR_TIME: 0.2086348533630371
> STR_ID: 1s08 |STR_LEN: 1225 |STR_TIME: 0.13179898262023926
> STR_ID: 1s09 |STR_LEN: 1429 |STR_TIME: 0.17092299461364746
> STR_ID: 1s0a |STR_LEN: 1518 |STR_TIME: 0.14104580879211426
> STR_ID: 1s0b |STR_LEN: 2208 |STR_TIME: 0.2595489025115967
> STR_ID: 1s0c |STR_LEN: 1870 |STR_TIME: 0.24577879905700684
> STR_ID: 1s0d |STR_LEN: 1837 |STR_TIME: 0.21367597579956055
> STR_ID: 1s0e |STR_LEN: 2147 |STR_TIME: 0.26930928230285645
> STR_ID: 1s0f |STR_LEN: 1698 |STR_TIME: 0.23824620246887207
> STR_ID: 1s0g |STR_LEN: 1656 |STR_TIME: 0.2565498352050781
> STR_ID: 1s0h |STR_LEN: 289 |STR_TIME: 0.04011392593383789
> STR_ID: 1s0i |STR_LEN: 1214 |STR_TIME: 0.10221314430236816
> STR_ID: 1s0j |STR_LEN: 1199 |STR_TIME: 0.10343003273010254
> STR_ID: 1s0l |STR_LEN: 230 |STR_TIME: 0.08027100563049316
> STR_ID: 1s0m |STR_LEN: 1089 |STR_TIME: 0.12875604629516602
> STR_ID: 1s0n |STR_LEN: 399 |STR_TIME: 0.06004500389099121
> STR_ID: 1s0o |STR_LEN: 1128 |STR_TIME: 0.16437387466430664
> STR_ID: 1s0p |STR_LEN: 951 |STR_TIME: 0.0626528263092041
> STR_ID: 1s0q |STR_LEN: 584 |STR_TIME: 0.046749114990234375
> STR_ID: 1s0r |STR_LEN: 560 |STR_TIME: 0.04594588279724121
> STR_ID: 1s0t |STR_LEN: 20 |STR_TIME: 0.011391878128051758
> STR_ID: 1s0u |STR_LEN: 574 |STR_TIME: 0.05659008026123047
> STR_ID: 1s0v |STR_LEN: 4575 |STR_TIME: 0.6701700687408447
> STR_ID: 1s0w |STR_LEN: 1251 |STR_TIME: 0.15964794158935547
> STR_ID: 1s0x |STR_LEN: 508 |STR_TIME: 0.04065418243408203
> STR_ID: 1s0y |STR_LEN: 879 |STR_TIME: 0.10199308395385742
> STR_ID: 1s0z |STR_LEN: 337 |STR_TIME: 0.09809398651123047
> STR_ID: 3s00 |STR_LEN: 457 |STR_TIME: 0.04465532302856445
> STR_ID: 3s01 |STR_LEN: 338 |STR_TIME: 0.04224681854248047
> STR_ID: 3s02 |STR_LEN: 446 |STR_TIME: 0.055616140365600586
> STR_ID: 3s03 |STR_LEN: 714 |STR_TIME: 0.10071706771850586
> STR_ID: 3s04 |STR_LEN: 505 |STR_TIME: 0.10899209976196289
> STR_ID: 3s05 |STR_LEN: 1406 |STR_TIME: 0.1414341926574707
> STR_ID: 3s06 |STR_LEN: 713 |STR_TIME: 0.06053495407104492
> STR_ID: 3s0a |STR_LEN: 293 |STR_TIME: 0.057086944580078125
> STR_ID: 3s0b |STR_LEN: 292 |STR_TIME: 0.02698493003845215
> STR_ID: 3s0c |STR_LEN: 2081 |STR_TIME: 0.2615389823913574
> STR_ID: 3s0d |STR_LEN: 291 |STR_TIME: 0.02906489372253418
> STR_ID: 3s0e |STR_LEN: 259 |STR_TIME: 0.024389028549194336
> STR_ID: 3s0f |STR_LEN: 477 |STR_TIME: 0.04550790786743164
> STR_ID: 3s0g |STR_LEN: 421 |STR_TIME: 0.0455470085144043
> STR_ID: 3s0h |STR_LEN: 1273 |STR_TIME: 0.17498230934143066
> STR_ID: 3s0i |STR_LEN: 370 |STR_TIME: 0.04259991645812988
> STR_ID: 3s0j |STR_LEN: 1076 |STR_TIME: 0.1228327751159668
> STR_ID: 3s0k |STR_LEN: 498 |STR_TIME: 0.11487889289855957
> STR_ID: 3s0m |STR_LEN: 734 |STR_TIME: 0.07380294799804688
> STR_ID: 3s0n |STR_LEN: 401 |STR_TIME: 0.03948187828063965
> STR_ID: 3s0o |STR_LEN: 430 |STR_TIME: 0.04437589645385742
> STR_ID: 3s0p |STR_LEN: 993 |STR_TIME: 0.16305017471313477
> STR_ID: 3s0q |STR_LEN: 452 |STR_TIME: 0.03468012809753418
> STR_ID: 3s0r |STR_LEN: 78 |STR_TIME: 0.008441925048828125
