>> START_DIR: ./data/y/y0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1y00 |STR_LEN: 122 |STR_TIME: 7.6070029735565186
> STR_ID: 1y01 |STR_LEN: 264 |STR_TIME: 0.44785404205322266
> STR_ID: 1y02 |STR_LEN: 246 |STR_TIME: 0.24505400657653809
> STR_ID: 1y03 |STR_LEN: 35 |STR_TIME: 1.6402790546417236
> STR_ID: 1y04 |STR_LEN: 35 |STR_TIME: 1.7375197410583496
> STR_ID: 1y07 |STR_LEN: 853 |STR_TIME: 1.616589069366455
> STR_ID: 1y08 |STR_LEN: 493 |STR_TIME: 0.5661659240722656
> STR_ID: 1y09 |STR_LEN: 753 |STR_TIME: 1.0094809532165527
> STR_ID: 1y0a |STR_LEN: 772 |STR_TIME: 1.0351412296295166
> STR_ID: 1y0b |STR_LEN: 1620 |STR_TIME: 1.6039350032806396
> STR_ID: 1y0c |STR_LEN: 772 |STR_TIME: 1.0303170680999756
> STR_ID: 1y0d |STR_LEN: 770 |STR_TIME: 1.0184657573699951
> STR_ID: 1y0e |STR_LEN: 848 |STR_TIME: 0.8715293407440186
> STR_ID: 1y0g |STR_LEN: 996 |STR_TIME: 1.2845189571380615
> STR_ID: 1y0h |STR_LEN: 410 |STR_TIME: 0.4804532527923584
> STR_ID: 1y0j |STR_LEN: 77 |STR_TIME: 4.37726616859436
> STR_ID: 1y0k |STR_LEN: 371 |STR_TIME: 0.4262058734893799
> STR_ID: 1y0l |STR_LEN: 2198 |STR_TIME: 3.036918878555298
> STR_ID: 1y0m |STR_LEN: 183 |STR_TIME: 0.30270886421203613
> STR_ID: 1y0n |STR_LEN: 103 |STR_TIME: 0.18168902397155762
> STR_ID: 1y0o |STR_LEN: 938 |STR_TIME: 1.08321213722229
> STR_ID: 1y0p |STR_LEN: 1824 |STR_TIME: 1.4237720966339111
> STR_ID: 1y0q |STR_LEN: 239 |STR_TIME: 1.1071090698242188
> STR_ID: 1y0r |STR_LEN: 496 |STR_TIME: 0.6501710414886475
> STR_ID: 1y0s |STR_LEN: 695 |STR_TIME: 1.0010223388671875
> STR_ID: 1y0t |STR_LEN: 772 |STR_TIME: 1.0175750255584717
> STR_ID: 1y0u |STR_LEN: 441 |STR_TIME: 0.44214868545532227
> STR_ID: 1y0v |STR_LEN: 5316 |STR_TIME: 9.196814060211182
> STR_ID: 1y0w |STR_LEN: 753 |STR_TIME: 1.0416152477264404
> STR_ID: 1y0x |STR_LEN: 267 |STR_TIME: 0.4858689308166504
> STR_ID: 1y0y |STR_LEN: 551 |STR_TIME: 0.7592639923095703
> STR_ID: 1y0z |STR_LEN: 1429 |STR_TIME: 1.3169200420379639
> STR_ID: 2y00 |STR_LEN: 639 |STR_TIME: 1.1144061088562012
> STR_ID: 2y01 |STR_LEN: 641 |STR_TIME: 1.110517978668213
> STR_ID: 2y02 |STR_LEN: 641 |STR_TIME: 1.1100223064422607
> STR_ID: 2y03 |STR_LEN: 607 |STR_TIME: 1.1303930282592773
> STR_ID: 2y04 |STR_LEN: 616 |STR_TIME: 1.0823049545288086
> STR_ID: 2y05 |STR_LEN: 1770 |STR_TIME: 2.306727886199951
> STR_ID: 2y06 |STR_LEN: 481 |STR_TIME: 0.7379040718078613
> STR_ID: 2y07 |STR_LEN: 581 |STR_TIME: 0.8182461261749268
> STR_ID: 2y08 |STR_LEN: 2145 |STR_TIME: 3.7046468257904053
> STR_ID: 2y09 |STR_LEN: 352 |STR_TIME: 0.4823760986328125
> STR_ID: 2y0a |STR_LEN: 326 |STR_TIME: 0.5515689849853516
> STR_ID: 2y0b |STR_LEN: 1057 |STR_TIME: 2.3051562309265137
> STR_ID: 2y0c |STR_LEN: 3157 |STR_TIME: 5.980865955352783
> STR_ID: 2y0d |STR_LEN: 1819 |STR_TIME: 5.457320928573608
> STR_ID: 2y0e |STR_LEN: 3222 |STR_TIME: 6.115731954574585
> STR_ID: 2y0f |STR_LEN: 1721 |STR_TIME: 4.775575160980225
> STR_ID: 2y0g |STR_LEN: 490 |STR_TIME: 0.9016220569610596
> STR_ID: 2y0h |STR_LEN: 493 |STR_TIME: 0.696091890335083
> STR_ID: 2y0i |STR_LEN: 474 |STR_TIME: 0.6750087738037109
> STR_ID: 2y0j |STR_LEN: 854 |STR_TIME: 1.2675700187683105
> STR_ID: 2y0k |STR_LEN: 536 |STR_TIME: 0.7250800132751465
> STR_ID: 2y0l |STR_LEN: 459 |STR_TIME: 0.6650569438934326
> STR_ID: 2y0m |STR_LEN: 327 |STR_TIME: 1.0712800025939941
> STR_ID: 2y0n |STR_LEN: 791 |STR_TIME: 2.494441032409668
> STR_ID: 2y0o |STR_LEN: 443 |STR_TIME: 0.7122080326080322
> STR_ID: 2y0p |STR_LEN: 3905 |STR_TIME: 10.56901502609253
> STR_ID: 2y0q |STR_LEN: 328 |STR_TIME: 0.7489778995513916
> STR_ID: 2y0r |STR_LEN: 1137 |STR_TIME: 1.4193451404571533
> STR_ID: 2y0s |STR_LEN: 6628 |STR_TIME: 20.60368800163269
> STR_ID: 2y0t |STR_LEN: 220 |STR_TIME: 0.4699537754058838
> STR_ID: 4y00 |STR_LEN: 358 |STR_TIME: 1.2521030902862549
> STR_ID: 4y01 |STR_LEN: 1585 |STR_TIME: 2.629528045654297
> STR_ID: 4y02 |STR_LEN: 1286 |STR_TIME: 1.3928749561309814
