>> START_DIR: ./data/t/t0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1t00 |STR_LEN: 262 |STR_TIME: 0.020526885986328125
> STR_ID: 1t01 |STR_LEN: 590 |STR_TIME: 0.04996800422668457
> STR_ID: 1t02 |STR_LEN: 839 |STR_TIME: 0.10191202163696289
> STR_ID: 1t03 |STR_LEN: 1467 |STR_TIME: 0.2627110481262207
> STR_ID: 1t04 |STR_LEN: 913 |STR_TIME: 0.11808991432189941
> STR_ID: 1t05 |STR_LEN: 1041 |STR_TIME: 0.2061319351196289
> STR_ID: 1t06 |STR_LEN: 875 |STR_TIME: 0.07361793518066406
> STR_ID: 1t07 |STR_LEN: 197 |STR_TIME: 0.015558242797851562
> STR_ID: 1t08 |STR_LEN: 898 |STR_TIME: 0.0938420295715332
> STR_ID: 1t09 |STR_LEN: 985 |STR_TIME: 0.16238689422607422
> STR_ID: 1t0a |STR_LEN: 1064 |STR_TIME: 0.07832503318786621
> STR_ID: 1t0b |STR_LEN: 3556 |STR_TIME: 0.3772571086883545
> STR_ID: 1t0c |STR_LEN: 31 |STR_TIME: 0.2538468837738037
> STR_ID: 1t0d |STR_LEN: 281 |STR_TIME: 0.028111934661865234
> STR_ID: 1t0e |STR_LEN: 167 |STR_TIME: 0.01871490478515625
> STR_ID: 1t0f |STR_LEN: 987 |STR_TIME: 0.1607370376586914
> STR_ID: 1t0g |STR_LEN: 109 |STR_TIME: 0.6911301612854004
> STR_ID: 1t0h |STR_LEN: 432 |STR_TIME: 0.04344511032104492
> STR_ID: 1t0i |STR_LEN: 474 |STR_TIME: 0.05387306213378906
> STR_ID: 1t0j |STR_LEN: 438 |STR_TIME: 0.046881914138793945
> STR_ID: 1t0k |STR_LEN: 490 |STR_TIME: 0.07620692253112793
> STR_ID: 1t0l |STR_LEN: 2582 |STR_TIME: 0.3588418960571289
> STR_ID: 1t0m |STR_LEN: 1414 |STR_TIME: 0.1594228744506836
> STR_ID: 1t0n |STR_LEN: 1482 |STR_TIME: 0.13996601104736328
