>> START_DIR: ./data/z/z0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1z00 |STR_LEN: 168 |STR_TIME: 10.588670253753662
> STR_ID: 1z01 |STR_LEN: 6337 |STR_TIME: 5.4298388957977295
> STR_ID: 1z02 |STR_LEN: 7663 |STR_TIME: 5.945024013519287
> STR_ID: 1z03 |STR_LEN: 6213 |STR_TIME: 5.455226898193359
> STR_ID: 1z05 |STR_LEN: 801 |STR_TIME: 0.8596029281616211
> STR_ID: 1z06 |STR_LEN: 278 |STR_TIME: 0.36182284355163574
> STR_ID: 1z07 |STR_LEN: 410 |STR_TIME: 0.3844730854034424
> STR_ID: 1z08 |STR_LEN: 1668 |STR_TIME: 1.4245429039001465
> STR_ID: 1z09 |STR_LEN: 192 |STR_TIME: 6.071473121643066
> STR_ID: 1z0a |STR_LEN: 1197 |STR_TIME: 1.335062026977539
> STR_ID: 1z0b |STR_LEN: 416 |STR_TIME: 0.4272921085357666
> STR_ID: 1z0c |STR_LEN: 341 |STR_TIME: 0.3900289535522461
> STR_ID: 1z0d |STR_LEN: 744 |STR_TIME: 0.6881799697875977
> STR_ID: 1z0e |STR_LEN: 1721 |STR_TIME: 2.0124897956848145
> STR_ID: 1z0f |STR_LEN: 257 |STR_TIME: 0.4416499137878418
> STR_ID: 1z0g |STR_LEN: 2269 |STR_TIME: 2.211509943008423
> STR_ID: 1z0h |STR_LEN: 1292 |STR_TIME: 1.6742801666259766
> STR_ID: 1z0i |STR_LEN: 307 |STR_TIME: 0.35485005378723145
> STR_ID: 1z0j |STR_LEN: 525 |STR_TIME: 0.49897003173828125
> STR_ID: 1z0k |STR_LEN: 921 |STR_TIME: 0.9784708023071289
> STR_ID: 1z0m |STR_LEN: 451 |STR_TIME: 0.5532388687133789
> STR_ID: 1z0n |STR_LEN: 557 |STR_TIME: 0.58831787109375
> STR_ID: 1z0p |STR_LEN: 139 |STR_TIME: 0.17843413352966309
> STR_ID: 1z0q |STR_LEN: 42 |STR_TIME: 3.4646952152252197
> STR_ID: 1z0r |STR_LEN: 106 |STR_TIME: 2.411118984222412
> STR_ID: 1z0s |STR_LEN: 1415 |STR_TIME: 1.8747868537902832
> STR_ID: 1z0t |STR_LEN: 2266 |STR_TIME: 2.2539000511169434
> STR_ID: 1z0u |STR_LEN: 765 |STR_TIME: 0.9646217823028564
> STR_ID: 1z0v |STR_LEN: 1672 |STR_TIME: 1.9705440998077393
> STR_ID: 1z0w |STR_LEN: 433 |STR_TIME: 0.8343849182128906
> STR_ID: 1z0x |STR_LEN: 593 |STR_TIME: 0.8033702373504639
> STR_ID: 1z0z |STR_LEN: 1118 |STR_TIME: 1.7766637802124023
> STR_ID: 2z00 |STR_LEN: 821 |STR_TIME: 0.8348832130432129
> STR_ID: 2z01 |STR_LEN: 376 |STR_TIME: 0.5553338527679443
> STR_ID: 2z02 |STR_LEN: 789 |STR_TIME: 1.0016238689422607
> STR_ID: 2z04 |STR_LEN: 676 |STR_TIME: 1.1260857582092285
> STR_ID: 2z06 |STR_LEN: 1382 |STR_TIME: 1.7801947593688965
> STR_ID: 2z07 |STR_LEN: 1129 |STR_TIME: 1.4547688961029053
> STR_ID: 2z08 |STR_LEN: 231 |STR_TIME: 0.2840750217437744
> STR_ID: 2z09 |STR_LEN: 213 |STR_TIME: 0.27214694023132324
> STR_ID: 2z0a |STR_LEN: 579 |STR_TIME: 0.6473269462585449
> STR_ID: 2z0b |STR_LEN: 1113 |STR_TIME: 1.2591760158538818
> STR_ID: 2z0d |STR_LEN: 739 |STR_TIME: 0.8320231437683105
> STR_ID: 2z0e |STR_LEN: 617 |STR_TIME: 0.8037929534912109
> STR_ID: 2z0f |STR_LEN: 1298 |STR_TIME: 1.6645350456237793
> STR_ID: 2z0g |STR_LEN: 531 |STR_TIME: 0.7456400394439697
> STR_ID: 2z0i |STR_LEN: 607 |STR_TIME: 0.9989199638366699
> STR_ID: 2z0j |STR_LEN: 3025 |STR_TIME: 3.264280080795288
> STR_ID: 2z0k |STR_LEN: 288 |STR_TIME: 0.37163710594177246
> STR_ID: 2z0l |STR_LEN: 2522 |STR_TIME: 3.830436944961548
> STR_ID: 2z0m |STR_LEN: 601 |STR_TIME: 0.6705238819122314
> STR_ID: 2z0n |STR_LEN: 331 |STR_TIME: 0.5264151096343994
> STR_ID: 2z0o |STR_LEN: 423 |STR_TIME: 0.6491889953613281
> STR_ID: 2z0p |STR_LEN: 711 |STR_TIME: 1.164623737335205
> STR_ID: 2z0q |STR_LEN: 685 |STR_TIME: 0.6804182529449463
> STR_ID: 2z0r |STR_LEN: 1486 |STR_TIME: 2.047431230545044
> STR_ID: 2z0s |STR_LEN: 175 |STR_TIME: 0.33170294761657715
> STR_ID: 2z0t |STR_LEN: 1040 |STR_TIME: 0.9748718738555908
> STR_ID: 2z0u |STR_LEN: 374 |STR_TIME: 0.492232084274292
> STR_ID: 2z0v |STR_LEN: 537 |STR_TIME: 0.8018608093261719
> STR_ID: 2z0w |STR_LEN: 87 |STR_TIME: 0.1644458770751953
> STR_ID: 2z0x |STR_LEN: 413 |STR_TIME: 0.36457324028015137
> STR_ID: 2z0y |STR_LEN: 418 |STR_TIME: 0.7043640613555908
> STR_ID: 2z0z |STR_LEN: 533 |STR_TIME: 0.4621751308441162
> STR_ID: 4z02 |STR_LEN: 330 |STR_TIME: 0.7928640842437744
> STR_ID: 4z03 |STR_LEN: 988 |STR_TIME: 1.7080509662628174
> STR_ID: 4z04 |STR_LEN: 250 |STR_TIME: 0.4993259906768799
> STR_ID: 4z05 |STR_LEN: 897 |STR_TIME: 0.9460258483886719
> STR_ID: 4z06 |STR_LEN: 893 |STR_TIME: 0.9428300857543945
> STR_ID: 4z07 |STR_LEN: 982 |STR_TIME: 2.178255081176758
> STR_ID: 4z08 |STR_LEN: 408 |STR_TIME: 0.8739681243896484
> STR_ID: 4z09 |STR_LEN: 460 |STR_TIME: 1.0076117515563965
> STR_ID: 4z0b |STR_LEN: 425 |STR_TIME: 0.746068000793457
