>> START_DIR: ./data/t/t0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1t00 |STR_LEN: 262 |STR_TIME: 0.350830078125
> STR_ID: 1t01 |STR_LEN: 590 |STR_TIME: 0.5916538238525391
> STR_ID: 1t02 |STR_LEN: 839 |STR_TIME: 1.3221468925476074
> STR_ID: 1t03 |STR_LEN: 1467 |STR_TIME: 2.8304941654205322
> STR_ID: 1t04 |STR_LEN: 913 |STR_TIME: 1.5620360374450684
> STR_ID: 1t05 |STR_LEN: 1041 |STR_TIME: 2.0582242012023926
> STR_ID: 1t06 |STR_LEN: 875 |STR_TIME: 0.9302000999450684
> STR_ID: 1t07 |STR_LEN: 197 |STR_TIME: 0.23622894287109375
> STR_ID: 1t08 |STR_LEN: 898 |STR_TIME: 1.0819098949432373
> STR_ID: 1t09 |STR_LEN: 985 |STR_TIME: 1.6312899589538574
> STR_ID: 1t0a |STR_LEN: 1064 |STR_TIME: 1.005662441253662
> STR_ID: 1t0b |STR_LEN: 3556 |STR_TIME: 3.9413318634033203
> STR_ID: 1t0c |STR_LEN: 31 |STR_TIME: 2.530608892440796
> STR_ID: 1t0d |STR_LEN: 281 |STR_TIME: 0.4356861114501953
> STR_ID: 1t0e |STR_LEN: 167 |STR_TIME: 0.2729489803314209
> STR_ID: 1t0f |STR_LEN: 987 |STR_TIME: 1.3413870334625244
> STR_ID: 1t0g |STR_LEN: 109 |STR_TIME: 6.785866975784302
> STR_ID: 1t0h |STR_LEN: 432 |STR_TIME: 0.6161909103393555
> STR_ID: 1t0i |STR_LEN: 474 |STR_TIME: 0.7051711082458496
> STR_ID: 1t0j |STR_LEN: 438 |STR_TIME: 0.6319587230682373
> STR_ID: 1t0k |STR_LEN: 490 |STR_TIME: 0.9874351024627686
> STR_ID: 1t0l |STR_LEN: 2582 |STR_TIME: 3.375203847885132
> STR_ID: 1t0m |STR_LEN: 1414 |STR_TIME: 1.578359842300415
> STR_ID: 1t0n |STR_LEN: 1482 |STR_TIME: 1.637990951538086
> STR_ID: 1t0o |STR_LEN: 817 |STR_TIME: 0.9282209873199463
> STR_ID: 1t0p |STR_LEN: 432 |STR_TIME: 0.549936056137085
> STR_ID: 1t0q |STR_LEN: 1143 |STR_TIME: 1.7518999576568604
> STR_ID: 1t0r |STR_LEN: 1247 |STR_TIME: 1.7312819957733154
> STR_ID: 1t0s |STR_LEN: 1174 |STR_TIME: 1.7963969707489014
> STR_ID: 1t0t |STR_LEN: 2550 |STR_TIME: 2.6684889793395996
> STR_ID: 1t0u |STR_LEN: 721 |STR_TIME: 0.8941059112548828
> STR_ID: 1t0v |STR_LEN: 184 |STR_TIME: 12.149854898452759
> STR_ID: 1t0w |STR_LEN: 36 |STR_TIME: 2.722594976425171
> STR_ID: 1t0y |STR_LEN: 90 |STR_TIME: 5.730594873428345
> STR_ID: 1t0z |STR_LEN: 221 |STR_TIME: 0.3476710319519043
> STR_ID: 3t00 |STR_LEN: 768 |STR_TIME: 0.8478958606719971
> STR_ID: 3t01 |STR_LEN: 981 |STR_TIME: 0.9828047752380371
> STR_ID: 3t02 |STR_LEN: 696 |STR_TIME: 0.8382940292358398
> STR_ID: 3t03 |STR_LEN: 853 |STR_TIME: 1.7904419898986816
> STR_ID: 3t04 |STR_LEN: 333 |STR_TIME: 0.4349849224090576
> STR_ID: 3t05 |STR_LEN: 2336 |STR_TIME: 7.267442941665649
> STR_ID: 3t06 |STR_LEN: 1069 |STR_TIME: 1.9435057640075684
> STR_ID: 3t07 |STR_LEN: 2338 |STR_TIME: 7.325991868972778
> STR_ID: 3t08 |STR_LEN: 7252 |STR_TIME: 8.492923974990845
> STR_ID: 3t09 |STR_LEN: 8509 |STR_TIME: 8.962690114974976
> STR_ID: 3t0a |STR_LEN: 7912 |STR_TIME: 8.88156795501709
> STR_ID: 3t0b |STR_LEN: 7877 |STR_TIME: 8.884773969650269
> STR_ID: 3t0c |STR_LEN: 1234 |STR_TIME: 1.6208980083465576
> STR_ID: 3t0d |STR_LEN: 8212 |STR_TIME: 8.879964828491211
> STR_ID: 3t0e |STR_LEN: 1176 |STR_TIME: 3.8135318756103516
> STR_ID: 3t0f |STR_LEN: 806 |STR_TIME: 2.1105008125305176
> STR_ID: 3t0g |STR_LEN: 764 |STR_TIME: 2.0979630947113037
> STR_ID: 3t0h |STR_LEN: 423 |STR_TIME: 1.420701026916504
> STR_ID: 3t0i |STR_LEN: 663 |STR_TIME: 1.1014318466186523
> STR_ID: 3t0j |STR_LEN: 1352 |STR_TIME: 3.406420946121216
> STR_ID: 3t0k |STR_LEN: 649 |STR_TIME: 1.4619779586791992
> STR_ID: 3t0l |STR_LEN: 571 |STR_TIME: 0.6057980060577393
> STR_ID: 3t0m |STR_LEN: 570 |STR_TIME: 0.6131460666656494
> STR_ID: 3t0o |STR_LEN: 380 |STR_TIME: 0.7679018974304199
> STR_ID: 3t0p |STR_LEN: 1005 |STR_TIME: 2.55743670463562
> STR_ID: 3t0q |STR_LEN: 403 |STR_TIME: 0.6285600662231445
> STR_ID: 3t0r |STR_LEN: 589 |STR_TIME: 1.5195271968841553
> STR_ID: 3t0s |STR_LEN: 494 |STR_TIME: 0.7466888427734375
> STR_ID: 3t0t |STR_LEN: 2338 |STR_TIME: 7.357604742050171
> STR_ID: 3t0u |STR_LEN: 4749 |STR_TIME: 7.888430833816528
> STR_ID: 3t0v |STR_LEN: 247 |STR_TIME: 0.4696390628814697
> STR_ID: 3t0w |STR_LEN: 545 |STR_TIME: 0.8633263111114502
> STR_ID: 3t0x |STR_LEN: 365 |STR_TIME: 0.7811460494995117
> STR_ID: 3t0y |STR_LEN: 394 |STR_TIME: 0.6272299289703369
> STR_ID: 3t0z |STR_LEN: 300 |STR_TIME: 0.45627331733703613
> STR_ID: 5t00 |STR_LEN: 461 |STR_TIME: 2.086660861968994
> STR_ID: 5t01 |STR_LEN: 281 |STR_TIME: 0.8544261455535889
> STR_ID: 5t02 |STR_LEN: 901 |STR_TIME: 1.6930880546569824
> STR_ID: 5t03 |STR_LEN: 2315 |STR_TIME: 4.8359599113464355
> STR_ID: 5t04 |STR_LEN: 469 |STR_TIME: 1.6473259925842285
> STR_ID: 5t05 |STR_LEN: 2468 |STR_TIME: 2.92313814163208
> STR_ID: 5t06 |STR_LEN: 1042 |STR_TIME: 2.0605971813201904
> STR_ID: 5t07 |STR_LEN: 1054 |STR_TIME: 2.1819121837615967
> STR_ID: 5t09 |STR_LEN: 248 |STR_TIME: 1.0862672328948975
> STR_ID: 5t0a |STR_LEN: 2410 |STR_TIME: 2.9333860874176025
> STR_ID: 5t0c |STR_LEN: 19860 |STR_TIME: 70.90585708618164
> STR_ID: 5t0f |STR_LEN: 212 |STR_TIME: 0.6955337524414062
> STR_ID: 5t0g |STR_LEN: 9931 |STR_TIME: 35.20158314704895
> STR_ID: 5t0h |STR_LEN: 9395 |STR_TIME: 33.53177094459534
> STR_ID: 5t0i |STR_LEN: 9788 |STR_TIME: 34.41150999069214
> STR_ID: 5t0j |STR_LEN: 9795 |STR_TIME: 34.50749897956848
> STR_ID: 5t0k |STR_LEN: 1247 |STR_TIME: 1.5593760013580322
> STR_ID: 5t0l |STR_LEN: 1026 |STR_TIME: 2.143265962600708
> STR_ID: 5t0m |STR_LEN: 914 |STR_TIME: 1.2967591285705566
> STR_ID: 5t0n |STR_LEN: 1814 |STR_TIME: 4.023720979690552
> STR_ID: 5t0q |STR_LEN: 295 |STR_TIME: 0.4653651714324951
> STR_ID: 5t0u |STR_LEN: 455 |STR_TIME: 2.7720367908477783
> STR_ID: 5t0v |STR_LEN: 6312 |STR_TIME: 11.358565092086792
> STR_ID: 5t0x |STR_LEN: 190 |STR_TIME: 6.6617209911346436
> STR_ID: 5t0z |STR_LEN: 796 |STR_TIME: 2.1264848709106445
>> FINISH_DIR: ./data/t/t0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 95 |DIR_TIME: 444.08124589920044 

>> START_DIR: ./data/t/t1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1t10 |STR_LEN: 737 |STR_TIME: 1.2664690017700195
> STR_ID: 1t11 |STR_LEN: 858 |STR_TIME: 1.418205976486206
> STR_ID: 1t12 |STR_LEN: 91 |STR_TIME: 2.725821018218994
> STR_ID: 1t13 |STR_LEN: 839 |STR_TIME: 1.510854959487915
> STR_ID: 1t14 |STR_LEN: 457 |STR_TIME: 0.5647292137145996
> STR_ID: 1t15 |STR_LEN: 375 |STR_TIME: 0.49742698669433594
> STR_ID: 1t16 |STR_LEN: 1017 |STR_TIME: 1.661492109298706
> STR_ID: 1t17 |STR_LEN: 148 |STR_TIME: 10.437921047210693
> STR_ID: 1t18 |STR_LEN: 126 |STR_TIME: 0.5244858264923096
> STR_ID: 1t19 |STR_LEN: 126 |STR_TIME: 0.5114986896514893
> STR_ID: 1t1a |STR_LEN: 126 |STR_TIME: 0.5033519268035889
> STR_ID: 1t1b |STR_LEN: 126 |STR_TIME: 0.5029778480529785
> STR_ID: 1t1c |STR_LEN: 126 |STR_TIME: 0.5082228183746338
> STR_ID: 1t1d |STR_LEN: 208 |STR_TIME: 0.2855110168457031
> STR_ID: 1t1e |STR_LEN: 1153 |STR_TIME: 1.2425801753997803
> STR_ID: 1t1f |STR_LEN: 1518 |STR_TIME: 2.677764892578125
> STR_ID: 1t1g |STR_LEN: 687 |STR_TIME: 0.777681827545166
> STR_ID: 1t1h |STR_LEN: 78 |STR_TIME: 5.327646970748901
> STR_ID: 1t1i |STR_LEN: 719 |STR_TIME: 0.8039910793304443
> STR_ID: 1t1j |STR_LEN: 390 |STR_TIME: 0.5372648239135742
> STR_ID: 1t1k |STR_LEN: 51 |STR_TIME: 2.6576530933380127
> STR_ID: 1t1l |STR_LEN: 950 |STR_TIME: 1.6352348327636719
> STR_ID: 1t1m |STR_LEN: 238 |STR_TIME: 0.1298680305480957
