>> START_DIR: ./data/r/r0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1r00 |STR_LEN: 433 |STR_TIME: 0.7098422050476074
> STR_ID: 1r02 |STR_LEN: 33 |STR_TIME: 0.1190030574798584
> STR_ID: 1r03 |STR_LEN: 386 |STR_TIME: 0.42580604553222656
> STR_ID: 1r05 |STR_LEN: 174 |STR_TIME: 3.617954730987549
> STR_ID: 1r08 |STR_LEN: 805 |STR_TIME: 1.4346420764923096
> STR_ID: 1r09 |STR_LEN: 1004 |STR_TIME: 1.554567813873291
> STR_ID: 1r0a |STR_LEN: 1499 |STR_TIME: 2.823638916015625
> STR_ID: 1r0b |STR_LEN: 3684 |STR_TIME: 5.051119089126587
> STR_ID: 1r0c |STR_LEN: 1485 |STR_TIME: 1.7740747928619385
> STR_ID: 1r0d |STR_LEN: 2677 |STR_TIME: 2.97027587890625
> STR_ID: 1r0e |STR_LEN: 877 |STR_TIME: 1.2961411476135254
> STR_ID: 1r0f |STR_LEN: 90 |STR_TIME: 0.14611411094665527
> STR_ID: 1r0g |STR_LEN: 106 |STR_TIME: 0.1453230381011963
> STR_ID: 1r0h |STR_LEN: 100 |STR_TIME: 0.15185117721557617
> STR_ID: 1r0i |STR_LEN: 95 |STR_TIME: 0.14614105224609375
> STR_ID: 1r0j |STR_LEN: 77 |STR_TIME: 0.1517350673675537
> STR_ID: 1r0k |STR_LEN: 2749 |STR_TIME: 2.8273637294769287
> STR_ID: 1r0l |STR_LEN: 1625 |STR_TIME: 2.5353400707244873
> STR_ID: 1r0m |STR_LEN: 3107 |STR_TIME: 2.921510696411133
> STR_ID: 1r0n |STR_LEN: 308 |STR_TIME: 0.5478298664093018
> STR_ID: 1r0o |STR_LEN: 473 |STR_TIME: 0.5875840187072754
> STR_ID: 1r0p |STR_LEN: 503 |STR_TIME: 0.6226067543029785
> STR_ID: 1r0q |STR_LEN: 267 |STR_TIME: 0.3224320411682129
> STR_ID: 1r0r |STR_LEN: 734 |STR_TIME: 1.2522938251495361
> STR_ID: 1r0s |STR_LEN: 568 |STR_TIME: 0.8976888656616211
> STR_ID: 1r0u |STR_LEN: 339 |STR_TIME: 0.35694003105163574
> STR_ID: 1r0v |STR_LEN: 1856 |STR_TIME: 2.0729730129241943
> STR_ID: 1r0w |STR_LEN: 1378 |STR_TIME: 1.9801039695739746
> STR_ID: 1r0x |STR_LEN: 1435 |STR_TIME: 1.9863827228546143
> STR_ID: 1r0y |STR_LEN: 1404 |STR_TIME: 2.0216100215911865
> STR_ID: 1r0z |STR_LEN: 1398 |STR_TIME: 2.10123872756958
> STR_ID: 2r00 |STR_LEN: 1545 |STR_TIME: 1.8140358924865723
> STR_ID: 2r01 |STR_LEN: 426 |STR_TIME: 0.8141908645629883
> STR_ID: 2r02 |STR_LEN: 725 |STR_TIME: 2.263218879699707
> STR_ID: 2r03 |STR_LEN: 728 |STR_TIME: 2.325330972671509
> STR_ID: 2r04 |STR_LEN: 809 |STR_TIME: 1.455840826034546
> STR_ID: 2r05 |STR_LEN: 725 |STR_TIME: 2.255664110183716
> STR_ID: 2r06 |STR_LEN: 810 |STR_TIME: 1.4231250286102295
> STR_ID: 2r07 |STR_LEN: 805 |STR_TIME: 1.4916188716888428
> STR_ID: 2r09 |STR_LEN: 1502 |STR_TIME: 1.5114293098449707
> STR_ID: 2r0b |STR_LEN: 268 |STR_TIME: 0.35458993911743164
> STR_ID: 2r0c |STR_LEN: 938 |STR_TIME: 1.042320728302002
> STR_ID: 2r0d |STR_LEN: 1228 |STR_TIME: 1.4394950866699219
> STR_ID: 2r0f |STR_LEN: 564 |STR_TIME: 0.725085973739624
> STR_ID: 2r0g |STR_LEN: 1397 |STR_TIME: 1.9637320041656494
> STR_ID: 2r0h |STR_LEN: 956 |STR_TIME: 1.2424778938293457
> STR_ID: 2r0i |STR_LEN: 711 |STR_TIME: 1.1166808605194092
> STR_ID: 2r0j |STR_LEN: 316 |STR_TIME: 0.33937573432922363
> STR_ID: 2r0k |STR_LEN: 666 |STR_TIME: 1.2017121315002441
> STR_ID: 2r0l |STR_LEN: 885 |STR_TIME: 1.2541279792785645
> STR_ID: 2r0m |STR_LEN: 440 |STR_TIME: 0.7304017543792725
> STR_ID: 2r0n |STR_LEN: 522 |STR_TIME: 0.7694718837738037
> STR_ID: 2r0o |STR_LEN: 917 |STR_TIME: 1.0053722858428955
> STR_ID: 2r0p |STR_LEN: 696 |STR_TIME: 1.0402030944824219
> STR_ID: 2r0q |STR_LEN: 894 |STR_TIME: 1.987313985824585
> STR_ID: 2r0r |STR_LEN: 261 |STR_TIME: 0.337770938873291
> STR_ID: 2r0s |STR_LEN: 640 |STR_TIME: 0.6651220321655273
> STR_ID: 2r0t |STR_LEN: 1032 |STR_TIME: 1.4550001621246338
> STR_ID: 2r0u |STR_LEN: 524 |STR_TIME: 0.6403450965881348
> STR_ID: 2r0v |STR_LEN: 1282 |STR_TIME: 1.7315647602081299
> STR_ID: 2r0w |STR_LEN: 507 |STR_TIME: 0.8171532154083252
> STR_ID: 2r0x |STR_LEN: 302 |STR_TIME: 0.6781938076019287
> STR_ID: 2r0y |STR_LEN: 554 |STR_TIME: 0.6353621482849121
> STR_ID: 2r0z |STR_LEN: 556 |STR_TIME: 0.8300180435180664
> STR_ID: 3r00 |STR_LEN: 459 |STR_TIME: 0.611149787902832
> STR_ID: 3r01 |STR_LEN: 368 |STR_TIME: 0.6197729110717773
> STR_ID: 3r02 |STR_LEN: 439 |STR_TIME: 1.0046601295471191
> STR_ID: 3r03 |STR_LEN: 309 |STR_TIME: 0.5173859596252441
> STR_ID: 3r04 |STR_LEN: 506 |STR_TIME: 1.0069408416748047
> STR_ID: 3r05 |STR_LEN: 2020 |STR_TIME: 6.501760959625244
> STR_ID: 3r06 |STR_LEN: 2104 |STR_TIME: 5.413055181503296
> STR_ID: 3r07 |STR_LEN: 394 |STR_TIME: 0.7025501728057861
> STR_ID: 3r08 |STR_LEN: 511 |STR_TIME: 0.8953547477722168
> STR_ID: 3r09 |STR_LEN: 357 |STR_TIME: 0.7189898490905762
> STR_ID: 3r0a |STR_LEN: 297 |STR_TIME: 0.557030200958252
> STR_ID: 3r0d |STR_LEN: 661 |STR_TIME: 0.8521699905395508
> STR_ID: 3r0e |STR_LEN: 567 |STR_TIME: 0.7940280437469482
> STR_ID: 3r0f |STR_LEN: 656 |STR_TIME: 2.1289169788360596
> STR_ID: 3r0g |STR_LEN: 558 |STR_TIME: 0.8176450729370117
> STR_ID: 3r0h |STR_LEN: 1811 |STR_TIME: 5.268032073974609
> STR_ID: 3r0i |STR_LEN: 1563 |STR_TIME: 2.6590189933776855
> STR_ID: 3r0j |STR_LEN: 529 |STR_TIME: 1.4803900718688965
> STR_ID: 3r0k |STR_LEN: 1288 |STR_TIME: 2.54227614402771
> STR_ID: 3r0l |STR_LEN: 463 |STR_TIME: 0.47308993339538574
> STR_ID: 3r0m |STR_LEN: 613 |STR_TIME: 0.9415738582611084
> STR_ID: 3r0n |STR_LEN: 264 |STR_TIME: 0.5503616333007812
> STR_ID: 3r0o |STR_LEN: 1356 |STR_TIME: 2.486881971359253
> STR_ID: 3r0p |STR_LEN: 1162 |STR_TIME: 2.3466570377349854
> STR_ID: 3r0q |STR_LEN: 1573 |STR_TIME: 2.5128419399261475
> STR_ID: 3r0r |STR_LEN: 326 |STR_TIME: 0.4996337890625
> STR_ID: 3r0s |STR_LEN: 287 |STR_TIME: 0.8692867755889893
> STR_ID: 3r0t |STR_LEN: 676 |STR_TIME: 1.3022079467773438
> STR_ID: 3r0u |STR_LEN: 1362 |STR_TIME: 2.4706480503082275
> STR_ID: 3r0v |STR_LEN: 561 |STR_TIME: 0.9650359153747559
> STR_ID: 3r0w |STR_LEN: 407 |STR_TIME: 0.4395599365234375
> STR_ID: 3r0x |STR_LEN: 834 |STR_TIME: 0.9015369415283203
> STR_ID: 3r0y |STR_LEN: 392 |STR_TIME: 0.42244768142700195
> STR_ID: 3r0z |STR_LEN: 578 |STR_TIME: 0.8093047142028809
> STR_ID: 4r00 |STR_LEN: 6706 |STR_TIME: 20.40034317970276
> STR_ID: 4r01 |STR_LEN: 591 |STR_TIME: 1.4441730976104736
> STR_ID: 4r02 |STR_LEN: 9063 |STR_TIME: 21.499027252197266
> STR_ID: 4r03 |STR_LEN: 301 |STR_TIME: 0.44491004943847656
> STR_ID: 4r04 |STR_LEN: 1794 |STR_TIME: 5.967094898223877
> STR_ID: 4r05 |STR_LEN: 762 |STR_TIME: 1.015247106552124
> STR_ID: 4r06 |STR_LEN: 685 |STR_TIME: 1.8390300273895264
> STR_ID: 4r07 |STR_LEN: 4453 |STR_TIME: 5.809759140014648
> STR_ID: 4r08 |STR_LEN: 3936 |STR_TIME: 5.829821348190308
> STR_ID: 4r09 |STR_LEN: 3039 |STR_TIME: 5.5993971824646
> STR_ID: 4r0a |STR_LEN: 1096 |STR_TIME: 1.5722129344940186
> STR_ID: 4r0b |STR_LEN: 178 |STR_TIME: 0.5482099056243896
> STR_ID: 4r0c |STR_LEN: 1973 |STR_TIME: 3.327399969100952
> STR_ID: 4r0d |STR_LEN: 885 |STR_TIME: 5.945788145065308
> STR_ID: 4r0e |STR_LEN: 487 |STR_TIME: 1.5228872299194336
> STR_ID: 4r0f |STR_LEN: 400 |STR_TIME: 0.5084822177886963
> STR_ID: 4r0g |STR_LEN: 995 |STR_TIME: 1.770232915878296
> STR_ID: 4r0i |STR_LEN: 329 |STR_TIME: 0.4780120849609375
> STR_ID: 4r0j |STR_LEN: 368 |STR_TIME: 0.7257671356201172
> STR_ID: 4r0k |STR_LEN: 1186 |STR_TIME: 2.140594005584717
> STR_ID: 4r0l |STR_LEN: 701 |STR_TIME: 2.0086748600006104
> STR_ID: 4r0m |STR_LEN: 1220 |STR_TIME: 2.2136948108673096
> STR_ID: 4r0n |STR_LEN: 1207 |STR_TIME: 2.9179651737213135
> STR_ID: 4r0o |STR_LEN: 432 |STR_TIME: 0.7617559432983398
> STR_ID: 4r0p |STR_LEN: 8 |STR_TIME: 0.05128908157348633
> STR_ID: 4r0q |STR_LEN: 1186 |STR_TIME: 2.6090030670166016
> STR_ID: 4r0r |STR_LEN: 56 |STR_TIME: 0.20959186553955078
> STR_ID: 4r0s |STR_LEN: 351 |STR_TIME: 1.0935189723968506
> STR_ID: 4r0t |STR_LEN: 372 |STR_TIME: 1.0974628925323486
> STR_ID: 4r0u |STR_LEN: 14 |STR_TIME: 0.05165886878967285
