>> START_DIR: ./data/s/s0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1s00 |STR_LEN: 1831 |STR_TIME: 3.7484123706817627
> STR_ID: 1s01 |STR_LEN: 494 |STR_TIME: 0.5977108478546143
> STR_ID: 1s02 |STR_LEN: 396 |STR_TIME: 0.568566083908081
> STR_ID: 1s03 |STR_LEN: 369 |STR_TIME: 1.0447931289672852
> STR_ID: 1s04 |STR_LEN: 110 |STR_TIME: 8.682800769805908
> STR_ID: 1s05 |STR_LEN: 130 |STR_TIME: 0.5242619514465332
> STR_ID: 1s06 |STR_LEN: 1194 |STR_TIME: 1.8591082096099854
> STR_ID: 1s07 |STR_LEN: 1105 |STR_TIME: 1.7383832931518555
> STR_ID: 1s08 |STR_LEN: 1225 |STR_TIME: 1.7736189365386963
> STR_ID: 1s09 |STR_LEN: 1429 |STR_TIME: 1.989391803741455
> STR_ID: 1s0a |STR_LEN: 1518 |STR_TIME: 1.944016695022583
> STR_ID: 1s0b |STR_LEN: 2208 |STR_TIME: 2.885427951812744
> STR_ID: 1s0c |STR_LEN: 1870 |STR_TIME: 2.8583250045776367
> STR_ID: 1s0d |STR_LEN: 1837 |STR_TIME: 2.7879998683929443
> STR_ID: 1s0e |STR_LEN: 2147 |STR_TIME: 2.9967780113220215
> STR_ID: 1s0f |STR_LEN: 1698 |STR_TIME: 2.7638280391693115
> STR_ID: 1s0g |STR_LEN: 1656 |STR_TIME: 2.8669049739837646
> STR_ID: 1s0h |STR_LEN: 289 |STR_TIME: 0.6029560565948486
> STR_ID: 1s0i |STR_LEN: 1214 |STR_TIME: 1.4074201583862305
> STR_ID: 1s0j |STR_LEN: 1199 |STR_TIME: 1.4146161079406738
> STR_ID: 1s0l |STR_LEN: 230 |STR_TIME: 0.36785101890563965
> STR_ID: 1s0m |STR_LEN: 1089 |STR_TIME: 1.942451000213623
> STR_ID: 1s0n |STR_LEN: 399 |STR_TIME: 0.9077179431915283
> STR_ID: 1s0o |STR_LEN: 1128 |STR_TIME: 1.8555598258972168
> STR_ID: 1s0p |STR_LEN: 951 |STR_TIME: 0.8918068408966064
> STR_ID: 1s0q |STR_LEN: 584 |STR_TIME: 0.9575512409210205
> STR_ID: 1s0r |STR_LEN: 560 |STR_TIME: 1.019751787185669
> STR_ID: 1s0t |STR_LEN: 20 |STR_TIME: 0.1842508316040039
> STR_ID: 1s0u |STR_LEN: 574 |STR_TIME: 0.8061392307281494
> STR_ID: 1s0v |STR_LEN: 4575 |STR_TIME: 7.852209091186523
> STR_ID: 1s0w |STR_LEN: 1251 |STR_TIME: 1.7646567821502686
> STR_ID: 1s0x |STR_LEN: 508 |STR_TIME: 0.6393997669219971
> STR_ID: 1s0y |STR_LEN: 879 |STR_TIME: 1.521517038345337
> STR_ID: 1s0z |STR_LEN: 337 |STR_TIME: 0.5439400672912598
> STR_ID: 3s00 |STR_LEN: 457 |STR_TIME: 0.6944348812103271
> STR_ID: 3s01 |STR_LEN: 338 |STR_TIME: 0.8570630550384521
> STR_ID: 3s02 |STR_LEN: 446 |STR_TIME: 1.148366928100586
> STR_ID: 3s03 |STR_LEN: 714 |STR_TIME: 2.131783962249756
> STR_ID: 3s04 |STR_LEN: 505 |STR_TIME: 1.6984341144561768
> STR_ID: 3s05 |STR_LEN: 1406 |STR_TIME: 2.005345106124878
> STR_ID: 3s06 |STR_LEN: 713 |STR_TIME: 0.8262138366699219
> STR_ID: 3s0a |STR_LEN: 293 |STR_TIME: 0.5675668716430664
> STR_ID: 3s0b |STR_LEN: 292 |STR_TIME: 0.5688121318817139
> STR_ID: 3s0c |STR_LEN: 2081 |STR_TIME: 4.3489789962768555
> STR_ID: 3s0d |STR_LEN: 291 |STR_TIME: 0.6530270576477051
> STR_ID: 3s0e |STR_LEN: 259 |STR_TIME: 0.5155160427093506
> STR_ID: 3s0f |STR_LEN: 477 |STR_TIME: 0.9251799583435059
> STR_ID: 3s0g |STR_LEN: 421 |STR_TIME: 0.9353477954864502
> STR_ID: 3s0h |STR_LEN: 1273 |STR_TIME: 2.58217716217041
> STR_ID: 3s0i |STR_LEN: 370 |STR_TIME: 0.8851850032806396
> STR_ID: 3s0j |STR_LEN: 1076 |STR_TIME: 1.7224719524383545
> STR_ID: 3s0k |STR_LEN: 498 |STR_TIME: 1.785865068435669
> STR_ID: 3s0m |STR_LEN: 734 |STR_TIME: 1.5172648429870605
> STR_ID: 3s0n |STR_LEN: 401 |STR_TIME: 0.5466737747192383
> STR_ID: 3s0o |STR_LEN: 430 |STR_TIME: 0.6695342063903809
> STR_ID: 3s0p |STR_LEN: 993 |STR_TIME: 1.7831339836120605
> STR_ID: 3s0q |STR_LEN: 452 |STR_TIME: 0.49748826026916504
> STR_ID: 3s0r |STR_LEN: 78 |STR_TIME: 0.14668703079223633
> STR_ID: 3s0t |STR_LEN: 749 |STR_TIME: 1.4695501327514648
> STR_ID: 3s0w |STR_LEN: 408 |STR_TIME: 1.3152868747711182
> STR_ID: 3s0x |STR_LEN: 411 |STR_TIME: 0.7946281433105469
> STR_ID: 3s0y |STR_LEN: 577 |STR_TIME: 1.377427101135254
> STR_ID: 3s0z |STR_LEN: 670 |STR_TIME: 0.9229321479797363
> STR_ID: 4s00 |STR_LEN: 3978 |STR_TIME: 4.146183013916016
> STR_ID: 4s01 |STR_LEN: 3596 |STR_TIME: 4.04428505897522
> STR_ID: 4s02 |STR_LEN: 210 |STR_TIME: 0.6248199939727783
> STR_ID: 4s03 |STR_LEN: 296 |STR_TIME: 0.6229448318481445
> STR_ID: 4s04 |STR_LEN: 1070 |STR_TIME: 4.3289618492126465
> STR_ID: 4s05 |STR_LEN: 494 |STR_TIME: 2.1618359088897705
> STR_ID: 4s06 |STR_LEN: 554 |STR_TIME: 0.8154191970825195
> STR_ID: 4s0f |STR_LEN: 1132 |STR_TIME: 3.015324115753174
> STR_ID: 4s0g |STR_LEN: 422 |STR_TIME: 1.161431074142456
> STR_ID: 4s0h |STR_LEN: 537 |STR_TIME: 1.3751580715179443
> STR_ID: 4s0i |STR_LEN: 154 |STR_TIME: 0.5653769969940186
> STR_ID: 4s0j |STR_LEN: 153 |STR_TIME: 0.5691018104553223
> STR_ID: 4s0k |STR_LEN: 191 |STR_TIME: 0.6046631336212158
> STR_ID: 4s0l |STR_LEN: 152 |STR_TIME: 0.5713348388671875
> STR_ID: 4s0m |STR_LEN: 1992 |STR_TIME: 4.380845069885254
> STR_ID: 4s0n |STR_LEN: 1112 |STR_TIME: 2.197478771209717
> STR_ID: 4s0o |STR_LEN: 475 |STR_TIME: 1.2860779762268066
> STR_ID: 4s0p |STR_LEN: 348 |STR_TIME: 0.6856136322021484
> STR_ID: 4s0q |STR_LEN: 344 |STR_TIME: 0.5360367298126221
> STR_ID: 4s0r |STR_LEN: 6477 |STR_TIME: 12.811889886856079
> STR_ID: 4s0s |STR_LEN: 726 |STR_TIME: 1.558272123336792
> STR_ID: 4s0t |STR_LEN: 746 |STR_TIME: 1.5042939186096191
> STR_ID: 4s0u |STR_LEN: 513 |STR_TIME: 0.937006950378418
> STR_ID: 4s0v |STR_LEN: 508 |STR_TIME: 1.8164029121398926
> STR_ID: 4s0w |STR_LEN: 673 |STR_TIME: 1.47015380859375
> STR_ID: 4s0x |STR_LEN: 830 |STR_TIME: 1.1783862113952637
> STR_ID: 4s0z |STR_LEN: 470 |STR_TIME: 1.0517728328704834
>> FINISH_DIR: ./data/s/s0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 90 |DIR_TIME: 159.00357508659363 

>> START_DIR: ./data/s/s1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1s10 |STR_LEN: 707 |STR_TIME: 0.9789388179779053
> STR_ID: 1s12 |STR_LEN: 743 |STR_TIME: 0.8571958541870117
> STR_ID: 1s13 |STR_LEN: 591 |STR_TIME: 0.9778051376342773
> STR_ID: 1s14 |STR_LEN: 874 |STR_TIME: 0.8785028457641602
> STR_ID: 1s16 |STR_LEN: 1013 |STR_TIME: 1.5984041690826416
> STR_ID: 1s17 |STR_LEN: 543 |STR_TIME: 0.8461019992828369
> STR_ID: 1s18 |STR_LEN: 1170 |STR_TIME: 1.4361488819122314
> STR_ID: 1s19 |STR_LEN: 438 |STR_TIME: 0.6095659732818604
> STR_ID: 1s1a |STR_LEN: 703 |STR_TIME: 1.0179080963134766
> STR_ID: 1s1c |STR_LEN: 556 |STR_TIME: 1.066452980041504
> STR_ID: 1s1d |STR_LEN: 1296 |STR_TIME: 1.6013257503509521
> STR_ID: 1s1e |STR_LEN: 306 |STR_TIME: 0.4571800231933594
> STR_ID: 1s1f |STR_LEN: 730 |STR_TIME: 0.9241080284118652
> STR_ID: 1s1g |STR_LEN: 247 |STR_TIME: 0.508695125579834
> STR_ID: 1s1j |STR_LEN: 501 |STR_TIME: 0.6536660194396973
