>> START_DIR: ./data/h/h0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1h00 |STR_LEN: 490 |STR_TIME: 0.6360886096954346
> STR_ID: 1h01 |STR_LEN: 534 |STR_TIME: 0.6519601345062256
> STR_ID: 1h02 |STR_LEN: 88 |STR_TIME: 0.1817920207977295
> STR_ID: 1h03 |STR_LEN: 426 |STR_TIME: 0.4970531463623047
> STR_ID: 1h04 |STR_LEN: 268 |STR_TIME: 0.28189587593078613
> STR_ID: 1h05 |STR_LEN: 342 |STR_TIME: 0.5935859680175781
> STR_ID: 1h07 |STR_LEN: 488 |STR_TIME: 0.6447370052337646
> STR_ID: 1h08 |STR_LEN: 466 |STR_TIME: 0.6913449764251709
> STR_ID: 1h09 |STR_LEN: 664 |STR_TIME: 0.7544169425964355
> STR_ID: 1h0a |STR_LEN: 368 |STR_TIME: 0.40761899948120117
> STR_ID: 1h0b |STR_LEN: 736 |STR_TIME: 0.9372642040252686
> STR_ID: 1h0c |STR_LEN: 537 |STR_TIME: 0.7599239349365234
> STR_ID: 1h0d |STR_LEN: 903 |STR_TIME: 1.0798590183258057
> STR_ID: 1h0g |STR_LEN: 1623 |STR_TIME: 1.9884672164916992
> STR_ID: 1h0h |STR_LEN: 4110 |STR_TIME: 4.9172749519348145
> STR_ID: 1h0i |STR_LEN: 2047 |STR_TIME: 2.070415735244751
> STR_ID: 1h0j |STR_LEN: 447 |STR_TIME: 0.4634110927581787
> STR_ID: 1h0k |STR_LEN: 1359 |STR_TIME: 1.5269362926483154
> STR_ID: 1h0l |STR_LEN: 112 |STR_TIME: 7.188946962356567
> STR_ID: 1h0m |STR_LEN: 1081 |STR_TIME: 2.068243980407715
> STR_ID: 1h0n |STR_LEN: 402 |STR_TIME: 0.6369869709014893
> STR_ID: 1h0o |STR_LEN: 349 |STR_TIME: 0.6056618690490723
> STR_ID: 1h0p |STR_LEN: 384 |STR_TIME: 0.428333044052124
> STR_ID: 1h0q |STR_LEN: 18 |STR_TIME: 2.49766206741333
> STR_ID: 1h0r |STR_LEN: 297 |STR_TIME: 0.3588390350341797
> STR_ID: 1h0s |STR_LEN: 330 |STR_TIME: 0.358626127243042
> STR_ID: 1h0t |STR_LEN: 116 |STR_TIME: 14.826215744018555
> STR_ID: 1h0v |STR_LEN: 599 |STR_TIME: 1.2396659851074219
> STR_ID: 1h0w |STR_LEN: 417 |STR_TIME: 1.048590898513794
> STR_ID: 1h0x |STR_LEN: 264 |STR_TIME: 0.3611571788787842
> STR_ID: 1h0y |STR_LEN: 96 |STR_TIME: 0.20189213752746582
> STR_ID: 1h0z |STR_LEN: 68 |STR_TIME: 4.512051105499268
> STR_ID: 2h00 |STR_LEN: 843 |STR_TIME: 1.2548871040344238
> STR_ID: 2h01 |STR_LEN: 228 |STR_TIME: 0.35490918159484863
> STR_ID: 2h02 |STR_LEN: 853 |STR_TIME: 1.159726858139038
> STR_ID: 2h03 |STR_LEN: 495 |STR_TIME: 0.6467940807342529
> STR_ID: 2h04 |STR_LEN: 422 |STR_TIME: 0.6142997741699219
> STR_ID: 2h05 |STR_LEN: 41 |STR_TIME: 0.09967994689941406
> STR_ID: 2h06 |STR_LEN: 802 |STR_TIME: 1.1989119052886963
