>> START_DIR: ./data/m/m0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1m00 |STR_LEN: 1324 |STR_TIME: 0.14104509353637695
> STR_ID: 1m01 |STR_LEN: 787 |STR_TIME: 0.7026009559631348
> STR_ID: 1m02 |STR_LEN: 12 |STR_TIME: 0.07726597785949707
> STR_ID: 1m03 |STR_LEN: 801 |STR_TIME: 0.0810701847076416
> STR_ID: 1m04 |STR_LEN: 792 |STR_TIME: 0.08090376853942871
> STR_ID: 1m05 |STR_LEN: 1550 |STR_TIME: 0.18629193305969238
> STR_ID: 1m06 |STR_LEN: 643 |STR_TIME: 0.11240983009338379
> STR_ID: 1m07 |STR_LEN: 553 |STR_TIME: 0.04759931564331055
> STR_ID: 1m08 |STR_LEN: 490 |STR_TIME: 0.042881011962890625
> STR_ID: 1m0b |STR_LEN: 353 |STR_TIME: 0.03707075119018555
> STR_ID: 1m0d |STR_LEN: 1001 |STR_TIME: 0.1305100917816162
> STR_ID: 1m0e |STR_LEN: 597 |STR_TIME: 0.06182694435119629
> STR_ID: 1m0f |STR_LEN: 1179 |STR_TIME: 0.02855682373046875
> STR_ID: 1m0g |STR_LEN: 34 |STR_TIME: 0.16869306564331055
> STR_ID: 1m0i |STR_LEN: 572 |STR_TIME: 0.07413816452026367
> STR_ID: 1m0j |STR_LEN: 31 |STR_TIME: 0.13233399391174316
> STR_ID: 1m0k |STR_LEN: 260 |STR_TIME: 0.11213183403015137
> STR_ID: 1m0l |STR_LEN: 260 |STR_TIME: 0.03877401351928711
> STR_ID: 1m0m |STR_LEN: 260 |STR_TIME: 0.07868289947509766
> STR_ID: 1m0n |STR_LEN: 644 |STR_TIME: 0.06344890594482422
> STR_ID: 1m0o |STR_LEN: 602 |STR_TIME: 0.06249713897705078
> STR_ID: 1m0p |STR_LEN: 572 |STR_TIME: 0.10177898406982422
> STR_ID: 1m0q |STR_LEN: 669 |STR_TIME: 0.06388998031616211
> STR_ID: 1m0s |STR_LEN: 772 |STR_TIME: 0.06534504890441895
> STR_ID: 1m0t |STR_LEN: 1413 |STR_TIME: 0.1764669418334961
> STR_ID: 1m0u |STR_LEN: 713 |STR_TIME: 0.06468009948730469
> STR_ID: 1m0v |STR_LEN: 139 |STR_TIME: 0.8862478733062744
> STR_ID: 1m0w |STR_LEN: 1722 |STR_TIME: 0.21832823753356934
> STR_ID: 1m0z |STR_LEN: 1212 |STR_TIME: 0.08642792701721191
> STR_ID: 2m00 |STR_LEN: 149 |STR_TIME: 1.1158490180969238
> STR_ID: 2m01 |STR_LEN: 59 |STR_TIME: 0.38493800163269043
> STR_ID: 2m02 |STR_LEN: 71 |STR_TIME: 0.29955315589904785
> STR_ID: 2m03 |STR_LEN: 177 |STR_TIME: 1.2878789901733398
> STR_ID: 2m04 |STR_LEN: 199 |STR_TIME: 1.5245330333709717
> STR_ID: 2m05 |STR_LEN: 65 |STR_TIME: 0.5482480525970459
> STR_ID: 2m06 |STR_LEN: 148 |STR_TIME: 1.1213808059692383
> STR_ID: 2m07 |STR_LEN: 148 |STR_TIME: 1.0877580642700195
> STR_ID: 2m08 |STR_LEN: 93 |STR_TIME: 0.7977709770202637
> STR_ID: 2m09 |STR_LEN: 121 |STR_TIME: 0.4947340488433838
> STR_ID: 2m0a |STR_LEN: 114 |STR_TIME: 0.8833260536193848
> STR_ID: 2m0b |STR_LEN: 88 |STR_TIME: 0.7051620483398438
> STR_ID: 2m0c |STR_LEN: 75 |STR_TIME: 0.6438791751861572
> STR_ID: 2m0d |STR_LEN: 31 |STR_TIME: 0.26667213439941406
> STR_ID: 2m0e |STR_LEN: 30 |STR_TIME: 0.18360185623168945
