>> START_DIR: ./data/p/p0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1p00 |STR_LEN: 44 |STR_TIME: 1.348179817199707
> STR_ID: 1p01 |STR_LEN: 341 |STR_TIME: 0.4403877258300781
> STR_ID: 1p02 |STR_LEN: 349 |STR_TIME: 0.3954951763153076
> STR_ID: 1p03 |STR_LEN: 344 |STR_TIME: 0.44763970375061035
> STR_ID: 1p04 |STR_LEN: 344 |STR_TIME: 0.3886568546295166
> STR_ID: 1p05 |STR_LEN: 377 |STR_TIME: 0.4005279541015625
> STR_ID: 1p06 |STR_LEN: 366 |STR_TIME: 0.39142823219299316
> STR_ID: 1p09 |STR_LEN: 368 |STR_TIME: 0.3826780319213867
> STR_ID: 1p0a |STR_LEN: 44 |STR_TIME: 1.2777390480041504
> STR_ID: 1p0b |STR_LEN: 748 |STR_TIME: 0.8214199542999268
> STR_ID: 1p0c |STR_LEN: 1059 |STR_TIME: 1.3629889488220215
> STR_ID: 1p0d |STR_LEN: 722 |STR_TIME: 0.7703261375427246
> STR_ID: 1p0e |STR_LEN: 481 |STR_TIME: 0.6928830146789551
> STR_ID: 1p0f |STR_LEN: 1149 |STR_TIME: 1.4006140232086182
> STR_ID: 1p0g |STR_LEN: 20 |STR_TIME: 1.4131317138671875
> STR_ID: 1p0h |STR_LEN: 690 |STR_TIME: 0.7019619941711426
> STR_ID: 1p0i |STR_LEN: 1024 |STR_TIME: 1.236717939376831
> STR_ID: 1p0j |STR_LEN: 20 |STR_TIME: 1.4609861373901367
> STR_ID: 1p0k |STR_LEN: 1155 |STR_TIME: 1.1807920932769775
> STR_ID: 1p0l |STR_LEN: 20 |STR_TIME: 1.4449028968811035
> STR_ID: 1p0m |STR_LEN: 804 |STR_TIME: 1.134835958480835
> STR_ID: 1p0n |STR_LEN: 614 |STR_TIME: 1.0695312023162842
> STR_ID: 1p0o |STR_LEN: 20 |STR_TIME: 1.4912421703338623
> STR_ID: 1p0p |STR_LEN: 874 |STR_TIME: 1.1082749366760254
> STR_ID: 1p0q |STR_LEN: 821 |STR_TIME: 1.089261770248413
> STR_ID: 1p0r |STR_LEN: 73 |STR_TIME: 0.2895071506500244
> STR_ID: 1p0s |STR_LEN: 529 |STR_TIME: 0.951552152633667
> STR_ID: 1p0u |STR_LEN: 13 |STR_TIME: 0.8710532188415527
> STR_ID: 1p0v |STR_LEN: 2296 |STR_TIME: 1.9993999004364014
> STR_ID: 1p0w |STR_LEN: 2311 |STR_TIME: 2.052536964416504
> STR_ID: 1p0x |STR_LEN: 2129 |STR_TIME: 1.955488920211792
> STR_ID: 1p0y |STR_LEN: 1968 |STR_TIME: 2.6696269512176514
> STR_ID: 1p0z |STR_LEN: 2923 |STR_TIME: 2.9456350803375244
> STR_ID: 2p01 |STR_LEN: 323 |STR_TIME: 21.77531909942627
> STR_ID: 2p02 |STR_LEN: 894 |STR_TIME: 1.544529914855957
> STR_ID: 2p03 |STR_LEN: 323 |STR_TIME: 1.1306109428405762
> STR_ID: 2p04 |STR_LEN: 267 |STR_TIME: 0.4314587116241455
> STR_ID: 2p05 |STR_LEN: 67 |STR_TIME: 0.1856379508972168
> STR_ID: 2p06 |STR_LEN: 299 |STR_TIME: 0.6335139274597168
> STR_ID: 2p08 |STR_LEN: 330 |STR_TIME: 0.44107890129089355
> STR_ID: 2p09 |STR_LEN: 183 |STR_TIME: 0.214324951171875
> STR_ID: 2p0a |STR_LEN: 1060 |STR_TIME: 1.2151050567626953
> STR_ID: 2p0b |STR_LEN: 331 |STR_TIME: 0.39650583267211914
> STR_ID: 2p0c |STR_LEN: 667 |STR_TIME: 1.6671769618988037
> STR_ID: 2p0d |STR_LEN: 180 |STR_TIME: 0.25606393814086914
> STR_ID: 2p0e |STR_LEN: 360 |STR_TIME: 0.4622621536254883
> STR_ID: 2p0f |STR_LEN: 168 |STR_TIME: 0.2620983123779297
> STR_ID: 2p0g |STR_LEN: 424 |STR_TIME: 0.642319917678833
> STR_ID: 2p0h |STR_LEN: 191 |STR_TIME: 0.273026704788208
> STR_ID: 2p0i |STR_LEN: 4199 |STR_TIME: 5.910982131958008
> STR_ID: 2p0j |STR_LEN: 755 |STR_TIME: 0.9541099071502686
> STR_ID: 2p0k |STR_LEN: 425 |STR_TIME: 0.47451090812683105
> STR_ID: 2p0l |STR_LEN: 345 |STR_TIME: 0.5183320045471191
> STR_ID: 2p0m |STR_LEN: 1545 |STR_TIME: 2.398832082748413
> STR_ID: 2p0n |STR_LEN: 753 |STR_TIME: 1.41487717628479
> STR_ID: 2p0o |STR_LEN: 550 |STR_TIME: 0.7025952339172363
> STR_ID: 2p0p |STR_LEN: 126 |STR_TIME: 7.983690977096558
> STR_ID: 2p0q |STR_LEN: 126 |STR_TIME: 8.061180114746094
> STR_ID: 2p0r |STR_LEN: 921 |STR_TIME: 1.2453961372375488
> STR_ID: 2p0s |STR_LEN: 441 |STR_TIME: 0.9126889705657959
> STR_ID: 2p0t |STR_LEN: 170 |STR_TIME: 0.3128509521484375
> STR_ID: 2p0u |STR_LEN: 1360 |STR_TIME: 1.4587819576263428
> STR_ID: 2p0v |STR_LEN: 1354 |STR_TIME: 1.8570091724395752
> STR_ID: 2p0w |STR_LEN: 1455 |STR_TIME: 1.4956841468811035
> STR_ID: 2p0x |STR_LEN: 66 |STR_TIME: 4.3902928829193115
> STR_ID: 2p0y |STR_LEN: 240 |STR_TIME: 0.47298622131347656
> STR_ID: 3p01 |STR_LEN: 564 |STR_TIME: 1.5794172286987305
> STR_ID: 3p02 |STR_LEN: 804 |STR_TIME: 1.3093960285186768
> STR_ID: 3p03 |STR_LEN: 1489 |STR_TIME: 4.529079914093018
> STR_ID: 3p04 |STR_LEN: 239 |STR_TIME: 0.5380251407623291
> STR_ID: 3p05 |STR_LEN: 1043 |STR_TIME: 1.766042709350586
> STR_ID: 3p06 |STR_LEN: 248 |STR_TIME: 0.6590559482574463
> STR_ID: 3p08 |STR_LEN: 650 |STR_TIME: 1.7043211460113525
> STR_ID: 3p09 |STR_LEN: 913 |STR_TIME: 1.7932019233703613
> STR_ID: 3p0a |STR_LEN: 3952 |STR_TIME: 1.3060369491577148
> STR_ID: 3p0b |STR_LEN: 1196 |STR_TIME: 2.0306129455566406
> STR_ID: 3p0c |STR_LEN: 368 |STR_TIME: 0.7877068519592285
> STR_ID: 3p0e |STR_LEN: 2093 |STR_TIME: 3.0684101581573486
> STR_ID: 3p0f |STR_LEN: 601 |STR_TIME: 0.6249549388885498
> STR_ID: 3p0g |STR_LEN: 406 |STR_TIME: 0.7552623748779297
> STR_ID: 3p0h |STR_LEN: 1265 |STR_TIME: 3.922703981399536
> STR_ID: 3p0i |STR_LEN: 1211 |STR_TIME: 2.1106209754943848
> STR_ID: 3p0j |STR_LEN: 2572 |STR_TIME: 4.348190069198608
> STR_ID: 3p0k |STR_LEN: 456 |STR_TIME: 0.6349151134490967
> STR_ID: 3p0l |STR_LEN: 808 |STR_TIME: 1.3603549003601074
