>> START_DIR: ./data/n/n0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1n00 |STR_LEN: 502 |STR_TIME: 0.8167550563812256
> STR_ID: 1n02 |STR_LEN: 102 |STR_TIME: 9.713359117507935
> STR_ID: 1n03 |STR_LEN: 2128 |STR_TIME: 1.187690019607544
> STR_ID: 1n04 |STR_LEN: 742 |STR_TIME: 1.5891168117523193
> STR_ID: 1n05 |STR_LEN: 272 |STR_TIME: 0.38649797439575195
> STR_ID: 1n06 |STR_LEN: 466 |STR_TIME: 0.6783010959625244
> STR_ID: 1n07 |STR_LEN: 395 |STR_TIME: 0.695530891418457
> STR_ID: 1n08 |STR_LEN: 584 |STR_TIME: 0.7168111801147461
> STR_ID: 1n09 |STR_LEN: 12 |STR_TIME: 0.6723132133483887
> STR_ID: 1n0a |STR_LEN: 13 |STR_TIME: 0.7668180465698242
> STR_ID: 1n0c |STR_LEN: 12 |STR_TIME: 0.7616109848022461
> STR_ID: 1n0d |STR_LEN: 12 |STR_TIME: 0.8883450031280518
> STR_ID: 1n0e |STR_LEN: 1664 |STR_TIME: 2.4337961673736572
> STR_ID: 1n0f |STR_LEN: 1286 |STR_TIME: 2.4209001064300537
> STR_ID: 1n0g |STR_LEN: 359 |STR_TIME: 0.62654709815979
> STR_ID: 1n0h |STR_LEN: 2041 |STR_TIME: 3.429548978805542
> STR_ID: 1n0i |STR_LEN: 685 |STR_TIME: 0.99692702293396
> STR_ID: 1n0j |STR_LEN: 567 |STR_TIME: 1.2293035984039307
> STR_ID: 1n0k |STR_LEN: 26 |STR_TIME: 0.3119778633117676
> STR_ID: 1n0l |STR_LEN: 819 |STR_TIME: 1.50140380859375
> STR_ID: 1n0n |STR_LEN: 739 |STR_TIME: 1.318514108657837
> STR_ID: 1n0o |STR_LEN: 26 |STR_TIME: 2.0251200199127197
> STR_ID: 1n0q |STR_LEN: 369 |STR_TIME: 0.42180824279785156
> STR_ID: 1n0r |STR_LEN: 214 |STR_TIME: 0.3062880039215088
> STR_ID: 1n0s |STR_LEN: 447 |STR_TIME: 0.781710147857666
> STR_ID: 1n0t |STR_LEN: 1986 |STR_TIME: 2.5830540657043457
> STR_ID: 1n0u |STR_LEN: 1314 |STR_TIME: 1.8671300411224365
> STR_ID: 1n0v |STR_LEN: 1650 |STR_TIME: 4.127300024032593
> STR_ID: 1n0w |STR_LEN: 504 |STR_TIME: 0.6731090545654297
> STR_ID: 1n0x |STR_LEN: 1656 |STR_TIME: 2.467371940612793
> STR_ID: 1n0y |STR_LEN: 331 |STR_TIME: 0.697052001953125
> STR_ID: 1n0z |STR_LEN: 46 |STR_TIME: 3.1611781120300293
> STR_ID: 2n00 |STR_LEN: 95 |STR_TIME: 6.688334226608276
> STR_ID: 2n01 |STR_LEN: 129 |STR_TIME: 12.732283115386963
> STR_ID: 2n02 |STR_LEN: 170 |STR_TIME: 13.20004677772522
> STR_ID: 2n03 |STR_LEN: 215 |STR_TIME: 16.1546528339386
> STR_ID: 2n04 |STR_LEN: 105 |STR_TIME: 8.242402076721191
> STR_ID: 2n05 |STR_LEN: 105 |STR_TIME: 8.019545793533325
> STR_ID: 2n06 |STR_LEN: 90 |STR_TIME: 7.118465900421143
> STR_ID: 2n07 |STR_LEN: 22 |STR_TIME: 1.307042121887207
> STR_ID: 2n08 |STR_LEN: 12 |STR_TIME: 0.7640831470489502
> STR_ID: 2n09 |STR_LEN: 12 |STR_TIME: 0.39476776123046875
> STR_ID: 2n0a |STR_LEN: 1400 |STR_TIME: 4.840663194656372
> STR_ID: 2n0b |STR_LEN: 10 |STR_TIME: 0.6141061782836914
> STR_ID: 2n0c |STR_LEN: 10 |STR_TIME: 0.5841500759124756
> STR_ID: 2n0d |STR_LEN: 10 |STR_TIME: 0.6682181358337402
> STR_ID: 2n0e |STR_LEN: 10 |STR_TIME: 0.6697442531585693
> STR_ID: 2n0f |STR_LEN: 10 |STR_TIME: 0.7196962833404541
> STR_ID: 2n0g |STR_LEN: 10 |STR_TIME: 0.6707119941711426
> STR_ID: 2n0h |STR_LEN: 10 |STR_TIME: 0.6671488285064697
> STR_ID: 2n0i |STR_LEN: 12 |STR_TIME: 0.6107339859008789
> STR_ID: 2n0j |STR_LEN: 28 |STR_TIME: 4.294966697692871
> STR_ID: 2n0k |STR_LEN: 178 |STR_TIME: 5.946666955947876
> STR_ID: 2n0m |STR_LEN: 131 |STR_TIME: 4.410195827484131
> STR_ID: 2n0n |STR_LEN: 12 |STR_TIME: 0.8397231101989746
> STR_ID: 2n0o |STR_LEN: 19 |STR_TIME: 0.7025792598724365
> STR_ID: 2n0q |STR_LEN: 24 |STR_TIME: 1.9381930828094482
> STR_ID: 2n0r |STR_LEN: 23 |STR_TIME: 1.644989252090454
> STR_ID: 2n0s |STR_LEN: 503 |STR_TIME: 7.117880821228027
> STR_ID: 2n0t |STR_LEN: 165 |STR_TIME: 23.603057146072388
> STR_ID: 2n0u |STR_LEN: 90 |STR_TIME: 7.245511293411255
> STR_ID: 2n0v |STR_LEN: 10 |STR_TIME: 0.5910239219665527
> STR_ID: 2n0w |STR_LEN: 90 |STR_TIME: 7.082736015319824
> STR_ID: 2n0x |STR_LEN: 16 |STR_TIME: 1.6180579662322998
> STR_ID: 2n0y |STR_LEN: 139 |STR_TIME: 9.983556747436523
> STR_ID: 2n0z |STR_LEN: 43 |STR_TIME: 3.4276039600372314
> STR_ID: 3n00 |STR_LEN: 267 |STR_TIME: 0.4709031581878662
> STR_ID: 3n01 |STR_LEN: 383 |STR_TIME: 0.7917640209197998
> STR_ID: 3n02 |STR_LEN: 427 |STR_TIME: 0.8120777606964111
> STR_ID: 3n03 |STR_LEN: 431 |STR_TIME: 0.8066160678863525
> STR_ID: 3n04 |STR_LEN: 2155 |STR_TIME: 5.27965784072876
> STR_ID: 3n05 |STR_LEN: 1190 |STR_TIME: 2.3467280864715576
> STR_ID: 3n06 |STR_LEN: 669 |STR_TIME: 0.9727551937103271
> STR_ID: 3n07 |STR_LEN: 1027 |STR_TIME: 2.684929132461548
> STR_ID: 3n08 |STR_LEN: 896 |STR_TIME: 1.9500808715820312
> STR_ID: 3n0a |STR_LEN: 551 |STR_TIME: 1.391106128692627
> STR_ID: 3n0b |STR_LEN: 909 |STR_TIME: 3.2868919372558594
> STR_ID: 3n0c |STR_LEN: 916 |STR_TIME: 3.3385918140411377
> STR_ID: 3n0d |STR_LEN: 487 |STR_TIME: 0.6832671165466309
> STR_ID: 3n0e |STR_LEN: 561 |STR_TIME: 0.7079610824584961
> STR_ID: 3n0f |STR_LEN: 1386 |STR_TIME: 2.2201571464538574
> STR_ID: 3n0g |STR_LEN: 1375 |STR_TIME: 2.212855100631714
> STR_ID: 3n0h |STR_LEN: 282 |STR_TIME: 0.4621448516845703
> STR_ID: 3n0i |STR_LEN: 1088 |STR_TIME: 2.2729651927948
> STR_ID: 3n0k |STR_LEN: 401 |STR_TIME: 0.41574597358703613
> STR_ID: 3n0l |STR_LEN: 1313 |STR_TIME: 1.7995758056640625
> STR_ID: 3n0m |STR_LEN: 577 |STR_TIME: 1.9993066787719727
> STR_ID: 3n0n |STR_LEN: 567 |STR_TIME: 1.6232528686523438
> STR_ID: 3n0p |STR_LEN: 727 |STR_TIME: 0.9732611179351807
> STR_ID: 3n0q |STR_LEN: 879 |STR_TIME: 1.8369429111480713
> STR_ID: 3n0r |STR_LEN: 540 |STR_TIME: 1.1716160774230957
> STR_ID: 3n0s |STR_LEN: 1441 |STR_TIME: 2.277385950088501
> STR_ID: 3n0t |STR_LEN: 2056 |STR_TIME: 6.394209861755371
> STR_ID: 3n0u |STR_LEN: 1306 |STR_TIME: 3.8716180324554443
> STR_ID: 3n0v |STR_LEN: 1538 |STR_TIME: 4.385654926300049
> STR_ID: 3n0w |STR_LEN: 1478 |STR_TIME: 2.9549310207366943
> STR_ID: 3n0x |STR_LEN: 900 |STR_TIME: 1.8139798641204834
> STR_ID: 3n0y |STR_LEN: 512 |STR_TIME: 1.5529232025146484
> STR_ID: 3n0z |STR_LEN: 553 |STR_TIME: 0.969890832901001
> STR_ID: 4n00 |STR_LEN: 575 |STR_TIME: 0.8417360782623291
> STR_ID: 4n01 |STR_LEN: 1089 |STR_TIME: 2.5101981163024902
> STR_ID: 4n02 |STR_LEN: 705 |STR_TIME: 1.4783532619476318
> STR_ID: 4n03 |STR_LEN: 858 |STR_TIME: 1.7637338638305664
> STR_ID: 4n04 |STR_LEN: 267 |STR_TIME: 0.8599250316619873
> STR_ID: 4n05 |STR_LEN: 660 |STR_TIME: 2.2755188941955566
> STR_ID: 4n06 |STR_LEN: 1048 |STR_TIME: 2.893087148666382
> STR_ID: 4n07 |STR_LEN: 1507 |STR_TIME: 1.9830429553985596
> STR_ID: 4n08 |STR_LEN: 487 |STR_TIME: 0.7480020523071289
> STR_ID: 4n09 |STR_LEN: 1535 |STR_TIME: 2.75622820854187
> STR_ID: 4n0a |STR_LEN: 1589 |STR_TIME: 3.2673511505126953
> STR_ID: 4n0b |STR_LEN: 1925 |STR_TIME: 7.239812135696411
> STR_ID: 4n0c |STR_LEN: 1235 |STR_TIME: 4.417240858078003
> STR_ID: 4n0d |STR_LEN: 705 |STR_TIME: 0.8707828521728516
> STR_ID: 4n0e |STR_LEN: 455 |STR_TIME: 0.7641839981079102
> STR_ID: 4n0f |STR_LEN: 3784 |STR_TIME: 7.422863006591797
> STR_ID: 4n0g |STR_LEN: 1140 |STR_TIME: 3.210082769393921
> STR_ID: 4n0h |STR_LEN: 1131 |STR_TIME: 3.1612839698791504
> STR_ID: 4n0i |STR_LEN: 1189 |STR_TIME: 3.156820774078369
> STR_ID: 4n0j |STR_LEN: 464 |STR_TIME: 0.6924600601196289
> STR_ID: 4n0k |STR_LEN: 569 |STR_TIME: 1.3268101215362549
> STR_ID: 4n0l |STR_LEN: 852 |STR_TIME: 2.4826018810272217
> STR_ID: 4n0m |STR_LEN: 369 |STR_TIME: 0.45952892303466797
> STR_ID: 4n0n |STR_LEN: 661 |STR_TIME: 1.506824254989624
> STR_ID: 4n0o |STR_LEN: 2462 |STR_TIME: 3.4365170001983643
> STR_ID: 4n0p |STR_LEN: 1646 |STR_TIME: 2.2335071563720703
> STR_ID: 4n0q |STR_LEN: 1878 |STR_TIME: 4.5139288902282715
> STR_ID: 4n0r |STR_LEN: 2305 |STR_TIME: 4.340208053588867
> STR_ID: 4n0s |STR_LEN: 761 |STR_TIME: 2.238598108291626
> STR_ID: 4n0t |STR_LEN: 1125 |STR_TIME: 1.4795911312103271
> STR_ID: 4n0u |STR_LEN: 1163 |STR_TIME: 4.237842321395874
> STR_ID: 4n0v |STR_LEN: 636 |STR_TIME: 0.9150960445404053
> STR_ID: 4n0w |STR_LEN: 3161 |STR_TIME: 6.372684955596924
> STR_ID: 4n0x |STR_LEN: 486 |STR_TIME: 0.6465258598327637
> STR_ID: 4n0y |STR_LEN: 794 |STR_TIME: 1.0218040943145752
> STR_ID: 4n0z |STR_LEN: 217 |STR_TIME: 0.30918383598327637
> STR_ID: 5n00 |STR_LEN: 1984 |STR_TIME: 3.572628974914551
> STR_ID: 5n01 |STR_LEN: 2138 |STR_TIME: 3.6182661056518555
> STR_ID: 5n02 |STR_LEN: 2014 |STR_TIME: 3.63120174407959
> STR_ID: 5n03 |STR_LEN: 1995 |STR_TIME: 1.9630088806152344
> STR_ID: 5n04 |STR_LEN: 662 |STR_TIME: 0.8016719818115234
> STR_ID: 5n05 |STR_LEN: 635 |STR_TIME: 0.7136452198028564
> STR_ID: 5n06 |STR_LEN: 254 |STR_TIME: 0.6526951789855957
> STR_ID: 5n07 |STR_LEN: 171 |STR_TIME: 0.5042510032653809
> STR_ID: 5n08 |STR_LEN: 635 |STR_TIME: 2.0212621688842773
> STR_ID: 5n0d |STR_LEN: 503 |STR_TIME: 0.6017611026763916
> STR_ID: 5n0e |STR_LEN: 493 |STR_TIME: 0.6002171039581299
> STR_ID: 5n0h |STR_LEN: 882 |STR_TIME: 1.0620388984680176
> STR_ID: 5n0i |STR_LEN: 1051 |STR_TIME: 2.0604050159454346
> STR_ID: 5n0m |STR_LEN: 819 |STR_TIME: 1.2599539756774902
> STR_ID: 5n0y |STR_LEN: 881 |STR_TIME: 1.3228387832641602
> STR_ID: 5n0z |STR_LEN: 842 |STR_TIME: 1.3516380786895752
>> FINISH_DIR: ./data/n/n0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 151 |DIR_TIME: 401.33842420578003 

>> START_DIR: ./data/n/n1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1n10 |STR_LEN: 458 |STR_TIME: 0.9304609298706055
> STR_ID: 1n11 |STR_LEN: 414 |STR_TIME: 0.8153531551361084
> STR_ID: 1n12 |STR_LEN: 436 |STR_TIME: 0.7029421329498291
> STR_ID: 1n13 |STR_LEN: 1705 |STR_TIME: 2.055772066116333
> STR_ID: 1n14 |STR_LEN: 26 |STR_TIME: 4.250066757202148
> STR_ID: 1n15 |STR_LEN: 1081 |STR_TIME: 2.12919020652771
> STR_ID: 1n17 |STR_LEN: 26 |STR_TIME: 4.2622761726379395
> STR_ID: 1n18 |STR_LEN: 2940 |STR_TIME: 3.333665132522583
> STR_ID: 1n19 |STR_LEN: 573 |STR_TIME: 0.6943020820617676
> STR_ID: 1n1a |STR_LEN: 297 |STR_TIME: 0.5103509426116943
> STR_ID: 1n1b |STR_LEN: 1636 |STR_TIME: 2.4292421340942383
> STR_ID: 1n1c |STR_LEN: 543 |STR_TIME: 0.855769157409668
> STR_ID: 1n1d |STR_LEN: 680 |STR_TIME: 1.1235198974609375
> STR_ID: 1n1e |STR_LEN: 1006 |STR_TIME: 1.411299228668213
> STR_ID: 1n1f |STR_LEN: 318 |STR_TIME: 0.3914670944213867
> STR_ID: 1n1g |STR_LEN: 431 |STR_TIME: 0.7175557613372803
> STR_ID: 1n1h |STR_LEN: 1457 |STR_TIME: 2.719092845916748
> STR_ID: 1n1i |STR_LEN: 673 |STR_TIME: 0.8401889801025391
> STR_ID: 1n1j |STR_LEN: 464 |STR_TIME: 0.46527814865112305
> STR_ID: 1n1k |STR_LEN: 12 |STR_TIME: 0.8521819114685059
> STR_ID: 1n1l |STR_LEN: 480 |STR_TIME: 0.7525229454040527
> STR_ID: 1n1m |STR_LEN: 2421 |STR_TIME: 3.421424150466919
> STR_ID: 1n1n |STR_LEN: 21 |STR_TIME: 0.20493316650390625
> STR_ID: 1n1o |STR_LEN: 222 |STR_TIME: 0.3617730140686035
> STR_ID: 1n1p |STR_LEN: 1322 |STR_TIME: 3.458132028579712
> STR_ID: 1n1q |STR_LEN: 1071 |STR_TIME: 1.342362880706787
> STR_ID: 1n1s |STR_LEN: 1259 |STR_TIME: 1.422926902770996
> STR_ID: 1n1t |STR_LEN: 1292 |STR_TIME: 1.5006730556488037
> STR_ID: 1n1u |STR_LEN: 29 |STR_TIME: 1.6652030944824219
> STR_ID: 1n1v |STR_LEN: 926 |STR_TIME: 1.4071972370147705
> STR_ID: 1n1x |STR_LEN: 265 |STR_TIME: 0.3400132656097412
> STR_ID: 1n1y |STR_LEN: 629 |STR_TIME: 1.2462809085845947
> STR_ID: 1n1z |STR_LEN: 1354 |STR_TIME: 2.967156171798706
> STR_ID: 2n10 |STR_LEN: 52 |STR_TIME: 4.776779890060425
> STR_ID: 2n11 |STR_LEN: 74 |STR_TIME: 5.474753141403198
> STR_ID: 2n12 |STR_LEN: 82 |STR_TIME: 6.193993806838989
> STR_ID: 2n13 |STR_LEN: 238 |STR_TIME: 18.56709575653076
> STR_ID: 2n14 |STR_LEN: 90 |STR_TIME: 7.358731031417847
> STR_ID: 2n16 |STR_LEN: 20 |STR_TIME: 0.7751638889312744
> STR_ID: 2n17 |STR_LEN: 56 |STR_TIME: 1.9073200225830078
> STR_ID: 2n18 |STR_LEN: 513 |STR_TIME: 30.893850088119507
> STR_ID: 2n19 |STR_LEN: 88 |STR_TIME: 6.295927047729492
> STR_ID: 2n1a |STR_LEN: 158 |STR_TIME: 3.843756914138794
> STR_ID: 2n1b |STR_LEN: 216 |STR_TIME: 8.069929838180542
> STR_ID: 2n1c |STR_LEN: 23 |STR_TIME: 1.687777042388916
> STR_ID: 2n1d |STR_LEN: 226 |STR_TIME: 16.93128490447998
> STR_ID: 2n1e |STR_LEN: 168 |STR_TIME: 14.3575119972229
> STR_ID: 2n1f |STR_LEN: 1335 |STR_TIME: 34.424532890319824
> STR_ID: 2n1g |STR_LEN: 110 |STR_TIME: 8.542764902114868
> STR_ID: 2n1h |STR_LEN: 94 |STR_TIME: 6.88556981086731
> STR_ID: 2n1i |STR_LEN: 176 |STR_TIME: 12.433050155639648
> STR_ID: 2n1k |STR_LEN: 106 |STR_TIME: 9.141453981399536
> STR_ID: 2n1l |STR_LEN: 115 |STR_TIME: 0.494858980178833
> STR_ID: 2n1m |STR_LEN: 151 |STR_TIME: 10.597725868225098
> STR_ID: 2n1n |STR_LEN: 35 |STR_TIME: 2.6335368156433105
> STR_ID: 2n1o |STR_LEN: 41 |STR_TIME: 2.9326488971710205
> STR_ID: 2n1p |STR_LEN: 30 |STR_TIME: 4.764981985092163
> STR_ID: 2n1q |STR_LEN: 155 |STR_TIME: 23.30147075653076
> STR_ID: 2n1r |STR_LEN: 135 |STR_TIME: 10.04190182685852
> STR_ID: 2n1s |STR_LEN: 30 |STR_TIME: 1.7377970218658447
> STR_ID: 2n1t |STR_LEN: 448 |STR_TIME: 8.45367693901062
> STR_ID: 2n1u |STR_LEN: 71 |STR_TIME: 4.061349153518677
> STR_ID: 2n1v |STR_LEN: 97 |STR_TIME: 7.056301116943359
> STR_ID: 2n1w |STR_LEN: 93 |STR_TIME: 6.760417699813843
> STR_ID: 3n10 |STR_LEN: 530 |STR_TIME: 0.8292319774627686
> STR_ID: 3n11 |STR_LEN: 667 |STR_TIME: 0.7694101333618164
> STR_ID: 3n12 |STR_LEN: 639 |STR_TIME: 0.8191721439361572
> STR_ID: 3n13 |STR_LEN: 474 |STR_TIME: 0.8733558654785156
> STR_ID: 3n14 |STR_LEN: 658 |STR_TIME: 0.8282339572906494
> STR_ID: 3n15 |STR_LEN: 519 |STR_TIME: 0.7274329662322998
> STR_ID: 3n17 |STR_LEN: 619 |STR_TIME: 0.7638680934906006
> STR_ID: 3n18 |STR_LEN: 652 |STR_TIME: 0.7921037673950195
> STR_ID: 3n19 |STR_LEN: 1298 |STR_TIME: 4.078460931777954
> STR_ID: 3n1a |STR_LEN: 424 |STR_TIME: 0.7072010040283203
> STR_ID: 3n1b |STR_LEN: 326 |STR_TIME: 0.5997869968414307
> STR_ID: 3n1c |STR_LEN: 2232 |STR_TIME: 4.581761121749878
> STR_ID: 3n1d |STR_LEN: 498 |STR_TIME: 0.6117022037506104
> STR_ID: 3n1e |STR_LEN: 620 |STR_TIME: 0.7086341381072998
> STR_ID: 3n1f |STR_LEN: 1261 |STR_TIME: 3.0479609966278076
> STR_ID: 3n1g |STR_LEN: 1222 |STR_TIME: 2.1143620014190674
> STR_ID: 3n1h |STR_LEN: 232 |STR_TIME: 0.3960230350494385
> STR_ID: 3n1i |STR_LEN: 206 |STR_TIME: 0.4276251792907715
> STR_ID: 3n1j |STR_LEN: 230 |STR_TIME: 0.4241039752960205
> STR_ID: 3n1k |STR_LEN: 226 |STR_TIME: 0.4321479797363281
> STR_ID: 3n1l |STR_LEN: 230 |STR_TIME: 0.4435689449310303
> STR_ID: 3n1m |STR_LEN: 627 |STR_TIME: 1.45993971824646
> STR_ID: 3n1n |STR_LEN: 502 |STR_TIME: 0.621049165725708
> STR_ID: 3n1o |STR_LEN: 574 |STR_TIME: 0.9692819118499756
> STR_ID: 3n1p |STR_LEN: 259 |STR_TIME: 0.5647459030151367
> STR_ID: 3n1q |STR_LEN: 723 |STR_TIME: 2.610290050506592
> STR_ID: 3n1r |STR_LEN: 198 |STR_TIME: 0.6123561859130859
> STR_ID: 3n1s |STR_LEN: 2032 |STR_TIME: 2.4142940044403076
> STR_ID: 3n1t |STR_LEN: 779 |STR_TIME: 1.0354628562927246
> STR_ID: 3n1u |STR_LEN: 257 |STR_TIME: 0.7427341938018799
> STR_ID: 3n1v |STR_LEN: 461 |STR_TIME: 0.7724151611328125
> STR_ID: 3n1w |STR_LEN: 401 |STR_TIME: 0.7640612125396729
> STR_ID: 3n1x |STR_LEN: 1045 |STR_TIME: 1.9176437854766846
> STR_ID: 3n1y |STR_LEN: 1095 |STR_TIME: 2.023076057434082
> STR_ID: 3n1z |STR_LEN: 1004 |STR_TIME: 1.848846197128296
> STR_ID: 4n10 |STR_LEN: 187 |STR_TIME: 0.3238048553466797
> STR_ID: 4n11 |STR_LEN: 192 |STR_TIME: 0.3088192939758301
> STR_ID: 4n12 |STR_LEN: 358 |STR_TIME: 0.4568610191345215
> STR_ID: 4n13 |STR_LEN: 393 |STR_TIME: 1.564201831817627
> STR_ID: 4n14 |STR_LEN: 395 |STR_TIME: 1.8009562492370605
> STR_ID: 4n15 |STR_LEN: 605 |STR_TIME: 1.7413530349731445
> STR_ID: 4n16 |STR_LEN: 520 |STR_TIME: 1.6663269996643066
> STR_ID: 4n17 |STR_LEN: 631 |STR_TIME: 1.7716209888458252
> STR_ID: 4n18 |STR_LEN: 426 |STR_TIME: 1.1873259544372559
> STR_ID: 4n19 |STR_LEN: 256 |STR_TIME: 0.726248025894165
> STR_ID: 4n1a |STR_LEN: 2258 |STR_TIME: 4.587202072143555
> STR_ID: 4n1b |STR_LEN: 890 |STR_TIME: 1.7552692890167236
> STR_ID: 4n1c |STR_LEN: 484 |STR_TIME: 1.2789630889892578
