>> START_DIR: ./data/k/k0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1k01 |STR_LEN: 3163 |STR_TIME: 14.32282280921936
> STR_ID: 1k02 |STR_LEN: 850 |STR_TIME: 0.9211351871490479
> STR_ID: 1k03 |STR_LEN: 829 |STR_TIME: 0.8880109786987305
> STR_ID: 1k04 |STR_LEN: 240 |STR_TIME: 0.3130180835723877
> STR_ID: 1k05 |STR_LEN: 425 |STR_TIME: 0.7605948448181152
> STR_ID: 1k06 |STR_LEN: 1098 |STR_TIME: 1.702862024307251
> STR_ID: 1k07 |STR_LEN: 1038 |STR_TIME: 1.0788371562957764
> STR_ID: 1k08 |STR_LEN: 1069 |STR_TIME: 1.5455210208892822
> STR_ID: 1k09 |STR_LEN: 52 |STR_TIME: 3.372299909591675
> STR_ID: 1k0a |STR_LEN: 511 |STR_TIME: 0.9000709056854248
> STR_ID: 1k0b |STR_LEN: 1190 |STR_TIME: 1.8423948287963867
> STR_ID: 1k0c |STR_LEN: 1099 |STR_TIME: 1.8166749477386475
> STR_ID: 1k0d |STR_LEN: 1221 |STR_TIME: 1.750389814376831
> STR_ID: 1k0e |STR_LEN: 1172 |STR_TIME: 1.7210259437561035
> STR_ID: 1k0f |STR_LEN: 305 |STR_TIME: 0.5051071643829346
> STR_ID: 1k0g |STR_LEN: 1399 |STR_TIME: 1.7012109756469727
> STR_ID: 1k0h |STR_LEN: 117 |STR_TIME: 3.592883825302124
> STR_ID: 1k0i |STR_LEN: 662 |STR_TIME: 0.8584499359130859
> STR_ID: 1k0j |STR_LEN: 517 |STR_TIME: 0.8575067520141602
> STR_ID: 1k0k |STR_LEN: 207 |STR_TIME: 0.28183484077453613
> STR_ID: 1k0l |STR_LEN: 617 |STR_TIME: 0.8181247711181641
> STR_ID: 1k0m |STR_LEN: 1127 |STR_TIME: 1.8494532108306885
> STR_ID: 1k0n |STR_LEN: 513 |STR_TIME: 0.8392078876495361
> STR_ID: 1k0o |STR_LEN: 560 |STR_TIME: 0.8231790065765381
> STR_ID: 1k0p |STR_LEN: 31 |STR_TIME: 1.6098649501800537
> STR_ID: 1k0r |STR_LEN: 1051 |STR_TIME: 1.2828178405761719
> STR_ID: 1k0s |STR_LEN: 151 |STR_TIME: 10.31574010848999
> STR_ID: 1k0t |STR_LEN: 82 |STR_TIME: 7.591907739639282
> STR_ID: 1k0u |STR_LEN: 3930 |STR_TIME: 6.195525884628296
> STR_ID: 1k0v |STR_LEN: 74 |STR_TIME: 6.6635730266571045
> STR_ID: 1k0w |STR_LEN: 1976 |STR_TIME: 2.5904219150543213
> STR_ID: 1k0x |STR_LEN: 108 |STR_TIME: 7.00492787361145
> STR_ID: 1k0y |STR_LEN: 839 |STR_TIME: 1.1425881385803223
> STR_ID: 1k0z |STR_LEN: 498 |STR_TIME: 0.6570842266082764
> STR_ID: 2k00 |STR_LEN: 107 |STR_TIME: 7.21599006652832
> STR_ID: 2k01 |STR_LEN: 136 |STR_TIME: 9.534955024719238
> STR_ID: 2k02 |STR_LEN: 79 |STR_TIME: 4.790727853775024
> STR_ID: 2k03 |STR_LEN: 212 |STR_TIME: 14.195703983306885
> STR_ID: 2k04 |STR_LEN: 212 |STR_TIME: 14.407429218292236
> STR_ID: 2k05 |STR_LEN: 212 |STR_TIME: 14.2220778465271
> STR_ID: 2k06 |STR_LEN: 123 |STR_TIME: 8.293585777282715
> STR_ID: 2k07 |STR_LEN: 175 |STR_TIME: 11.721825122833252
> STR_ID: 2k0a |STR_LEN: 112 |STR_TIME: 7.315582990646362
> STR_ID: 2k0b |STR_LEN: 52 |STR_TIME: 4.883151292800903
> STR_ID: 2k0c |STR_LEN: 36 |STR_TIME: 2.3419430255889893
> STR_ID: 2k0d |STR_LEN: 93 |STR_TIME: 8.48501992225647
> STR_ID: 2k0e |STR_LEN: 152 |STR_TIME: 79.32949995994568
> STR_ID: 2k0f |STR_LEN: 165 |STR_TIME: 85.95723128318787
> STR_ID: 2k0g |STR_LEN: 143 |STR_TIME: 7.97271990776062
> STR_ID: 2k0j |STR_LEN: 151 |STR_TIME: 0.5391819477081299
