>> START_DIR: ./data/d/d0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1d00 |STR_LEN: 1470 |STR_TIME: 2.3571300506591797
> STR_ID: 1d01 |STR_LEN: 1862 |STR_TIME: 2.0104219913482666
> STR_ID: 1d02 |STR_LEN: 1063 |STR_TIME: 0.993671178817749
> STR_ID: 1d03 |STR_LEN: 304 |STR_TIME: 0.37398600578308105
> STR_ID: 1d04 |STR_LEN: 294 |STR_TIME: 0.3577899932861328
> STR_ID: 1d06 |STR_LEN: 204 |STR_TIME: 0.2958259582519531
> STR_ID: 1d07 |STR_LEN: 565 |STR_TIME: 0.6165308952331543
> STR_ID: 1d09 |STR_LEN: 1547 |STR_TIME: 1.8162789344787598
> STR_ID: 1d0a |STR_LEN: 1759 |STR_TIME: 1.997093677520752
> STR_ID: 1d0b |STR_LEN: 356 |STR_TIME: 0.4593069553375244
> STR_ID: 1d0c |STR_LEN: 1500 |STR_TIME: 1.7351789474487305
> STR_ID: 1d0d |STR_LEN: 245 |STR_TIME: 0.3213779926300049
> STR_ID: 1d0e |STR_LEN: 538 |STR_TIME: 1.053704023361206
> STR_ID: 1d0g |STR_LEN: 1067 |STR_TIME: 1.5010366439819336
> STR_ID: 1d0h |STR_LEN: 945 |STR_TIME: 0.9402027130126953
> STR_ID: 1d0i |STR_LEN: 3853 |STR_TIME: 6.6507978439331055
> STR_ID: 1d0j |STR_LEN: 1275 |STR_TIME: 1.8335559368133545
> STR_ID: 1d0k |STR_LEN: 686 |STR_TIME: 0.7414557933807373
> STR_ID: 1d0l |STR_LEN: 602 |STR_TIME: 0.7345621585845947
> STR_ID: 1d0m |STR_LEN: 516 |STR_TIME: 0.6900608539581299
> STR_ID: 1d0n |STR_LEN: 1742 |STR_TIME: 2.5933303833007812
> STR_ID: 1d0o |STR_LEN: 1271 |STR_TIME: 1.674499750137329
> STR_ID: 1d0q |STR_LEN: 368 |STR_TIME: 0.4643251895904541
> STR_ID: 1d0r |STR_LEN: 30 |STR_TIME: 1.88045072555542
> STR_ID: 1d0s |STR_LEN: 480 |STR_TIME: 0.6334648132324219
> STR_ID: 1d0t |STR_LEN: 21 |STR_TIME: 1.3857111930847168
> STR_ID: 1d0u |STR_LEN: 21 |STR_TIME: 3.119626998901367
> STR_ID: 1d0v |STR_LEN: 506 |STR_TIME: 0.6218171119689941
> STR_ID: 1d0w |STR_LEN: 14 |STR_TIME: 1.015190839767456
> STR_ID: 1d0x |STR_LEN: 1472 |STR_TIME: 1.5338220596313477
> STR_ID: 1d0y |STR_LEN: 1451 |STR_TIME: 1.6206529140472412
> STR_ID: 1d0z |STR_LEN: 1198 |STR_TIME: 1.483703851699829
> STR_ID: 2d00 |STR_LEN: 945 |STR_TIME: 1.1960337162017822
> STR_ID: 2d01 |STR_LEN: 335 |STR_TIME: 0.5454831123352051
> STR_ID: 2d02 |STR_LEN: 333 |STR_TIME: 0.5498218536376953
> STR_ID: 2d03 |STR_LEN: 741 |STR_TIME: 0.910653829574585
> STR_ID: 2d04 |STR_LEN: 1058 |STR_TIME: 1.5904200077056885
> STR_ID: 2d05 |STR_LEN: 460 |STR_TIME: 0.5297248363494873
> STR_ID: 2d06 |STR_LEN: 699 |STR_TIME: 1.1729731559753418
> STR_ID: 2d07 |STR_LEN: 395 |STR_TIME: 0.579686164855957
> STR_ID: 2d09 |STR_LEN: 666 |STR_TIME: 0.8288640975952148
> STR_ID: 2d0a |STR_LEN: 527 |STR_TIME: 0.6177160739898682
> STR_ID: 2d0b |STR_LEN: 569 |STR_TIME: 0.6923949718475342
> STR_ID: 2d0c |STR_LEN: 433 |STR_TIME: 0.6078300476074219
