>> START_DIR: ./data/e/e0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1e00 |STR_LEN: 496 |STR_TIME: 0.7557981014251709
> STR_ID: 1e02 |STR_LEN: 500 |STR_TIME: 0.7302126884460449
> STR_ID: 1e03 |STR_LEN: 870 |STR_TIME: 1.9845519065856934
> STR_ID: 1e04 |STR_LEN: 919 |STR_TIME: 1.8192896842956543
> STR_ID: 1e05 |STR_LEN: 929 |STR_TIME: 1.8713719844818115
> STR_ID: 1e06 |STR_LEN: 454 |STR_TIME: 0.7193710803985596
> STR_ID: 1e07 |STR_LEN: 642 |STR_TIME: 0.2667832374572754
> STR_ID: 1e08 |STR_LEN: 550 |STR_TIME: 1.5933828353881836
> STR_ID: 1e09 |STR_LEN: 159 |STR_TIME: 15.217690229415894
> STR_ID: 1e0a |STR_LEN: 234 |STR_TIME: 17.422295093536377
> STR_ID: 1e0b |STR_LEN: 232 |STR_TIME: 0.3571031093597412
> STR_ID: 1e0c |STR_LEN: 619 |STR_TIME: 0.6429710388183594
> STR_ID: 1e0d |STR_LEN: 659 |STR_TIME: 0.8574416637420654
> STR_ID: 1e0e |STR_LEN: 94 |STR_TIME: 10.610965013504028
> STR_ID: 1e0f |STR_LEN: 1115 |STR_TIME: 2.0816750526428223
> STR_ID: 1e0g |STR_LEN: 48 |STR_TIME: 3.408982753753662
> STR_ID: 1e0h |STR_LEN: 86 |STR_TIME: 5.405991792678833
> STR_ID: 1e0j |STR_LEN: 1734 |STR_TIME: 3.187390089035034
> STR_ID: 1e0k |STR_LEN: 1728 |STR_TIME: 3.084226131439209
> STR_ID: 1e0l |STR_LEN: 37 |STR_TIME: 1.210479974746704
> STR_ID: 1e0m |STR_LEN: 37 |STR_TIME: 1.3114540576934814
> STR_ID: 1e0n |STR_LEN: 27 |STR_TIME: 0.8489139080047607
> STR_ID: 1e0o |STR_LEN: 713 |STR_TIME: 1.262725830078125
> STR_ID: 1e0p |STR_LEN: 259 |STR_TIME: 0.808351993560791
> STR_ID: 1e0q |STR_LEN: 17 |STR_TIME: 1.5508978366851807
> STR_ID: 1e0r |STR_LEN: 154 |STR_TIME: 0.3187839984893799
> STR_ID: 1e0s |STR_LEN: 267 |STR_TIME: 0.41899919509887695
> STR_ID: 1e0t |STR_LEN: 1914 |STR_TIME: 3.2787740230560303
> STR_ID: 1e0u |STR_LEN: 2048 |STR_TIME: 3.3520009517669678
> STR_ID: 1e0v |STR_LEN: 808 |STR_TIME: 0.7390768527984619
> STR_ID: 1e0w |STR_LEN: 740 |STR_TIME: 1.2362008094787598
> STR_ID: 1e0x |STR_LEN: 1344 |STR_TIME: 1.5038938522338867
> STR_ID: 1e0y |STR_LEN: 1183 |STR_TIME: 2.2412939071655273
