>> START_DIR: ./data/c/c0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1c01 |STR_LEN: 76 |STR_TIME: 0.5504021644592285
> STR_ID: 1c02 |STR_LEN: 388 |STR_TIME: 0.054702043533325195
> STR_ID: 1c03 |STR_LEN: 828 |STR_TIME: 0.10667800903320312
> STR_ID: 1c04 |STR_LEN: 575 |STR_TIME: 0.11643624305725098
> STR_ID: 1c05 |STR_LEN: 159 |STR_TIME: 0.12462902069091797
> STR_ID: 1c06 |STR_LEN: 159 |STR_TIME: 0.9715907573699951
> STR_ID: 1c07 |STR_LEN: 96 |STR_TIME: 0.7541780471801758
> STR_ID: 1c08 |STR_LEN: 475 |STR_TIME: 0.05504202842712402
> STR_ID: 1c09 |STR_LEN: 320 |STR_TIME: 0.025936126708984375
> STR_ID: 1c0a |STR_LEN: 1179 |STR_TIME: 0.13340997695922852
> STR_ID: 1c0b |STR_LEN: 127 |STR_TIME: 0.14557600021362305
> STR_ID: 1c0c |STR_LEN: 129 |STR_TIME: 0.019633054733276367
> STR_ID: 1c0e |STR_LEN: 408 |STR_TIME: 0.04870104789733887
> STR_ID: 1c0f |STR_LEN: 900 |STR_TIME: 0.08403563499450684
> STR_ID: 1c0g |STR_LEN: 968 |STR_TIME: 0.09229302406311035
> STR_ID: 1c0i |STR_LEN: 738 |STR_TIME: 0.10631608963012695
> STR_ID: 1c0k |STR_LEN: 988 |STR_TIME: 0.09401702880859375
> STR_ID: 1c0l |STR_LEN: 939 |STR_TIME: 0.07682394981384277
> STR_ID: 1c0m |STR_LEN: 1016 |STR_TIME: 0.17492985725402832
> STR_ID: 1c0n |STR_LEN: 406 |STR_TIME: 0.05718398094177246
> STR_ID: 1c0o |STR_LEN: 15 |STR_TIME: 0.1761021614074707
> STR_ID: 1c0p |STR_LEN: 979 |STR_TIME: 0.12987327575683594
> STR_ID: 1c0q |STR_LEN: 68 |STR_TIME: 0.006102085113525391
> STR_ID: 1c0r |STR_LEN: 67 |STR_TIME: 0.00571894645690918
> STR_ID: 1c0t |STR_LEN: 908 |STR_TIME: 0.14842700958251953
> STR_ID: 1c0u |STR_LEN: 1044 |STR_TIME: 0.21211814880371094
> STR_ID: 1c0v |STR_LEN: 79 |STR_TIME: 0.2431480884552002
> STR_ID: 1c0w |STR_LEN: 792 |STR_TIME: 0.17543292045593262
> STR_ID: 1c0y |STR_LEN: 24 |STR_TIME: 0.08420491218566895
> STR_ID: 2c00 |STR_LEN: 1369 |STR_TIME: 0.1487119197845459
> STR_ID: 2c01 |STR_LEN: 375 |STR_TIME: 0.03280997276306152
> STR_ID: 2c02 |STR_LEN: 237 |STR_TIME: 0.024089813232421875
> STR_ID: 2c03 |STR_LEN: 1242 |STR_TIME: 0.4631471633911133
> STR_ID: 2c04 |STR_LEN: 1182 |STR_TIME: 0.6018531322479248
> STR_ID: 2c05 |STR_LEN: 256 |STR_TIME: 0.026578903198242188
> STR_ID: 2c06 |STR_LEN: 225 |STR_TIME: 0.5788500308990479
> STR_ID: 2c07 |STR_LEN: 431 |STR_TIME: 0.04377293586730957
> STR_ID: 2c08 |STR_LEN: 204 |STR_TIME: 0.033590078353881836
> STR_ID: 2c0a |STR_LEN: 1381 |STR_TIME: 0.13718700408935547
> STR_ID: 2c0b |STR_LEN: 551 |STR_TIME: 0.14604806900024414
> STR_ID: 2c0c |STR_LEN: 1371 |STR_TIME: 0.15466904640197754
> STR_ID: 2c0d |STR_LEN: 623 |STR_TIME: 0.061738014221191406
> STR_ID: 2c0e |STR_LEN: 560 |STR_TIME: 0.11886429786682129
> STR_ID: 2c0f |STR_LEN: 549 |STR_TIME: 0.07712626457214355
> STR_ID: 2c0g |STR_LEN: 618 |STR_TIME: 0.08959293365478516
> STR_ID: 2c0h |STR_LEN: 557 |STR_TIME: 0.06102299690246582
> STR_ID: 2c0i |STR_LEN: 1145 |STR_TIME: 0.18792295455932617
> STR_ID: 2c0j |STR_LEN: 372 |STR_TIME: 0.04869985580444336
> STR_ID: 2c0k |STR_LEN: 309 |STR_TIME: 0.05093789100646973
> STR_ID: 2c0l |STR_LEN: 513 |STR_TIME: 0.0666360855102539
> STR_ID: 2c0m |STR_LEN: 1344 |STR_TIME: 0.23825812339782715
> STR_ID: 2c0n |STR_LEN: 300 |STR_TIME: 0.03224325180053711
> STR_ID: 2c0o |STR_LEN: 1120 |STR_TIME: 0.22391295433044434
> STR_ID: 2c0p |STR_LEN: 1494 |STR_TIME: 0.19299793243408203
> STR_ID: 2c0q |STR_LEN: 1303 |STR_TIME: 0.21216297149658203
> STR_ID: 2c0r |STR_LEN: 1533 |STR_TIME: 0.19801998138427734
> STR_ID: 2c0s |STR_LEN: 64 |STR_TIME: 0.7123317718505859
> STR_ID: 2c0t |STR_LEN: 1064 |STR_TIME: 0.1443338394165039
> STR_ID: 2c0u |STR_LEN: 2420 |STR_TIME: 0.5533549785614014
> STR_ID: 2c0w |STR_LEN: 50 |STR_TIME: 0.008333921432495117
> STR_ID: 2c0x |STR_LEN: 50 |STR_TIME: 0.014030933380126953
> STR_ID: 2c0y |STR_LEN: 550 |STR_TIME: 0.05723071098327637
> STR_ID: 2c0z |STR_LEN: 403 |STR_TIME: 0.09229111671447754
> STR_ID: 3c00 |STR_LEN: 147 |STR_TIME: 0.017945051193237305
> STR_ID: 3c01 |STR_LEN: 473 |STR_TIME: 0.07226395606994629
> STR_ID: 3c02 |STR_LEN: 304 |STR_TIME: 0.03817915916442871
> STR_ID: 3c03 |STR_LEN: 259 |STR_TIME: 0.03311300277709961
> STR_ID: 3c04 |STR_LEN: 600 |STR_TIME: 0.07170724868774414
> STR_ID: 3c05 |STR_LEN: 538 |STR_TIME: 0.04204511642456055
> STR_ID: 3c06 |STR_LEN: 345 |STR_TIME: 0.0830991268157959
> STR_ID: 3c07 |STR_LEN: 438 |STR_TIME: 0.06569123268127441
> STR_ID: 3c08 |STR_LEN: 524 |STR_TIME: 0.058947086334228516
> STR_ID: 3c09 |STR_LEN: 1188 |STR_TIME: 0.18404722213745117
> STR_ID: 3c0a |STR_LEN: 369 |STR_TIME: 0.05340409278869629
> STR_ID: 3c0b |STR_LEN: 1426 |STR_TIME: 0.19997096061706543
> STR_ID: 3c0c |STR_LEN: 145 |STR_TIME: 0.013862133026123047
> STR_ID: 3c0d |STR_LEN: 931 |STR_TIME: 0.1925661563873291
> STR_ID: 3c0e |STR_LEN: 593 |STR_TIME: 0.044525146484375
> STR_ID: 3c0f |STR_LEN: 206 |STR_TIME: 0.0189211368560791
> STR_ID: 3c0g |STR_LEN: 883 |STR_TIME: 0.11408376693725586
> STR_ID: 3c0h |STR_LEN: 860 |STR_TIME: 0.1349496841430664
> STR_ID: 3c0i |STR_LEN: 567 |STR_TIME: 0.056546926498413086
> STR_ID: 3c0j |STR_LEN: 1056 |STR_TIME: 0.10056877136230469
> STR_ID: 3c0k |STR_LEN: 1248 |STR_TIME: 0.17505192756652832
> STR_ID: 3c0l |STR_LEN: 279 |STR_TIME: 0.08674192428588867
> STR_ID: 3c0m |STR_LEN: 922 |STR_TIME: 0.15070223808288574
> STR_ID: 3c0n |STR_LEN: 1317 |STR_TIME: 0.22510910034179688
> STR_ID: 3c0o |STR_LEN: 1076 |STR_TIME: 0.17597484588623047
> STR_ID: 3c0p |STR_LEN: 874 |STR_TIME: 0.16040921211242676
> STR_ID: 3c0q |STR_LEN: 307 |STR_TIME: 0.057459115982055664
> STR_ID: 3c0r |STR_LEN: 828 |STR_TIME: 0.19694900512695312
> STR_ID: 3c0s |STR_LEN: 575 |STR_TIME: 0.049813032150268555
> STR_ID: 3c0t |STR_LEN: 286 |STR_TIME: 0.03318381309509277
> STR_ID: 3c0u |STR_LEN: 398 |STR_TIME: 0.09855103492736816
