>> START_DIR: ./data/y/y0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1y00 |STR_LEN: 122 |STR_TIME: 0.8615779876708984
> STR_ID: 1y01 |STR_LEN: 264 |STR_TIME: 0.03365302085876465
> STR_ID: 1y02 |STR_LEN: 246 |STR_TIME: 0.017288923263549805
> STR_ID: 1y03 |STR_LEN: 35 |STR_TIME: 0.24892020225524902
> STR_ID: 1y04 |STR_LEN: 35 |STR_TIME: 0.15677714347839355
> STR_ID: 1y07 |STR_LEN: 853 |STR_TIME: 0.13695693016052246
> STR_ID: 1y08 |STR_LEN: 493 |STR_TIME: 0.049162864685058594
> STR_ID: 1y09 |STR_LEN: 753 |STR_TIME: 0.08891105651855469
> STR_ID: 1y0a |STR_LEN: 772 |STR_TIME: 0.08514785766601562
> STR_ID: 1y0b |STR_LEN: 1620 |STR_TIME: 0.17782020568847656
> STR_ID: 1y0c |STR_LEN: 772 |STR_TIME: 0.08897995948791504
> STR_ID: 1y0d |STR_LEN: 770 |STR_TIME: 0.0843210220336914
> STR_ID: 1y0e |STR_LEN: 848 |STR_TIME: 0.11027026176452637
> STR_ID: 1y0g |STR_LEN: 996 |STR_TIME: 0.10173225402832031
> STR_ID: 1y0h |STR_LEN: 410 |STR_TIME: 0.03221392631530762
> STR_ID: 1y0j |STR_LEN: 77 |STR_TIME: 0.4599730968475342
> STR_ID: 1y0k |STR_LEN: 371 |STR_TIME: 0.05856800079345703
> STR_ID: 1y0l |STR_LEN: 2198 |STR_TIME: 0.2621622085571289
> STR_ID: 1y0m |STR_LEN: 183 |STR_TIME: 0.013761758804321289
> STR_ID: 1y0n |STR_LEN: 103 |STR_TIME: 0.07539606094360352
> STR_ID: 1y0o |STR_LEN: 938 |STR_TIME: 0.08676505088806152
> STR_ID: 1y0p |STR_LEN: 1824 |STR_TIME: 0.10854220390319824
> STR_ID: 1y0q |STR_LEN: 239 |STR_TIME: 0.10735177993774414
> STR_ID: 1y0r |STR_LEN: 496 |STR_TIME: 0.05443310737609863
> STR_ID: 1y0s |STR_LEN: 695 |STR_TIME: 0.07875585556030273
> STR_ID: 1y0t |STR_LEN: 772 |STR_TIME: 0.08316493034362793
> STR_ID: 1y0u |STR_LEN: 441 |STR_TIME: 0.036225080490112305
> STR_ID: 1y0v |STR_LEN: 5316 |STR_TIME: 0.9738507270812988
