>> START_DIR: ./data/f/f0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1f00 |STR_LEN: 472 |STR_TIME: 0.054080963134765625
> STR_ID: 1f02 |STR_LEN: 348 |STR_TIME: 0.06341099739074707
> STR_ID: 1f03 |STR_LEN: 83 |STR_TIME: 0.02859020233154297
> STR_ID: 1f04 |STR_LEN: 83 |STR_TIME: 1.2332589626312256
> STR_ID: 1f05 |STR_LEN: 736 |STR_TIME: 0.12071990966796875
> STR_ID: 1f06 |STR_LEN: 759 |STR_TIME: 0.19881987571716309
> STR_ID: 1f07 |STR_LEN: 1799 |STR_TIME: 0.24932098388671875
> STR_ID: 1f08 |STR_LEN: 407 |STR_TIME: 0.06650972366333008
> STR_ID: 1f09 |STR_LEN: 333 |STR_TIME: 0.10101008415222168
> STR_ID: 1f0b |STR_LEN: 351 |STR_TIME: 0.056951045989990234
> STR_ID: 1f0c |STR_LEN: 501 |STR_TIME: 0.06984996795654297
> STR_ID: 1f0d |STR_LEN: 21 |STR_TIME: 0.16306304931640625
> STR_ID: 1f0e |STR_LEN: 19 |STR_TIME: 0.19809293746948242
> STR_ID: 1f0f |STR_LEN: 18 |STR_TIME: 0.14862489700317383
> STR_ID: 1f0g |STR_LEN: 21 |STR_TIME: 0.16059398651123047
> STR_ID: 1f0h |STR_LEN: 21 |STR_TIME: 0.21663308143615723
> STR_ID: 1f0i |STR_LEN: 1190 |STR_TIME: 0.10998892784118652
> STR_ID: 1f0j |STR_LEN: 1452 |STR_TIME: 0.18731427192687988
> STR_ID: 1f0k |STR_LEN: 999 |STR_TIME: 0.1192018985748291
> STR_ID: 1f0l |STR_LEN: 2862 |STR_TIME: 0.280048131942749
> STR_ID: 1f0m |STR_LEN: 184 |STR_TIME: 0.013888120651245117
> STR_ID: 1f0n |STR_LEN: 493 |STR_TIME: 0.09635686874389648
> STR_ID: 1f0o |STR_LEN: 526 |STR_TIME: 0.06779599189758301
> STR_ID: 1f0p |STR_LEN: 513 |STR_TIME: 0.05876612663269043
> STR_ID: 1f0q |STR_LEN: 388 |STR_TIME: 0.11982893943786621
> STR_ID: 1f0r |STR_LEN: 457 |STR_TIME: 0.052039146423339844
> STR_ID: 1f0s |STR_LEN: 434 |STR_TIME: 0.050000905990600586
> STR_ID: 1f0t |STR_LEN: 345 |STR_TIME: 0.038813114166259766
> STR_ID: 1f0u |STR_LEN: 360 |STR_TIME: 0.03990888595581055
> STR_ID: 1f0v |STR_LEN: 1086 |STR_TIME: 0.10090017318725586
> STR_ID: 1f0w |STR_LEN: 266 |STR_TIME: 0.023575782775878906
> STR_ID: 1f0x |STR_LEN: 1327 |STR_TIME: 0.23259496688842773
> STR_ID: 1f0y |STR_LEN: 1050 |STR_TIME: 0.1070699691772461
> STR_ID: 1f0z |STR_LEN: 66 |STR_TIME: 0.602658748626709
> STR_ID: 2f00 |STR_LEN: 1339 |STR_TIME: 0.15958189964294434
> STR_ID: 2f01 |STR_LEN: 521 |STR_TIME: 0.059678077697753906
> STR_ID: 2f02 |STR_LEN: 1044 |STR_TIME: 0.18705010414123535
> STR_ID: 2f03 |STR_LEN: 676 |STR_TIME: 0.3156318664550781
> STR_ID: 2f05 |STR_LEN: 85 |STR_TIME: 1.0890188217163086
> STR_ID: 2f06 |STR_LEN: 375 |STR_TIME: 0.052854061126708984
> STR_ID: 2f07 |STR_LEN: 483 |STR_TIME: 0.06776022911071777
> STR_ID: 2f08 |STR_LEN: 673 |STR_TIME: 0.2068800926208496
> STR_ID: 2f09 |STR_LEN: 82 |STR_TIME: 0.6226329803466797
> STR_ID: 2f0a |STR_LEN: 509 |STR_TIME: 0.057926177978515625
> STR_ID: 2f0c |STR_LEN: 1160 |STR_TIME: 0.15030288696289062
> STR_ID: 2f0d |STR_LEN: 148 |STR_TIME: 0.021435022354125977
> STR_ID: 2f0e |STR_LEN: 207 |STR_TIME: 0.025712251663208008
> STR_ID: 2f0f |STR_LEN: 172 |STR_TIME: 0.02307915687561035
> STR_ID: 2f0g |STR_LEN: 183 |STR_TIME: 0.02377915382385254
> STR_ID: 2f0h |STR_LEN: 165 |STR_TIME: 0.021625280380249023
> STR_ID: 2f0i |STR_LEN: 177 |STR_TIME: 0.022819995880126953
> STR_ID: 2f0j |STR_LEN: 190 |STR_TIME: 0.023478984832763672
> STR_ID: 2f0k |STR_LEN: 191 |STR_TIME: 0.026117324829101562
> STR_ID: 2f0l |STR_LEN: 200 |STR_TIME: 0.026073932647705078
> STR_ID: 2f0m |STR_LEN: 186 |STR_TIME: 0.02255702018737793
> STR_ID: 2f0n |STR_LEN: 194 |STR_TIME: 0.024266958236694336
> STR_ID: 2f0o |STR_LEN: 167 |STR_TIME: 0.06625199317932129
> STR_ID: 2f0p |STR_LEN: 172 |STR_TIME: 0.02486109733581543
> STR_ID: 2f0q |STR_LEN: 184 |STR_TIME: 0.02412891387939453
> STR_ID: 2f0r |STR_LEN: 529 |STR_TIME: 0.053383827209472656
> STR_ID: 2f0s |STR_LEN: 191 |STR_TIME: 0.023450136184692383
> STR_ID: 2f0t |STR_LEN: 223 |STR_TIME: 0.025544166564941406
> STR_ID: 2f0u |STR_LEN: 245 |STR_TIME: 0.023541927337646484
> STR_ID: 2f0v |STR_LEN: 176 |STR_TIME: 0.02256917953491211
> STR_ID: 2f0w |STR_LEN: 176 |STR_TIME: 0.02603006362915039
> STR_ID: 2f0x |STR_LEN: 1551 |STR_TIME: 0.2180919647216797
> STR_ID: 2f0y |STR_LEN: 1121 |STR_TIME: 0.14006400108337402
> STR_ID: 2f0z |STR_LEN: 435 |STR_TIME: 0.06461906433105469
> STR_ID: 3f00 |STR_LEN: 391 |STR_TIME: 0.05739307403564453
> STR_ID: 3f01 |STR_LEN: 341 |STR_TIME: 0.07833600044250488
> STR_ID: 3f02 |STR_LEN: 1272 |STR_TIME: 0.1546459197998047
> STR_ID: 3f03 |STR_LEN: 1019 |STR_TIME: 0.10505008697509766
> STR_ID: 3f04 |STR_LEN: 494 |STR_TIME: 0.04580211639404297
> STR_ID: 3f05 |STR_LEN: 465 |STR_TIME: 0.07468390464782715
> STR_ID: 3f06 |STR_LEN: 752 |STR_TIME: 0.12192201614379883
> STR_ID: 3f07 |STR_LEN: 1100 |STR_TIME: 0.17545771598815918
> STR_ID: 3f08 |STR_LEN: 398 |STR_TIME: 0.07375717163085938
> STR_ID: 3f0a |STR_LEN: 229 |STR_TIME: 0.031903982162475586
> STR_ID: 3f0b |STR_LEN: 284 |STR_TIME: 0.02976679801940918
> STR_ID: 3f0c |STR_LEN: 195 |STR_TIME: 0.03467893600463867
> STR_ID: 3f0d |STR_LEN: 1407 |STR_TIME: 0.2499990463256836
> STR_ID: 3f0e |STR_LEN: 702 |STR_TIME: 0.07605695724487305
> STR_ID: 3f0f |STR_LEN: 683 |STR_TIME: 0.08085918426513672
> STR_ID: 3f0g |STR_LEN: 1476 |STR_TIME: 0.1601850986480713
> STR_ID: 3f0h |STR_LEN: 743 |STR_TIME: 0.10736989974975586
> STR_ID: 3f0i |STR_LEN: 541 |STR_TIME: 0.04731178283691406
> STR_ID: 3f0l |STR_LEN: 553 |STR_TIME: 0.05793285369873047
> STR_ID: 3f0m |STR_LEN: 535 |STR_TIME: 0.052744388580322266
> STR_ID: 3f0n |STR_LEN: 1202 |STR_TIME: 0.20690512657165527
> STR_ID: 3f0o |STR_LEN: 751 |STR_TIME: 0.07177972793579102
> STR_ID: 3f0p |STR_LEN: 717 |STR_TIME: 0.07341527938842773
> STR_ID: 3f0q |STR_LEN: 280 |STR_TIME: 0.0322418212890625
> STR_ID: 3f0r |STR_LEN: 1201 |STR_TIME: 0.22912907600402832
> STR_ID: 3f0s |STR_LEN: 159 |STR_TIME: 0.029373884201049805
> STR_ID: 3f0t |STR_LEN: 933 |STR_TIME: 0.10506582260131836
> STR_ID: 3f0u |STR_LEN: 318 |STR_TIME: 0.03155779838562012
> STR_ID: 3f0v |STR_LEN: 244 |STR_TIME: 0.03135275840759277
> STR_ID: 3f0w |STR_LEN: 156 |STR_TIME: 0.02339005470275879
> STR_ID: 3f0x |STR_LEN: 167 |STR_TIME: 0.06891989707946777
> STR_ID: 3f0y |STR_LEN: 3593 |STR_TIME: 0.351168155670166
> STR_ID: 3f0z |STR_LEN: 533 |STR_TIME: 0.05390596389770508
> STR_ID: 4f00 |STR_LEN: 314 |STR_TIME: 0.04329681396484375
> STR_ID: 4f01 |STR_LEN: 822 |STR_TIME: 0.09626388549804688
> STR_ID: 4f02 |STR_LEN: 603 |STR_TIME: 0.1354680061340332
> STR_ID: 4f03 |STR_LEN: 1913 |STR_TIME: 0.18493986129760742
> STR_ID: 4f04 |STR_LEN: 1203 |STR_TIME: 0.21094775199890137
> STR_ID: 4f06 |STR_LEN: 759 |STR_TIME: 0.08840179443359375
> STR_ID: 4f07 |STR_LEN: 2442 |STR_TIME: 0.34873509407043457
