>> START_DIR: ./data/w/w0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1w00 |STR_LEN: 385 |STR_TIME: 0.035871028900146484
> STR_ID: 1w01 |STR_LEN: 290 |STR_TIME: 0.036466121673583984
> STR_ID: 1w02 |STR_LEN: 212 |STR_TIME: 0.022233963012695312
> STR_ID: 1w03 |STR_LEN: 604 |STR_TIME: 0.05798792839050293
> STR_ID: 1w04 |STR_LEN: 661 |STR_TIME: 0.05723381042480469
> STR_ID: 1w05 |STR_LEN: 649 |STR_TIME: 0.09599089622497559
> STR_ID: 1w06 |STR_LEN: 674 |STR_TIME: 0.05956006050109863
> STR_ID: 1w07 |STR_LEN: 2072 |STR_TIME: 0.20946002006530762
> STR_ID: 1w08 |STR_LEN: 219 |STR_TIME: 0.04961204528808594
> STR_ID: 1w09 |STR_LEN: 92 |STR_TIME: 0.639167070388794
> STR_ID: 1w0a |STR_LEN: 92 |STR_TIME: 0.6929001808166504
> STR_ID: 1w0b |STR_LEN: 102 |STR_TIME: 0.830604076385498
> STR_ID: 1w0c |STR_LEN: 3264 |STR_TIME: 0.41342997550964355
> STR_ID: 1w0d |STR_LEN: 1928 |STR_TIME: 0.2736630439758301
> STR_ID: 1w0e |STR_LEN: 482 |STR_TIME: 0.06393814086914062
> STR_ID: 1w0f |STR_LEN: 508 |STR_TIME: 0.06676197052001953
> STR_ID: 1w0g |STR_LEN: 486 |STR_TIME: 0.06703400611877441
> STR_ID: 1w0h |STR_LEN: 574 |STR_TIME: 0.10900998115539551
> STR_ID: 1w0i |STR_LEN: 1432 |STR_TIME: 0.12827587127685547
> STR_ID: 1w0j |STR_LEN: 4110 |STR_TIME: 0.5488708019256592
> STR_ID: 1w0k |STR_LEN: 3259 |STR_TIME: 0.4875669479370117
> STR_ID: 1w0m |STR_LEN: 2518 |STR_TIME: 0.31538987159729004
> STR_ID: 1w0n |STR_LEN: 329 |STR_TIME: 0.027736186981201172
> STR_ID: 1w0o |STR_LEN: 1679 |STR_TIME: 0.19955205917358398
> STR_ID: 1w0p |STR_LEN: 1346 |STR_TIME: 0.11759495735168457
> STR_ID: 1w0r |STR_LEN: 884 |STR_TIME: 0.020987987518310547
> STR_ID: 1w0s |STR_LEN: 1326 |STR_TIME: 0.03308415412902832
> STR_ID: 1w0t |STR_LEN: 214 |STR_TIME: 0.03274679183959961
> STR_ID: 1w0u |STR_LEN: 273 |STR_TIME: 0.03026294708251953
> STR_ID: 1w0v |STR_LEN: 807 |STR_TIME: 0.10740399360656738
> STR_ID: 1w0w |STR_LEN: 826 |STR_TIME: 0.06660676002502441
