>> START_DIR: ./data/o/o0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1o00 |STR_LEN: 5748 |STR_TIME: 7.231147050857544
> STR_ID: 1o01 |STR_LEN: 7664 |STR_TIME: 7.708189964294434
> STR_ID: 1o02 |STR_LEN: 7584 |STR_TIME: 7.886876106262207
> STR_ID: 1o03 |STR_LEN: 625 |STR_TIME: 0.5731689929962158
> STR_ID: 1o04 |STR_LEN: 9051 |STR_TIME: 8.24307107925415
> STR_ID: 1o05 |STR_LEN: 7170 |STR_TIME: 7.421154022216797
> STR_ID: 1o06 |STR_LEN: 49 |STR_TIME: 0.10668492317199707
> STR_ID: 1o07 |STR_LEN: 1523 |STR_TIME: 1.7738878726959229
> STR_ID: 1o08 |STR_LEN: 698 |STR_TIME: 0.9282412528991699
> STR_ID: 1o0a |STR_LEN: 260 |STR_TIME: 0.9252300262451172
> STR_ID: 1o0b |STR_LEN: 751 |STR_TIME: 1.3623840808868408
> STR_ID: 1o0c |STR_LEN: 751 |STR_TIME: 1.4083731174468994
> STR_ID: 1o0d |STR_LEN: 470 |STR_TIME: 0.6071310043334961
> STR_ID: 1o0e |STR_LEN: 674 |STR_TIME: 0.7697491645812988
> STR_ID: 1o0f |STR_LEN: 639 |STR_TIME: 0.5704209804534912
> STR_ID: 1o0h |STR_LEN: 791 |STR_TIME: 1.1075608730316162
> STR_ID: 1o0k |STR_LEN: 197 |STR_TIME: 0.32332801818847656
> STR_ID: 1o0l |STR_LEN: 188 |STR_TIME: 11.188402891159058
> STR_ID: 1o0m |STR_LEN: 649 |STR_TIME: 0.5836050510406494
> STR_ID: 1o0n |STR_LEN: 665 |STR_TIME: 0.5862269401550293
> STR_ID: 1o0o |STR_LEN: 808 |STR_TIME: 1.1952390670776367
> STR_ID: 1o0p |STR_LEN: 117 |STR_TIME: 3.760244846343994
> STR_ID: 1o0q |STR_LEN: 827 |STR_TIME: 0.8882198333740234
> STR_ID: 1o0r |STR_LEN: 994 |STR_TIME: 1.1977050304412842
> STR_ID: 1o0s |STR_LEN: 1913 |STR_TIME: 2.288695812225342
> STR_ID: 1o0t |STR_LEN: 624 |STR_TIME: 0.8220069408416748
> STR_ID: 1o0v |STR_LEN: 903 |STR_TIME: 1.20322585105896
> STR_ID: 1o0w |STR_LEN: 860 |STR_TIME: 0.9884810447692871
> STR_ID: 1o0x |STR_LEN: 444 |STR_TIME: 0.5031309127807617
> STR_ID: 2o00 |STR_LEN: 37 |STR_TIME: 3.3053061962127686
> STR_ID: 2o01 |STR_LEN: 3221 |STR_TIME: 7.17628812789917
> STR_ID: 2o02 |STR_LEN: 1201 |STR_TIME: 1.9904639720916748
> STR_ID: 2o03 |STR_LEN: 140 |STR_TIME: 0.25391530990600586
> STR_ID: 2o04 |STR_LEN: 986 |STR_TIME: 0.8611767292022705
> STR_ID: 2o05 |STR_LEN: 863 |STR_TIME: 1.09818696975708
