>> START_DIR: ./data/h/h0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1h00 |STR_LEN: 490 |STR_TIME: 0.04877305030822754
> STR_ID: 1h01 |STR_LEN: 534 |STR_TIME: 0.12206721305847168
> STR_ID: 1h02 |STR_LEN: 88 |STR_TIME: 0.008892059326171875
> STR_ID: 1h03 |STR_LEN: 426 |STR_TIME: 0.042088985443115234
> STR_ID: 1h04 |STR_LEN: 268 |STR_TIME: 0.019997119903564453
> STR_ID: 1h05 |STR_LEN: 342 |STR_TIME: 0.02915501594543457
> STR_ID: 1h07 |STR_LEN: 488 |STR_TIME: 0.05104804039001465
> STR_ID: 1h08 |STR_LEN: 466 |STR_TIME: 0.047421932220458984
> STR_ID: 1h09 |STR_LEN: 664 |STR_TIME: 0.06024003028869629
> STR_ID: 1h0a |STR_LEN: 368 |STR_TIME: 0.031089305877685547
> STR_ID: 1h0b |STR_LEN: 736 |STR_TIME: 0.10622787475585938
> STR_ID: 1h0c |STR_LEN: 537 |STR_TIME: 0.05590391159057617
> STR_ID: 1h0d |STR_LEN: 903 |STR_TIME: 0.08668899536132812
> STR_ID: 1h0g |STR_LEN: 1623 |STR_TIME: 0.18234705924987793
> STR_ID: 1h0h |STR_LEN: 4110 |STR_TIME: 0.44814205169677734
> STR_ID: 1h0i |STR_LEN: 2047 |STR_TIME: 0.23399591445922852
> STR_ID: 1h0j |STR_LEN: 447 |STR_TIME: 0.041260719299316406
> STR_ID: 1h0k |STR_LEN: 1359 |STR_TIME: 0.11992597579956055
> STR_ID: 1h0l |STR_LEN: 112 |STR_TIME: 0.7726659774780273
> STR_ID: 1h0m |STR_LEN: 1081 |STR_TIME: 0.21435785293579102
> STR_ID: 1h0n |STR_LEN: 402 |STR_TIME: 0.04484295845031738
> STR_ID: 1h0o |STR_LEN: 349 |STR_TIME: 0.04554295539855957
> STR_ID: 1h0p |STR_LEN: 384 |STR_TIME: 0.030963897705078125
> STR_ID: 1h0q |STR_LEN: 18 |STR_TIME: 0.3120710849761963
> STR_ID: 1h0r |STR_LEN: 297 |STR_TIME: 0.0220339298248291
> STR_ID: 1h0s |STR_LEN: 330 |STR_TIME: 0.023964881896972656
> STR_ID: 1h0t |STR_LEN: 116 |STR_TIME: 1.620434045791626
> STR_ID: 1h0v |STR_LEN: 599 |STR_TIME: 0.11103010177612305
> STR_ID: 1h0w |STR_LEN: 417 |STR_TIME: 0.054924964904785156
> STR_ID: 1h0x |STR_LEN: 264 |STR_TIME: 0.02663588523864746
> STR_ID: 1h0y |STR_LEN: 96 |STR_TIME: 0.01320195198059082
> STR_ID: 1h0z |STR_LEN: 68 |STR_TIME: 0.535599946975708
> STR_ID: 2h00 |STR_LEN: 843 |STR_TIME: 0.13133001327514648
> STR_ID: 2h01 |STR_LEN: 228 |STR_TIME: 0.024697065353393555
> STR_ID: 2h02 |STR_LEN: 853 |STR_TIME: 0.09898662567138672
> STR_ID: 2h03 |STR_LEN: 495 |STR_TIME: 0.04896283149719238
> STR_ID: 2h04 |STR_LEN: 422 |STR_TIME: 0.04518723487854004
> STR_ID: 2h05 |STR_LEN: 41 |STR_TIME: 0.005323171615600586
> STR_ID: 2h06 |STR_LEN: 802 |STR_TIME: 0.1748368740081787
> STR_ID: 2h07 |STR_LEN: 751 |STR_TIME: 0.0874948501586914
> STR_ID: 2h08 |STR_LEN: 783 |STR_TIME: 0.08754301071166992
> STR_ID: 2h09 |STR_LEN: 205 |STR_TIME: 0.018121957778930664
> STR_ID: 2h0a |STR_LEN: 443 |STR_TIME: 0.03982090950012207
> STR_ID: 2h0b |STR_LEN: 1179 |STR_TIME: 0.1513988971710205
> STR_ID: 2h0d |STR_LEN: 232 |STR_TIME: 0.0314328670501709
> STR_ID: 2h0e |STR_LEN: 295 |STR_TIME: 0.03310203552246094
> STR_ID: 2h0f |STR_LEN: 311 |STR_TIME: 0.04059886932373047
> STR_ID: 2h0g |STR_LEN: 575 |STR_TIME: 0.06895065307617188
> STR_ID: 2h0h |STR_LEN: 820 |STR_TIME: 0.1106560230255127
> STR_ID: 2h0i |STR_LEN: 616 |STR_TIME: 0.06933283805847168
> STR_ID: 2h0j |STR_LEN: 283 |STR_TIME: 0.0318598747253418
> STR_ID: 2h0k |STR_LEN: 805 |STR_TIME: 0.09143185615539551
> STR_ID: 2h0l |STR_LEN: 427 |STR_TIME: 0.04562687873840332
> STR_ID: 2h0m |STR_LEN: 493 |STR_TIME: 0.08138298988342285
> STR_ID: 2h0n |STR_LEN: 80 |STR_TIME: 0.011656761169433594
> STR_ID: 2h0p |STR_LEN: 112 |STR_TIME: 0.5254888534545898
> STR_ID: 2h0q |STR_LEN: 1081 |STR_TIME: 0.14977788925170898
> STR_ID: 2h0r |STR_LEN: 1519 |STR_TIME: 0.2431948184967041
> STR_ID: 2h0s |STR_LEN: 222 |STR_TIME: 0.12523984909057617
> STR_ID: 2h0t |STR_LEN: 538 |STR_TIME: 0.046272993087768555
> STR_ID: 2h0u |STR_LEN: 413 |STR_TIME: 0.03374004364013672
> STR_ID: 2h0v |STR_LEN: 1008 |STR_TIME: 0.10333776473999023
> STR_ID: 2h0w |STR_LEN: 304 |STR_TIME: 0.05686020851135254
> STR_ID: 2h0x |STR_LEN: 351 |STR_TIME: 0.10933780670166016
> STR_ID: 2h0y |STR_LEN: 495 |STR_TIME: 0.047287940979003906
> STR_ID: 2h0z |STR_LEN: 168 |STR_TIME: 0.06071829795837402
