>> START_DIR: ./data/i/i0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1i00 |STR_LEN: 670 |STR_TIME: 0.08696818351745605
> STR_ID: 1i01 |STR_LEN: 2156 |STR_TIME: 0.2858147621154785
> STR_ID: 1i02 |STR_LEN: 60 |STR_TIME: 0.4013493061065674
> STR_ID: 1i04 |STR_LEN: 313 |STR_TIME: 0.025356054306030273
> STR_ID: 1i05 |STR_LEN: 256 |STR_TIME: 0.025299787521362305
> STR_ID: 1i06 |STR_LEN: 222 |STR_TIME: 0.0782780647277832
> STR_ID: 1i07 |STR_LEN: 212 |STR_TIME: 0.01786208152770996
> STR_ID: 1i08 |STR_LEN: 1083 |STR_TIME: 0.12733793258666992
> STR_ID: 1i09 |STR_LEN: 729 |STR_TIME: 0.09392595291137695
> STR_ID: 1i0a |STR_LEN: 2373 |STR_TIME: 0.32877516746520996
> STR_ID: 1i0b |STR_LEN: 1393 |STR_TIME: 0.13813090324401855
> STR_ID: 1i0c |STR_LEN: 209 |STR_TIME: 0.019877910614013672
> STR_ID: 1i0d |STR_LEN: 1424 |STR_TIME: 0.11415481567382812
> STR_ID: 1i0e |STR_LEN: 1460 |STR_TIME: 0.26802897453308105
> STR_ID: 1i0f |STR_LEN: 134 |STR_TIME: 0.012849092483520508
> STR_ID: 1i0g |STR_LEN: 113 |STR_TIME: 0.008601903915405273
> STR_ID: 1i0h |STR_LEN: 912 |STR_TIME: 0.07252001762390137
> STR_ID: 1i0i |STR_LEN: 583 |STR_TIME: 0.05760693550109863
> STR_ID: 1i0j |STR_LEN: 115 |STR_TIME: 0.00951695442199707
> STR_ID: 1i0k |STR_LEN: 213 |STR_TIME: 0.011110067367553711
> STR_ID: 1i0l |STR_LEN: 552 |STR_TIME: 0.10759282112121582
> STR_ID: 1i0m |STR_LEN: 273 |STR_TIME: 0.014209747314453125
> STR_ID: 1i0n |STR_LEN: 165 |STR_TIME: 0.009628772735595703
> STR_ID: 1i0o |STR_LEN: 116 |STR_TIME: 0.009285926818847656
> STR_ID: 1i0p |STR_LEN: 157 |STR_TIME: 0.011664152145385742
> STR_ID: 1i0q |STR_LEN: 111 |STR_TIME: 0.008734941482543945
> STR_ID: 1i0r |STR_LEN: 557 |STR_TIME: 0.05513405799865723
> STR_ID: 1i0s |STR_LEN: 568 |STR_TIME: 0.05186104774475098
> STR_ID: 1i0t |STR_LEN: 53 |STR_TIME: 0.005193948745727539
> STR_ID: 1i0u |STR_LEN: 84 |STR_TIME: 0.018757343292236328
> STR_ID: 1i0v |STR_LEN: 230 |STR_TIME: 0.01915907859802246
> STR_ID: 1i0x |STR_LEN: 954 |STR_TIME: 0.09832501411437988
> STR_ID: 1i0z |STR_LEN: 986 |STR_TIME: 0.09817910194396973
> STR_ID: 2i00 |STR_LEN: 2757 |STR_TIME: 0.428922176361084
> STR_ID: 2i02 |STR_LEN: 459 |STR_TIME: 0.04773902893066406
