>> START_DIR: ./data/a/a0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1a00 |STR_LEN: 794 |STR_TIME: 1.0915958881378174
> STR_ID: 1a01 |STR_LEN: 776 |STR_TIME: 1.1142420768737793
> STR_ID: 1a02 |STR_LEN: 513 |STR_TIME: 1.0803651809692383
> STR_ID: 1a03 |STR_LEN: 180 |STR_TIME: 12.054826021194458
> STR_ID: 1a04 |STR_LEN: 771 |STR_TIME: 0.8865489959716797
> STR_ID: 1a05 |STR_LEN: 1222 |STR_TIME: 1.4678359031677246
> STR_ID: 1a06 |STR_LEN: 401 |STR_TIME: 0.5999329090118408
> STR_ID: 1a07 |STR_LEN: 267 |STR_TIME: 0.6083440780639648
> STR_ID: 1a08 |STR_LEN: 244 |STR_TIME: 0.5655121803283691
> STR_ID: 1a09 |STR_LEN: 410 |STR_TIME: 0.8137331008911133
> STR_ID: 1a0a |STR_LEN: 240 |STR_TIME: 0.44500112533569336
> STR_ID: 1a0b |STR_LEN: 239 |STR_TIME: 0.2802579402923584
> STR_ID: 1a0c |STR_LEN: 2872 |STR_TIME: 3.486433982849121
> STR_ID: 1a0d |STR_LEN: 1996 |STR_TIME: 3.291339874267578
> STR_ID: 1a0e |STR_LEN: 1148 |STR_TIME: 1.707150936126709
> STR_ID: 1a0f |STR_LEN: 578 |STR_TIME: 0.8009679317474365
> STR_ID: 1a0g |STR_LEN: 730 |STR_TIME: 1.1231658458709717
> STR_ID: 1a0h |STR_LEN: 929 |STR_TIME: 1.6371331214904785
> STR_ID: 1a0i |STR_LEN: 526 |STR_TIME: 0.7138102054595947
> STR_ID: 1a0j |STR_LEN: 1286 |STR_TIME: 1.6243031024932861
> STR_ID: 1a0k |STR_LEN: 156 |STR_TIME: 0.3223757743835449
> STR_ID: 1a0l |STR_LEN: 1076 |STR_TIME: 1.824603796005249
> STR_ID: 1a0m |STR_LEN: 76 |STR_TIME: 0.10599184036254883
