>> START_DIR: ./data/v/v0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1v00 |STR_LEN: 2092 |STR_TIME: 0.16711711883544922
> STR_ID: 1v02 |STR_LEN: 7972 |STR_TIME: 0.7210750579833984
> STR_ID: 1v03 |STR_LEN: 1090 |STR_TIME: 0.09154510498046875
> STR_ID: 1v04 |STR_LEN: 450 |STR_TIME: 0.12682700157165527
> STR_ID: 1v05 |STR_LEN: 169 |STR_TIME: 0.016397953033447266
> STR_ID: 1v06 |STR_LEN: 138 |STR_TIME: 0.9174232482910156
> STR_ID: 1v07 |STR_LEN: 205 |STR_TIME: 0.016323089599609375
> STR_ID: 1v08 |STR_LEN: 1825 |STR_TIME: 0.24092626571655273
> STR_ID: 1v0a |STR_LEN: 356 |STR_TIME: 0.027041912078857422
> STR_ID: 1v0b |STR_LEN: 863 |STR_TIME: 0.08481597900390625
> STR_ID: 1v0c |STR_LEN: 338 |STR_TIME: 0.028995037078857422
> STR_ID: 1v0d |STR_LEN: 264 |STR_TIME: 0.037851810455322266
> STR_ID: 1v0e |STR_LEN: 7077 |STR_TIME: 0.7680199146270752
> STR_ID: 1v0f |STR_LEN: 4935 |STR_TIME: 0.7641053199768066
> STR_ID: 1v0h |STR_LEN: 655 |STR_TIME: 0.05528593063354492
> STR_ID: 1v0j |STR_LEN: 2578 |STR_TIME: 0.3884291648864746
> STR_ID: 1v0k |STR_LEN: 1007 |STR_TIME: 0.07882285118103027
> STR_ID: 1v0l |STR_LEN: 945 |STR_TIME: 0.12025094032287598
> STR_ID: 1v0m |STR_LEN: 874 |STR_TIME: 0.07137513160705566
> STR_ID: 1v0n |STR_LEN: 925 |STR_TIME: 0.07118082046508789
> STR_ID: 1v0o |STR_LEN: 807 |STR_TIME: 0.08796811103820801
> STR_ID: 1v0p |STR_LEN: 776 |STR_TIME: 0.14342713356018066
> STR_ID: 1v0r |STR_LEN: 1038 |STR_TIME: 0.08123922348022461
> STR_ID: 1v0s |STR_LEN: 1090 |STR_TIME: 0.08159494400024414
> STR_ID: 1v0t |STR_LEN: 1075 |STR_TIME: 0.1135101318359375
> STR_ID: 1v0u |STR_LEN: 1099 |STR_TIME: 0.08028173446655273
> STR_ID: 1v0v |STR_LEN: 955 |STR_TIME: 0.07824993133544922
> STR_ID: 1v0w |STR_LEN: 1123 |STR_TIME: 0.11886167526245117
> STR_ID: 1v0y |STR_LEN: 907 |STR_TIME: 0.07433485984802246
> STR_ID: 1v0z |STR_LEN: 3401 |STR_TIME: 0.32378292083740234
> STR_ID: 2v00 |STR_LEN: 925 |STR_TIME: 0.06112980842590332
> STR_ID: 2v01 |STR_LEN: 205 |STR_TIME: 0.02441692352294922
> STR_ID: 2v02 |STR_LEN: 155 |STR_TIME: 0.022375822067260742
> STR_ID: 2v03 |STR_LEN: 627 |STR_TIME: 0.052266836166381836
> STR_ID: 2v04 |STR_LEN: 628 |STR_TIME: 0.10311603546142578
> STR_ID: 2v05 |STR_LEN: 795 |STR_TIME: 0.0551149845123291
> STR_ID: 2v06 |STR_LEN: 625 |STR_TIME: 0.05445289611816406
> STR_ID: 2v07 |STR_LEN: 215 |STR_TIME: 0.021963119506835938
> STR_ID: 2v08 |STR_LEN: 302 |STR_TIME: 0.027729034423828125
> STR_ID: 2v09 |STR_LEN: 851 |STR_TIME: 0.06501293182373047
> STR_ID: 2v0a |STR_LEN: 890 |STR_TIME: 0.10393619537353516
> STR_ID: 2v0b |STR_LEN: 519 |STR_TIME: 0.04134202003479004
> STR_ID: 2v0c |STR_LEN: 1504 |STR_TIME: 0.1313920021057129
> STR_ID: 2v0d |STR_LEN: 513 |STR_TIME: 0.04536914825439453
> STR_ID: 2v0e |STR_LEN: 55 |STR_TIME: 0.35462498664855957
> STR_ID: 2v0f |STR_LEN: 87 |STR_TIME: 0.5651810169219971
> STR_ID: 2v0g |STR_LEN: 1922 |STR_TIME: 0.3996589183807373
> STR_ID: 2v0h |STR_LEN: 958 |STR_TIME: 0.07358098030090332
> STR_ID: 2v0i |STR_LEN: 765 |STR_TIME: 0.15314602851867676
> STR_ID: 2v0j |STR_LEN: 822 |STR_TIME: 0.07372617721557617
> STR_ID: 2v0k |STR_LEN: 765 |STR_TIME: 0.07137894630432129
> STR_ID: 2v0l |STR_LEN: 874 |STR_TIME: 0.08003091812133789
> STR_ID: 2v0m |STR_LEN: 1836 |STR_TIME: 0.32450103759765625
> STR_ID: 2v0n |STR_LEN: 943 |STR_TIME: 0.1633751392364502
> STR_ID: 2v0o |STR_LEN: 999 |STR_TIME: 0.12665200233459473
> STR_ID: 2v0p |STR_LEN: 690 |STR_TIME: 0.07163310050964355
> STR_ID: 2v0r |STR_LEN: 630 |STR_TIME: 0.12379789352416992
> STR_ID: 2v0s |STR_LEN: 411 |STR_TIME: 0.03558683395385742
> STR_ID: 2v0t |STR_LEN: 3441 |STR_TIME: 0.3625149726867676
> STR_ID: 2v0u |STR_LEN: 326 |STR_TIME: 0.02871417999267578
> STR_ID: 2v0v |STR_LEN: 816 |STR_TIME: 0.11174798011779785
> STR_ID: 2v0w |STR_LEN: 311 |STR_TIME: 0.02709197998046875
> STR_ID: 2v0x |STR_LEN: 459 |STR_TIME: 0.10477900505065918
> STR_ID: 2v0y |STR_LEN: 989 |STR_TIME: 0.07537174224853516
> STR_ID: 2v0z |STR_LEN: 1365 |STR_TIME: 0.11113405227661133
> STR_ID: 3v00 |STR_LEN: 1344 |STR_TIME: 0.18909788131713867
> STR_ID: 3v01 |STR_LEN: 292 |STR_TIME: 0.05290699005126953
> STR_ID: 3v03 |STR_LEN: 1211 |STR_TIME: 0.24292993545532227
> STR_ID: 3v04 |STR_LEN: 292 |STR_TIME: 0.04997611045837402
> STR_ID: 3v05 |STR_LEN: 988 |STR_TIME: 0.18111300468444824
> STR_ID: 3v06 |STR_LEN: 98 |STR_TIME: 0.010251998901367188
> STR_ID: 3v07 |STR_LEN: 100 |STR_TIME: 0.011422872543334961
> STR_ID: 3v08 |STR_LEN: 740 |STR_TIME: 0.10486412048339844
> STR_ID: 3v09 |STR_LEN: 803 |STR_TIME: 0.10707807540893555
> STR_ID: 3v0a |STR_LEN: 2869 |STR_TIME: 0.569746732711792
> STR_ID: 3v0b |STR_LEN: 2432 |STR_TIME: 0.6027219295501709
> STR_ID: 3v0c |STR_LEN: 1278 |STR_TIME: 0.3014531135559082
> STR_ID: 3v0d |STR_LEN: 1629 |STR_TIME: 0.16594195365905762
> STR_ID: 3v0e |STR_LEN: 551 |STR_TIME: 0.12160801887512207
> STR_ID: 3v0f |STR_LEN: 1526 |STR_TIME: 0.16171526908874512
> STR_ID: 3v0g |STR_LEN: 2487 |STR_TIME: 0.25959181785583496
> STR_ID: 3v0h |STR_LEN: 1332 |STR_TIME: 0.1422109603881836
> STR_ID: 3v0i |STR_LEN: 514 |STR_TIME: 0.10135698318481445
> STR_ID: 3v0j |STR_LEN: 1147 |STR_TIME: 0.13025212287902832
> STR_ID: 3v0l |STR_LEN: 486 |STR_TIME: 0.05732607841491699
> STR_ID: 3v0m |STR_LEN: 1124 |STR_TIME: 0.15242886543273926
> STR_ID: 3v0n |STR_LEN: 1132 |STR_TIME: 0.11806726455688477
> STR_ID: 3v0o |STR_LEN: 1049 |STR_TIME: 0.14173603057861328
> STR_ID: 3v0p |STR_LEN: 1160 |STR_TIME: 0.1251220703125
> STR_ID: 3v0q |STR_LEN: 1236 |STR_TIME: 0.1639258861541748
> STR_ID: 3v0r |STR_LEN: 299 |STR_TIME: 0.030883073806762695
> STR_ID: 3v0s |STR_LEN: 680 |STR_TIME: 0.09731698036193848
> STR_ID: 3v0t |STR_LEN: 314 |STR_TIME: 0.051117658615112305
> STR_ID: 3v0u |STR_LEN: 351 |STR_TIME: 0.0926210880279541
> STR_ID: 3v0v |STR_LEN: 1358 |STR_TIME: 0.1367359161376953
> STR_ID: 3v0w |STR_LEN: 971 |STR_TIME: 0.07623910903930664
> STR_ID: 3v0x |STR_LEN: 395 |STR_TIME: 0.032206058502197266
> STR_ID: 4v00 |STR_LEN: 1141 |STR_TIME: 0.17516016960144043
> STR_ID: 4v01 |STR_LEN: 843 |STR_TIME: 0.1085810661315918
> STR_ID: 4v02 |STR_LEN: 731 |STR_TIME: 0.13237810134887695
> STR_ID: 4v03 |STR_LEN: 611 |STR_TIME: 0.07244086265563965
> STR_ID: 4v04 |STR_LEN: 1020 |STR_TIME: 0.11821913719177246
> STR_ID: 4v05 |STR_LEN: 727 |STR_TIME: 0.11928105354309082
> STR_ID: 4v06 |STR_LEN: 805 |STR_TIME: 0.11791300773620605
> STR_ID: 4v07 |STR_LEN: 583 |STR_TIME: 0.07859921455383301
> STR_ID: 4v08 |STR_LEN: 706 |STR_TIME: 0.11062121391296387
> STR_ID: 4v0b |STR_LEN: 190 |STR_TIME: 0.03485393524169922
> STR_ID: 4v0c |STR_LEN: 470 |STR_TIME: 0.07695698738098145
> STR_ID: 4v0g |STR_LEN: 557 |STR_TIME: 0.07873296737670898
> STR_ID: 4v0h |STR_LEN: 1410 |STR_TIME: 0.1766369342803955
> STR_ID: 4v0i |STR_LEN: 1693 |STR_TIME: 0.26399707794189453
> STR_ID: 4v0j |STR_LEN: 1995 |STR_TIME: 0.3378891944885254
> STR_ID: 4v0k |STR_LEN: 802 |STR_TIME: 0.06855201721191406
> STR_ID: 4v0l |STR_LEN: 636 |STR_TIME: 0.05644798278808594
> STR_ID: 4v0m |STR_LEN: 1942 |STR_TIME: 0.3521609306335449
> STR_ID: 4v0n |STR_LEN: 1992 |STR_TIME: 0.30187273025512695
> STR_ID: 4v0o |STR_LEN: 1964 |STR_TIME: 0.32239794731140137
> STR_ID: 4v0p |STR_LEN: 310 |STR_TIME: 0.03885078430175781
> STR_ID: 4v0q |STR_LEN: 1138 |STR_TIME: 0.22237801551818848
> STR_ID: 4v0r |STR_LEN: 1268 |STR_TIME: 0.1643068790435791
> STR_ID: 4v0s |STR_LEN: 440 |STR_TIME: 0.07890820503234863
> STR_ID: 4v0t |STR_LEN: 583 |STR_TIME: 0.0771951675415039
> STR_ID: 4v0u |STR_LEN: 3410 |STR_TIME: 0.7343192100524902
> STR_ID: 4v0v |STR_LEN: 1046 |STR_TIME: 0.15676212310791016
> STR_ID: 4v0w |STR_LEN: 1236 |STR_TIME: 0.13160395622253418
> STR_ID: 4v0x |STR_LEN: 406 |STR_TIME: 0.10004615783691406
> STR_ID: 4v0z |STR_LEN: 954 |STR_TIME: 0.1418771743774414
> STR_ID: 5v00 |STR_LEN: 783 |STR_TIME: 0.06289982795715332
> STR_ID: 5v01 |STR_LEN: 705 |STR_TIME: 0.074310302734375
> STR_ID: 5v04 |STR_LEN: 423 |STR_TIME: 0.06854796409606934
> STR_ID: 5v05 |STR_LEN: 426 |STR_TIME: 0.10823225975036621
> STR_ID: 5v06 |STR_LEN: 396 |STR_TIME: 0.06849098205566406
> STR_ID: 5v07 |STR_LEN: 504 |STR_TIME: 0.0707399845123291
> STR_ID: 5v08 |STR_LEN: 411 |STR_TIME: 0.0692901611328125
> STR_ID: 5v09 |STR_LEN: 475 |STR_TIME: 0.09461283683776855
> STR_ID: 5v0a |STR_LEN: 472 |STR_TIME: 0.070404052734375
> STR_ID: 5v0b |STR_LEN: 452 |STR_TIME: 0.06989502906799316
> STR_ID: 5v0c |STR_LEN: 418 |STR_TIME: 0.0926809310913086
> STR_ID: 5v0d |STR_LEN: 444 |STR_TIME: 0.07472085952758789
> STR_ID: 5v0e |STR_LEN: 428 |STR_TIME: 0.0558619499206543
> STR_ID: 5v0g |STR_LEN: 3164 |STR_TIME: 0.4504549503326416
> STR_ID: 5v0h |STR_LEN: 37 |STR_TIME: 0.03457498550415039
> STR_ID: 5v0i |STR_LEN: 786 |STR_TIME: 0.1306748390197754
> STR_ID: 5v0j |STR_LEN: 83 |STR_TIME: 0.014636993408203125
> STR_ID: 5v0k |STR_LEN: 47 |STR_TIME: 0.009020090103149414
> STR_ID: 5v0l |STR_LEN: 377 |STR_TIME: 0.06353020668029785
> STR_ID: 5v0n |STR_LEN: 1823 |STR_TIME: 0.23095989227294922
> STR_ID: 5v0p |STR_LEN: 1065 |STR_TIME: 0.13304805755615234
> STR_ID: 5v0r |STR_LEN: 387 |STR_TIME: 0.03327202796936035
> STR_ID: 5v0s |STR_LEN: 214 |STR_TIME: 0.06266593933105469
> STR_ID: 5v0t |STR_LEN: 6557 |STR_TIME: 0.9053070545196533
> STR_ID: 5v0u |STR_LEN: 565 |STR_TIME: 0.10717988014221191
> STR_ID: 5v0v |STR_LEN: 760 |STR_TIME: 0.11612105369567871
> STR_ID: 5v0z |STR_LEN: 1438 |STR_TIME: 0.21204400062561035
>> FINISH_DIR: ./data/v/v0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 154 |DIR_TIME: 24.676182985305786 

>> START_DIR: ./data/v/v1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1v10 |STR_LEN: 572 |STR_TIME: 0.06638288497924805
> STR_ID: 1v11 |STR_LEN: 1248 |STR_TIME: 0.1179351806640625
> STR_ID: 1v13 |STR_LEN: 341 |STR_TIME: 0.03817892074584961
> STR_ID: 1v14 |STR_LEN: 621 |STR_TIME: 0.14470505714416504
> STR_ID: 1v15 |STR_LEN: 700 |STR_TIME: 0.10222625732421875
> STR_ID: 1v16 |STR_LEN: 1290 |STR_TIME: 0.114837646484375
> STR_ID: 1v18 |STR_LEN: 783 |STR_TIME: 0.1181333065032959
> STR_ID: 1v19 |STR_LEN: 714 |STR_TIME: 0.0863502025604248
> STR_ID: 1v1a |STR_LEN: 819 |STR_TIME: 0.09084868431091309
> STR_ID: 1v1b |STR_LEN: 1301 |STR_TIME: 0.2133321762084961
> STR_ID: 1v1c |STR_LEN: 68 |STR_TIME: 0.46598029136657715
> STR_ID: 1v1d |STR_LEN: 31 |STR_TIME: 0.22534728050231934
> STR_ID: 1v1f |STR_LEN: 241 |STR_TIME: 0.027682781219482422
> STR_ID: 1v1g |STR_LEN: 241 |STR_TIME: 0.030848026275634766
> STR_ID: 1v1h |STR_LEN: 1052 |STR_TIME: 0.09404683113098145
> STR_ID: 1v1i |STR_LEN: 537 |STR_TIME: 0.04685616493225098
> STR_ID: 1v1j |STR_LEN: 2516 |STR_TIME: 0.33489489555358887
> STR_ID: 1v1k |STR_LEN: 387 |STR_TIME: 0.06046414375305176
> STR_ID: 1v1m |STR_LEN: 1292 |STR_TIME: 0.11615300178527832
> STR_ID: 1v1o |STR_LEN: 428 |STR_TIME: 0.05590176582336426
> STR_ID: 1v1p |STR_LEN: 406 |STR_TIME: 0.053400278091430664
> STR_ID: 1v1q |STR_LEN: 360 |STR_TIME: 0.033622026443481445
