>> START_DIR: ./data/o/o0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1o00 |STR_LEN: 5748 |STR_TIME: 0.7928590774536133
> STR_ID: 1o01 |STR_LEN: 7664 |STR_TIME: 0.8117072582244873
> STR_ID: 1o02 |STR_LEN: 7584 |STR_TIME: 0.9134731292724609
> STR_ID: 1o03 |STR_LEN: 625 |STR_TIME: 0.0411839485168457
> STR_ID: 1o04 |STR_LEN: 9051 |STR_TIME: 0.9184880256652832
> STR_ID: 1o05 |STR_LEN: 7170 |STR_TIME: 0.7659847736358643
> STR_ID: 1o06 |STR_LEN: 49 |STR_TIME: 0.004495143890380859
> STR_ID: 1o07 |STR_LEN: 1523 |STR_TIME: 0.2565181255340576
> STR_ID: 1o08 |STR_LEN: 698 |STR_TIME: 0.0541229248046875
> STR_ID: 1o0a |STR_LEN: 260 |STR_TIME: 0.08022379875183105
> STR_ID: 1o0b |STR_LEN: 751 |STR_TIME: 0.1406242847442627
> STR_ID: 1o0c |STR_LEN: 751 |STR_TIME: 0.11777091026306152
> STR_ID: 1o0d |STR_LEN: 470 |STR_TIME: 0.0471951961517334
> STR_ID: 1o0e |STR_LEN: 674 |STR_TIME: 0.06314802169799805
> STR_ID: 1o0f |STR_LEN: 639 |STR_TIME: 0.08650422096252441
> STR_ID: 1o0h |STR_LEN: 791 |STR_TIME: 0.0590670108795166
> STR_ID: 1o0k |STR_LEN: 197 |STR_TIME: 0.016190052032470703
> STR_ID: 1o0l |STR_LEN: 188 |STR_TIME: 1.226660966873169
> STR_ID: 1o0m |STR_LEN: 649 |STR_TIME: 0.04680180549621582
> STR_ID: 1o0n |STR_LEN: 665 |STR_TIME: 0.047196149826049805
> STR_ID: 1o0o |STR_LEN: 808 |STR_TIME: 0.15392684936523438
> STR_ID: 1o0p |STR_LEN: 117 |STR_TIME: 0.37317895889282227
> STR_ID: 1o0q |STR_LEN: 827 |STR_TIME: 0.06780505180358887
> STR_ID: 1o0r |STR_LEN: 994 |STR_TIME: 0.08974909782409668
> STR_ID: 1o0s |STR_LEN: 1913 |STR_TIME: 0.2471928596496582
> STR_ID: 1o0t |STR_LEN: 624 |STR_TIME: 0.0646047592163086
> STR_ID: 1o0v |STR_LEN: 903 |STR_TIME: 0.14430475234985352
> STR_ID: 1o0w |STR_LEN: 860 |STR_TIME: 0.07823395729064941
> STR_ID: 1o0x |STR_LEN: 444 |STR_TIME: 0.03658318519592285
> STR_ID: 2o00 |STR_LEN: 37 |STR_TIME: 0.34394311904907227
> STR_ID: 2o01 |STR_LEN: 3221 |STR_TIME: 0.6587798595428467
> STR_ID: 2o02 |STR_LEN: 1201 |STR_TIME: 0.1235818862915039
> STR_ID: 2o03 |STR_LEN: 140 |STR_TIME: 0.017602205276489258
> STR_ID: 2o04 |STR_LEN: 986 |STR_TIME: 0.06959986686706543
> STR_ID: 2o05 |STR_LEN: 863 |STR_TIME: 0.17762112617492676
> STR_ID: 2o06 |STR_LEN: 1052 |STR_TIME: 0.09174990653991699
> STR_ID: 2o07 |STR_LEN: 1187 |STR_TIME: 0.09251165390014648
> STR_ID: 2o08 |STR_LEN: 714 |STR_TIME: 0.09460806846618652
> STR_ID: 2o09 |STR_LEN: 595 |STR_TIME: 0.061686038970947266
> STR_ID: 2o0a |STR_LEN: 512 |STR_TIME: 0.04732799530029297
> STR_ID: 2o0b |STR_LEN: 1035 |STR_TIME: 0.08806562423706055
> STR_ID: 2o0c |STR_LEN: 432 |STR_TIME: 0.08730888366699219
> STR_ID: 2o0d |STR_LEN: 1038 |STR_TIME: 0.07270407676696777
> STR_ID: 2o0e |STR_LEN: 1048 |STR_TIME: 0.07810211181640625
> STR_ID: 2o0f |STR_LEN: 488 |STR_TIME: 0.011117935180664062
> STR_ID: 2o0g |STR_LEN: 489 |STR_TIME: 0.05459475517272949
> STR_ID: 2o0h |STR_LEN: 808 |STR_TIME: 0.09583473205566406
> STR_ID: 2o0i |STR_LEN: 180 |STR_TIME: 0.02640223503112793
> STR_ID: 2o0j |STR_LEN: 780 |STR_TIME: 0.061181068420410156
> STR_ID: 2o0k |STR_LEN: 472 |STR_TIME: 0.0529942512512207
> STR_ID: 2o0l |STR_LEN: 826 |STR_TIME: 0.08296704292297363
> STR_ID: 2o0m |STR_LEN: 626 |STR_TIME: 0.08608603477478027
> STR_ID: 2o0o |STR_LEN: 496 |STR_TIME: 0.06327581405639648
> STR_ID: 2o0p |STR_LEN: 217 |STR_TIME: 0.01864171028137207
> STR_ID: 2o0q |STR_LEN: 266 |STR_TIME: 0.021132946014404297
> STR_ID: 2o0r |STR_LEN: 1231 |STR_TIME: 0.11628484725952148
> STR_ID: 2o0s |STR_LEN: 12 |STR_TIME: 0.06687402725219727
> STR_ID: 2o0t |STR_LEN: 2179 |STR_TIME: 0.26935505867004395
> STR_ID: 2o0u |STR_LEN: 497 |STR_TIME: 0.07691192626953125
> STR_ID: 2o0v |STR_LEN: 1038 |STR_TIME: 0.0677800178527832
> STR_ID: 2o0w |STR_LEN: 1040 |STR_TIME: 0.06935811042785645
> STR_ID: 2o0x |STR_LEN: 1089 |STR_TIME: 0.08015799522399902
> STR_ID: 2o0y |STR_LEN: 1474 |STR_TIME: 0.209852933883667
> STR_ID: 2o0z |STR_LEN: 952 |STR_TIME: 0.08156800270080566
> STR_ID: 3o00 |STR_LEN: 850 |STR_TIME: 0.09137105941772461
> STR_ID: 3o01 |STR_LEN: 1050 |STR_TIME: 0.1261129379272461
> STR_ID: 3o02 |STR_LEN: 870 |STR_TIME: 0.09256815910339355
> STR_ID: 3o03 |STR_LEN: 465 |STR_TIME: 0.039357900619506836
> STR_ID: 3o04 |STR_LEN: 903 |STR_TIME: 0.10625576972961426
> STR_ID: 3o05 |STR_LEN: 1134 |STR_TIME: 0.12347602844238281
> STR_ID: 3o06 |STR_LEN: 850 |STR_TIME: 0.13633465766906738
> STR_ID: 3o07 |STR_LEN: 1531 |STR_TIME: 0.1669611930847168
> STR_ID: 3o08 |STR_LEN: 1373 |STR_TIME: 0.21694278717041016
> STR_ID: 3o0a |STR_LEN: 938 |STR_TIME: 0.09201622009277344
> STR_ID: 3o0d |STR_LEN: 3786 |STR_TIME: 0.43410778045654297
> STR_ID: 3o0e |STR_LEN: 2192 |STR_TIME: 0.42841100692749023
> STR_ID: 3o0f |STR_LEN: 477 |STR_TIME: 0.10058903694152832
> STR_ID: 3o0g |STR_LEN: 1086 |STR_TIME: 0.1572399139404297
> STR_ID: 3o0h |STR_LEN: 1728 |STR_TIME: 0.22408413887023926
> STR_ID: 3o0i |STR_LEN: 476 |STR_TIME: 0.03443288803100586
> STR_ID: 3o0j |STR_LEN: 474 |STR_TIME: 0.05551314353942871
> STR_ID: 3o0k |STR_LEN: 1790 |STR_TIME: 0.25415682792663574
> STR_ID: 3o0l |STR_LEN: 377 |STR_TIME: 0.04610490798950195
> STR_ID: 3o0m |STR_LEN: 521 |STR_TIME: 0.05190420150756836
> STR_ID: 3o0n |STR_LEN: 1739 |STR_TIME: 0.26909780502319336
> STR_ID: 3o0o |STR_LEN: 1703 |STR_TIME: 0.28428220748901367
> STR_ID: 3o0p |STR_LEN: 367 |STR_TIME: 0.03650403022766113
> STR_ID: 3o0q |STR_LEN: 2148 |STR_TIME: 0.2924187183380127
> STR_ID: 3o0r |STR_LEN: 1207 |STR_TIME: 0.21030592918395996
> STR_ID: 3o0t |STR_LEN: 576 |STR_TIME: 0.0770101547241211
> STR_ID: 3o0u |STR_LEN: 367 |STR_TIME: 0.036778926849365234
> STR_ID: 3o0v |STR_LEN: 308 |STR_TIME: 0.08591413497924805
> STR_ID: 3o0w |STR_LEN: 430 |STR_TIME: 0.04263591766357422
> STR_ID: 3o0x |STR_LEN: 883 |STR_TIME: 0.09872198104858398
> STR_ID: 3o0y |STR_LEN: 4170 |STR_TIME: 0.3643758296966553
> STR_ID: 3o0z |STR_LEN: 650 |STR_TIME: 0.15461397171020508
> STR_ID: 4o00 |STR_LEN: 541 |STR_TIME: 0.07172036170959473
> STR_ID: 4o01 |STR_LEN: 1938 |STR_TIME: 0.33584094047546387
> STR_ID: 4o02 |STR_LEN: 2071 |STR_TIME: 0.35635805130004883
> STR_ID: 4o03 |STR_LEN: 547 |STR_TIME: 0.08096504211425781
> STR_ID: 4o04 |STR_LEN: 411 |STR_TIME: 0.03337287902832031
> STR_ID: 4o05 |STR_LEN: 396 |STR_TIME: 0.09735822677612305
> STR_ID: 4o06 |STR_LEN: 202 |STR_TIME: 0.021053791046142578
> STR_ID: 4o07 |STR_LEN: 420 |STR_TIME: 0.035368919372558594
> STR_ID: 4o08 |STR_LEN: 1064 |STR_TIME: 0.09989571571350098
