>> START_DIR: ./data/v/v0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1v00 |STR_LEN: 2092 |STR_TIME: 2.134477138519287
> STR_ID: 1v02 |STR_LEN: 7972 |STR_TIME: 6.73170018196106
> STR_ID: 1v03 |STR_LEN: 1090 |STR_TIME: 1.106705904006958
> STR_ID: 1v04 |STR_LEN: 450 |STR_TIME: 0.6615478992462158
> STR_ID: 1v05 |STR_LEN: 169 |STR_TIME: 0.2231459617614746
> STR_ID: 1v06 |STR_LEN: 138 |STR_TIME: 8.675677061080933
> STR_ID: 1v07 |STR_LEN: 205 |STR_TIME: 0.2705867290496826
> STR_ID: 1v08 |STR_LEN: 1825 |STR_TIME: 1.9960529804229736
> STR_ID: 1v0a |STR_LEN: 356 |STR_TIME: 0.38489603996276855
> STR_ID: 1v0b |STR_LEN: 863 |STR_TIME: 1.1991620063781738
> STR_ID: 1v0c |STR_LEN: 338 |STR_TIME: 0.4282348155975342
> STR_ID: 1v0d |STR_LEN: 264 |STR_TIME: 0.48920226097106934
> STR_ID: 1v0e |STR_LEN: 7077 |STR_TIME: 7.686201095581055
> STR_ID: 1v0f |STR_LEN: 4935 |STR_TIME: 7.381045818328857
> STR_ID: 1v0h |STR_LEN: 655 |STR_TIME: 1.0109028816223145
> STR_ID: 1v0j |STR_LEN: 2578 |STR_TIME: 3.152791738510132
> STR_ID: 1v0k |STR_LEN: 1007 |STR_TIME: 1.5127711296081543
> STR_ID: 1v0l |STR_LEN: 945 |STR_TIME: 1.3325209617614746
> STR_ID: 1v0m |STR_LEN: 874 |STR_TIME: 1.2288479804992676
> STR_ID: 1v0n |STR_LEN: 925 |STR_TIME: 1.2870759963989258
> STR_ID: 1v0o |STR_LEN: 807 |STR_TIME: 1.0909979343414307
> STR_ID: 1v0p |STR_LEN: 776 |STR_TIME: 1.9601109027862549
> STR_ID: 1v0r |STR_LEN: 1038 |STR_TIME: 1.0107409954071045
> STR_ID: 1v0s |STR_LEN: 1090 |STR_TIME: 1.0105719566345215
> STR_ID: 1v0t |STR_LEN: 1075 |STR_TIME: 1.0270602703094482
> STR_ID: 1v0u |STR_LEN: 1099 |STR_TIME: 1.0437381267547607
> STR_ID: 1v0v |STR_LEN: 955 |STR_TIME: 1.0384938716888428
> STR_ID: 1v0w |STR_LEN: 1123 |STR_TIME: 1.0431559085845947
> STR_ID: 1v0y |STR_LEN: 907 |STR_TIME: 0.9669649600982666
> STR_ID: 1v0z |STR_LEN: 3401 |STR_TIME: 3.3603079319000244
> STR_ID: 2v00 |STR_LEN: 925 |STR_TIME: 0.757835865020752
> STR_ID: 2v01 |STR_LEN: 205 |STR_TIME: 0.34798693656921387
> STR_ID: 2v02 |STR_LEN: 155 |STR_TIME: 0.33046793937683105
> STR_ID: 2v03 |STR_LEN: 627 |STR_TIME: 0.6560137271881104
> STR_ID: 2v04 |STR_LEN: 628 |STR_TIME: 0.70790696144104
> STR_ID: 2v05 |STR_LEN: 795 |STR_TIME: 0.7425100803375244
> STR_ID: 2v06 |STR_LEN: 625 |STR_TIME: 0.9806139469146729
> STR_ID: 2v07 |STR_LEN: 215 |STR_TIME: 0.4227590560913086
> STR_ID: 2v08 |STR_LEN: 302 |STR_TIME: 0.458726167678833
> STR_ID: 2v09 |STR_LEN: 851 |STR_TIME: 0.8575868606567383
> STR_ID: 2v0a |STR_LEN: 890 |STR_TIME: 1.298353910446167
> STR_ID: 2v0b |STR_LEN: 519 |STR_TIME: 0.5238809585571289
> STR_ID: 2v0c |STR_LEN: 1504 |STR_TIME: 1.759181022644043
> STR_ID: 2v0d |STR_LEN: 513 |STR_TIME: 0.620581865310669
> STR_ID: 2v0e |STR_LEN: 55 |STR_TIME: 3.4826879501342773
> STR_ID: 2v0f |STR_LEN: 87 |STR_TIME: 5.416285753250122
> STR_ID: 2v0g |STR_LEN: 1922 |STR_TIME: 4.104953050613403
> STR_ID: 2v0h |STR_LEN: 958 |STR_TIME: 0.9615962505340576
> STR_ID: 2v0i |STR_LEN: 765 |STR_TIME: 0.9305932521820068
> STR_ID: 2v0j |STR_LEN: 822 |STR_TIME: 0.9251611232757568
> STR_ID: 2v0k |STR_LEN: 765 |STR_TIME: 0.9262027740478516
> STR_ID: 2v0l |STR_LEN: 874 |STR_TIME: 1.0312530994415283
> STR_ID: 2v0m |STR_LEN: 1836 |STR_TIME: 3.2930538654327393
> STR_ID: 2v0n |STR_LEN: 943 |STR_TIME: 1.7589409351348877
> STR_ID: 2v0o |STR_LEN: 999 |STR_TIME: 1.4642081260681152
> STR_ID: 2v0p |STR_LEN: 690 |STR_TIME: 0.8800933361053467
> STR_ID: 2v0r |STR_LEN: 630 |STR_TIME: 0.9100987911224365
> STR_ID: 2v0s |STR_LEN: 411 |STR_TIME: 0.5123240947723389
> STR_ID: 2v0t |STR_LEN: 3441 |STR_TIME: 3.7421939373016357
> STR_ID: 2v0u |STR_LEN: 326 |STR_TIME: 0.3960390090942383
> STR_ID: 2v0v |STR_LEN: 816 |STR_TIME: 1.2907941341400146
> STR_ID: 2v0w |STR_LEN: 311 |STR_TIME: 0.38844990730285645
> STR_ID: 2v0x |STR_LEN: 459 |STR_TIME: 0.7775578498840332
> STR_ID: 2v0y |STR_LEN: 989 |STR_TIME: 0.9928877353668213
> STR_ID: 2v0z |STR_LEN: 1365 |STR_TIME: 1.3897879123687744
> STR_ID: 3v00 |STR_LEN: 1344 |STR_TIME: 1.9477629661560059
> STR_ID: 3v01 |STR_LEN: 292 |STR_TIME: 0.9924800395965576
> STR_ID: 3v03 |STR_LEN: 1211 |STR_TIME: 3.6323440074920654
> STR_ID: 3v04 |STR_LEN: 292 |STR_TIME: 0.9738979339599609
> STR_ID: 3v05 |STR_LEN: 988 |STR_TIME: 2.699146032333374
> STR_ID: 3v06 |STR_LEN: 98 |STR_TIME: 0.25568413734436035
> STR_ID: 3v07 |STR_LEN: 100 |STR_TIME: 0.2557380199432373
> STR_ID: 3v08 |STR_LEN: 740 |STR_TIME: 1.8782870769500732
> STR_ID: 3v09 |STR_LEN: 803 |STR_TIME: 2.014461040496826
> STR_ID: 3v0a |STR_LEN: 2869 |STR_TIME: 8.567977905273438
> STR_ID: 3v0b |STR_LEN: 2432 |STR_TIME: 8.14740514755249
> STR_ID: 3v0c |STR_LEN: 1278 |STR_TIME: 4.323338985443115
> STR_ID: 3v0d |STR_LEN: 1629 |STR_TIME: 2.7981979846954346
> STR_ID: 3v0e |STR_LEN: 551 |STR_TIME: 1.2335100173950195
> STR_ID: 3v0f |STR_LEN: 1526 |STR_TIME: 2.7737929821014404
> STR_ID: 3v0g |STR_LEN: 2487 |STR_TIME: 2.6613731384277344
> STR_ID: 3v0h |STR_LEN: 1332 |STR_TIME: 2.4409139156341553
> STR_ID: 3v0i |STR_LEN: 514 |STR_TIME: 1.0997309684753418
> STR_ID: 3v0j |STR_LEN: 1147 |STR_TIME: 2.4035840034484863
> STR_ID: 3v0l |STR_LEN: 486 |STR_TIME: 1.0557198524475098
> STR_ID: 3v0m |STR_LEN: 1124 |STR_TIME: 2.108999013900757
> STR_ID: 3v0n |STR_LEN: 1132 |STR_TIME: 2.1538138389587402
> STR_ID: 3v0o |STR_LEN: 1049 |STR_TIME: 2.159945011138916
> STR_ID: 3v0p |STR_LEN: 1160 |STR_TIME: 2.1964688301086426
> STR_ID: 3v0q |STR_LEN: 1236 |STR_TIME: 2.261754035949707
> STR_ID: 3v0r |STR_LEN: 299 |STR_TIME: 0.5281181335449219
> STR_ID: 3v0s |STR_LEN: 680 |STR_TIME: 1.5308828353881836
> STR_ID: 3v0t |STR_LEN: 314 |STR_TIME: 0.9605391025543213
> STR_ID: 3v0u |STR_LEN: 351 |STR_TIME: 0.9630930423736572
> STR_ID: 3v0v |STR_LEN: 1358 |STR_TIME: 1.5598690509796143
> STR_ID: 3v0w |STR_LEN: 971 |STR_TIME: 0.9580049514770508
> STR_ID: 3v0x |STR_LEN: 395 |STR_TIME: 0.44977903366088867
> STR_ID: 4v00 |STR_LEN: 1141 |STR_TIME: 2.439018964767456
> STR_ID: 4v01 |STR_LEN: 843 |STR_TIME: 1.91105318069458
> STR_ID: 4v02 |STR_LEN: 731 |STR_TIME: 1.3203861713409424
> STR_ID: 4v03 |STR_LEN: 611 |STR_TIME: 0.9321279525756836
> STR_ID: 4v04 |STR_LEN: 1020 |STR_TIME: 1.982875108718872
> STR_ID: 4v05 |STR_LEN: 727 |STR_TIME: 1.1757190227508545
> STR_ID: 4v06 |STR_LEN: 805 |STR_TIME: 2.171438217163086
> STR_ID: 4v07 |STR_LEN: 583 |STR_TIME: 1.415496826171875
> STR_ID: 4v08 |STR_LEN: 706 |STR_TIME: 1.4982140064239502
> STR_ID: 4v0b |STR_LEN: 190 |STR_TIME: 0.6748120784759521
> STR_ID: 4v0c |STR_LEN: 470 |STR_TIME: 1.4983479976654053
> STR_ID: 4v0g |STR_LEN: 557 |STR_TIME: 1.052931308746338
> STR_ID: 4v0h |STR_LEN: 1410 |STR_TIME: 2.7832250595092773
> STR_ID: 4v0i |STR_LEN: 1693 |STR_TIME: 2.836509943008423
> STR_ID: 4v0j |STR_LEN: 1995 |STR_TIME: 3.5498299598693848
> STR_ID: 4v0k |STR_LEN: 802 |STR_TIME: 1.336172103881836
> STR_ID: 4v0l |STR_LEN: 636 |STR_TIME: 0.7120480537414551
> STR_ID: 4v0m |STR_LEN: 1942 |STR_TIME: 3.4560718536376953
> STR_ID: 4v0n |STR_LEN: 1992 |STR_TIME: 3.4729866981506348
> STR_ID: 4v0o |STR_LEN: 1964 |STR_TIME: 3.4161479473114014
> STR_ID: 4v0p |STR_LEN: 310 |STR_TIME: 0.713313102722168
> STR_ID: 4v0q |STR_LEN: 1138 |STR_TIME: 2.8668010234832764
> STR_ID: 4v0r |STR_LEN: 1268 |STR_TIME: 3.0309531688690186
> STR_ID: 4v0s |STR_LEN: 440 |STR_TIME: 1.027062177658081
> STR_ID: 4v0t |STR_LEN: 583 |STR_TIME: 1.433682918548584
> STR_ID: 4v0u |STR_LEN: 3410 |STR_TIME: 11.462286233901978
> STR_ID: 4v0v |STR_LEN: 1046 |STR_TIME: 2.2535200119018555
> STR_ID: 4v0w |STR_LEN: 1236 |STR_TIME: 2.285698175430298
> STR_ID: 4v0x |STR_LEN: 406 |STR_TIME: 1.5906147956848145
> STR_ID: 4v0z |STR_LEN: 954 |STR_TIME: 0.9494631290435791
> STR_ID: 5v00 |STR_LEN: 783 |STR_TIME: 0.8182327747344971
> STR_ID: 5v01 |STR_LEN: 705 |STR_TIME: 1.3044030666351318
> STR_ID: 5v04 |STR_LEN: 423 |STR_TIME: 1.254607915878296
> STR_ID: 5v05 |STR_LEN: 426 |STR_TIME: 1.3258678913116455
> STR_ID: 5v06 |STR_LEN: 396 |STR_TIME: 1.2687721252441406
> STR_ID: 5v07 |STR_LEN: 504 |STR_TIME: 1.2912189960479736
> STR_ID: 5v08 |STR_LEN: 411 |STR_TIME: 1.2634150981903076
> STR_ID: 5v09 |STR_LEN: 475 |STR_TIME: 1.292896032333374
> STR_ID: 5v0a |STR_LEN: 472 |STR_TIME: 1.3046889305114746
> STR_ID: 5v0b |STR_LEN: 452 |STR_TIME: 1.2761468887329102
> STR_ID: 5v0c |STR_LEN: 418 |STR_TIME: 1.203395128250122
> STR_ID: 5v0d |STR_LEN: 444 |STR_TIME: 1.3314812183380127
> STR_ID: 5v0e |STR_LEN: 428 |STR_TIME: 0.7492470741271973
> STR_ID: 5v0g |STR_LEN: 3164 |STR_TIME: 7.056145906448364
> STR_ID: 5v0h |STR_LEN: 37 |STR_TIME: 0.26581811904907227
> STR_ID: 5v0i |STR_LEN: 786 |STR_TIME: 2.244227170944214
> STR_ID: 5v0j |STR_LEN: 83 |STR_TIME: 0.26581811904907227
> STR_ID: 5v0k |STR_LEN: 47 |STR_TIME: 0.1649620532989502
> STR_ID: 5v0l |STR_LEN: 377 |STR_TIME: 0.8592979907989502
> STR_ID: 5v0n |STR_LEN: 1823 |STR_TIME: 2.0348191261291504
> STR_ID: 5v0p |STR_LEN: 1065 |STR_TIME: 2.442251205444336
> STR_ID: 5v0r |STR_LEN: 387 |STR_TIME: 0.6340506076812744
> STR_ID: 5v0s |STR_LEN: 214 |STR_TIME: 0.5460109710693359
> STR_ID: 5v0t |STR_LEN: 6557 |STR_TIME: 12.933680057525635
> STR_ID: 5v0u |STR_LEN: 565 |STR_TIME: 1.4611504077911377
> STR_ID: 5v0v |STR_LEN: 760 |STR_TIME: 2.0581419467926025
> STR_ID: 5v0z |STR_LEN: 1438 |STR_TIME: 2.494029998779297
>> FINISH_DIR: ./data/v/v0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 154 |DIR_TIME: 298.380576133728 

>> START_DIR: ./data/v/v1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1v10 |STR_LEN: 572 |STR_TIME: 0.9125771522521973
> STR_ID: 1v11 |STR_LEN: 1248 |STR_TIME: 1.5104479789733887
> STR_ID: 1v13 |STR_LEN: 341 |STR_TIME: 0.5054380893707275
> STR_ID: 1v14 |STR_LEN: 621 |STR_TIME: 1.2989490032196045
> STR_ID: 1v15 |STR_LEN: 700 |STR_TIME: 1.265406847000122
> STR_ID: 1v16 |STR_LEN: 1290 |STR_TIME: 1.4547269344329834
> STR_ID: 1v18 |STR_LEN: 783 |STR_TIME: 1.020216941833496
> STR_ID: 1v19 |STR_LEN: 714 |STR_TIME: 1.1299302577972412
> STR_ID: 1v1a |STR_LEN: 819 |STR_TIME: 1.111586093902588
> STR_ID: 1v1b |STR_LEN: 1301 |STR_TIME: 2.0584638118743896
> STR_ID: 1v1c |STR_LEN: 68 |STR_TIME: 4.461568117141724
> STR_ID: 1v1d |STR_LEN: 31 |STR_TIME: 1.9748449325561523
> STR_ID: 1v1f |STR_LEN: 241 |STR_TIME: 0.40932512283325195
> STR_ID: 1v1g |STR_LEN: 241 |STR_TIME: 0.42443203926086426
> STR_ID: 1v1h |STR_LEN: 1052 |STR_TIME: 1.2142808437347412
