>> START_DIR: ./data/q/q0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1q01 |STR_LEN: 38 |STR_TIME: 0.2670152187347412
> STR_ID: 1q02 |STR_LEN: 52 |STR_TIME: 0.4599270820617676
> STR_ID: 1q03 |STR_LEN: 411 |STR_TIME: 0.0456390380859375
> STR_ID: 1q04 |STR_LEN: 480 |STR_TIME: 0.050562143325805664
> STR_ID: 1q05 |STR_LEN: 394 |STR_TIME: 0.039021968841552734
> STR_ID: 1q06 |STR_LEN: 385 |STR_TIME: 0.10880112648010254
> STR_ID: 1q07 |STR_LEN: 314 |STR_TIME: 0.03920578956604004
> STR_ID: 1q08 |STR_LEN: 426 |STR_TIME: 0.032948970794677734
> STR_ID: 1q09 |STR_LEN: 138 |STR_TIME: 0.01407313346862793
> STR_ID: 1q0a |STR_LEN: 317 |STR_TIME: 0.03039383888244629
> STR_ID: 1q0b |STR_LEN: 1172 |STR_TIME: 0.10527896881103516
> STR_ID: 1q0c |STR_LEN: 1657 |STR_TIME: 0.24541401863098145
> STR_ID: 1q0d |STR_LEN: 2970 |STR_TIME: 0.27915406227111816
> STR_ID: 1q0e |STR_LEN: 863 |STR_TIME: 0.06708908081054688
> STR_ID: 1q0f |STR_LEN: 2970 |STR_TIME: 0.2957479953765869
> STR_ID: 1q0g |STR_LEN: 3127 |STR_TIME: 0.2728891372680664
> STR_ID: 1q0h |STR_LEN: 666 |STR_TIME: 0.059831857681274414
> STR_ID: 1q0k |STR_LEN: 1944 |STR_TIME: 0.27915382385253906
> STR_ID: 1q0l |STR_LEN: 491 |STR_TIME: 0.06338000297546387
> STR_ID: 1q0m |STR_LEN: 1620 |STR_TIME: 0.17407703399658203
> STR_ID: 1q0n |STR_LEN: 506 |STR_TIME: 0.04002094268798828
> STR_ID: 1q0o |STR_LEN: 909 |STR_TIME: 0.10891604423522949
> STR_ID: 1q0p |STR_LEN: 385 |STR_TIME: 0.03245091438293457
> STR_ID: 1q0q |STR_LEN: 1439 |STR_TIME: 0.17092585563659668
> STR_ID: 1q0r |STR_LEN: 556 |STR_TIME: 0.04838895797729492
> STR_ID: 1q0s |STR_LEN: 294 |STR_TIME: 0.036859750747680664
> STR_ID: 1q0t |STR_LEN: 510 |STR_TIME: 0.08368492126464844
> STR_ID: 1q0u |STR_LEN: 656 |STR_TIME: 0.06851482391357422
> STR_ID: 1q0v |STR_LEN: 81 |STR_TIME: 0.5687267780303955
> STR_ID: 1q0w |STR_LEN: 100 |STR_TIME: 0.7402260303497314
> STR_ID: 1q0x |STR_LEN: 757 |STR_TIME: 0.06745290756225586
> STR_ID: 1q0y |STR_LEN: 727 |STR_TIME: 0.06659913063049316
> STR_ID: 1q0z |STR_LEN: 555 |STR_TIME: 0.05117607116699219
> STR_ID: 2q00 |STR_LEN: 271 |STR_TIME: 0.1366410255432129
> STR_ID: 2q01 |STR_LEN: 1930 |STR_TIME: 0.2304689884185791
> STR_ID: 2q02 |STR_LEN: 1341 |STR_TIME: 0.19303607940673828
> STR_ID: 2q03 |STR_LEN: 512 |STR_TIME: 0.04524111747741699
> STR_ID: 2q04 |STR_LEN: 1508 |STR_TIME: 0.23705697059631348
> STR_ID: 2q05 |STR_LEN: 776 |STR_TIME: 0.1027369499206543
> STR_ID: 2q06 |STR_LEN: 932 |STR_TIME: 0.1684417724609375
> STR_ID: 2q07 |STR_LEN: 354 |STR_TIME: 0.040315866470336914
> STR_ID: 2q08 |STR_LEN: 5935 |STR_TIME: 0.9188370704650879
> STR_ID: 2q09 |STR_LEN: 678 |STR_TIME: 0.10207676887512207
> STR_ID: 2q0a |STR_LEN: 605 |STR_TIME: 0.06262588500976562
> STR_ID: 2q0b |STR_LEN: 627 |STR_TIME: 0.08119606971740723
> STR_ID: 2q0c |STR_LEN: 870 |STR_TIME: 0.09734511375427246
> STR_ID: 2q0d |STR_LEN: 915 |STR_TIME: 0.20004510879516602
> STR_ID: 2q0e |STR_LEN: 868 |STR_TIME: 0.09791278839111328
> STR_ID: 2q0f |STR_LEN: 831 |STR_TIME: 0.09413003921508789
> STR_ID: 2q0g |STR_LEN: 830 |STR_TIME: 0.14499497413635254
> STR_ID: 2q0h |STR_LEN: 792 |STR_TIME: 0.07882499694824219
> STR_ID: 2q0i |STR_LEN: 649 |STR_TIME: 0.06601595878601074
> STR_ID: 2q0j |STR_LEN: 993 |STR_TIME: 0.14849591255187988
> STR_ID: 2q0k |STR_LEN: 981 |STR_TIME: 0.09326601028442383
> STR_ID: 2q0l |STR_LEN: 1156 |STR_TIME: 0.15285706520080566
> STR_ID: 2q0m |STR_LEN: 222 |STR_TIME: 0.022218942642211914
> STR_ID: 2q0n |STR_LEN: 565 |STR_TIME: 0.051003217697143555
> STR_ID: 2q0o |STR_LEN: 1129 |STR_TIME: 0.1014242172241211
> STR_ID: 2q0q |STR_LEN: 3344 |STR_TIME: 0.3140099048614502
> STR_ID: 2q0r |STR_LEN: 752 |STR_TIME: 0.06406283378601074
> STR_ID: 2q0s |STR_LEN: 3855 |STR_TIME: 0.33521604537963867
> STR_ID: 2q0t |STR_LEN: 1699 |STR_TIME: 0.159959077835083
> STR_ID: 2q0u |STR_LEN: 714 |STR_TIME: 0.059686899185180664
> STR_ID: 2q0v |STR_LEN: 197 |STR_TIME: 0.023209095001220703
> STR_ID: 2q0x |STR_LEN: 712 |STR_TIME: 0.08507871627807617
> STR_ID: 2q0y |STR_LEN: 368 |STR_TIME: 0.07496905326843262
> STR_ID: 2q0z |STR_LEN: 555 |STR_TIME: 0.04574012756347656
> STR_ID: 3q00 |STR_LEN: 555 |STR_TIME: 0.03685712814331055
> STR_ID: 3q01 |STR_LEN: 603 |STR_TIME: 0.06743621826171875
> STR_ID: 3q02 |STR_LEN: 855 |STR_TIME: 0.16293096542358398
> STR_ID: 3q03 |STR_LEN: 929 |STR_TIME: 0.12894797325134277
> STR_ID: 3q04 |STR_LEN: 585 |STR_TIME: 0.06966614723205566
> STR_ID: 3q05 |STR_LEN: 1153 |STR_TIME: 0.19861984252929688
> STR_ID: 3q06 |STR_LEN: 980 |STR_TIME: 0.16054296493530273
> STR_ID: 3q07 |STR_LEN: 1314 |STR_TIME: 0.13171625137329102
> STR_ID: 3q08 |STR_LEN: 4920 |STR_TIME: 1.1425979137420654
> STR_ID: 3q09 |STR_LEN: 4900 |STR_TIME: 1.184859037399292
> STR_ID: 3q0a |STR_LEN: 2467 |STR_TIME: 0.45093202590942383
> STR_ID: 3q0b |STR_LEN: 221 |STR_TIME: 0.028717041015625
> STR_ID: 3q0c |STR_LEN: 349 |STR_TIME: 0.13374614715576172
> STR_ID: 3q0d |STR_LEN: 357 |STR_TIME: 0.05958700180053711
> STR_ID: 3q0e |STR_LEN: 1369 |STR_TIME: 0.13883280754089355
> STR_ID: 3q0f |STR_LEN: 330 |STR_TIME: 0.048120975494384766
> STR_ID: 3q0g |STR_LEN: 2373 |STR_TIME: 0.33643627166748047
> STR_ID: 3q0h |STR_LEN: 336 |STR_TIME: 0.04630708694458008
> STR_ID: 3q0i |STR_LEN: 612 |STR_TIME: 0.06350302696228027
> STR_ID: 3q0j |STR_LEN: 2505 |STR_TIME: 0.2717170715332031
> STR_ID: 3q0k |STR_LEN: 1356 |STR_TIME: 0.2627580165863037
> STR_ID: 3q0l |STR_LEN: 885 |STR_TIME: 0.11115074157714844
> STR_ID: 3q0m |STR_LEN: 779 |STR_TIME: 0.10626578330993652
> STR_ID: 3q0n |STR_LEN: 924 |STR_TIME: 0.16247224807739258
> STR_ID: 3q0o |STR_LEN: 792 |STR_TIME: 0.10312104225158691
> STR_ID: 3q0p |STR_LEN: 837 |STR_TIME: 0.11121487617492676
> STR_ID: 3q0q |STR_LEN: 557 |STR_TIME: 0.10559511184692383
> STR_ID: 3q0r |STR_LEN: 555 |STR_TIME: 0.05791592597961426
> STR_ID: 3q0s |STR_LEN: 487 |STR_TIME: 0.06744813919067383
> STR_ID: 3q0t |STR_LEN: 1901 |STR_TIME: 0.26667189598083496
> STR_ID: 3q0u |STR_LEN: 423 |STR_TIME: 0.030456066131591797
> STR_ID: 3q0v |STR_LEN: 582 |STR_TIME: 0.07172513008117676
> STR_ID: 3q0w |STR_LEN: 309 |STR_TIME: 0.02976059913635254
> STR_ID: 3q0x |STR_LEN: 422 |STR_TIME: 0.10218214988708496
> STR_ID: 3q0y |STR_LEN: 2013 |STR_TIME: 0.15275812149047852
> STR_ID: 3q0z |STR_LEN: 1617 |STR_TIME: 0.19504094123840332
> STR_ID: 4q00 |STR_LEN: 1125 |STR_TIME: 0.12055802345275879
> STR_ID: 4q01 |STR_LEN: 775 |STR_TIME: 0.15935206413269043
> STR_ID: 4q02 |STR_LEN: 400 |STR_TIME: 0.03014516830444336
> STR_ID: 4q03 |STR_LEN: 496 |STR_TIME: 0.05879402160644531
> STR_ID: 4q04 |STR_LEN: 716 |STR_TIME: 0.08956718444824219
> STR_ID: 4q05 |STR_LEN: 1235 |STR_TIME: 0.14234185218811035
> STR_ID: 4q06 |STR_LEN: 554 |STR_TIME: 0.0577542781829834
> STR_ID: 4q07 |STR_LEN: 567 |STR_TIME: 0.07799386978149414
> STR_ID: 4q08 |STR_LEN: 600 |STR_TIME: 0.0650947093963623
> STR_ID: 4q09 |STR_LEN: 517 |STR_TIME: 0.061205148696899414
> STR_ID: 4q0a |STR_LEN: 338 |STR_TIME: 0.0714869499206543
> STR_ID: 4q0b |STR_LEN: 2014 |STR_TIME: 0.36087489128112793
> STR_ID: 4q0c |STR_LEN: 2052 |STR_TIME: 0.3284599781036377
> STR_ID: 4q0d |STR_LEN: 2560 |STR_TIME: 0.4879591464996338
> STR_ID: 4q0e |STR_LEN: 2563 |STR_TIME: 0.4685981273651123
> STR_ID: 4q0f |STR_LEN: 289 |STR_TIME: 0.030563831329345703
> STR_ID: 4q0g |STR_LEN: 2121 |STR_TIME: 0.32614803314208984
> STR_ID: 4q0h |STR_LEN: 714 |STR_TIME: 0.1996779441833496
> STR_ID: 4q0i |STR_LEN: 588 |STR_TIME: 0.07314109802246094
> STR_ID: 4q0j |STR_LEN: 548 |STR_TIME: 0.08564305305480957
> STR_ID: 4q0k |STR_LEN: 353 |STR_TIME: 0.03580284118652344
> STR_ID: 4q0l |STR_LEN: 1370 |STR_TIME: 0.2344038486480713
> STR_ID: 4q0m |STR_LEN: 427 |STR_TIME: 0.04905104637145996
> STR_ID: 4q0n |STR_LEN: 1457 |STR_TIME: 0.21436810493469238
> STR_ID: 4q0o |STR_LEN: 199 |STR_TIME: 0.02305293083190918
> STR_ID: 4q0p |STR_LEN: 398 |STR_TIME: 0.03681778907775879
> STR_ID: 4q0q |STR_LEN: 350 |STR_TIME: 0.041123151779174805
> STR_ID: 4q0r |STR_LEN: 653 |STR_TIME: 0.11576104164123535
> STR_ID: 4q0s |STR_LEN: 382 |STR_TIME: 0.03945612907409668
> STR_ID: 4q0t |STR_LEN: 2384 |STR_TIME: 0.20373296737670898
> STR_ID: 4q0u |STR_LEN: 384 |STR_TIME: 0.06672406196594238
> STR_ID: 4q0v |STR_LEN: 359 |STR_TIME: 0.03796815872192383
> STR_ID: 4q0w |STR_LEN: 1219 |STR_TIME: 0.1144251823425293
> STR_ID: 4q0x |STR_LEN: 466 |STR_TIME: 0.0743100643157959
> STR_ID: 4q0y |STR_LEN: 752 |STR_TIME: 0.12968206405639648
> STR_ID: 4q0z |STR_LEN: 2139 |STR_TIME: 0.28966712951660156
>> FINISH_DIR: ./data/q/q0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 139 |DIR_TIME: 22.690234184265137 

>> START_DIR: ./data/q/q1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1q10 |STR_LEN: 112 |STR_TIME: 1.4910240173339844
> STR_ID: 1q11 |STR_LEN: 682 |STR_TIME: 0.12112808227539062
> STR_ID: 1q12 |STR_LEN: 1482 |STR_TIME: 0.21323227882385254
> STR_ID: 1q13 |STR_LEN: 1035 |STR_TIME: 0.2159709930419922
> STR_ID: 1q14 |STR_LEN: 404 |STR_TIME: 0.04348397254943848
