>> START_DIR: ./data/j/j0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1j00 |STR_LEN: 270 |STR_TIME: 0.027226924896240234
> STR_ID: 1j01 |STR_LEN: 473 |STR_TIME: 0.05129694938659668
> STR_ID: 1j02 |STR_LEN: 382 |STR_TIME: 0.036688804626464844
> STR_ID: 1j03 |STR_LEN: 102 |STR_TIME: 0.6665589809417725
> STR_ID: 1j04 |STR_LEN: 508 |STR_TIME: 0.05595207214355469
> STR_ID: 1j05 |STR_LEN: 724 |STR_TIME: 0.12289214134216309
> STR_ID: 1j06 |STR_LEN: 1438 |STR_TIME: 0.16143274307250977
> STR_ID: 1j07 |STR_LEN: 1467 |STR_TIME: 0.19464707374572754
> STR_ID: 1j08 |STR_LEN: 2970 |STR_TIME: 0.3568861484527588
> STR_ID: 1j09 |STR_LEN: 826 |STR_TIME: 0.0805351734161377
> STR_ID: 1j0a |STR_LEN: 1076 |STR_TIME: 0.19940900802612305
> STR_ID: 1j0b |STR_LEN: 8628 |STR_TIME: 1.3853168487548828
> STR_ID: 1j0c |STR_LEN: 1741 |STR_TIME: 0.25737667083740234
> STR_ID: 1j0d |STR_LEN: 2303 |STR_TIME: 0.3236269950866699
> STR_ID: 1j0e |STR_LEN: 2311 |STR_TIME: 0.2656240463256836
> STR_ID: 1j0f |STR_LEN: 100 |STR_TIME: 0.6142361164093018
> STR_ID: 1j0g |STR_LEN: 92 |STR_TIME: 0.6423449516296387
> STR_ID: 1j0h |STR_LEN: 2780 |STR_TIME: 0.3000209331512451
> STR_ID: 1j0i |STR_LEN: 1810 |STR_TIME: 0.19807887077331543
> STR_ID: 1j0j |STR_LEN: 1468 |STR_TIME: 0.2655520439147949
> STR_ID: 1j0k |STR_LEN: 1307 |STR_TIME: 0.2254042625427246
> STR_ID: 1j0m |STR_LEN: 1000 |STR_TIME: 0.11256718635559082
> STR_ID: 1j0n |STR_LEN: 1014 |STR_TIME: 0.10981392860412598
> STR_ID: 1j0o |STR_LEN: 464 |STR_TIME: 0.08519196510314941
> STR_ID: 1j0p |STR_LEN: 502 |STR_TIME: 0.032064199447631836
> STR_ID: 1j0q |STR_LEN: 83 |STR_TIME: 1.004347801208496
> STR_ID: 1j0r |STR_LEN: 289 |STR_TIME: 0.07264995574951172
> STR_ID: 1j0s |STR_LEN: 157 |STR_TIME: 1.157616138458252
> STR_ID: 1j0t |STR_LEN: 78 |STR_TIME: 0.2758603096008301
> STR_ID: 1j0w |STR_LEN: 283 |STR_TIME: 0.032686710357666016
> STR_ID: 1j0x |STR_LEN: 1803 |STR_TIME: 0.3202540874481201
> STR_ID: 1j0y |STR_LEN: 2707 |STR_TIME: 0.35201096534729004
> STR_ID: 1j0z |STR_LEN: 2557 |STR_TIME: 0.37219715118408203
> STR_ID: 2j04 |STR_LEN: 2119 |STR_TIME: 0.38092708587646484
> STR_ID: 2j05 |STR_LEN: 241 |STR_TIME: 0.021377086639404297
> STR_ID: 2j06 |STR_LEN: 220 |STR_TIME: 0.021313190460205078
> STR_ID: 2j07 |STR_LEN: 781 |STR_TIME: 0.1460268497467041
> STR_ID: 2j08 |STR_LEN: 533 |STR_TIME: 0.06825113296508789
> STR_ID: 2j09 |STR_LEN: 659 |STR_TIME: 0.07367897033691406
> STR_ID: 2j0a |STR_LEN: 330 |STR_TIME: 0.03618621826171875
> STR_ID: 2j0b |STR_LEN: 332 |STR_TIME: 0.039923906326293945
> STR_ID: 2j0d |STR_LEN: 943 |STR_TIME: 0.17452335357666016
> STR_ID: 2j0e |STR_LEN: 994 |STR_TIME: 0.08418893814086914
> STR_ID: 2j0f |STR_LEN: 2237 |STR_TIME: 0.28314995765686035
> STR_ID: 2j0g |STR_LEN: 1355 |STR_TIME: 0.23395276069641113
> STR_ID: 2j0h |STR_LEN: 1397 |STR_TIME: 0.19947409629821777
> STR_ID: 2j0i |STR_LEN: 499 |STR_TIME: 0.058120012283325195
> STR_ID: 2j0j |STR_LEN: 634 |STR_TIME: 0.15790319442749023
> STR_ID: 2j0k |STR_LEN: 1262 |STR_TIME: 0.18415403366088867
> STR_ID: 2j0l |STR_LEN: 376 |STR_TIME: 0.04268980026245117
> STR_ID: 2j0m |STR_LEN: 640 |STR_TIME: 0.12634491920471191
> STR_ID: 2j0n |STR_LEN: 563 |STR_TIME: 0.056437015533447266
> STR_ID: 2j0o |STR_LEN: 590 |STR_TIME: 0.07798123359680176
> STR_ID: 2j0p |STR_LEN: 501 |STR_TIME: 0.05651688575744629
> STR_ID: 2j0q |STR_LEN: 1389 |STR_TIME: 0.2359619140625
> STR_ID: 2j0r |STR_LEN: 476 |STR_TIME: 0.049713134765625
> STR_ID: 2j0s |STR_LEN: 1019 |STR_TIME: 0.1414039134979248
> STR_ID: 2j0t |STR_LEN: 910 |STR_TIME: 0.11921191215515137
> STR_ID: 2j0u |STR_LEN: 722 |STR_TIME: 0.09432864189147949
> STR_ID: 2j0v |STR_LEN: 1003 |STR_TIME: 0.14275813102722168
> STR_ID: 2j0w |STR_LEN: 519 |STR_TIME: 0.06310772895812988
> STR_ID: 2j0x |STR_LEN: 996 |STR_TIME: 0.12874126434326172
> STR_ID: 2j0y |STR_LEN: 1579 |STR_TIME: 0.23348689079284668
> STR_ID: 2j0z |STR_LEN: 124 |STR_TIME: 1.4389996528625488
