>> START_DIR: ./data/g/g0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1g00 |STR_LEN: 49 |STR_TIME: 0.20544195175170898
> STR_ID: 1g01 |STR_LEN: 837 |STR_TIME: 0.8106181621551514
> STR_ID: 1g02 |STR_LEN: 180 |STR_TIME: 0.24776864051818848
> STR_ID: 1g03 |STR_LEN: 134 |STR_TIME: 8.431265830993652
> STR_ID: 1g04 |STR_LEN: 26 |STR_TIME: 2.0201029777526855
> STR_ID: 1g05 |STR_LEN: 387 |STR_TIME: 0.688377857208252
> STR_ID: 1g06 |STR_LEN: 316 |STR_TIME: 0.39002323150634766
> STR_ID: 1g07 |STR_LEN: 306 |STR_TIME: 0.38680601119995117
> STR_ID: 1g08 |STR_LEN: 675 |STR_TIME: 1.0750391483306885
> STR_ID: 1g09 |STR_LEN: 698 |STR_TIME: 1.0506489276885986
> STR_ID: 1g0a |STR_LEN: 725 |STR_TIME: 1.1480281352996826
> STR_ID: 1g0b |STR_LEN: 363 |STR_TIME: 0.5650818347930908
> STR_ID: 1g0c |STR_LEN: 847 |STR_TIME: 0.8292460441589355
> STR_ID: 1g0d |STR_LEN: 1050 |STR_TIME: 1.2791070938110352
> STR_ID: 1g0e |STR_LEN: 579 |STR_TIME: 0.5973026752471924
> STR_ID: 1g0f |STR_LEN: 472 |STR_TIME: 0.5542490482330322
> STR_ID: 1g0g |STR_LEN: 319 |STR_TIME: 0.3557119369506836
> STR_ID: 1g0h |STR_LEN: 588 |STR_TIME: 0.9756629467010498
> STR_ID: 1g0i |STR_LEN: 562 |STR_TIME: 0.948371171951294
> STR_ID: 1g0j |STR_LEN: 322 |STR_TIME: 0.37333178520202637
> STR_ID: 1g0k |STR_LEN: 316 |STR_TIME: 0.3841390609741211
> STR_ID: 1g0l |STR_LEN: 328 |STR_TIME: 0.3624281883239746
> STR_ID: 1g0m |STR_LEN: 315 |STR_TIME: 0.3696732521057129
> STR_ID: 1g0n |STR_LEN: 916 |STR_TIME: 1.0321569442749023
> STR_ID: 1g0o |STR_LEN: 2369 |STR_TIME: 2.25555419921875
> STR_ID: 1g0p |STR_LEN: 323 |STR_TIME: 0.38106513023376465
> STR_ID: 1g0q |STR_LEN: 307 |STR_TIME: 0.3832707405090332
> STR_ID: 1g0r |STR_LEN: 4619 |STR_TIME: 9.076725721359253
> STR_ID: 1g0s |STR_LEN: 795 |STR_TIME: 0.8442022800445557
> STR_ID: 1g0t |STR_LEN: 485 |STR_TIME: 0.7786788940429688
> STR_ID: 1g0u |STR_LEN: 9224 |STR_TIME: 12.05861210823059
> STR_ID: 1g0v |STR_LEN: 597 |STR_TIME: 0.834326982498169
> STR_ID: 1g0w |STR_LEN: 446 |STR_TIME: 0.7224330902099609
> STR_ID: 1g0x |STR_LEN: 437 |STR_TIME: 0.44019007682800293
> STR_ID: 1g0y |STR_LEN: 331 |STR_TIME: 0.6293010711669922
> STR_ID: 1g0z |STR_LEN: 451 |STR_TIME: 0.4929502010345459
> STR_ID: 2g00 |STR_LEN: 287 |STR_TIME: 0.5441141128540039
> STR_ID: 2g01 |STR_LEN: 739 |STR_TIME: 1.3418869972229004
> STR_ID: 2g02 |STR_LEN: 637 |STR_TIME: 0.9509520530700684
> STR_ID: 2g03 |STR_LEN: 356 |STR_TIME: 0.4563629627227783
> STR_ID: 2g04 |STR_LEN: 2590 |STR_TIME: 3.5510220527648926
> STR_ID: 2g06 |STR_LEN: 1401 |STR_TIME: 1.396327018737793
> STR_ID: 2g07 |STR_LEN: 1122 |STR_TIME: 1.2073111534118652
> STR_ID: 2g08 |STR_LEN: 1065 |STR_TIME: 1.2085769176483154
> STR_ID: 2g09 |STR_LEN: 1436 |STR_TIME: 1.3473291397094727
> STR_ID: 2g0a |STR_LEN: 1448 |STR_TIME: 1.3811590671539307
> STR_ID: 2g0b |STR_LEN: 1468 |STR_TIME: 2.5310118198394775
> STR_ID: 2g0c |STR_LEN: 118 |STR_TIME: 0.19775795936584473
> STR_ID: 2g0d |STR_LEN: 667 |STR_TIME: 0.803774356842041
> STR_ID: 2g0e |STR_LEN: 804 |STR_TIME: 1.453068733215332
> STR_ID: 2g0f |STR_LEN: 207 |STR_TIME: 0.3856079578399658
> STR_ID: 2g0g |STR_LEN: 633 |STR_TIME: 1.0211467742919922
> STR_ID: 2g0h |STR_LEN: 631 |STR_TIME: 1.0066580772399902
> STR_ID: 2g0i |STR_LEN: 386 |STR_TIME: 0.5214660167694092
> STR_ID: 2g0j |STR_LEN: 529 |STR_TIME: 0.853071928024292
> STR_ID: 2g0k |STR_LEN: 113 |STR_TIME: 14.752769708633423
> STR_ID: 2g0l |STR_LEN: 114 |STR_TIME: 18.6924991607666
> STR_ID: 2g0n |STR_LEN: 640 |STR_TIME: 0.8002550601959229
> STR_ID: 2g0q |STR_LEN: 149 |STR_TIME: 10.192003965377808
> STR_ID: 2g0r |STR_LEN: 304 |STR_TIME: 0.37925076484680176
> STR_ID: 2g0s |STR_LEN: 304 |STR_TIME: 0.36109113693237305
> STR_ID: 2g0t |STR_LEN: 830 |STR_TIME: 1.3663251399993896
> STR_ID: 2g0u |STR_LEN: 92 |STR_TIME: 5.826622009277344
> STR_ID: 2g0v |STR_LEN: 304 |STR_TIME: 0.6754207611083984
