>> START_DIR: ./data/g/g0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1g00 |STR_LEN: 49 |STR_TIME: 0.014235258102416992
> STR_ID: 1g01 |STR_LEN: 837 |STR_TIME: 0.09259891510009766
> STR_ID: 1g02 |STR_LEN: 180 |STR_TIME: 0.021092891693115234
> STR_ID: 1g03 |STR_LEN: 134 |STR_TIME: 1.0017240047454834
> STR_ID: 1g04 |STR_LEN: 26 |STR_TIME: 0.23351502418518066
> STR_ID: 1g05 |STR_LEN: 387 |STR_TIME: 0.05525517463684082
> STR_ID: 1g06 |STR_LEN: 316 |STR_TIME: 0.031123876571655273
> STR_ID: 1g07 |STR_LEN: 306 |STR_TIME: 0.0302126407623291
> STR_ID: 1g08 |STR_LEN: 675 |STR_TIME: 0.0981602668762207
> STR_ID: 1g09 |STR_LEN: 698 |STR_TIME: 0.21750092506408691
> STR_ID: 1g0a |STR_LEN: 725 |STR_TIME: 0.09514403343200684
> STR_ID: 1g0b |STR_LEN: 363 |STR_TIME: 0.04996180534362793
> STR_ID: 1g0c |STR_LEN: 847 |STR_TIME: 0.07190299034118652
> STR_ID: 1g0d |STR_LEN: 1050 |STR_TIME: 0.1738729476928711
> STR_ID: 1g0e |STR_LEN: 579 |STR_TIME: 0.05050396919250488
> STR_ID: 1g0f |STR_LEN: 472 |STR_TIME: 0.04851102828979492
> STR_ID: 1g0g |STR_LEN: 319 |STR_TIME: 0.03047776222229004
> STR_ID: 1g0h |STR_LEN: 588 |STR_TIME: 0.08040809631347656
> STR_ID: 1g0i |STR_LEN: 562 |STR_TIME: 0.11720132827758789
> STR_ID: 1g0j |STR_LEN: 322 |STR_TIME: 0.027842044830322266
> STR_ID: 1g0k |STR_LEN: 316 |STR_TIME: 0.030050039291381836
> STR_ID: 1g0l |STR_LEN: 328 |STR_TIME: 0.03045511245727539
> STR_ID: 1g0m |STR_LEN: 315 |STR_TIME: 0.028130054473876953
> STR_ID: 1g0n |STR_LEN: 916 |STR_TIME: 0.08912086486816406
> STR_ID: 1g0o |STR_LEN: 2369 |STR_TIME: 0.23351812362670898
> STR_ID: 1g0p |STR_LEN: 323 |STR_TIME: 0.027373075485229492
> STR_ID: 1g0q |STR_LEN: 307 |STR_TIME: 0.029598236083984375
> STR_ID: 1g0r |STR_LEN: 4619 |STR_TIME: 0.7283968925476074
> STR_ID: 1g0s |STR_LEN: 795 |STR_TIME: 0.07101798057556152
> STR_ID: 1g0t |STR_LEN: 485 |STR_TIME: 0.12078690528869629
> STR_ID: 1g0u |STR_LEN: 9224 |STR_TIME: 1.3022940158843994
> STR_ID: 1g0v |STR_LEN: 597 |STR_TIME: 0.06660723686218262
> STR_ID: 1g0w |STR_LEN: 446 |STR_TIME: 0.06674385070800781
> STR_ID: 1g0x |STR_LEN: 437 |STR_TIME: 0.0343928337097168
> STR_ID: 1g0y |STR_LEN: 331 |STR_TIME: 0.15761399269104004
> STR_ID: 1g0z |STR_LEN: 451 |STR_TIME: 0.04127001762390137
> STR_ID: 2g00 |STR_LEN: 287 |STR_TIME: 0.05086398124694824
> STR_ID: 2g01 |STR_LEN: 739 |STR_TIME: 0.12295722961425781
> STR_ID: 2g02 |STR_LEN: 637 |STR_TIME: 0.07218313217163086
> STR_ID: 2g03 |STR_LEN: 356 |STR_TIME: 0.0717470645904541
> STR_ID: 2g04 |STR_LEN: 2590 |STR_TIME: 0.36612987518310547
> STR_ID: 2g06 |STR_LEN: 1401 |STR_TIME: 0.11464214324951172
> STR_ID: 2g07 |STR_LEN: 1122 |STR_TIME: 0.11766195297241211
> STR_ID: 2g08 |STR_LEN: 1065 |STR_TIME: 0.16311335563659668
