>> START_DIR: ./data/u/u0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1u00 |STR_LEN: 495 |STR_TIME: 0.5423638820648193
> STR_ID: 1u01 |STR_LEN: 14 |STR_TIME: 0.13053631782531738
> STR_ID: 1u02 |STR_LEN: 407 |STR_TIME: 0.4821600914001465
> STR_ID: 1u04 |STR_LEN: 905 |STR_TIME: 1.3978548049926758
> STR_ID: 1u05 |STR_LEN: 679 |STR_TIME: 0.9033207893371582
> STR_ID: 1u06 |STR_LEN: 111 |STR_TIME: 0.16743183135986328
> STR_ID: 1u07 |STR_LEN: 376 |STR_TIME: 0.6903841495513916
> STR_ID: 1u08 |STR_LEN: 1013 |STR_TIME: 1.513659954071045
> STR_ID: 1u09 |STR_LEN: 698 |STR_TIME: 1.1270582675933838
> STR_ID: 1u0a |STR_LEN: 2475 |STR_TIME: 3.0789830684661865
> STR_ID: 1u0b |STR_LEN: 640 |STR_TIME: 1.8677427768707275
> STR_ID: 1u0c |STR_LEN: 445 |STR_TIME: 1.7501943111419678
> STR_ID: 1u0d |STR_LEN: 352 |STR_TIME: 1.6568260192871094
> STR_ID: 1u0e |STR_LEN: 2151 |STR_TIME: 2.6306989192962646
> STR_ID: 1u0f |STR_LEN: 1993 |STR_TIME: 2.411440134048462
> STR_ID: 1u0g |STR_LEN: 1964 |STR_TIME: 2.265036106109619
> STR_ID: 1u0h |STR_LEN: 732 |STR_TIME: 1.3210539817810059
> STR_ID: 1u0i |STR_LEN: 42 |STR_TIME: 2.7414982318878174
> STR_ID: 1u0j |STR_LEN: 474 |STR_TIME: 0.6101701259613037
> STR_ID: 1u0k |STR_LEN: 1479 |STR_TIME: 1.2331151962280273
> STR_ID: 1u0l |STR_LEN: 896 |STR_TIME: 1.655907154083252
> STR_ID: 1u0m |STR_LEN: 848 |STR_TIME: 1.224133014678955
> STR_ID: 1u0n |STR_LEN: 731 |STR_TIME: 1.2954649925231934
> STR_ID: 1u0o |STR_LEN: 493 |STR_TIME: 0.8351418972015381
> STR_ID: 1u0p |STR_LEN: 27 |STR_TIME: 0.8406789302825928
> STR_ID: 1u0q |STR_LEN: 493 |STR_TIME: 0.500931978225708
> STR_ID: 1u0r |STR_LEN: 1428 |STR_TIME: 2.0987389087677
