>> START_DIR: ./data/d/d0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1d00 |STR_LEN: 1470 |STR_TIME: 0.24959301948547363
> STR_ID: 1d01 |STR_LEN: 1862 |STR_TIME: 0.25179624557495117
> STR_ID: 1d02 |STR_LEN: 1063 |STR_TIME: 0.09436988830566406
> STR_ID: 1d03 |STR_LEN: 304 |STR_TIME: 0.031070947647094727
> STR_ID: 1d04 |STR_LEN: 294 |STR_TIME: 0.02965712547302246
> STR_ID: 1d06 |STR_LEN: 204 |STR_TIME: 0.07989716529846191
> STR_ID: 1d07 |STR_LEN: 565 |STR_TIME: 0.05067014694213867
> STR_ID: 1d09 |STR_LEN: 1547 |STR_TIME: 0.16366887092590332
> STR_ID: 1d0a |STR_LEN: 1759 |STR_TIME: 0.2170391082763672
> STR_ID: 1d0b |STR_LEN: 356 |STR_TIME: 0.03874921798706055
> STR_ID: 1d0c |STR_LEN: 1500 |STR_TIME: 0.17879009246826172
> STR_ID: 1d0d |STR_LEN: 245 |STR_TIME: 0.025439977645874023
> STR_ID: 1d0e |STR_LEN: 538 |STR_TIME: 0.15119624137878418
> STR_ID: 1d0g |STR_LEN: 1067 |STR_TIME: 0.15097808837890625
> STR_ID: 1d0h |STR_LEN: 945 |STR_TIME: 0.09582710266113281
> STR_ID: 1d0i |STR_LEN: 3853 |STR_TIME: 0.5754358768463135
> STR_ID: 1d0j |STR_LEN: 1275 |STR_TIME: 0.1831059455871582
> STR_ID: 1d0k |STR_LEN: 686 |STR_TIME: 0.11754393577575684
> STR_ID: 1d0l |STR_LEN: 602 |STR_TIME: 0.06116795539855957
> STR_ID: 1d0m |STR_LEN: 516 |STR_TIME: 0.060491085052490234
> STR_ID: 1d0n |STR_LEN: 1742 |STR_TIME: 0.30152106285095215
> STR_ID: 1d0o |STR_LEN: 1271 |STR_TIME: 0.16513705253601074
> STR_ID: 1d0q |STR_LEN: 368 |STR_TIME: 0.03487896919250488
> STR_ID: 1d0r |STR_LEN: 30 |STR_TIME: 0.25543880462646484
> STR_ID: 1d0s |STR_LEN: 480 |STR_TIME: 0.05326390266418457
> STR_ID: 1d0t |STR_LEN: 21 |STR_TIME: 0.13234686851501465
> STR_ID: 1d0u |STR_LEN: 21 |STR_TIME: 0.3795320987701416
> STR_ID: 1d0v |STR_LEN: 506 |STR_TIME: 0.05751299858093262
> STR_ID: 1d0w |STR_LEN: 14 |STR_TIME: 0.14630413055419922
> STR_ID: 1d0x |STR_LEN: 1472 |STR_TIME: 0.1427159309387207
> STR_ID: 1d0y |STR_LEN: 1451 |STR_TIME: 0.177933931350708
> STR_ID: 1d0z |STR_LEN: 1198 |STR_TIME: 0.13278603553771973
> STR_ID: 2d00 |STR_LEN: 945 |STR_TIME: 0.11501693725585938
> STR_ID: 2d01 |STR_LEN: 335 |STR_TIME: 0.037921905517578125
> STR_ID: 2d02 |STR_LEN: 333 |STR_TIME: 0.08334898948669434
> STR_ID: 2d03 |STR_LEN: 741 |STR_TIME: 0.07721519470214844
> STR_ID: 2d04 |STR_LEN: 1058 |STR_TIME: 0.1520090103149414
> STR_ID: 2d05 |STR_LEN: 460 |STR_TIME: 0.04998016357421875
> STR_ID: 2d06 |STR_LEN: 699 |STR_TIME: 0.14608407020568848
> STR_ID: 2d07 |STR_LEN: 395 |STR_TIME: 0.05237603187561035
> STR_ID: 2d09 |STR_LEN: 666 |STR_TIME: 0.07195019721984863
> STR_ID: 2d0a |STR_LEN: 527 |STR_TIME: 0.05684185028076172
> STR_ID: 2d0b |STR_LEN: 569 |STR_TIME: 0.05956721305847168
> STR_ID: 2d0c |STR_LEN: 433 |STR_TIME: 0.09664583206176758
> STR_ID: 2d0d |STR_LEN: 646 |STR_TIME: 0.06014895439147949
> STR_ID: 2d0e |STR_LEN: 590 |STR_TIME: 0.07313895225524902
> STR_ID: 2d0f |STR_LEN: 1104 |STR_TIME: 0.11952900886535645
> STR_ID: 2d0g |STR_LEN: 1134 |STR_TIME: 0.16034412384033203
> STR_ID: 2d0h |STR_LEN: 1030 |STR_TIME: 0.1183319091796875
> STR_ID: 2d0i |STR_LEN: 2362 |STR_TIME: 0.29222989082336426
> STR_ID: 2d0j |STR_LEN: 1429 |STR_TIME: 0.18023014068603516
> STR_ID: 2d0k |STR_LEN: 528 |STR_TIME: 0.11226105690002441
> STR_ID: 2d0n |STR_LEN: 332 |STR_TIME: 0.027472972869873047
> STR_ID: 2d0o |STR_LEN: 2240 |STR_TIME: 0.24963879585266113
> STR_ID: 2d0p |STR_LEN: 1470 |STR_TIME: 0.26822805404663086
> STR_ID: 2d0q |STR_LEN: 994 |STR_TIME: 0.08486795425415039
> STR_ID: 2d0s |STR_LEN: 111 |STR_TIME: 0.014279842376708984
> STR_ID: 2d0t |STR_LEN: 893 |STR_TIME: 0.1911020278930664
> STR_ID: 2d0u |STR_LEN: 755 |STR_TIME: 0.12659311294555664
> STR_ID: 2d0v |STR_LEN: 2730 |STR_TIME: 0.4096801280975342
> STR_ID: 2d0w |STR_LEN: 795 |STR_TIME: 0.07221007347106934
> STR_ID: 3d00 |STR_LEN: 228 |STR_TIME: 0.03178858757019043
> STR_ID: 3d01 |STR_LEN: 2974 |STR_TIME: 0.5461721420288086
> STR_ID: 3d02 |STR_LEN: 617 |STR_TIME: 0.06802988052368164
> STR_ID: 3d03 |STR_LEN: 2678 |STR_TIME: 0.3691239356994629
> STR_ID: 3d04 |STR_LEN: 1356 |STR_TIME: 0.17357802391052246
> STR_ID: 3d05 |STR_LEN: 339 |STR_TIME: 0.041628122329711914
> STR_ID: 3d06 |STR_LEN: 364 |STR_TIME: 0.10433197021484375
> STR_ID: 3d07 |STR_LEN: 698 |STR_TIME: 0.06633996963500977
> STR_ID: 3d08 |STR_LEN: 411 |STR_TIME: 0.03455686569213867
> STR_ID: 3d09 |STR_LEN: 358 |STR_TIME: 0.03367924690246582
> STR_ID: 3d0a |STR_LEN: 1578 |STR_TIME: 0.1939840316772461
> STR_ID: 3d0b |STR_LEN: 491 |STR_TIME: 0.03866720199584961
> STR_ID: 3d0c |STR_LEN: 1044 |STR_TIME: 0.10016632080078125
> STR_ID: 3d0e |STR_LEN: 1100 |STR_TIME: 0.12264299392700195
> STR_ID: 3d0f |STR_LEN: 590 |STR_TIME: 0.08034896850585938
> STR_ID: 3d0g |STR_LEN: 1577 |STR_TIME: 0.35294318199157715
