>> START_DIR: ./data/b/b0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1b00 |STR_LEN: 375 |STR_TIME: 0.08951592445373535
> STR_ID: 1b01 |STR_LEN: 137 |STR_TIME: 0.044516801834106445
> STR_ID: 1b02 |STR_LEN: 365 |STR_TIME: 0.05248618125915527
> STR_ID: 1b03 |STR_LEN: 18 |STR_TIME: 0.268543004989624
> STR_ID: 1b04 |STR_LEN: 811 |STR_TIME: 0.11481380462646484
> STR_ID: 1b05 |STR_LEN: 716 |STR_TIME: 0.0915677547454834
> STR_ID: 1b06 |STR_LEN: 1575 |STR_TIME: 0.2666201591491699
> STR_ID: 1b07 |STR_LEN: 116 |STR_TIME: 0.015554189682006836
> STR_ID: 1b08 |STR_LEN: 652 |STR_TIME: 0.07713103294372559
> STR_ID: 1b09 |STR_LEN: 1045 |STR_TIME: 0.22622179985046387
> STR_ID: 1b0a |STR_LEN: 348 |STR_TIME: 0.05063009262084961
> STR_ID: 1b0b |STR_LEN: 346 |STR_TIME: 0.028123140335083008
> STR_ID: 1b0c |STR_LEN: 338 |STR_TIME: 0.04629111289978027
> STR_ID: 1b0d |STR_LEN: 216 |STR_TIME: 0.02260589599609375
> STR_ID: 1b0e |STR_LEN: 439 |STR_TIME: 0.042489051818847656
> STR_ID: 1b0f |STR_LEN: 259 |STR_TIME: 0.08582687377929688
> STR_ID: 1b0g |STR_LEN: 818 |STR_TIME: 0.14460968971252441
> STR_ID: 1b0h |STR_LEN: 943 |STR_TIME: 0.09736394882202148
> STR_ID: 1b0i |STR_LEN: 551 |STR_TIME: 0.12183380126953125
> STR_ID: 1b0j |STR_LEN: 1073 |STR_TIME: 0.12472391128540039
> STR_ID: 1b0k |STR_LEN: 1059 |STR_TIME: 0.13939213752746582
> STR_ID: 1b0l |STR_LEN: 989 |STR_TIME: 0.1621549129486084
> STR_ID: 1b0m |STR_LEN: 1096 |STR_TIME: 0.12867188453674316
> STR_ID: 1b0n |STR_LEN: 256 |STR_TIME: 0.027393817901611328
