>> START_DIR: ./data/q/q0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1q01 |STR_LEN: 38 |STR_TIME: 2.9323911666870117
> STR_ID: 1q02 |STR_LEN: 52 |STR_TIME: 4.464562892913818
> STR_ID: 1q03 |STR_LEN: 411 |STR_TIME: 0.5840702056884766
> STR_ID: 1q04 |STR_LEN: 480 |STR_TIME: 0.6887991428375244
> STR_ID: 1q05 |STR_LEN: 394 |STR_TIME: 0.5360541343688965
> STR_ID: 1q06 |STR_LEN: 385 |STR_TIME: 0.5264317989349365
> STR_ID: 1q07 |STR_LEN: 314 |STR_TIME: 0.48575520515441895
> STR_ID: 1q08 |STR_LEN: 426 |STR_TIME: 0.45932793617248535
> STR_ID: 1q09 |STR_LEN: 138 |STR_TIME: 0.22152209281921387
> STR_ID: 1q0a |STR_LEN: 317 |STR_TIME: 0.4211709499359131
> STR_ID: 1q0b |STR_LEN: 1172 |STR_TIME: 1.4187116622924805
> STR_ID: 1q0c |STR_LEN: 1657 |STR_TIME: 2.540187120437622
> STR_ID: 1q0d |STR_LEN: 2970 |STR_TIME: 2.979011058807373
> STR_ID: 1q0e |STR_LEN: 863 |STR_TIME: 1.217848777770996
> STR_ID: 1q0f |STR_LEN: 2970 |STR_TIME: 2.9974119663238525
> STR_ID: 1q0g |STR_LEN: 3127 |STR_TIME: 3.087217092514038
> STR_ID: 1q0h |STR_LEN: 666 |STR_TIME: 0.842423677444458
> STR_ID: 1q0k |STR_LEN: 1944 |STR_TIME: 2.7169182300567627
> STR_ID: 1q0l |STR_LEN: 491 |STR_TIME: 0.7808430194854736
> STR_ID: 1q0m |STR_LEN: 1620 |STR_TIME: 1.6416740417480469
> STR_ID: 1q0n |STR_LEN: 506 |STR_TIME: 0.807523250579834
> STR_ID: 1q0o |STR_LEN: 909 |STR_TIME: 1.3737208843231201
> STR_ID: 1q0p |STR_LEN: 385 |STR_TIME: 0.45605921745300293
> STR_ID: 1q0q |STR_LEN: 1439 |STR_TIME: 1.671271800994873
> STR_ID: 1q0r |STR_LEN: 556 |STR_TIME: 0.6618928909301758
> STR_ID: 1q0s |STR_LEN: 294 |STR_TIME: 0.5141398906707764
> STR_ID: 1q0t |STR_LEN: 510 |STR_TIME: 1.0928609371185303
> STR_ID: 1q0u |STR_LEN: 656 |STR_TIME: 0.8718390464782715
> STR_ID: 1q0v |STR_LEN: 81 |STR_TIME: 5.495251178741455
> STR_ID: 1q0w |STR_LEN: 100 |STR_TIME: 6.837079048156738
> STR_ID: 1q0x |STR_LEN: 757 |STR_TIME: 0.902216911315918
> STR_ID: 1q0y |STR_LEN: 727 |STR_TIME: 0.9585957527160645
> STR_ID: 1q0z |STR_LEN: 555 |STR_TIME: 0.6590278148651123
> STR_ID: 2q00 |STR_LEN: 271 |STR_TIME: 0.4741349220275879
> STR_ID: 2q01 |STR_LEN: 1930 |STR_TIME: 2.7268550395965576
> STR_ID: 2q02 |STR_LEN: 1341 |STR_TIME: 2.0811660289764404
> STR_ID: 2q03 |STR_LEN: 512 |STR_TIME: 0.6161360740661621
> STR_ID: 2q04 |STR_LEN: 1508 |STR_TIME: 2.4045822620391846
> STR_ID: 2q05 |STR_LEN: 776 |STR_TIME: 1.3937981128692627
> STR_ID: 2q06 |STR_LEN: 932 |STR_TIME: 1.7995920181274414
> STR_ID: 2q07 |STR_LEN: 354 |STR_TIME: 0.5697028636932373
> STR_ID: 2q08 |STR_LEN: 5935 |STR_TIME: 9.797938823699951
> STR_ID: 2q09 |STR_LEN: 678 |STR_TIME: 0.8556270599365234
> STR_ID: 2q0a |STR_LEN: 605 |STR_TIME: 0.8506271839141846
> STR_ID: 2q0b |STR_LEN: 627 |STR_TIME: 1.076158046722412
> STR_ID: 2q0c |STR_LEN: 870 |STR_TIME: 1.333512783050537
> STR_ID: 2q0d |STR_LEN: 915 |STR_TIME: 1.3314008712768555
> STR_ID: 2q0e |STR_LEN: 868 |STR_TIME: 1.4125888347625732
> STR_ID: 2q0f |STR_LEN: 831 |STR_TIME: 1.3214828968048096
> STR_ID: 2q0g |STR_LEN: 830 |STR_TIME: 1.3290419578552246
> STR_ID: 2q0h |STR_LEN: 792 |STR_TIME: 1.041877031326294
> STR_ID: 2q0i |STR_LEN: 649 |STR_TIME: 1.2140820026397705
> STR_ID: 2q0j |STR_LEN: 993 |STR_TIME: 2.2154862880706787
> STR_ID: 2q0k |STR_LEN: 981 |STR_TIME: 1.2817411422729492
> STR_ID: 2q0l |STR_LEN: 1156 |STR_TIME: 2.3871021270751953
> STR_ID: 2q0m |STR_LEN: 222 |STR_TIME: 0.3157050609588623
> STR_ID: 2q0n |STR_LEN: 565 |STR_TIME: 0.7112622261047363
> STR_ID: 2q0o |STR_LEN: 1129 |STR_TIME: 1.351863145828247
> STR_ID: 2q0q |STR_LEN: 3344 |STR_TIME: 3.5110902786254883
> STR_ID: 2q0r |STR_LEN: 752 |STR_TIME: 0.8424520492553711
> STR_ID: 2q0s |STR_LEN: 3855 |STR_TIME: 3.5831029415130615
> STR_ID: 2q0t |STR_LEN: 1699 |STR_TIME: 1.723276138305664
> STR_ID: 2q0u |STR_LEN: 714 |STR_TIME: 0.8377771377563477
> STR_ID: 2q0v |STR_LEN: 197 |STR_TIME: 0.33240294456481934
> STR_ID: 2q0x |STR_LEN: 712 |STR_TIME: 1.1415960788726807
> STR_ID: 2q0y |STR_LEN: 368 |STR_TIME: 0.41489696502685547
> STR_ID: 2q0z |STR_LEN: 555 |STR_TIME: 0.6700992584228516
> STR_ID: 3q00 |STR_LEN: 555 |STR_TIME: 0.5487160682678223
> STR_ID: 3q01 |STR_LEN: 603 |STR_TIME: 0.9334852695465088
> STR_ID: 3q02 |STR_LEN: 855 |STR_TIME: 2.558182954788208
> STR_ID: 3q03 |STR_LEN: 929 |STR_TIME: 2.520008087158203
> STR_ID: 3q04 |STR_LEN: 585 |STR_TIME: 1.2953779697418213
> STR_ID: 3q05 |STR_LEN: 1153 |STR_TIME: 2.05562424659729
> STR_ID: 3q06 |STR_LEN: 980 |STR_TIME: 2.097675085067749
> STR_ID: 3q07 |STR_LEN: 1314 |STR_TIME: 1.2138450145721436
> STR_ID: 3q08 |STR_LEN: 4920 |STR_TIME: 17.0007221698761
> STR_ID: 3q09 |STR_LEN: 4900 |STR_TIME: 16.842460870742798
> STR_ID: 3q0a |STR_LEN: 2467 |STR_TIME: 4.4827351570129395
> STR_ID: 3q0b |STR_LEN: 221 |STR_TIME: 0.4029560089111328
> STR_ID: 3q0c |STR_LEN: 349 |STR_TIME: 0.6778807640075684
> STR_ID: 3q0d |STR_LEN: 357 |STR_TIME: 0.7837541103363037
> STR_ID: 3q0e |STR_LEN: 1369 |STR_TIME: 2.7533950805664062
