>> START_DIR: ./data/x/x0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1x01 |STR_LEN: 813 |STR_TIME: 0.07344269752502441
> STR_ID: 1x02 |STR_LEN: 152 |STR_TIME: 1.001417875289917
> STR_ID: 1x03 |STR_LEN: 210 |STR_TIME: 0.03130507469177246
> STR_ID: 1x04 |STR_LEN: 200 |STR_TIME: 0.03128194808959961
> STR_ID: 1x05 |STR_LEN: 129 |STR_TIME: 0.988818883895874
> STR_ID: 1x06 |STR_LEN: 566 |STR_TIME: 0.04007601737976074
> STR_ID: 1x07 |STR_LEN: 430 |STR_TIME: 0.0362238883972168
> STR_ID: 1x08 |STR_LEN: 562 |STR_TIME: 0.11806607246398926
> STR_ID: 1x09 |STR_LEN: 518 |STR_TIME: 0.04282331466674805
> STR_ID: 1x0a |STR_LEN: 620 |STR_TIME: 0.05295205116271973
> STR_ID: 1x0c |STR_LEN: 2394 |STR_TIME: 0.21617507934570312
> STR_ID: 1x0f |STR_LEN: 83 |STR_TIME: 0.5654609203338623
> STR_ID: 1x0g |STR_LEN: 467 |STR_TIME: 0.06141376495361328
> STR_ID: 1x0h |STR_LEN: 112 |STR_TIME: 0.8174307346343994
> STR_ID: 1x0i |STR_LEN: 246 |STR_TIME: 0.06292200088500977
> STR_ID: 1x0j |STR_LEN: 689 |STR_TIME: 0.057633161544799805
> STR_ID: 1x0k |STR_LEN: 279 |STR_TIME: 0.03577613830566406
> STR_ID: 1x0l |STR_LEN: 1037 |STR_TIME: 0.10242104530334473
> STR_ID: 1x0m |STR_LEN: 603 |STR_TIME: 0.14232802391052246
> STR_ID: 1x0n |STR_LEN: 101 |STR_TIME: 0.7379422187805176
> STR_ID: 1x0o |STR_LEN: 119 |STR_TIME: 0.8718252182006836
> STR_ID: 1x0p |STR_LEN: 1685 |STR_TIME: 0.3208761215209961
> STR_ID: 1x0r |STR_LEN: 3757 |STR_TIME: 0.5197389125823975
> STR_ID: 1x0s |STR_LEN: 279 |STR_TIME: 0.036958932876586914
> STR_ID: 1x0t |STR_LEN: 172 |STR_TIME: 0.017078161239624023
> STR_ID: 1x0u |STR_LEN: 4431 |STR_TIME: 0.625542163848877
> STR_ID: 1x0v |STR_LEN: 1362 |STR_TIME: 0.11178112030029297
> STR_ID: 1x0x |STR_LEN: 566 |STR_TIME: 0.05691218376159668
> STR_ID: 2x00 |STR_LEN: 1465 |STR_TIME: 0.24269795417785645
> STR_ID: 2x01 |STR_LEN: 684 |STR_TIME: 0.10124087333679199
> STR_ID: 2x02 |STR_LEN: 1067 |STR_TIME: 0.14597606658935547
> STR_ID: 2x03 |STR_LEN: 2327 |STR_TIME: 0.2556271553039551
> STR_ID: 2x04 |STR_LEN: 405 |STR_TIME: 0.030147790908813477
> STR_ID: 2x05 |STR_LEN: 2930 |STR_TIME: 0.35233592987060547
> STR_ID: 2x06 |STR_LEN: 3260 |STR_TIME: 0.576801061630249
> STR_ID: 2x07 |STR_LEN: 420 |STR_TIME: 0.08473014831542969
> STR_ID: 2x08 |STR_LEN: 521 |STR_TIME: 0.04969334602355957
> STR_ID: 2x09 |STR_LEN: 3148 |STR_TIME: 0.33483314514160156
> STR_ID: 2x0a |STR_LEN: 257 |STR_TIME: 0.030677080154418945
> STR_ID: 2x0b |STR_LEN: 3012 |STR_TIME: 0.6745688915252686
> STR_ID: 2x0c |STR_LEN: 493 |STR_TIME: 0.05014395713806152
> STR_ID: 2x0d |STR_LEN: 935 |STR_TIME: 0.12310123443603516
> STR_ID: 2x0e |STR_LEN: 873 |STR_TIME: 0.19295477867126465
> STR_ID: 2x0f |STR_LEN: 980 |STR_TIME: 0.13318610191345215
> STR_ID: 2x0g |STR_LEN: 633 |STR_TIME: 0.10019779205322266
> STR_ID: 2x0h |STR_LEN: 2014 |STR_TIME: 0.3044719696044922
> STR_ID: 2x0i |STR_LEN: 336 |STR_TIME: 0.04981708526611328
> STR_ID: 2x0j |STR_LEN: 326 |STR_TIME: 0.05597376823425293
> STR_ID: 2x0k |STR_LEN: 1203 |STR_TIME: 0.11286568641662598
> STR_ID: 2x0l |STR_LEN: 820 |STR_TIME: 0.17216897010803223
> STR_ID: 2x0n |STR_LEN: 2166 |STR_TIME: 0.44336795806884766
> STR_ID: 2x0o |STR_LEN: 761 |STR_TIME: 0.14809799194335938
> STR_ID: 2x0p |STR_LEN: 867 |STR_TIME: 0.08827018737792969
> STR_ID: 2x0q |STR_LEN: 842 |STR_TIME: 0.09114503860473633
> STR_ID: 2x0r |STR_LEN: 737 |STR_TIME: 0.16891789436340332
> STR_ID: 2x0s |STR_LEN: 935 |STR_TIME: 0.15842795372009277
> STR_ID: 2x0u |STR_LEN: 1048 |STR_TIME: 0.07765698432922363
> STR_ID: 2x0v |STR_LEN: 964 |STR_TIME: 0.10604381561279297
> STR_ID: 2x0w |STR_LEN: 915 |STR_TIME: 0.06670904159545898
> STR_ID: 2x0x |STR_LEN: 3266 |STR_TIME: 0.4183969497680664
> STR_ID: 2x0y |STR_LEN: 1996 |STR_TIME: 0.22298026084899902
> STR_ID: 3x00 |STR_LEN: 944 |STR_TIME: 0.10685205459594727
> STR_ID: 3x01 |STR_LEN: 723 |STR_TIME: 0.18346810340881348
> STR_ID: 3x02 |STR_LEN: 668 |STR_TIME: 0.11834287643432617
> STR_ID: 3x03 |STR_LEN: 650 |STR_TIME: 0.1560070514678955
> STR_ID: 3x04 |STR_LEN: 632 |STR_TIME: 0.11546874046325684
> STR_ID: 3x05 |STR_LEN: 667 |STR_TIME: 0.11491990089416504
> STR_ID: 3x06 |STR_LEN: 657 |STR_TIME: 0.1522202491760254
> STR_ID: 3x07 |STR_LEN: 626 |STR_TIME: 0.10954403877258301
> STR_ID: 3x08 |STR_LEN: 640 |STR_TIME: 0.14516377449035645
> STR_ID: 3x09 |STR_LEN: 660 |STR_TIME: 0.11580896377563477
> STR_ID: 3x0a |STR_LEN: 667 |STR_TIME: 0.15872716903686523
> STR_ID: 3x0b |STR_LEN: 657 |STR_TIME: 0.11712002754211426
> STR_ID: 3x0c |STR_LEN: 670 |STR_TIME: 0.11677193641662598
> STR_ID: 3x0d |STR_LEN: 717 |STR_TIME: 0.12748265266418457
> STR_ID: 3x0e |STR_LEN: 306 |STR_TIME: 0.05085277557373047
> STR_ID: 3x0f |STR_LEN: 264 |STR_TIME: 0.06943011283874512
> STR_ID: 3x0g |STR_LEN: 152 |STR_TIME: 0.031768083572387695
> STR_ID: 3x0i |STR_LEN: 317 |STR_TIME: 0.03691697120666504
> STR_ID: 3x0j |STR_LEN: 296 |STR_TIME: 0.03898906707763672
> STR_ID: 3x0k |STR_LEN: 309 |STR_TIME: 0.07724976539611816
> STR_ID: 3x0l |STR_LEN: 315 |STR_TIME: 0.03691220283508301
