>> START_DIR: ./data/n/n0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1n00 |STR_LEN: 502 |STR_TIME: 0.05328679084777832
> STR_ID: 1n02 |STR_LEN: 102 |STR_TIME: 0.9043779373168945
> STR_ID: 1n03 |STR_LEN: 2128 |STR_TIME: 0.056774139404296875
> STR_ID: 1n04 |STR_LEN: 742 |STR_TIME: 0.09788680076599121
> STR_ID: 1n05 |STR_LEN: 272 |STR_TIME: 0.024693965911865234
> STR_ID: 1n06 |STR_LEN: 466 |STR_TIME: 0.1348109245300293
> STR_ID: 1n07 |STR_LEN: 395 |STR_TIME: 0.06337499618530273
> STR_ID: 1n08 |STR_LEN: 584 |STR_TIME: 0.05832815170288086
> STR_ID: 1n09 |STR_LEN: 12 |STR_TIME: 0.05525708198547363
> STR_ID: 1n0a |STR_LEN: 13 |STR_TIME: 0.06386995315551758
> STR_ID: 1n0c |STR_LEN: 12 |STR_TIME: 0.08706831932067871
> STR_ID: 1n0d |STR_LEN: 12 |STR_TIME: 0.05527615547180176
> STR_ID: 1n0e |STR_LEN: 1664 |STR_TIME: 0.1806478500366211
> STR_ID: 1n0f |STR_LEN: 1286 |STR_TIME: 0.200423002243042
> STR_ID: 1n0g |STR_LEN: 359 |STR_TIME: 0.044374942779541016
> STR_ID: 1n0h |STR_LEN: 2041 |STR_TIME: 0.23731684684753418
> STR_ID: 1n0i |STR_LEN: 685 |STR_TIME: 0.051661014556884766
> STR_ID: 1n0j |STR_LEN: 567 |STR_TIME: 0.06005287170410156
> STR_ID: 1n0k |STR_LEN: 26 |STR_TIME: 0.013502120971679688
> STR_ID: 1n0l |STR_LEN: 819 |STR_TIME: 0.13763666152954102
> STR_ID: 1n0n |STR_LEN: 739 |STR_TIME: 0.06347012519836426
> STR_ID: 1n0o |STR_LEN: 26 |STR_TIME: 0.13716602325439453
> STR_ID: 1n0q |STR_LEN: 369 |STR_TIME: 0.031216144561767578
> STR_ID: 1n0r |STR_LEN: 214 |STR_TIME: 0.020577669143676758
> STR_ID: 1n0s |STR_LEN: 447 |STR_TIME: 0.08657407760620117
> STR_ID: 1n0t |STR_LEN: 1986 |STR_TIME: 0.16856908798217773
> STR_ID: 1n0u |STR_LEN: 1314 |STR_TIME: 0.14814519882202148
> STR_ID: 1n0v |STR_LEN: 1650 |STR_TIME: 0.2393629550933838
> STR_ID: 1n0w |STR_LEN: 504 |STR_TIME: 0.0804910659790039
> STR_ID: 1n0x |STR_LEN: 1656 |STR_TIME: 0.14891481399536133
> STR_ID: 1n0y |STR_LEN: 331 |STR_TIME: 0.03530597686767578
> STR_ID: 1n0z |STR_LEN: 46 |STR_TIME: 0.2913663387298584
> STR_ID: 2n00 |STR_LEN: 95 |STR_TIME: 0.700160026550293
> STR_ID: 2n01 |STR_LEN: 129 |STR_TIME: 0.9693100452423096
> STR_ID: 2n02 |STR_LEN: 170 |STR_TIME: 1.2563509941101074
> STR_ID: 2n03 |STR_LEN: 215 |STR_TIME: 1.6912500858306885
> STR_ID: 2n04 |STR_LEN: 105 |STR_TIME: 0.7817089557647705
> STR_ID: 2n05 |STR_LEN: 105 |STR_TIME: 0.8802139759063721
> STR_ID: 2n06 |STR_LEN: 90 |STR_TIME: 0.7679610252380371
> STR_ID: 2n07 |STR_LEN: 22 |STR_TIME: 0.10663795471191406
> STR_ID: 2n08 |STR_LEN: 12 |STR_TIME: 0.059899091720581055
> STR_ID: 2n09 |STR_LEN: 12 |STR_TIME: 0.029068708419799805
> STR_ID: 2n0a |STR_LEN: 1400 |STR_TIME: 0.5439369678497314
> STR_ID: 2n0b |STR_LEN: 10 |STR_TIME: 0.07490086555480957
> STR_ID: 2n0c |STR_LEN: 10 |STR_TIME: 0.04743003845214844
> STR_ID: 2n0d |STR_LEN: 10 |STR_TIME: 0.05337691307067871
> STR_ID: 2n0e |STR_LEN: 10 |STR_TIME: 0.05514693260192871
> STR_ID: 2n0f |STR_LEN: 10 |STR_TIME: 0.05080270767211914
> STR_ID: 2n0g |STR_LEN: 10 |STR_TIME: 0.05504775047302246
> STR_ID: 2n0h |STR_LEN: 10 |STR_TIME: 0.11559009552001953
> STR_ID: 2n0i |STR_LEN: 12 |STR_TIME: 0.04930400848388672
> STR_ID: 2n0j |STR_LEN: 28 |STR_TIME: 0.3561820983886719
> STR_ID: 2n0k |STR_LEN: 178 |STR_TIME: 0.5233898162841797
> STR_ID: 2n0m |STR_LEN: 131 |STR_TIME: 0.41562390327453613
> STR_ID: 2n0n |STR_LEN: 12 |STR_TIME: 0.12064385414123535
> STR_ID: 2n0o |STR_LEN: 19 |STR_TIME: 0.05540108680725098
