>> START_DIR: ./data/l/l0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1l00 |STR_LEN: 309 |STR_TIME: 0.36601710319519043
> STR_ID: 1l01 |STR_LEN: 282 |STR_TIME: 0.3635990619659424
> STR_ID: 1l02 |STR_LEN: 283 |STR_TIME: 0.3670802116394043
> STR_ID: 1l03 |STR_LEN: 317 |STR_TIME: 0.3927910327911377
> STR_ID: 1l04 |STR_LEN: 282 |STR_TIME: 0.3730309009552002
> STR_ID: 1l05 |STR_LEN: 282 |STR_TIME: 0.3591012954711914
> STR_ID: 1l06 |STR_LEN: 282 |STR_TIME: 0.37021899223327637
> STR_ID: 1l07 |STR_LEN: 283 |STR_TIME: 0.37133026123046875
> STR_ID: 1l08 |STR_LEN: 283 |STR_TIME: 0.4234910011291504
> STR_ID: 1l09 |STR_LEN: 282 |STR_TIME: 0.3582611083984375
> STR_ID: 1l0a |STR_LEN: 238 |STR_TIME: 0.41009998321533203
> STR_ID: 1l0b |STR_LEN: 367 |STR_TIME: 0.4345228672027588
> STR_ID: 1l0c |STR_LEN: 257 |STR_TIME: 0.3478689193725586
> STR_ID: 1l0d |STR_LEN: 1312 |STR_TIME: 1.3834450244903564
> STR_ID: 1l0e |STR_LEN: 1228 |STR_TIME: 1.3673572540283203
> STR_ID: 1l0f |STR_LEN: 1506 |STR_TIME: 1.5104138851165771
> STR_ID: 1l0g |STR_LEN: 1236 |STR_TIME: 1.4373490810394287
> STR_ID: 1l0h |STR_LEN: 136 |STR_TIME: 0.19101190567016602
> STR_ID: 1l0i |STR_LEN: 249 |STR_TIME: 0.3939399719238281
> STR_ID: 1l0j |STR_LEN: 298 |STR_TIME: 0.37992334365844727
> STR_ID: 1l0k |STR_LEN: 288 |STR_TIME: 0.37507009506225586
> STR_ID: 1l0l |STR_LEN: 2123 |STR_TIME: 3.8828787803649902
> STR_ID: 1l0m |STR_LEN: 212 |STR_TIME: 0.7425451278686523
> STR_ID: 1l0n |STR_LEN: 2101 |STR_TIME: 3.7488901615142822
> STR_ID: 1l0o |STR_LEN: 426 |STR_TIME: 0.6970901489257812
> STR_ID: 1l0p |STR_LEN: 667 |STR_TIME: 0.8585748672485352
> STR_ID: 1l0q |STR_LEN: 2928 |STR_TIME: 2.9374349117279053
> STR_ID: 1l0r |STR_LEN: 2221 |STR_TIME: 1.7704169750213623
> STR_ID: 1l0s |STR_LEN: 535 |STR_TIME: 0.6458649635314941
