>> START_DIR: ./data/c/c0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1c01 |STR_LEN: 76 |STR_TIME: 4.4108357429504395
> STR_ID: 1c02 |STR_LEN: 388 |STR_TIME: 0.6098170280456543
> STR_ID: 1c03 |STR_LEN: 828 |STR_TIME: 1.1712009906768799
> STR_ID: 1c04 |STR_LEN: 575 |STR_TIME: 1.3012428283691406
> STR_ID: 1c05 |STR_LEN: 159 |STR_TIME: 0.5689651966094971
> STR_ID: 1c06 |STR_LEN: 159 |STR_TIME: 8.593868970870972
> STR_ID: 1c07 |STR_LEN: 96 |STR_TIME: 6.219186067581177
> STR_ID: 1c08 |STR_LEN: 475 |STR_TIME: 0.6583249568939209
> STR_ID: 1c09 |STR_LEN: 320 |STR_TIME: 0.34725093841552734
> STR_ID: 1c0a |STR_LEN: 1179 |STR_TIME: 1.6537346839904785
> STR_ID: 1c0b |STR_LEN: 127 |STR_TIME: 0.2646968364715576
> STR_ID: 1c0c |STR_LEN: 129 |STR_TIME: 0.25670409202575684
> STR_ID: 1c0e |STR_LEN: 408 |STR_TIME: 0.7422828674316406
> STR_ID: 1c0f |STR_LEN: 900 |STR_TIME: 1.0448131561279297
> STR_ID: 1c0g |STR_LEN: 968 |STR_TIME: 1.0521650314331055
> STR_ID: 1c0i |STR_LEN: 738 |STR_TIME: 0.7766499519348145
> STR_ID: 1c0k |STR_LEN: 988 |STR_TIME: 1.4888458251953125
> STR_ID: 1c0l |STR_LEN: 939 |STR_TIME: 0.8342440128326416
> STR_ID: 1c0m |STR_LEN: 1016 |STR_TIME: 1.5913290977478027
> STR_ID: 1c0n |STR_LEN: 406 |STR_TIME: 0.6999969482421875
> STR_ID: 1c0o |STR_LEN: 15 |STR_TIME: 1.7607872486114502
> STR_ID: 1c0p |STR_LEN: 979 |STR_TIME: 1.5113129615783691
> STR_ID: 1c0q |STR_LEN: 68 |STR_TIME: 0.14966487884521484
