>> START_DIR: ./data/p/p0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1p00 |STR_LEN: 44 |STR_TIME: 0.14609813690185547
> STR_ID: 1p01 |STR_LEN: 341 |STR_TIME: 0.028171062469482422
> STR_ID: 1p02 |STR_LEN: 349 |STR_TIME: 0.02955174446105957
> STR_ID: 1p03 |STR_LEN: 344 |STR_TIME: 0.03115987777709961
> STR_ID: 1p04 |STR_LEN: 344 |STR_TIME: 0.03181815147399902
> STR_ID: 1p05 |STR_LEN: 377 |STR_TIME: 0.029888153076171875
> STR_ID: 1p06 |STR_LEN: 366 |STR_TIME: 0.0296018123626709
> STR_ID: 1p09 |STR_LEN: 368 |STR_TIME: 0.06679296493530273
> STR_ID: 1p0a |STR_LEN: 44 |STR_TIME: 0.11983323097229004
> STR_ID: 1p0b |STR_LEN: 748 |STR_TIME: 0.06494402885437012
> STR_ID: 1p0c |STR_LEN: 1059 |STR_TIME: 0.13369393348693848
> STR_ID: 1p0d |STR_LEN: 722 |STR_TIME: 0.05690407752990723
> STR_ID: 1p0e |STR_LEN: 481 |STR_TIME: 0.05299711227416992
> STR_ID: 1p0f |STR_LEN: 1149 |STR_TIME: 0.10982418060302734
> STR_ID: 1p0g |STR_LEN: 20 |STR_TIME: 0.16329383850097656
> STR_ID: 1p0h |STR_LEN: 690 |STR_TIME: 0.052896976470947266
> STR_ID: 1p0i |STR_LEN: 1024 |STR_TIME: 0.09657883644104004
> STR_ID: 1p0j |STR_LEN: 20 |STR_TIME: 0.18147993087768555
> STR_ID: 1p0k |STR_LEN: 1155 |STR_TIME: 0.09513497352600098
> STR_ID: 1p0l |STR_LEN: 20 |STR_TIME: 0.13236403465270996
> STR_ID: 1p0m |STR_LEN: 804 |STR_TIME: 0.12542295455932617
> STR_ID: 1p0n |STR_LEN: 614 |STR_TIME: 0.08276581764221191
> STR_ID: 1p0o |STR_LEN: 20 |STR_TIME: 0.13308000564575195
> STR_ID: 1p0p |STR_LEN: 874 |STR_TIME: 0.12892389297485352
> STR_ID: 1p0q |STR_LEN: 821 |STR_TIME: 0.0830683708190918
> STR_ID: 1p0r |STR_LEN: 73 |STR_TIME: 0.020804882049560547
> STR_ID: 1p0s |STR_LEN: 529 |STR_TIME: 0.07360410690307617
> STR_ID: 1p0u |STR_LEN: 13 |STR_TIME: 0.11195898056030273
> STR_ID: 1p0v |STR_LEN: 2296 |STR_TIME: 0.17473101615905762
> STR_ID: 1p0w |STR_LEN: 2311 |STR_TIME: 0.19598007202148438
> STR_ID: 1p0x |STR_LEN: 2129 |STR_TIME: 0.1627349853515625
> STR_ID: 1p0y |STR_LEN: 1968 |STR_TIME: 0.2654712200164795
> STR_ID: 1p0z |STR_LEN: 2923 |STR_TIME: 0.3003830909729004
