>> START_DIR: ./data/f/f0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1f00 |STR_LEN: 472 |STR_TIME: 0.5687499046325684
> STR_ID: 1f02 |STR_LEN: 348 |STR_TIME: 0.6073160171508789
> STR_ID: 1f03 |STR_LEN: 83 |STR_TIME: 0.40892601013183594
> STR_ID: 1f04 |STR_LEN: 83 |STR_TIME: 9.721799850463867
> STR_ID: 1f05 |STR_LEN: 736 |STR_TIME: 1.1879918575286865
> STR_ID: 1f06 |STR_LEN: 759 |STR_TIME: 1.2455179691314697
> STR_ID: 1f07 |STR_LEN: 1799 |STR_TIME: 2.4837400913238525
> STR_ID: 1f08 |STR_LEN: 407 |STR_TIME: 0.5781760215759277
> STR_ID: 1f09 |STR_LEN: 333 |STR_TIME: 0.464644193649292
> STR_ID: 1f0b |STR_LEN: 351 |STR_TIME: 0.49597811698913574
> STR_ID: 1f0c |STR_LEN: 501 |STR_TIME: 0.6839442253112793
> STR_ID: 1f0d |STR_LEN: 21 |STR_TIME: 1.4803247451782227
> STR_ID: 1f0e |STR_LEN: 19 |STR_TIME: 1.4096078872680664
> STR_ID: 1f0f |STR_LEN: 18 |STR_TIME: 1.319849967956543
> STR_ID: 1f0g |STR_LEN: 21 |STR_TIME: 1.511268138885498
> STR_ID: 1f0h |STR_LEN: 21 |STR_TIME: 1.4092888832092285
> STR_ID: 1f0i |STR_LEN: 1190 |STR_TIME: 1.0492098331451416
> STR_ID: 1f0j |STR_LEN: 1452 |STR_TIME: 1.4346098899841309
> STR_ID: 1f0k |STR_LEN: 999 |STR_TIME: 1.3082799911499023
> STR_ID: 1f0l |STR_LEN: 2862 |STR_TIME: 2.369954824447632
> STR_ID: 1f0m |STR_LEN: 184 |STR_TIME: 0.19628500938415527
> STR_ID: 1f0n |STR_LEN: 493 |STR_TIME: 0.9595460891723633
> STR_ID: 1f0o |STR_LEN: 526 |STR_TIME: 0.7532100677490234
> STR_ID: 1f0p |STR_LEN: 513 |STR_TIME: 0.6690318584442139
