>> START_DIR: ./data/i/i0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1i00 |STR_LEN: 670 |STR_TIME: 1.1269898414611816
> STR_ID: 1i01 |STR_LEN: 2156 |STR_TIME: 3.3988749980926514
> STR_ID: 1i02 |STR_LEN: 60 |STR_TIME: 4.293987989425659
> STR_ID: 1i04 |STR_LEN: 313 |STR_TIME: 0.4199671745300293
> STR_ID: 1i05 |STR_LEN: 256 |STR_TIME: 0.3780827522277832
> STR_ID: 1i06 |STR_LEN: 222 |STR_TIME: 0.3681180477142334
> STR_ID: 1i07 |STR_LEN: 212 |STR_TIME: 0.3052668571472168
> STR_ID: 1i08 |STR_LEN: 1083 |STR_TIME: 1.963109016418457
> STR_ID: 1i09 |STR_LEN: 729 |STR_TIME: 1.4850468635559082
> STR_ID: 1i0a |STR_LEN: 2373 |STR_TIME: 3.8853719234466553
> STR_ID: 1i0b |STR_LEN: 1393 |STR_TIME: 2.0735130310058594
> STR_ID: 1i0c |STR_LEN: 209 |STR_TIME: 0.3212010860443115
> STR_ID: 1i0d |STR_LEN: 1424 |STR_TIME: 1.554142951965332
> STR_ID: 1i0e |STR_LEN: 1460 |STR_TIME: 2.9077441692352295
> STR_ID: 1i0f |STR_LEN: 134 |STR_TIME: 0.2755587100982666
> STR_ID: 1i0g |STR_LEN: 113 |STR_TIME: 0.1712179183959961
> STR_ID: 1i0h |STR_LEN: 912 |STR_TIME: 1.0160839557647705
> STR_ID: 1i0i |STR_LEN: 583 |STR_TIME: 0.8291208744049072
> STR_ID: 1i0j |STR_LEN: 115 |STR_TIME: 0.1747438907623291
> STR_ID: 1i0k |STR_LEN: 213 |STR_TIME: 0.23294901847839355
> STR_ID: 1i0l |STR_LEN: 552 |STR_TIME: 0.8796720504760742
> STR_ID: 1i0m |STR_LEN: 273 |STR_TIME: 0.24634003639221191
> STR_ID: 1i0n |STR_LEN: 165 |STR_TIME: 0.20692110061645508
> STR_ID: 1i0o |STR_LEN: 116 |STR_TIME: 0.2020730972290039
> STR_ID: 1i0p |STR_LEN: 157 |STR_TIME: 0.2214350700378418
