>> START_DIR: ./data/b/b0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1b00 |STR_LEN: 375 |STR_TIME: 0.4944469928741455
> STR_ID: 1b01 |STR_LEN: 137 |STR_TIME: 0.36856722831726074
> STR_ID: 1b02 |STR_LEN: 365 |STR_TIME: 0.6423721313476562
> STR_ID: 1b03 |STR_LEN: 18 |STR_TIME: 2.030836343765259
> STR_ID: 1b04 |STR_LEN: 811 |STR_TIME: 1.1643128395080566
> STR_ID: 1b05 |STR_LEN: 716 |STR_TIME: 0.9800951480865479
> STR_ID: 1b06 |STR_LEN: 1575 |STR_TIME: 2.375808000564575
> STR_ID: 1b07 |STR_LEN: 116 |STR_TIME: 0.1930837631225586
> STR_ID: 1b08 |STR_LEN: 652 |STR_TIME: 0.8747930526733398
> STR_ID: 1b09 |STR_LEN: 1045 |STR_TIME: 1.8354690074920654
> STR_ID: 1b0a |STR_LEN: 348 |STR_TIME: 0.5278439521789551
> STR_ID: 1b0b |STR_LEN: 346 |STR_TIME: 0.3263368606567383
> STR_ID: 1b0c |STR_LEN: 338 |STR_TIME: 0.5751938819885254
> STR_ID: 1b0d |STR_LEN: 216 |STR_TIME: 0.28120923042297363
> STR_ID: 1b0e |STR_LEN: 439 |STR_TIME: 0.5038299560546875
> STR_ID: 1b0f |STR_LEN: 259 |STR_TIME: 0.43088507652282715
> STR_ID: 1b0g |STR_LEN: 818 |STR_TIME: 1.3935270309448242
> STR_ID: 1b0h |STR_LEN: 943 |STR_TIME: 1.0590713024139404
> STR_ID: 1b0i |STR_LEN: 551 |STR_TIME: 1.0019230842590332
> STR_ID: 1b0j |STR_LEN: 1073 |STR_TIME: 1.4536561965942383
> STR_ID: 1b0k |STR_LEN: 1059 |STR_TIME: 1.37931227684021
> STR_ID: 1b0l |STR_LEN: 989 |STR_TIME: 1.3339290618896484
> STR_ID: 1b0m |STR_LEN: 1096 |STR_TIME: 1.5471587181091309
> STR_ID: 1b0n |STR_LEN: 256 |STR_TIME: 0.33173489570617676
> STR_ID: 1b0o |STR_LEN: 267 |STR_TIME: 0.3481321334838867
> STR_ID: 1b0p |STR_LEN: 3017 |STR_TIME: 4.349945783615112
> STR_ID: 1b0q |STR_LEN: 13 |STR_TIME: 0.07655882835388184
> STR_ID: 1b0r |STR_LEN: 376 |STR_TIME: 0.7632908821105957
> STR_ID: 1b0s |STR_LEN: 22 |STR_TIME: 0.19672131538391113
> STR_ID: 1b0t |STR_LEN: 138 |STR_TIME: 0.23802709579467773
> STR_ID: 1b0u |STR_LEN: 581 |STR_TIME: 0.6013319492340088
> STR_ID: 1b0v |STR_LEN: 432 |STR_TIME: 0.7824068069458008
> STR_ID: 1b0w |STR_LEN: 428 |STR_TIME: 0.6117780208587646
> STR_ID: 1b0x |STR_LEN: 125 |STR_TIME: 0.19852018356323242
> STR_ID: 1b0y |STR_LEN: 292 |STR_TIME: 0.38086986541748047
> STR_ID: 1b0z |STR_LEN: 626 |STR_TIME: 0.8623440265655518
> STR_ID: 2b00 |STR_LEN: 280 |STR_TIME: 0.30869293212890625
> STR_ID: 2b01 |STR_LEN: 246 |STR_TIME: 0.3001837730407715
> STR_ID: 2b02 |STR_LEN: 222 |STR_TIME: 0.31806397438049316
> STR_ID: 2b03 |STR_LEN: 195 |STR_TIME: 0.28989100456237793
> STR_ID: 2b04 |STR_LEN: 219 |STR_TIME: 0.3296549320220947
> STR_ID: 2b05 |STR_LEN: 1555 |STR_TIME: 2.440361976623535
> STR_ID: 2b06 |STR_LEN: 378 |STR_TIME: 0.37480592727661133
> STR_ID: 2b07 |STR_LEN: 474 |STR_TIME: 0.6121261119842529
> STR_ID: 2b08 |STR_LEN: 1889 |STR_TIME: 1.9691510200500488
> STR_ID: 2b0a |STR_LEN: 312 |STR_TIME: 0.4169349670410156
> STR_ID: 2b0c |STR_LEN: 362 |STR_TIME: 0.45840883255004883
> STR_ID: 2b0d |STR_LEN: 761 |STR_TIME: 1.0785808563232422
> STR_ID: 2b0e |STR_LEN: 746 |STR_TIME: 1.0497212409973145
> STR_ID: 2b0f |STR_LEN: 190 |STR_TIME: 12.249414205551147
> STR_ID: 2b0g |STR_LEN: 83 |STR_TIME: 0.3349878787994385
> STR_ID: 2b0h |STR_LEN: 137 |STR_TIME: 8.50180196762085
> STR_ID: 2b0j |STR_LEN: 563 |STR_TIME: 1.1830899715423584
> STR_ID: 2b0k |STR_LEN: 108 |STR_TIME: 0.19810724258422852
> STR_ID: 2b0l |STR_LEN: 306 |STR_TIME: 0.583655834197998
> STR_ID: 2b0m |STR_LEN: 505 |STR_TIME: 0.737246036529541
> STR_ID: 2b0o |STR_LEN: 1549 |STR_TIME: 2.021703004837036
> STR_ID: 2b0p |STR_LEN: 650 |STR_TIME: 0.5885810852050781
> STR_ID: 2b0q |STR_LEN: 312 |STR_TIME: 0.5643830299377441
> STR_ID: 2b0r |STR_LEN: 323 |STR_TIME: 0.5833520889282227
> STR_ID: 2b0s |STR_LEN: 653 |STR_TIME: 0.8507921695709229
