>> START_DIR: ./data/l/l0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1l00 |STR_LEN: 309 |STR_TIME: 0.026216983795166016
> STR_ID: 1l01 |STR_LEN: 282 |STR_TIME: 0.02485489845275879
> STR_ID: 1l02 |STR_LEN: 283 |STR_TIME: 0.027132034301757812
> STR_ID: 1l03 |STR_LEN: 317 |STR_TIME: 0.0260770320892334
> STR_ID: 1l04 |STR_LEN: 282 |STR_TIME: 0.07417917251586914
> STR_ID: 1l05 |STR_LEN: 282 |STR_TIME: 0.024922847747802734
> STR_ID: 1l06 |STR_LEN: 282 |STR_TIME: 0.02709197998046875
> STR_ID: 1l07 |STR_LEN: 283 |STR_TIME: 0.024651050567626953
> STR_ID: 1l08 |STR_LEN: 283 |STR_TIME: 0.029847145080566406
> STR_ID: 1l09 |STR_LEN: 282 |STR_TIME: 0.027126789093017578
> STR_ID: 1l0a |STR_LEN: 238 |STR_TIME: 0.03220391273498535
> STR_ID: 1l0b |STR_LEN: 367 |STR_TIME: 0.03205561637878418
> STR_ID: 1l0c |STR_LEN: 257 |STR_TIME: 0.027821063995361328
> STR_ID: 1l0d |STR_LEN: 1312 |STR_TIME: 0.13696622848510742
> STR_ID: 1l0e |STR_LEN: 1228 |STR_TIME: 0.11315417289733887
> STR_ID: 1l0f |STR_LEN: 1506 |STR_TIME: 0.14618992805480957
> STR_ID: 1l0g |STR_LEN: 1236 |STR_TIME: 0.11672019958496094
> STR_ID: 1l0h |STR_LEN: 136 |STR_TIME: 0.010954856872558594
> STR_ID: 1l0i |STR_LEN: 249 |STR_TIME: 0.021120071411132812
> STR_ID: 1l0j |STR_LEN: 298 |STR_TIME: 0.025648832321166992
> STR_ID: 1l0k |STR_LEN: 288 |STR_TIME: 0.024856090545654297
> STR_ID: 1l0l |STR_LEN: 2123 |STR_TIME: 0.3698759078979492
> STR_ID: 1l0m |STR_LEN: 212 |STR_TIME: 0.061901092529296875
> STR_ID: 1l0n |STR_LEN: 2101 |STR_TIME: 0.38937902450561523
> STR_ID: 1l0o |STR_LEN: 426 |STR_TIME: 0.048560142517089844
> STR_ID: 1l0p |STR_LEN: 667 |STR_TIME: 0.06717801094055176
> STR_ID: 1l0q |STR_LEN: 2928 |STR_TIME: 0.29999589920043945
> STR_ID: 1l0r |STR_LEN: 2221 |STR_TIME: 0.13164401054382324
> STR_ID: 1l0s |STR_LEN: 535 |STR_TIME: 0.04863691329956055
> STR_ID: 1l0v |STR_LEN: 2156 |STR_TIME: 0.3906979560852051
> STR_ID: 1l0w |STR_LEN: 1347 |STR_TIME: 0.17264819145202637
> STR_ID: 1l0x |STR_LEN: 1098 |STR_TIME: 0.18096685409545898
> STR_ID: 1l0y |STR_LEN: 1236 |STR_TIME: 0.13396000862121582
> STR_ID: 1l0z |STR_LEN: 578 |STR_TIME: 0.03963804244995117
> STR_ID: 2l00 |STR_LEN: 107 |STR_TIME: 0.3501110076904297
> STR_ID: 2l01 |STR_LEN: 154 |STR_TIME: 1.0755829811096191
> STR_ID: 2l02 |STR_LEN: 164 |STR_TIME: 1.242203950881958
> STR_ID: 2l03 |STR_LEN: 74 |STR_TIME: 0.5336840152740479
> STR_ID: 2l04 |STR_LEN: 91 |STR_TIME: 0.6560797691345215
> STR_ID: 2l05 |STR_LEN: 86 |STR_TIME: 0.6016619205474854
> STR_ID: 2l06 |STR_LEN: 155 |STR_TIME: 1.1786811351776123
> STR_ID: 2l07 |STR_LEN: 18 |STR_TIME: 0.1033029556274414
> STR_ID: 2l08 |STR_LEN: 97 |STR_TIME: 0.7676680088043213
> STR_ID: 2l09 |STR_LEN: 62 |STR_TIME: 0.42226719856262207
> STR_ID: 2l0a |STR_LEN: 72 |STR_TIME: 0.5431277751922607
> STR_ID: 2l0b |STR_LEN: 93 |STR_TIME: 0.6015102863311768
> STR_ID: 2l0c |STR_LEN: 97 |STR_TIME: 0.711392879486084
> STR_ID: 2l0d |STR_LEN: 114 |STR_TIME: 0.7977726459503174
