>> START_DIR: ./data/k/k0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1k01 |STR_LEN: 3163 |STR_TIME: 1.506303071975708
> STR_ID: 1k02 |STR_LEN: 850 |STR_TIME: 0.06859278678894043
> STR_ID: 1k03 |STR_LEN: 829 |STR_TIME: 0.07124590873718262
> STR_ID: 1k04 |STR_LEN: 240 |STR_TIME: 0.02206587791442871
> STR_ID: 1k05 |STR_LEN: 425 |STR_TIME: 0.06030535697937012
> STR_ID: 1k06 |STR_LEN: 1098 |STR_TIME: 0.2527430057525635
> STR_ID: 1k07 |STR_LEN: 1038 |STR_TIME: 0.08934712409973145
> STR_ID: 1k08 |STR_LEN: 1069 |STR_TIME: 0.1654670238494873
> STR_ID: 1k09 |STR_LEN: 52 |STR_TIME: 0.3022308349609375
> STR_ID: 1k0a |STR_LEN: 511 |STR_TIME: 0.09949707984924316
> STR_ID: 1k0b |STR_LEN: 1190 |STR_TIME: 0.14825892448425293
> STR_ID: 1k0c |STR_LEN: 1099 |STR_TIME: 0.18942499160766602
> STR_ID: 1k0d |STR_LEN: 1221 |STR_TIME: 0.1491529941558838
> STR_ID: 1k0e |STR_LEN: 1172 |STR_TIME: 0.1860668659210205
> STR_ID: 1k0f |STR_LEN: 305 |STR_TIME: 0.038282155990600586
> STR_ID: 1k0g |STR_LEN: 1399 |STR_TIME: 0.14132308959960938
> STR_ID: 1k0h |STR_LEN: 117 |STR_TIME: 0.3997159004211426
> STR_ID: 1k0i |STR_LEN: 662 |STR_TIME: 0.09899711608886719
> STR_ID: 1k0j |STR_LEN: 517 |STR_TIME: 0.05849480628967285
> STR_ID: 1k0k |STR_LEN: 207 |STR_TIME: 0.022186994552612305
> STR_ID: 1k0l |STR_LEN: 617 |STR_TIME: 0.06368017196655273
> STR_ID: 1k0m |STR_LEN: 1127 |STR_TIME: 0.10303092002868652
> STR_ID: 1k0n |STR_LEN: 513 |STR_TIME: 0.11549782752990723
> STR_ID: 1k0o |STR_LEN: 560 |STR_TIME: 0.06306695938110352
> STR_ID: 1k0p |STR_LEN: 31 |STR_TIME: 0.13289809226989746
> STR_ID: 1k0r |STR_LEN: 1051 |STR_TIME: 0.13941192626953125
> STR_ID: 1k0s |STR_LEN: 151 |STR_TIME: 1.061964988708496
> STR_ID: 1k0t |STR_LEN: 82 |STR_TIME: 0.8831093311309814
> STR_ID: 1k0u |STR_LEN: 3930 |STR_TIME: 0.6513121128082275
> STR_ID: 1k0v |STR_LEN: 74 |STR_TIME: 0.7720367908477783
> STR_ID: 1k0w |STR_LEN: 1976 |STR_TIME: 0.3057830333709717
