>> START_DIR: ./data/u/u0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1u00 |STR_LEN: 495 |STR_TIME: 0.035147905349731445
> STR_ID: 1u01 |STR_LEN: 14 |STR_TIME: 0.006724119186401367
> STR_ID: 1u02 |STR_LEN: 407 |STR_TIME: 0.037474870681762695
> STR_ID: 1u04 |STR_LEN: 905 |STR_TIME: 0.17492198944091797
> STR_ID: 1u05 |STR_LEN: 679 |STR_TIME: 0.07521605491638184
> STR_ID: 1u06 |STR_LEN: 111 |STR_TIME: 0.009288787841796875
> STR_ID: 1u07 |STR_LEN: 376 |STR_TIME: 0.037850141525268555
> STR_ID: 1u08 |STR_LEN: 1013 |STR_TIME: 0.1173698902130127
> STR_ID: 1u09 |STR_LEN: 698 |STR_TIME: 0.10757613182067871
> STR_ID: 1u0a |STR_LEN: 2475 |STR_TIME: 0.16489124298095703
> STR_ID: 1u0b |STR_LEN: 640 |STR_TIME: 0.12764906883239746
> STR_ID: 1u0c |STR_LEN: 445 |STR_TIME: 0.12516307830810547
> STR_ID: 1u0d |STR_LEN: 352 |STR_TIME: 0.1705160140991211
> STR_ID: 1u0e |STR_LEN: 2151 |STR_TIME: 0.21197891235351562
> STR_ID: 1u0f |STR_LEN: 1993 |STR_TIME: 0.22516584396362305
> STR_ID: 1u0g |STR_LEN: 1964 |STR_TIME: 0.1857750415802002
> STR_ID: 1u0h |STR_LEN: 732 |STR_TIME: 0.15129685401916504
> STR_ID: 1u0i |STR_LEN: 42 |STR_TIME: 0.28905820846557617
> STR_ID: 1u0j |STR_LEN: 474 |STR_TIME: 0.039678096771240234
> STR_ID: 1u0k |STR_LEN: 1479 |STR_TIME: 0.09954619407653809
> STR_ID: 1u0l |STR_LEN: 896 |STR_TIME: 0.18329977989196777
> STR_ID: 1u0m |STR_LEN: 848 |STR_TIME: 0.1038050651550293
> STR_ID: 1u0n |STR_LEN: 731 |STR_TIME: 0.11108994483947754
> STR_ID: 1u0o |STR_LEN: 493 |STR_TIME: 0.06801104545593262
> STR_ID: 1u0p |STR_LEN: 27 |STR_TIME: 0.11374378204345703
> STR_ID: 1u0q |STR_LEN: 493 |STR_TIME: 0.04453301429748535
> STR_ID: 1u0r |STR_LEN: 1428 |STR_TIME: 0.15689396858215332
> STR_ID: 1u0s |STR_LEN: 406 |STR_TIME: 0.06350493431091309
> STR_ID: 1u0t |STR_LEN: 819 |STR_TIME: 0.08167004585266113
> STR_ID: 1u0u |STR_LEN: 4205 |STR_TIME: 0.420731782913208
