>> START_DIR: ./data/j/j0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1j00 |STR_LEN: 270 |STR_TIME: 0.39264512062072754
> STR_ID: 1j01 |STR_LEN: 473 |STR_TIME: 0.594059944152832
> STR_ID: 1j02 |STR_LEN: 382 |STR_TIME: 0.5512070655822754
> STR_ID: 1j03 |STR_LEN: 102 |STR_TIME: 6.147449970245361
> STR_ID: 1j04 |STR_LEN: 508 |STR_TIME: 0.7777819633483887
> STR_ID: 1j05 |STR_LEN: 724 |STR_TIME: 0.9471499919891357
> STR_ID: 1j06 |STR_LEN: 1438 |STR_TIME: 1.9722599983215332
> STR_ID: 1j07 |STR_LEN: 1467 |STR_TIME: 1.9743120670318604
> STR_ID: 1j08 |STR_LEN: 2970 |STR_TIME: 3.4353888034820557
> STR_ID: 1j09 |STR_LEN: 826 |STR_TIME: 0.9834012985229492
> STR_ID: 1j0a |STR_LEN: 1076 |STR_TIME: 1.7479150295257568
> STR_ID: 1j0b |STR_LEN: 8628 |STR_TIME: 13.269556999206543
> STR_ID: 1j0c |STR_LEN: 1741 |STR_TIME: 2.461534023284912
> STR_ID: 1j0d |STR_LEN: 2303 |STR_TIME: 2.5513391494750977
> STR_ID: 1j0e |STR_LEN: 2311 |STR_TIME: 2.68121337890625
> STR_ID: 1j0f |STR_LEN: 100 |STR_TIME: 6.084028244018555
> STR_ID: 1j0g |STR_LEN: 92 |STR_TIME: 5.497673988342285
> STR_ID: 1j0h |STR_LEN: 2780 |STR_TIME: 2.608854055404663
> STR_ID: 1j0i |STR_LEN: 1810 |STR_TIME: 2.4090750217437744
> STR_ID: 1j0j |STR_LEN: 1468 |STR_TIME: 2.215656042098999
> STR_ID: 1j0k |STR_LEN: 1307 |STR_TIME: 2.1930391788482666
> STR_ID: 1j0m |STR_LEN: 1000 |STR_TIME: 1.347405195236206
> STR_ID: 1j0n |STR_LEN: 1014 |STR_TIME: 1.3507189750671387
> STR_ID: 1j0o |STR_LEN: 464 |STR_TIME: 0.6042301654815674
> STR_ID: 1j0p |STR_LEN: 502 |STR_TIME: 0.620244026184082
> STR_ID: 1j0q |STR_LEN: 83 |STR_TIME: 9.778196811676025
> STR_ID: 1j0r |STR_LEN: 289 |STR_TIME: 0.48476409912109375
> STR_ID: 1j0s |STR_LEN: 157 |STR_TIME: 10.124783039093018
> STR_ID: 1j0t |STR_LEN: 78 |STR_TIME: 2.507554054260254
> STR_ID: 1j0w |STR_LEN: 283 |STR_TIME: 0.4248161315917969
> STR_ID: 1j0x |STR_LEN: 1803 |STR_TIME: 2.4178922176361084
> STR_ID: 1j0y |STR_LEN: 2707 |STR_TIME: 3.6713831424713135
> STR_ID: 1j0z |STR_LEN: 2557 |STR_TIME: 3.650182008743286
> STR_ID: 2j04 |STR_LEN: 2119 |STR_TIME: 3.752819299697876
> STR_ID: 2j05 |STR_LEN: 241 |STR_TIME: 0.3019230365753174
> STR_ID: 2j06 |STR_LEN: 220 |STR_TIME: 0.28513407707214355
> STR_ID: 2j07 |STR_LEN: 781 |STR_TIME: 0.9123022556304932
> STR_ID: 2j08 |STR_LEN: 533 |STR_TIME: 0.8807532787322998
> STR_ID: 2j09 |STR_LEN: 659 |STR_TIME: 0.9532938003540039
> STR_ID: 2j0a |STR_LEN: 330 |STR_TIME: 0.499194860458374
> STR_ID: 2j0b |STR_LEN: 332 |STR_TIME: 0.5152390003204346
> STR_ID: 2j0d |STR_LEN: 943 |STR_TIME: 1.5998740196228027
> STR_ID: 2j0e |STR_LEN: 994 |STR_TIME: 1.0236072540283203
> STR_ID: 2j0f |STR_LEN: 2237 |STR_TIME: 3.0433900356292725
> STR_ID: 2j0g |STR_LEN: 1355 |STR_TIME: 2.3361148834228516
> STR_ID: 2j0h |STR_LEN: 1397 |STR_TIME: 2.4087839126586914
> STR_ID: 2j0i |STR_LEN: 499 |STR_TIME: 1.0576019287109375
> STR_ID: 2j0j |STR_LEN: 634 |STR_TIME: 1.1654798984527588
> STR_ID: 2j0k |STR_LEN: 1262 |STR_TIME: 2.1601881980895996
> STR_ID: 2j0l |STR_LEN: 376 |STR_TIME: 0.6722240447998047
> STR_ID: 2j0m |STR_LEN: 640 |STR_TIME: 1.1128170490264893
> STR_ID: 2j0n |STR_LEN: 563 |STR_TIME: 0.7026307582855225
> STR_ID: 2j0o |STR_LEN: 590 |STR_TIME: 0.9966020584106445
> STR_ID: 2j0p |STR_LEN: 501 |STR_TIME: 0.6971392631530762
> STR_ID: 2j0q |STR_LEN: 1389 |STR_TIME: 2.5877928733825684
> STR_ID: 2j0r |STR_LEN: 476 |STR_TIME: 0.712332010269165
> STR_ID: 2j0s |STR_LEN: 1019 |STR_TIME: 1.3856189250946045
> STR_ID: 2j0t |STR_LEN: 910 |STR_TIME: 1.4894089698791504
> STR_ID: 2j0u |STR_LEN: 722 |STR_TIME: 1.2981898784637451
> STR_ID: 2j0v |STR_LEN: 1003 |STR_TIME: 1.3536388874053955
> STR_ID: 2j0w |STR_LEN: 519 |STR_TIME: 0.8182132244110107
> STR_ID: 2j0x |STR_LEN: 996 |STR_TIME: 1.5700910091400146
> STR_ID: 2j0y |STR_LEN: 1579 |STR_TIME: 2.3872668743133545
> STR_ID: 2j0z |STR_LEN: 124 |STR_TIME: 12.419562816619873
> STR_ID: 3j02 |STR_LEN: 7856 |STR_TIME: 12.636765003204346
> STR_ID: 3j03 |STR_LEN: 7856 |STR_TIME: 12.63906979560852
> STR_ID: 3j04 |STR_LEN: 2388 |STR_TIME: 4.1756980419158936
> STR_ID: 3j05 |STR_LEN: 1128 |STR_TIME: 0.399461030960083
> STR_ID: 3j06 |STR_LEN: 158 |STR_TIME: 0.3423621654510498
> STR_ID: 3j07 |STR_LEN: 4200 |STR_TIME: 9.093626260757446
> STR_ID: 3j08 |STR_LEN: 1290 |STR_TIME: 2.1322519779205322
> STR_ID: 3j09 |STR_LEN: 1446 |STR_TIME: 2.4723498821258545
> STR_ID: 3j0a |STR_LEN: 1457 |STR_TIME: 2.6487667560577393
> STR_ID: 3j0b |STR_LEN: 1185 |STR_TIME: 0.41141510009765625
> STR_ID: 3j0c |STR_LEN: 4108 |STR_TIME: 6.716084957122803
> STR_ID: 3j0d |STR_LEN: 626 |STR_TIME: 1.6305427551269531
> STR_ID: 3j0e |STR_LEN: 1118 |STR_TIME: 2.3157708644866943
> STR_ID: 3j0f |STR_LEN: 4064 |STR_TIME: 1.3321290016174316
> STR_ID: 3j0g |STR_LEN: 236 |STR_TIME: 0.4383580684661865
> STR_ID: 3j0h |STR_LEN: 1512 |STR_TIME: 4.595440864562988
> STR_ID: 3j0i |STR_LEN: 1512 |STR_TIME: 4.670006036758423
> STR_ID: 3j0j |STR_LEN: 4156 |STR_TIME: 5.856838226318359
> STR_ID: 3j0k |STR_LEN: 3937 |STR_TIME: 7.194427013397217
> STR_ID: 3j0l |STR_LEN: 1968 |STR_TIME: 5.830627202987671
> STR_ID: 3j0o |STR_LEN: 1710 |STR_TIME: 5.295895576477051
> STR_ID: 3j0p |STR_LEN: 1126 |STR_TIME: 3.6121978759765625
> STR_ID: 3j0q |STR_LEN: 1520 |STR_TIME: 4.507983207702637
> STR_ID: 3j0r |STR_LEN: 82 |STR_TIME: 0.18350625038146973
> STR_ID: 3j0s |STR_LEN: 6480 |STR_TIME: 10.713021993637085
> STR_ID: 4j00 |STR_LEN: 669 |STR_TIME: 2.380824089050293
> STR_ID: 4j01 |STR_LEN: 1301 |STR_TIME: 4.973816156387329
> STR_ID: 4j02 |STR_LEN: 1877 |STR_TIME: 2.1950650215148926
> STR_ID: 4j03 |STR_LEN: 557 |STR_TIME: 1.7860150337219238
> STR_ID: 4j04 |STR_LEN: 1781 |STR_TIME: 2.1551454067230225
> STR_ID: 4j05 |STR_LEN: 846 |STR_TIME: 2.6252362728118896
> STR_ID: 4j06 |STR_LEN: 1660 |STR_TIME: 2.0473787784576416
> STR_ID: 4j07 |STR_LEN: 1221 |STR_TIME: 2.396591901779175
> STR_ID: 4j08 |STR_LEN: 1414 |STR_TIME: 1.957653284072876
> STR_ID: 4j09 |STR_LEN: 477 |STR_TIME: 0.9531357288360596
> STR_ID: 4j0a |STR_LEN: 1363 |STR_TIME: 1.9538390636444092
> STR_ID: 4j0b |STR_LEN: 1400 |STR_TIME: 4.096321105957031
> STR_ID: 4j0c |STR_LEN: 1595 |STR_TIME: 3.016774892807007
> STR_ID: 4j0d |STR_LEN: 1745 |STR_TIME: 3.1660196781158447
> STR_ID: 4j0e |STR_LEN: 843 |STR_TIME: 1.070073127746582
> STR_ID: 4j0f |STR_LEN: 732 |STR_TIME: 1.0497097969055176
> STR_ID: 4j0g |STR_LEN: 1256 |STR_TIME: 2.876523971557617
> STR_ID: 4j0h |STR_LEN: 2165 |STR_TIME: 3.361323833465576
> STR_ID: 4j0i |STR_LEN: 1707 |STR_TIME: 3.136497735977173
> STR_ID: 4j0j |STR_LEN: 1443 |STR_TIME: 3.034120798110962
> STR_ID: 4j0k |STR_LEN: 1457 |STR_TIME: 3.0875961780548096
> STR_ID: 4j0l |STR_LEN: 444 |STR_TIME: 0.5217568874359131
> STR_ID: 4j0m |STR_LEN: 1891 |STR_TIME: 2.617426872253418
> STR_ID: 4j0n |STR_LEN: 814 |STR_TIME: 1.0113601684570312
> STR_ID: 4j0o |STR_LEN: 1572 |STR_TIME: 3.5951309204101562
> STR_ID: 4j0p |STR_LEN: 583 |STR_TIME: 1.3464899063110352
> STR_ID: 4j0q |STR_LEN: 2195 |STR_TIME: 5.899502754211426
> STR_ID: 4j0r |STR_LEN: 321 |STR_TIME: 0.5186059474945068
> STR_ID: 4j0s |STR_LEN: 288 |STR_TIME: 0.4973182678222656
> STR_ID: 4j0t |STR_LEN: 641 |STR_TIME: 1.4073998928070068
